signal_set,tape_day,print_ts,fire_ts,joint_tight_at_fire
mark67_buy_aggr_extract_all,2,112600,112700,False
mark67_buy_aggr_extract_all,2,129300,129400,False
mark67_buy_aggr_extract_all,2,134300,134400,False
mark67_buy_aggr_extract_all,2,156200,156300,False
mark67_buy_aggr_extract_all,2,157400,157500,False
mark67_buy_aggr_extract_all,2,165700,165800,False
mark67_buy_aggr_extract_all,2,194700,194800,False
mark67_buy_aggr_extract_all,2,199400,199500,False
mark67_buy_aggr_extract_all,2,207000,207100,False
mark67_buy_aggr_extract_all,2,237600,237700,False
mark67_buy_aggr_extract_all,2,258000,258100,False
mark67_buy_aggr_extract_all,2,285800,285900,False
mark67_buy_aggr_extract_all,2,316800,316900,False
mark67_buy_aggr_extract_all,2,323500,323600,False
mark67_buy_aggr_extract_all,2,333200,333300,False
mark67_buy_aggr_extract_all,2,337000,337100,False
mark67_buy_aggr_extract_all,2,378400,378500,False
mark67_buy_aggr_extract_all,2,385100,385200,False
mark67_buy_aggr_extract_all,2,424600,424700,False
mark67_buy_aggr_extract_all,2,448900,449000,False
mark67_buy_aggr_extract_all,2,463600,463700,False
mark67_buy_aggr_extract_all,2,464700,464800,False
mark67_buy_aggr_extract_all,2,466400,466500,False
mark67_buy_aggr_extract_all,2,493000,493100,False
mark67_buy_aggr_extract_all,2,521700,521800,False
mark67_buy_aggr_extract_all,2,530600,530700,False
mark67_buy_aggr_extract_all,2,547100,547200,True
mark67_buy_aggr_extract_all,2,611300,611400,False
mark67_buy_aggr_extract_all,2,614100,614200,False
mark67_buy_aggr_extract_all,2,650600,650700,True
mark67_buy_aggr_extract_all,2,656600,656700,False
mark67_buy_aggr_extract_all,2,672800,672900,False
mark67_buy_aggr_extract_all,2,679000,679100,False
mark67_buy_aggr_extract_all,2,687700,687800,False
mark67_buy_aggr_extract_all,2,700500,700600,False
mark67_buy_aggr_extract_all,2,715300,715400,False
mark67_buy_aggr_extract_all,2,717300,717400,False
mark67_buy_aggr_extract_all,2,720500,720600,True
mark67_buy_aggr_extract_all,2,744200,744300,False
mark67_buy_aggr_extract_all,2,771600,771700,False
mark67_buy_aggr_extract_all,2,777200,777300,False
mark67_buy_aggr_extract_all,2,793900,794000,False
mark67_buy_aggr_extract_all,2,798800,798900,False
mark67_buy_aggr_extract_all,2,840900,841000,False
mark67_buy_aggr_extract_all,2,848400,848500,False
mark67_buy_aggr_extract_all,2,862900,863000,False
mark67_buy_aggr_extract_all,2,872400,872500,False
mark67_buy_aggr_extract_all,2,887900,888000,False
mark67_buy_aggr_extract_all,2,902700,902800,False
mark67_buy_aggr_extract_all,2,912000,912100,False
mark67_buy_aggr_extract_all,2,914300,914400,False
mark67_buy_aggr_extract_all,2,915700,915800,False
mark67_buy_aggr_extract_all,2,941000,941100,False
mark67_buy_aggr_extract_all,2,956000,956100,False
mark67_buy_aggr_extract_all,2,958700,958800,False
mark67_buy_aggr_extract_all,2,959400,959500,False
mark67_buy_aggr_extract_all,2,993500,993600,False
mark67_buy_aggr_extract_all,3,31400,31500,False
mark67_buy_aggr_extract_all,3,58300,58400,False
mark67_buy_aggr_extract_all,3,77300,77400,False
mark67_buy_aggr_extract_all,3,77600,77700,True
mark67_buy_aggr_extract_all,3,99400,99500,True
mark67_buy_aggr_extract_all,3,103700,103800,False
mark67_buy_aggr_extract_all,3,115000,115100,False
mark67_buy_aggr_extract_all,3,117400,117500,False
mark67_buy_aggr_extract_all,3,121800,121900,True
mark67_buy_aggr_extract_all,3,130800,130900,True
mark67_buy_aggr_extract_all,3,215100,215200,False
mark67_buy_aggr_extract_all,3,254000,254100,False
mark67_buy_aggr_extract_all,3,254300,254400,True
mark67_buy_aggr_extract_all,3,264000,264100,True
mark67_buy_aggr_extract_all,3,285600,285700,False
mark67_buy_aggr_extract_all,3,294300,294400,True
mark67_buy_aggr_extract_all,3,349100,349200,True
mark67_buy_aggr_extract_all,3,352000,352100,True
mark67_buy_aggr_extract_all,3,357500,357600,True
mark67_buy_aggr_extract_all,3,405400,405500,False
mark67_buy_aggr_extract_all,3,406500,406600,False
mark67_buy_aggr_extract_all,3,443100,443200,True
mark67_buy_aggr_extract_all,3,462100,462200,True
mark67_buy_aggr_extract_all,3,512800,512900,True
mark67_buy_aggr_extract_all,3,560900,561000,True
mark67_buy_aggr_extract_all,3,588300,588400,True
mark67_buy_aggr_extract_all,3,616700,616800,True
mark67_buy_aggr_extract_all,3,653400,653500,True
mark67_buy_aggr_extract_all,3,663100,663200,False
mark67_buy_aggr_extract_all,3,677300,677400,True
mark67_buy_aggr_extract_all,3,700600,700700,False
mark67_buy_aggr_extract_all,3,701000,701100,False
mark67_buy_aggr_extract_all,3,707800,707900,True
mark67_buy_aggr_extract_all,3,718600,718700,False
mark67_buy_aggr_extract_all,3,720000,720100,False
mark67_buy_aggr_extract_all,3,753400,753500,True
mark67_buy_aggr_extract_all,3,755400,755500,False
mark67_buy_aggr_extract_all,3,769200,769300,False
mark67_buy_aggr_extract_all,3,810500,810600,False
mark67_buy_aggr_extract_all,3,873400,873500,True
mark67_buy_aggr_extract_all,3,911500,911600,False
mark67_buy_aggr_extract_all,3,947000,947100,True
mark67_buy_aggr_extract_all,3,961800,961900,False
mark67_buy_aggr_extract_all,3,969100,969200,False
mark67_buy_aggr_extract_all,3,984300,984400,True
