n,mean,median,t,pos_frac,mean_ci95_lo,mean_ci95_hi,mark,side,symbol,spread_bin,horizon_k
105,0.35714285714285715,1.0,0.38867910308207504,0.5238095238095238,-1.4588095238095236,2.066904761904762,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,wide,100
598,0.19899665551839466,0.0,2.2464782628170425,0.46488294314381273,0.055852842809364554,0.3670986622073578,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,5
598,0.4088628762541806,0.5,2.4788758254472882,0.5100334448160535,0.08923494983277593,0.7469690635451502,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,20
595,0.5310924369747899,0.0,1.4038715282649978,0.4991596638655462,-0.1653571428571428,1.277836134453781,Mark 55,buy_agg,VELVETFRUIT_EXTRACT,all,100
164,1.9603658536585367,2.0,13.025623326344341,0.8353658536585366,1.691768292682927,2.277591463414634,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,5
164,1.8140243902439024,1.5,5.86010068131766,0.6463414634146342,1.2193597560975609,2.501143292682926,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,20
163,1.3711656441717792,1.0,1.873917213276957,0.5398773006134969,-0.08627300613496931,2.8101993865030646,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,tight,100
164,1.9603658536585367,2.0,13.025623326344341,0.8353658536585366,1.667378048780488,2.292835365853658,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,5
164,1.8140243902439024,1.5,5.86010068131766,0.6463414634146342,1.2011432926829269,2.38422256097561,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,20
163,1.3711656441717792,1.0,1.873917213276957,0.5398773006134969,-0.1568251533742331,2.7044478527607345,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,100
225,-0.0044444444444444444,0.0,-0.17240075262328555,0.16444444444444445,-0.05333333333333334,0.04666666666666667,Mark 22,sell_agg,VEV_5400,tight,5
225,0.06,0.0,1.1749049766681707,0.3022222222222222,-0.04455555555555555,0.15777777777777777,Mark 22,sell_agg,VEV_5400,tight,20
223,0.06053811659192825,0.0,0.6246874218359131,0.4170403587443946,-0.13038116591928248,0.22012331838564986,Mark 22,sell_agg,VEV_5400,tight,100
50,-0.15,0.0,-2.781517949836592,0.16,-0.24024999999999996,-0.05,Mark 22,sell_agg,VEV_5400,wide,5
50,-0.16,-0.5,-1.2894876373638113,0.32,-0.39025,0.10024999999999978,Mark 22,sell_agg,VEV_5400,wide,20
49,-0.5,-0.5,-2.042109880970524,0.40816326530612246,-1.0107142857142857,0.020918367346938308,Mark 22,sell_agg,VEV_5400,wide,100
275,-0.03090909090909091,0.0,-1.3172567025602886,0.16363636363636364,-0.07281818181818181,0.01640909090909087,Mark 22,sell_agg,VEV_5400,all,5
275,0.02,0.0,0.41965834169991967,0.3054545454545455,-0.06736363636363636,0.11286363636363625,Mark 22,sell_agg,VEV_5400,all,20
272,-0.04044117647058824,0.0,-0.4414725103316141,0.41544117647058826,-0.21153492647058822,0.1323988970588235,Mark 22,sell_agg,VEV_5400,all,100
290,-0.017241379310344827,0.0,-1.3147124778907104,0.04827586206896552,-0.04142241379310344,0.008620689655172414,Mark 22,sell_agg,VEV_5500,tight,5
290,0.020689655172413793,0.0,0.8356446011650763,0.13448275862068965,-0.02413793103448276,0.06732758620689647,Mark 22,sell_agg,VEV_5500,tight,20
288,-0.03125,0.0,-0.750736056008346,0.2222222222222222,-0.12330729166666667,0.04696180555555548,Mark 22,sell_agg,VEV_5500,tight,100
16,,,,,,,Mark 22,sell_agg,VEV_5500,wide,5
16,,,,,,,Mark 22,sell_agg,VEV_5500,wide,20
16,,,,,,,Mark 22,sell_agg,VEV_5500,wide,100
306,-0.026143790849673203,0.0,-1.9207508139484648,0.05555555555555555,-0.05392156862745098,-0.001593137254901998,Mark 22,sell_agg,VEV_5500,all,5
306,0.014705882352941176,0.0,0.6103330614689869,0.14052287581699346,-0.03594771241830065,0.06213235294117644,Mark 22,sell_agg,VEV_5500,all,20
304,-0.03618421052631579,0.0,-0.8817968548358787,0.23355263157894737,-0.11681743421052632,0.03951480263157891,Mark 22,sell_agg,VEV_5500,all,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,tight,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,tight,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,tight,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,all,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,all,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,all,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,tight,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,tight,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,tight,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,all,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,all,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,all,100
160,-0.203125,0.0,-3.3127067443445664,0.2375,-0.31875,-0.08718750000000028,Mark 22,sell_agg,VEV_5300,tight,5
160,-0.14375,0.0,-1.1067249793822498,0.38125,-0.387578125,0.09085937499999978,Mark 22,sell_agg,VEV_5300,tight,20
159,0.14779874213836477,0.0,0.5778864227270519,0.4968553459119497,-0.40290880503144655,0.6541666666666666,Mark 22,sell_agg,VEV_5300,tight,100
160,-0.203125,0.0,-3.3127067443445664,0.2375,-0.334375,-0.07804687500000007,Mark 22,sell_agg,VEV_5300,all,5
160,-0.14375,0.0,-1.1067249793822498,0.38125,-0.409453125,0.134375,Mark 22,sell_agg,VEV_5300,all,20
159,0.14779874213836477,0.0,0.5778864227270519,0.4968553459119497,-0.43089622641509434,0.5944968553459118,Mark 22,sell_agg,VEV_5300,all,100
44,-0.22727272727272727,-0.5,-1.5035884171827123,0.3181818181818182,-0.5460227272727272,0.0798295454545452,Mark 22,sell_agg,VEV_5200,tight,5
44,0.22727272727272727,-0.25,0.45017565512115065,0.4772727272727273,-0.7957386363636363,1.2730113636363634,Mark 22,sell_agg,VEV_5200,tight,20
44,0.625,0.5,0.6621679449607971,0.5681818181818182,-1.5457386363636363,2.320170454545453,Mark 22,sell_agg,VEV_5200,tight,100
44,-0.22727272727272727,-0.5,-1.5035884171827123,0.3181818181818182,-0.5227272727272727,0.03437499999999974,Mark 22,sell_agg,VEV_5200,all,5
44,0.22727272727272727,-0.25,0.45017565512115065,0.4772727272727273,-0.8417613636363637,1.319886363636362,Mark 22,sell_agg,VEV_5200,all,20
44,0.625,0.5,0.6621679449607971,0.5681818181818182,-1.4548295454545455,2.3068181818181817,Mark 22,sell_agg,VEV_5200,all,100
11,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,tight,5
11,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,tight,20
10,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,tight,100
11,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,all,5
11,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,all,20
10,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,all,100
211,-0.11137440758293839,0.0,-0.7336605882857299,0.43601895734597157,-0.43370853080568716,0.1801540284360189,Mark 38,sell_agg,VEV_4000,tight,5
211,-0.0995260663507109,0.0,-0.3217052800247593,0.4597156398104265,-0.7393364928909952,0.5835308056872033,Mark 38,sell_agg,VEV_4000,tight,20
210,0.06904761904761905,-0.75,0.11033560534554154,0.46190476190476193,-1.259642857142857,1.2578571428571421,Mark 38,sell_agg,VEV_4000,tight,100
22,,,,,,,Mark 38,sell_agg,VEV_4000,wide,5
22,,,,,,,Mark 38,sell_agg,VEV_4000,wide,20
22,,,,,,,Mark 38,sell_agg,VEV_4000,wide,100
233,-0.16952789699570817,0.0,-1.1630208076407231,0.4248927038626609,-0.4507510729613734,0.12666309012875532,Mark 38,sell_agg,VEV_4000,all,5
233,-0.17381974248927037,0.0,-0.594263133536499,0.44635193133047213,-0.7297210300429184,0.354291845493562,Mark 38,sell_agg,VEV_4000,all,20
232,-0.05387931034482758,-1.0,-0.09076619605406933,0.4525862068965517,-1.4530172413793103,1.0045258620689654,Mark 38,sell_agg,VEV_4000,all,100
498,0.013052208835341365,0.0,0.06462631760401491,0.4598393574297189,-0.3506526104417671,0.35346385542168673,Mark 38,sell_agg,HYDROGEL_PACK,tight,5
498,0.11044176706827309,0.0,0.28296701055528756,0.4979919678714859,-0.5957329317269076,0.9069026104417668,Mark 38,sell_agg,HYDROGEL_PACK,tight,20
496,0.7237903225806451,0.0,0.8931899813735219,0.4879032258064516,-0.9176663306451611,2.2726814516129026,Mark 38,sell_agg,HYDROGEL_PACK,tight,100
507,0.011834319526627219,0.0,0.0591147406905954,0.4635108481262327,-0.368836291913215,0.3967702169625244,Mark 38,sell_agg,HYDROGEL_PACK,all,5
507,0.10157790927021697,0.0,0.2624804099548992,0.4990138067061144,-0.6540680473372781,0.8897682445759357,Mark 38,sell_agg,HYDROGEL_PACK,all,20
505,0.5881188118811881,0.0,0.7280135711120933,0.48514851485148514,-1.0309405940594059,2.0794059405940595,Mark 38,sell_agg,HYDROGEL_PACK,all,100
514,0.029182879377431907,0.0,0.30290155885435005,0.4280155642023346,-0.15573929961089494,0.22183852140077814,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,5
514,-0.0038910505836575876,0.0,-0.021070123607488524,0.4357976653696498,-0.3609922178988327,0.3396643968871594,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,20
509,-0.8575638506876228,-1.0,-2.1710147071144936,0.4400785854616896,-1.6514243614931237,-0.11493123772102161,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,100
86,0.18604651162790697,0.5,0.765291090180946,0.5348837209302325,-0.3140988372093023,0.6396802325581394,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,wide,5
86,-0.7151162790697675,-0.5,-1.5758979826446913,0.45348837209302323,-1.5999999999999999,0.16366279069767364,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,wide,20
86,-1.2790697674418605,-3.0,-1.2911545191357183,0.4186046511627907,-3.269331395348837,0.6303779069767419,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,wide,100
600,0.051666666666666666,0.0,0.5770292515005375,0.44333333333333336,-0.11083333333333334,0.22168749999999998,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,5
600,-0.10583333333333333,0.0,-0.6181496555114884,0.43833333333333335,-0.4093125,0.23849999999999985,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,20
595,-0.9184873949579831,-1.0,-2.504567788249762,0.4369747899159664,-1.6506092436974789,-0.27052521008403363,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,100
