n,mean,median,t,pos_frac,mean_ci95_lo,mean_ci95_hi,mark,side,symbol,spread_bin,burst_stratum,horizon_k
10,,,,,,,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,5
10,,,,,,,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,20
10,,,,,,,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,100
154,1.9772727272727273,2.0,12.660860313427936,0.8441558441558441,1.6850649350649352,2.314935064935065,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,isolated_print,5
154,1.7857142857142858,1.5,5.552603326281797,0.6428571428571429,1.1781655844155845,2.3836038961038954,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,isolated_print,20
153,1.5,1.0,2.003525717460469,0.5424836601307189,-0.049101307189542476,2.9870098039215685,Mark 67,buy_agg,VELVETFRUIT_EXTRACT,all,isolated_print,100
225,-0.0044444444444444444,0.0,-0.17240075262328555,0.16444444444444445,-0.04894444444444444,0.04227777777777773,Mark 22,sell_agg,VEV_5400,tight,multi_print_burst,5
225,0.06,0.0,1.1749049766681707,0.3022222222222222,-0.044444444444444446,0.16,Mark 22,sell_agg,VEV_5400,tight,multi_print_burst,20
223,0.06053811659192825,0.0,0.6246874218359131,0.4170403587443946,-0.15028026905829595,0.24887892376681614,Mark 22,sell_agg,VEV_5400,tight,multi_print_burst,100
50,-0.15,0.0,-2.781517949836592,0.16,-0.26,-0.04,Mark 22,sell_agg,VEV_5400,wide,multi_print_burst,5
50,-0.16,-0.5,-1.2894876373638113,0.32,-0.41,0.12,Mark 22,sell_agg,VEV_5400,wide,multi_print_burst,20
49,-0.5,-0.5,-2.042109880970524,0.40816326530612246,-0.9693877551020408,-0.01020408163265306,Mark 22,sell_agg,VEV_5400,wide,multi_print_burst,100
275,-0.03090909090909091,0.0,-1.3172567025602886,0.16363636363636364,-0.07277272727272727,0.012727272727272728,Mark 22,sell_agg,VEV_5400,all,multi_print_burst,5
275,0.02,0.0,0.41965834169991967,0.3054545454545455,-0.07272727272727272,0.10727272727272727,Mark 22,sell_agg,VEV_5400,all,multi_print_burst,20
272,-0.04044117647058824,0.0,-0.4414725103316141,0.41544117647058826,-0.22794117647058823,0.12886029411764688,Mark 22,sell_agg,VEV_5400,all,multi_print_burst,100
290,-0.017241379310344827,0.0,-1.3147124778907104,0.04827586206896552,-0.04487068965517241,0.005215517241379271,Mark 22,sell_agg,VEV_5500,tight,multi_print_burst,5
290,0.020689655172413793,0.0,0.8356446011650763,0.13448275862068965,-0.02422413793103448,0.06551724137931035,Mark 22,sell_agg,VEV_5500,tight,multi_print_burst,20
288,-0.03125,0.0,-0.750736056008346,0.2222222222222222,-0.10768229166666667,0.052170138888888815,Mark 22,sell_agg,VEV_5500,tight,multi_print_burst,100
16,,,,,,,Mark 22,sell_agg,VEV_5500,wide,multi_print_burst,5
16,,,,,,,Mark 22,sell_agg,VEV_5500,wide,multi_print_burst,20
16,,,,,,,Mark 22,sell_agg,VEV_5500,wide,multi_print_burst,100
306,-0.026143790849673203,0.0,-1.9207508139484648,0.05555555555555555,-0.05228758169934641,-0.0016339869281045752,Mark 22,sell_agg,VEV_5500,all,multi_print_burst,5
306,0.014705882352941176,0.0,0.6103330614689869,0.14052287581699346,-0.02291666666666666,0.06209150326797386,Mark 22,sell_agg,VEV_5500,all,multi_print_burst,20
304,-0.03618421052631579,0.0,-0.8817968548358787,0.23355263157894737,-0.12171052631578948,0.049424342105263086,Mark 22,sell_agg,VEV_5500,all,multi_print_burst,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,tight,multi_print_burst,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,tight,multi_print_burst,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,tight,multi_print_burst,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,all,multi_print_burst,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,all,multi_print_burst,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6000,all,multi_print_burst,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,tight,multi_print_burst,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,tight,multi_print_burst,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,tight,multi_print_burst,100
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,all,multi_print_burst,5
317,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,all,multi_print_burst,20
314,0.0,0.0,,0.0,0.0,0.0,Mark 22,sell_agg,VEV_6500,all,multi_print_burst,100
160,-0.203125,0.0,-3.3127067443445664,0.2375,-0.321953125,-0.08742187500000007,Mark 22,sell_agg,VEV_5300,tight,multi_print_burst,5
160,-0.14375,0.0,-1.1067249793822498,0.38125,-0.40625,0.10015624999999986,Mark 22,sell_agg,VEV_5300,tight,multi_print_burst,20
159,0.14779874213836477,0.0,0.5778864227270519,0.4968553459119497,-0.3557389937106918,0.666823899371069,Mark 22,sell_agg,VEV_5300,tight,multi_print_burst,100
160,-0.203125,0.0,-3.3127067443445664,0.2375,-0.328203125,-0.08125,Mark 22,sell_agg,VEV_5300,all,multi_print_burst,5
160,-0.14375,0.0,-1.1067249793822498,0.38125,-0.4065625,0.11265624999999986,Mark 22,sell_agg,VEV_5300,all,multi_print_burst,20
159,0.14779874213836477,0.0,0.5778864227270519,0.4968553459119497,-0.32712264150943393,0.6134433962264149,Mark 22,sell_agg,VEV_5300,all,multi_print_burst,100
44,-0.22727272727272727,-0.5,-1.5035884171827123,0.3181818181818182,-0.5227272727272727,0.09090909090909091,Mark 22,sell_agg,VEV_5200,tight,multi_print_burst,5
44,0.22727272727272727,-0.25,0.45017565512115065,0.4772727272727273,-0.7272727272727273,1.1704545454545454,Mark 22,sell_agg,VEV_5200,tight,multi_print_burst,20
44,0.625,0.5,0.6621679449607971,0.5681818181818182,-1.2730113636363636,2.262499999999999,Mark 22,sell_agg,VEV_5200,tight,multi_print_burst,100
44,-0.22727272727272727,-0.5,-1.5035884171827123,0.3181818181818182,-0.5227272727272727,0.05710227272727247,Mark 22,sell_agg,VEV_5200,all,multi_print_burst,5
44,0.22727272727272727,-0.25,0.45017565512115065,0.4772727272727273,-0.7053977272727273,1.125852272727272,Mark 22,sell_agg,VEV_5200,all,multi_print_burst,20
44,0.625,0.5,0.6621679449607971,0.5681818181818182,-1.227840909090909,2.534943181818181,Mark 22,sell_agg,VEV_5200,all,multi_print_burst,100
10,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,5
10,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,20
9,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,100
10,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,all,isolated_print,5
10,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,all,isolated_print,20
9,,,,,,,Mark 22,sell_agg,VELVETFRUIT_EXTRACT,all,isolated_print,100
14,,,,,,,Mark 38,sell_agg,VEV_4000,tight,multi_print_burst,5
14,,,,,,,Mark 38,sell_agg,VEV_4000,tight,multi_print_burst,20
14,,,,,,,Mark 38,sell_agg,VEV_4000,tight,multi_print_burst,100
197,-0.09137055837563451,0.0,-0.5986896790350235,0.4416243654822335,-0.39086294416243655,0.19543147208121828,Mark 38,sell_agg,VEV_4000,tight,isolated_print,5
197,-0.15228426395939088,0.0,-0.47122972686192166,0.4517766497461929,-0.7563451776649747,0.40869289340101517,Mark 38,sell_agg,VEV_4000,tight,isolated_print,20
196,0.11734693877551021,-1.0,0.1831710494238875,0.45918367346938777,-1.2376275510204082,1.2935586734693876,Mark 38,sell_agg,VEV_4000,tight,isolated_print,100
20,,,,,,,Mark 38,sell_agg,VEV_4000,wide,isolated_print,5
20,,,,,,,Mark 38,sell_agg,VEV_4000,wide,isolated_print,20
20,,,,,,,Mark 38,sell_agg,VEV_4000,wide,isolated_print,100
16,,,,,,,Mark 38,sell_agg,VEV_4000,all,multi_print_burst,5
16,,,,,,,Mark 38,sell_agg,VEV_4000,all,multi_print_burst,20
16,,,,,,,Mark 38,sell_agg,VEV_4000,all,multi_print_burst,100
217,-0.15668202764976957,0.0,-1.0594424878779818,0.42857142857142855,-0.46088709677419354,0.12223502304147454,Mark 38,sell_agg,VEV_4000,all,isolated_print,5
217,-0.21428571428571427,-0.5,-0.6991357793809271,0.4377880184331797,-0.7860599078341014,0.3525921658986174,Mark 38,sell_agg,VEV_4000,all,isolated_print,20
216,-0.013888888888888888,-1.0,-0.02280721948546175,0.44907407407407407,-1.3116898148148146,1.2548611111111108,Mark 38,sell_agg,VEV_4000,all,isolated_print,100
26,,,,,,,Mark 38,sell_agg,HYDROGEL_PACK,tight,multi_print_burst,5
26,,,,,,,Mark 38,sell_agg,HYDROGEL_PACK,tight,multi_print_burst,20
25,,,,,,,Mark 38,sell_agg,HYDROGEL_PACK,tight,multi_print_burst,100
472,0.05190677966101695,0.0,0.2478965823573351,0.461864406779661,-0.374073093220339,0.4822563559322031,Mark 38,sell_agg,HYDROGEL_PACK,tight,isolated_print,5
472,0.3082627118644068,1.0,0.7712426690333618,0.5084745762711864,-0.4492055084745763,1.0922404661016947,Mark 38,sell_agg,HYDROGEL_PACK,tight,isolated_print,20
471,0.8163481953290871,0.0,0.977399217830767,0.49469214437367304,-0.8738057324840764,2.323274946921443,Mark 38,sell_agg,HYDROGEL_PACK,tight,isolated_print,100
27,,,,,,,Mark 38,sell_agg,HYDROGEL_PACK,all,multi_print_burst,5
27,,,,,,,Mark 38,sell_agg,HYDROGEL_PACK,all,multi_print_burst,20
26,,,,,,,Mark 38,sell_agg,HYDROGEL_PACK,all,multi_print_burst,100
480,0.06770833333333333,0.0,0.32696552515537747,0.4666666666666667,-0.3291927083333333,0.5105208333333332,Mark 38,sell_agg,HYDROGEL_PACK,all,isolated_print,5
480,0.315625,1.0,0.7961082216593305,0.5104166666666666,-0.5022916666666667,1.0740885416666666,Mark 38,sell_agg,HYDROGEL_PACK,all,isolated_print,20
479,0.7275574112734864,0.0,0.8741559120613004,0.49269311064718163,-1.0220772442588726,2.4881263048016686,Mark 38,sell_agg,HYDROGEL_PACK,all,isolated_print,100
31,0.3064516129032258,0.0,0.7160555400299178,0.45161290322580644,-0.5161290322580645,1.1774193548387097,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,5
31,0.5645161290322581,0.0,0.6851340080726941,0.4838709677419355,-1.0657258064516129,2.1786290322580633,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,20
30,-1.0,-2.0,-0.5580656458514976,0.4,-4.135000000000001,2.7708333333333295,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,multi_print_burst,100
483,0.011387163561076604,0.0,0.11519981590419659,0.42650103519668736,-0.1915113871635611,0.18742236024844716,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,5
483,-0.040372670807453416,0.0,-0.2131715750321873,0.432712215320911,-0.4494047619047619,0.30126811594202896,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,20
479,-0.848643006263048,-1.0,-2.095546391819998,0.44258872651356995,-1.6715292275574112,-0.025756784968685068,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,tight,isolated_print,100
82,0.14634146341463414,0.5,0.5817898215005356,0.524390243902439,-0.317530487804878,0.6221036585365852,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,wide,isolated_print,5
82,-0.6951219512195121,-0.5,-1.4721456876792747,0.4634146341463415,-1.6769817073170732,0.21371951219512167,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,wide,isolated_print,20
82,-1.1890243902439024,-2.75,-1.1524054523170508,0.4268292682926829,-3.27484756097561,1.0746951219512182,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,wide,isolated_print,100
35,0.38571428571428573,0.0,0.9888911891356553,0.4857142857142857,-0.4,1.1003571428571426,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,5
35,0.37142857142857144,-0.5,0.4968004669961169,0.45714285714285713,-1.0571428571428572,1.828928571428571,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,20
34,-1.25,-2.5,-0.7777640851699756,0.38235294117647056,-4.384191176470589,2.3566176470588203,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,multi_print_burst,100
565,0.030973451327433628,0.0,0.33672602464604784,0.4407079646017699,-0.15513274336283184,0.1939159292035397,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,isolated_print,5
565,-0.13539823008849558,0.0,-0.7696754797528543,0.43716814159292033,-0.48146017699115046,0.22940265486725644,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,isolated_print,20
561,-0.8983957219251337,-1.0,-2.3835874708645632,0.44028520499108736,-1.673083778966132,-0.1457887700534763,Mark 55,sell_agg,VELVETFRUIT_EXTRACT,all,isolated_print,100
