cell,day,horizon_k,fwd,n,mean,median,t,pos_frac
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,100,extract,60,1.4916666666666667,2.0,1.5175560998079345,0.5833333333333334
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,2,100,hydro,60,-1.9333333333333333,-3.0,-1.0320269744456487,0.38333333333333336
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,5,self_mid,45,1.9333333333333333,2.0,5.681163741400793,0.7333333333333333
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,5,extract,45,1.9333333333333333,2.0,5.681163741400793,0.7333333333333333
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,5,hydro,45,0.5333333333333333,0.5,0.8024200277875839,0.5111111111111111
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,20,self_mid,45,2.022222222222222,1.5,3.14143488531692,0.6444444444444445
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,20,extract,45,2.022222222222222,1.5,3.14143488531692,0.6444444444444445
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,20,hydro,45,-0.4777777777777778,-2.0,-0.34269995680542725,0.4
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,100,self_mid,45,-1.0777777777777777,-1.5,-0.7574815859818775,0.4222222222222222
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,100,extract,45,-1.0777777777777777,-1.5,-0.7574815859818775,0.4222222222222222
Mark 67|buy_agg|VELVETFRUIT_EXTRACT|all,3,100,hydro,45,-5.477777777777778,-6.0,-2.7008805889891456,0.2222222222222222
Mark 22|sell_agg|VEV_5300|all,1,5,self_mid,38,-0.2631578947368421,0.0,-2.110086943076174,0.15789473684210525
Mark 22|sell_agg|VEV_5300|all,1,5,extract,38,-0.13157894736842105,0.0,-0.4092449648385423,0.39473684210526316
Mark 22|sell_agg|VEV_5300|all,1,5,hydro,38,-0.3026315789473684,0.0,-0.47394440006457633,0.4473684210526316
Mark 22|sell_agg|VEV_5300|all,1,20,self_mid,38,-0.5526315789473685,-1.0,-2.0232591335082706,0.34210526315789475
Mark 22|sell_agg|VEV_5300|all,1,20,extract,38,-1.1578947368421053,-1.75,-1.596530415966605,0.3684210526315789
Mark 22|sell_agg|VEV_5300|all,1,20,hydro,38,0.9473684210526315,-0.25,0.7531072529086735,0.47368421052631576
Mark 22|sell_agg|VEV_5300|all,1,100,self_mid,38,-0.3157894736842105,-0.5,-0.559930727570414,0.39473684210526316
Mark 22|sell_agg|VEV_5300|all,1,100,extract,38,-0.5263157894736842,-1.0,-0.35574752346502436,0.42105263157894735
Mark 22|sell_agg|VEV_5300|all,1,100,hydro,38,2.013157894736842,0.0,0.5925176513430975,0.47368421052631576
Mark 22|sell_agg|VEV_5300|all,2,5,self_mid,44,-0.3068181818181818,0.0,-2.337113906380199,0.18181818181818182
Mark 22|sell_agg|VEV_5300|all,2,5,extract,44,-0.22727272727272727,0.0,-0.7224758489181272,0.4090909090909091
Mark 22|sell_agg|VEV_5300|all,2,5,hydro,44,-1.2045454545454546,-2.0,-1.599752878345824,0.3409090909090909
Mark 22|sell_agg|VEV_5300|all,2,20,self_mid,44,-0.06818181818181818,0.0,-0.2823906654717904,0.36363636363636365
Mark 22|sell_agg|VEV_5300|all,2,20,extract,44,0.4090909090909091,0.0,0.632237744309576,0.4772727272727273
Mark 22|sell_agg|VEV_5300|all,2,20,hydro,44,0.6022727272727273,1.0,0.4201750937260265,0.5227272727272727
Mark 22|sell_agg|VEV_5300|all,2,100,self_mid,43,0.10465116279069768,0.0,0.2058482807433696,0.46511627906976744
Mark 22|sell_agg|VEV_5300|all,2,100,extract,43,0.9651162790697675,0.0,0.7352580980524982,0.4883720930232558
Mark 22|sell_agg|VEV_5300|all,2,100,hydro,43,0.7093023255813954,1.0,0.3008223307003164,0.5348837209302325
Mark 22|sell_agg|VEV_5300|all,3,5,self_mid,78,-0.11538461538461539,0.0,-1.4145538038221113,0.3076923076923077
Mark 22|sell_agg|VEV_5300|all,3,5,extract,78,-0.08333333333333333,0.0,-0.3288379308867649,0.46153846153846156
Mark 22|sell_agg|VEV_5300|all,3,5,hydro,78,-0.1346153846153846,0.0,-0.2684864636831825,0.44871794871794873
Mark 22|sell_agg|VEV_5300|all,3,20,self_mid,78,0.01282051282051282,-0.5,0.06931156351961999,0.41025641025641024
Mark 22|sell_agg|VEV_5300|all,3,20,extract,78,0.4423076923076923,0.0,0.7896237336100336,0.4358974358974359
Mark 22|sell_agg|VEV_5300|all,3,20,hydro,78,-1.564102564102564,-1.25,-1.8912964931763614,0.4230769230769231
Mark 22|sell_agg|VEV_5300|all,3,100,self_mid,78,0.3974358974358974,0.5,1.1509297501055984,0.5641025641025641
Mark 22|sell_agg|VEV_5300|all,3,100,extract,78,1.7692307692307692,3.0,1.7894035921732196,0.6410256410256411
Mark 22|sell_agg|VEV_5300|all,3,100,hydro,78,-0.9423076923076923,-1.0,-0.4299595681538064,0.48717948717948717
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,5,self_mid,198,0.2904040404040404,0.5,1.9054249894298725,0.5151515151515151
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,5,extract,198,0.2904040404040404,0.5,1.9054249894298725,0.5151515151515151
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,5,hydro,198,0.6313131313131313,1.0,2.214321984227178,0.5202020202020202
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,20,self_mid,198,0.20454545454545456,0.0,0.6920536784961858,0.46464646464646464
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,20,extract,198,0.20454545454545456,0.0,0.6920536784961858,0.46464646464646464
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,20,hydro,198,-0.08838383838383838,0.0,-0.14921515699344123,0.48484848484848486
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,100,self_mid,196,-0.4846938775510204,-1.0,-0.7782972459269348,0.4387755102040816
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,100,extract,196,-0.4846938775510204,-1.0,-0.7782972459269348,0.4387755102040816
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,1,100,hydro,196,1.1964285714285714,1.25,0.9032295059569274,0.5153061224489796
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,5,self_mid,193,-0.26424870466321243,0.0,-1.6715954296230997,0.38860103626943004
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,5,extract,193,-0.26424870466321243,0.0,-1.6715954296230997,0.38860103626943004
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,5,hydro,193,-0.36787564766839376,0.0,-1.1147080606166628,0.43005181347150256
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,20,self_mid,193,-0.5414507772020726,-1.0,-1.9887726336484886,0.37823834196891193
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,20,extract,193,-0.5414507772020726,-1.0,-1.9887726336484886,0.37823834196891193
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,20,hydro,193,-0.5544041450777202,-1.0,-0.9056419747906257,0.45595854922279794
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,100,self_mid,191,-1.4031413612565444,-2.0,-2.3877312507835495,0.4031413612565445
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,100,extract,191,-1.4031413612565444,-2.0,-2.3877312507835495,0.4031413612565445
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,2,100,hydro,191,-1.557591623036649,-2.0,-1.132751930214128,0.4397905759162304
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,5,self_mid,209,0.11722488038277512,0.0,0.766084626081767,0.4258373205741627
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,5,extract,209,0.11722488038277512,0.0,0.766084626081767,0.4258373205741627
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,5,hydro,209,0.03827751196172249,0.0,0.131067972765873,0.44019138755980863
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,20,self_mid,209,0.0023923444976076554,0.0,0.007586623450600817,0.4688995215311005
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,20,extract,209,0.0023923444976076554,0.0,0.007586623450600817,0.4688995215311005
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,20,hydro,209,0.361244019138756,1.0,0.606349256948614,0.5119617224880383
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,100,self_mid,208,-0.8822115384615384,-1.0,-1.2913591265671729,0.46634615384615385
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,100,extract,208,-0.8822115384615384,-1.0,-1.2913591265671729,0.46634615384615385
Mark 55|sell_agg|VELVETFRUIT_EXTRACT|all,3,100,hydro,208,0.3245192307692308,-0.25,0.25897170023748206,0.46153846153846156
