day,timestamp,fwd_mid_k20,fwd20,roll_tight_rate
3,496900,-7.0,-7.0,0.78
3,534900,6.0,6.0,0.8725
3,535600,5.5,5.5,0.875
3,547000,3.5,3.5,0.8625
3,552700,5.0,5.0,0.855
3,553500,6.0,6.0,0.85
3,568300,-1.5,-1.5,0.7925
3,572400,-0.5,-0.5,0.745
3,577200,7.0,7.0,0.715
3,618400,-7.0,-7.0,0.6525
3,630700,-3.0,-3.0,0.635
3,641800,9.5,9.5,0.5725
3,666300,-4.0,-4.0,0.3375
3,667100,-3.0,-3.0,0.3375
3,699000,1.0,1.0,0.3425
3,707000,8.5,8.5,0.3725
3,734000,-5.0,-5.0,0.2525
3,734200,-6.5,-6.5,0.2525
3,780000,4.0,4.0,0.565
3,789300,-2.0,-2.0,0.5525
3,792900,-3.0,-3.0,0.53
3,797100,-2.0,-2.0,0.52
3,804500,9.0,9.0,0.4975
3,812600,0.5,0.5,0.405
3,816500,-2.0,-2.0,0.3525
3,840800,1.0,1.0,0.355
3,845100,0.0,0.0,0.3725
3,861900,-6.5,-6.5,0.475
3,877500,-4.0,-4.0,0.5025
3,885900,1.0,1.0,0.53
3,916800,5.0,5.0,0.465
3,917300,7.5,7.5,0.4675
3,921600,-1.0,-1.0,0.435
3,922400,-3.5,-3.5,0.42
3,925000,1.5,1.5,0.3925
3,932400,-9.0,-9.0,0.3325
3,941000,4.0,4.0,0.3025
3,943500,2.0,2.0,0.2975
3,954100,-2.5,-2.5,0.23
3,972500,-5.0,-5.0,0.1775
