buyer1,seller1,buyer2,seller2,symbol,K,n_second_leg,mean_fwd_extract,median,frac_pos,t_stat,chain_count_hop2_table
Mark 14,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,58,0.41379310344827586,0.0,0.4827586206896552,1.4491045722792761,57
Mark 14,Mark 38,Mark 14,Mark 38,VEV_4000,5,123,-0.26422764227642276,0.0,0.37398373983739835,-1.417829795976567,123
Mark 38,Mark 14,Mark 14,Mark 38,VEV_4000,100,104,-1.1201923076923077,-2.0,0.375,-1.4169174437288532,105
Mark 38,Mark 14,Mark 38,Mark 14,VEV_4000,5,97,0.25773195876288657,0.5,0.5051546391752577,1.2955005512625912,97
Mark 01,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,56,0.7589285714285714,0.5,0.5178571428571429,1.289119647536077,56
Mark 55,Mark 14,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,59,0.3898305084745763,0.0,0.4745762711864407,1.2697790111762692,59
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5400,20,247,0.36639676113360325,0.0,0.4493927125506073,1.254810080265196,247
Mark 01,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,55,-0.8,-1.0,0.4,-1.2475473358535474,55
Mark 01,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,59,0.5932203389830508,0.5,0.5084745762711864,1.2011054242424224,60
Mark 14,Mark 55,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,61,-1.2950819672131149,-3.0,0.3770491803278688,-1.1697009388974484,61
Mark 14,Mark 55,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,61,-0.30327868852459017,-0.5,0.4098360655737705,-1.1236222222116166,61
Mark 38,Mark 14,Mark 14,Mark 38,VEV_4000,20,105,-0.4857142857142857,-1.0,0.38095238095238093,-1.1205525882630063,105
Mark 14,Mark 55,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,61,-0.5573770491803278,-0.5,0.39344262295081966,-1.112598365904913,61
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6000,20,314,0.2802547770700637,0.0,0.4681528662420382,1.0840411170349147,314
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6500,20,314,0.2802547770700637,0.0,0.4681528662420382,1.0840411170349147,314
Mark 38,Mark 14,Mark 38,Mark 14,VEV_4000,20,97,0.422680412371134,0.0,0.4948453608247423,1.0789259650783798,97
Mark 14,Mark 38,Mark 38,Mark 14,HYDROGEL_PACK,20,243,-0.2839506172839506,-0.5,0.41975308641975306,-1.0697315821713114,243
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5500,20,289,0.28719723183391005,0.0,0.4671280276816609,1.0685874147277632,289
Mark 55,Mark 14,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,59,0.635593220338983,1.0,0.5932203389830508,1.0208913047317896,59
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5500,100,287,0.5435540069686411,1.0,0.5261324041811847,0.9832165452628975,289
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5300,100,104,0.7980769230769231,1.25,0.5480769230769231,0.9808164084129678,105
Mark 14,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,78,-0.23076923076923078,0.0,0.34615384615384615,-0.9547995515979458,78
Mark 38,Mark 14,Mark 38,Mark 14,VEV_4000,100,95,-0.8,0.0,0.4631578947368421,-0.9543373703361897,97
Mark 14,Mark 38,Mark 14,Mark 38,HYDROGEL_PACK,100,241,-0.6037344398340249,-1.0,0.45228215767634855,-0.9482379135765217,242
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5300,20,105,0.42857142857142855,0.0,0.4666666666666667,0.9246917384760429,105
Mark 01,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,56,1.1339285714285714,2.0,0.5535714285714286,0.864845460355855,56
Mark 14,Mark 38,Mark 38,Mark 14,VEV_4000,5,108,0.17592592592592593,0.5,0.5185185185185185,0.8586027571477691,108
Mark 38,Mark 14,Mark 14,Mark 38,HYDROGEL_PACK,20,243,-0.22633744855967078,-1.0,0.4403292181069959,-0.7783939094023662,243
Mark 14,Mark 38,Mark 38,Mark 14,VEV_4000,20,106,0.2830188679245283,0.25,0.5,0.7271650071022079,108
Mark 38,Mark 14,Mark 38,Mark 14,HYDROGEL_PACK,5,254,-0.09645669291338582,0.0,0.4330708661417323,-0.7237574742234544,254
Mark 01,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,56,0.21428571428571427,0.0,0.39285714285714285,0.7076430776467938,56
Mark 38,Mark 14,Mark 14,Mark 38,HYDROGEL_PACK,5,243,-0.10082304526748971,0.0,0.4403292181069959,-0.6849174406692092,243
Mark 01,Mark 55,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,59,-0.7288135593220338,-0.5,0.4745762711864407,-0.6334314571217561,60
Mark 38,Mark 14,Mark 38,Mark 14,HYDROGEL_PACK,20,254,-0.16535433070866143,-0.5,0.4330708661417323,-0.6302414623649168,254
Mark 14,Mark 38,Mark 38,Mark 14,HYDROGEL_PACK,5,243,-0.07818930041152264,-0.5,0.3950617283950617,-0.5524371128604421,243
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6000,100,311,0.2861736334405145,0.5,0.5144694533762058,0.5496147537941029,314
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6500,100,311,0.2861736334405145,0.5,0.5144694533762058,0.5496147537941029,314
Mark 38,Mark 14,Mark 14,Mark 38,VEV_4000,5,105,0.08095238095238096,0.0,0.4666666666666667,0.37041453029924604,105
Mark 55,Mark 14,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,74,-0.08783783783783784,0.0,0.43243243243243246,-0.35395348920068553,74
Mark 14,Mark 38,Mark 14,Mark 38,VEV_4000,100,123,0.2886178861788618,-0.5,0.4878048780487805,0.32940440043175634,123
Mark 14,Mark 38,Mark 14,Mark 38,HYDROGEL_PACK,5,242,-0.045454545454545456,0.0,0.4132231404958678,-0.3138920344980754,242
Mark 38,Mark 14,Mark 38,Mark 14,HYDROGEL_PACK,100,253,-0.18181818181818182,-1.0,0.44664031620553357,-0.305300168202115,254
Mark 14,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,68,0.08088235294117647,0.0,0.4411764705882353,0.30433306609570854,68
Mark 55,Mark 14,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,72,-0.2916666666666667,-1.0,0.4444444444444444,-0.30426682650440556,74
Mark 14,Mark 38,Mark 14,Mark 38,VEV_4000,20,123,-0.10975609756097561,-0.5,0.44715447154471544,-0.28624108295456224,123
Mark 14,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,58,0.3620689655172414,1.0,0.5344827586206896,0.28309261368796307,57
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5300,5,105,0.05238095238095238,0.0,0.45714285714285713,0.25833304536158086,105
Mark 38,Mark 14,Mark 14,Mark 38,HYDROGEL_PACK,100,243,-0.15020576131687244,-1.0,0.4567901234567901,-0.2377749772705383,243
Mark 14,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,66,0.22727272727272727,-0.75,0.4393939393939394,0.22293443534057833,68
Mark 14,Mark 38,Mark 38,Mark 14,HYDROGEL_PACK,100,242,-0.13016528925619836,0.0,0.4793388429752066,-0.21804193947786185,243
Mark 55,Mark 14,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,59,0.2627118644067797,0.0,0.4915254237288136,0.2069753774363213,59
Mark 14,Mark 38,Mark 38,Mark 14,VEV_4000,100,106,0.16981132075471697,0.25,0.5,0.19342946648535583,108
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5400,5,247,0.022267206477732792,0.0,0.4251012145748988,0.16782841004605284,247
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6000,5,314,0.01910828025477707,0.0,0.43630573248407645,0.16368384674822048,314
Mark 01,Mark 22,Mark 01,Mark 22,VEV_6500,5,314,0.01910828025477707,0.0,0.43630573248407645,0.16368384674822048,314
Mark 14,Mark 55,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,68,-0.0661764705882353,0.0,0.47058823529411764,-0.1481987077964631,68
Mark 01,Mark 55,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,55,0.03636363636363636,0.0,0.45454545454545453,0.12039797104373293,55
Mark 55,Mark 14,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,74,0.02702702702702703,0.0,0.4189189189189189,0.05636690884070429,74
Mark 14,Mark 38,Mark 14,Mark 38,HYDROGEL_PACK,20,242,-0.012396694214876033,0.0,0.4628099173553719,-0.04344557730890531,242
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5500,5,289,0.0034602076124567475,0.0,0.4359861591695502,0.028829582797963584,289
