buyer,seller,symbol,K,n,mean_fwd,median_fwd,frac_pos,t_stat
Mark 38,Mark 14,VEV_4000,20,205,0.2146341463414634,0.0,0.4878048780487805,0.752523547921182
Mark 38,Mark 22,HYDROGEL_PACK,20,8,1.3125,1.5,0.625,0.703413698945422
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,75,0.7266666666666667,1.0,0.52,0.6565299240803995
Mark 14,Mark 38,HYDROGEL_PACK,20,496,0.23387096774193547,0.75,0.5040322580645161,0.5993981179800753
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,20,18,0.5277777777777778,0.75,0.5555555555555556,0.5723056497519529
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,100,14,1.5,-1.5,0.42857142857142855,0.49327021805638177
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,100,18,0.8888888888888888,2.5,0.5555555555555556,0.37129654615962404
Mark 14,Mark 38,HYDROGEL_PACK,5,496,0.0715725806451613,0.0,0.46774193548387094,0.3529481780908806
Mark 01,Mark 22,VEV_5300,100,131,0.026717557251908396,0.0,0.48854961832061067,0.09438270074145173
Mark 01,Mark 22,VEV_5400,100,260,0.0038461538461538464,0.0,0.4153846153846154,0.042481044090478634
Mark 14,Mark 22,VEV_5200,20,33,0.015151515151515152,-0.5,0.42424242424242425,0.02588739206762294
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,244,0.006147540983606557,0.0,0.47540983606557374,0.02254841886603109
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,260,0.0057692307692307696,-0.5,0.45384615384615384,0.021367183292013647
Mark 01,Mark 22,VEV_6000,5,317,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6000,20,317,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6500,5,317,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6500,20,317,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6000,100,314,0.0,0.0,0.0,
Mark 01,Mark 22,VEV_6500,100,314,0.0,0.0,0.0,
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,244,-0.0020491803278688526,0.0,0.4180327868852459,-0.015143055493129122
Mark 14,Mark 22,VEV_5200,100,33,-0.09090909090909091,0.5,0.5151515151515151,-0.0820854689623841
Mark 14,Mark 38,VEV_4000,100,231,-0.10606060606060606,-1.0,0.45021645021645024,-0.1785914400965127
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,316,-0.03322784810126582,0.0,0.41455696202531644,-0.2808425831430369
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,244,-0.17418032786885246,-0.5,0.47540983606557374,-0.286911599253735
Mark 01,Mark 22,VEV_5200,5,11,-0.18181818181818182,0.0,0.2727272727272727,-0.53644178078582
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,20,5,-1.3,-1.0,0.4,-0.5390989584634134
Mark 38,Mark 22,HYDROGEL_PACK,100,7,-4.428571428571429,1.0,0.5714285714285714,-0.5518073271302719
Mark 01,Mark 22,VEV_5400,5,263,-0.013307984790874524,0.0,0.17110266159695817,-0.5689189907814672
Mark 01,Mark 22,VEV_5500,100,297,-0.02356902356902357,0.0,0.23905723905723905,-0.5699484745307889
Mark 38,Mark 14,HYDROGEL_PACK,100,505,-0.49504950495049505,0.0,0.48514851485148514,-0.6070194537656002
Mark 14,Mark 38,VEV_4000,20,232,-0.1788793103448276,0.0,0.44396551724137934,-0.6090217622057494
Mark 38,Mark 14,VEV_4000,100,203,-0.4064039408866995,0.0,0.4827586206896552,-0.659836798771061
Mark 14,Mark 22,VEV_5300,20,30,-0.21666666666666667,-0.25,0.3333333333333333,-0.7647058823529412
Mark 01,Mark 22,VEV_5300,20,132,-0.12121212121212122,0.0,0.3939393939393939,-0.8405868912188258
Mark 38,Mark 14,HYDROGEL_PACK,5,507,-0.17159763313609466,0.0,0.4536489151873767,-0.9230233405315611
Mark 38,Mark 14,HYDROGEL_PACK,20,507,-0.3530571992110454,0.0,0.4930966469428008,-0.9265111759629896
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,100,9,-2.5,-4.5,0.3333333333333333,-0.9496334067493776
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,316,-0.23734177215189872,0.0,0.4177215189873418,-1.040850794089224
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,-1.0,0.4653846153846154,-1.1125083621188172
Mark 14,Mark 38,VEV_4000,5,232,-0.16379310344827586,0.0,0.4267241379310345,-1.1197119741505646
Mark 14,Mark 22,VEV_5400,20,13,-0.34615384615384615,0.0,0.3076923076923077,-1.238193453540749
Mark 14,Mark 22,VEV_5200,5,33,-0.24242424242424243,-0.5,0.3333333333333333,-1.4250399015019133
Mark 14,Mark 22,VEV_5400,100,13,-0.8846153846153846,-0.5,0.46153846153846156,-1.4624684667275758
Mark 01,Mark 22,VEV_5500,5,299,-0.020066889632107024,0.0,0.056856187290969896,-1.5273947271756931
Mark 14,Mark 22,VEV_5500,5,7,-0.2857142857142857,0.0,0.0,-1.5491933384829666
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,20,12,-2.7083333333333335,-2.75,0.5,-1.7958193225008408
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5,12,-1.875,-2.25,0.25,-1.982586981236471
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,5,5,-1.7,-1.0,0.0,-2.084673754248884
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,18,-1.3888888888888888,-2.0,0.2777777777777778,-2.10846074057846
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,100,11,-3.3636363636363638,-5.0,0.2727272727272727,-2.1099840094951436
Mark 14,Mark 22,VEV_5500,20,7,-0.42857142857142855,0.0,0.0,-2.1213203435596424
Mark 14,Mark 22,VEV_5500,100,7,-0.5714285714285714,-0.5,0.0,-2.2478059477960657
Mark 01,Mark 22,VEV_5300,5,132,-0.14772727272727273,0.0,0.25,-2.2914560462557185
Mark 22,Mark 38,HYDROGEL_PACK,20,11,-5.863636363636363,-3.0,0.2727272727272727,-2.425171945773196
Mark 14,Mark 22,VEV_5300,5,30,-0.4166666666666667,0.0,0.2,-2.532968456878179
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,311,-1.2620578778135048,-2.0,0.4115755627009646,-2.572083362790216
Mark 22,Mark 38,HYDROGEL_PACK,100,11,-13.090909090909092,-13.0,0.18181818181818182,-2.654428614083611
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,100,5,-4.8,-3.5,0.0,-2.6564377579799308
Mark 22,Mark 38,HYDROGEL_PACK,5,11,-2.6818181818181817,-2.0,0.2727272727272727,-2.762928144165997
Mark 14,Mark 22,VEV_5400,5,13,-0.38461538461538464,-0.5,0.0,-3.3333333333333335
