buyer1,seller1,buyer2,seller2,symbol,count
Mark 55,Mark 22,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5
Mark 38,Mark 14,Mark 22,Mark 38,HYDROGEL_PACK,5
Mark 67,Mark 22,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5
Mark 01,Mark 22,Mark 14,Mark 22,VEV_5200,5
Mark 22,Mark 38,Mark 38,Mark 14,HYDROGEL_PACK,4
Mark 55,Mark 01,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,4
Mark 55,Mark 01,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,4
Mark 67,Mark 49,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,4
Mark 01,Mark 55,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,4
Mark 49,Mark 22,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,4
Mark 38,Mark 14,Mark 38,Mark 22,HYDROGEL_PACK,4
Mark 01,Mark 22,Mark 01,Mark 22,VEV_5200,4
Mark 14,Mark 38,Mark 38,Mark 22,HYDROGEL_PACK,3
Mark 38,Mark 22,Mark 14,Mark 38,HYDROGEL_PACK,3
Mark 01,Mark 55,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,3
Mark 22,Mark 49,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,3
Mark 14,Mark 55,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,3
Mark 22,Mark 55,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,3
Mark 55,Mark 22,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,3
