mark,side,symbol,K,n,mean_fwd_same,ci95_lo,ci95_hi,day1_mean,day2_mean,day3_mean,sign_strict_same_sign_3d
Mark 38,aggr_sell,HYDROGEL_PACK,100,505,0.5881188118811881,-0.9713366336633663,2.2161386138613848,0.9731182795698925,-0.6701388888888888,1.2142857142857142,0
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,5,598,0.19899665551839466,0.016722408026755852,0.3770903010033445,0.07526881720430108,0.22247706422018348,0.2912371134020619,1
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,0.08361204013377926,0.7307692307692307,0.5672043010752689,0.34174311926605505,0.3324742268041237,1
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,-0.21865546218487394,1.2463655462184866,1.1774193548387097,0.4400921658986175,0.0078125,1
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,5,600,0.051666666666666666,-0.12502083333333333,0.2225,0.2904040404040404,-0.26424870466321243,0.11722488038277512,0
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,20,600,-0.10583333333333333,-0.4501041666666667,0.2375208333333332,0.20454545454545456,-0.5414507772020726,0.0023923444976076554,0
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,100,595,-0.9184873949579831,-1.6563235294117649,-0.17634453781512674,-0.4846938775510204,-1.4031413612565444,-0.8822115384615384,1
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,5,164,1.9603658536585367,1.6676067073170733,2.2652439024390243,2.1982758620689653,1.7540983606557377,1.9333333333333333,1
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,20,164,1.8140243902439024,1.2224085365853659,2.442073170731707,2.0344827586206895,1.4508196721311475,2.022222222222222,1
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,100,163,1.3711656441717792,-0.05828220858895705,2.8068251533742328,3.146551724137931,1.4916666666666667,-1.0777777777777777,0
