symbol,spread_bin,session_tertile,side,K,n,mean,median,frac_pos
VELVETFRUIT_EXTRACT,mid,late,aggr_buy,20,200,0.3475,0.0,0.495
VELVETFRUIT_EXTRACT,mid,late,aggr_buy,100,197,1.850253807106599,1.5,0.5380710659898477
VELVETFRUIT_EXTRACT,mid,late,aggr_sell,5,190,0.25,0.0,0.4842105263157895
VELVETFRUIT_EXTRACT,mid,late,aggr_sell,20,190,0.5763157894736842,0.25,0.5
VELVETFRUIT_EXTRACT,mid,late,aggr_sell,100,185,-0.22972972972972974,-1.0,0.4540540540540541
VELVETFRUIT_EXTRACT,mid,mid,aggr_buy,5,182,-0.024725274725274724,0.0,0.4340659340659341
VELVETFRUIT_EXTRACT,mid,mid,aggr_buy,20,182,0.33516483516483514,0.25,0.5
VELVETFRUIT_EXTRACT,mid,mid,aggr_buy,100,182,0.06318681318681318,0.75,0.5054945054945055
VELVETFRUIT_EXTRACT,mid,mid,aggr_sell,5,194,-0.17525773195876287,0.0,0.4020618556701031
VELVETFRUIT_EXTRACT,mid,mid,aggr_sell,20,194,-0.5180412371134021,-1.0,0.38144329896907214
VELVETFRUIT_EXTRACT,mid,mid,aggr_sell,100,194,-0.7809278350515464,-1.75,0.42783505154639173
VELVETFRUIT_EXTRACT,tight,early,aggr_buy,5,73,1.5410958904109588,1.5,0.7671232876712328
VELVETFRUIT_EXTRACT,tight,early,aggr_buy,20,73,1.226027397260274,1.5,0.6301369863013698
VELVETFRUIT_EXTRACT,tight,early,aggr_buy,100,73,-0.07534246575342465,0.5,0.5068493150684932
VELVETFRUIT_EXTRACT,tight,late,aggr_buy,5,70,2.242857142857143,2.5,0.8571428571428571
VELVETFRUIT_EXTRACT,tight,late,aggr_buy,20,70,2.992857142857143,2.5,0.7285714285714285
VELVETFRUIT_EXTRACT,tight,late,aggr_buy,100,69,3.4927536231884058,3.5,0.5942028985507246
VELVETFRUIT_EXTRACT,tight,mid,aggr_buy,5,51,1.8137254901960784,2.0,0.8235294117647058
VELVETFRUIT_EXTRACT,tight,mid,aggr_buy,20,51,1.2156862745098038,1.0,0.6078431372549019
VELVETFRUIT_EXTRACT,tight,mid,aggr_buy,100,51,0.4411764705882353,-0.5,0.45098039215686275
VEV_4000,wide,early,aggr_buy,5,79,0.23417721518987342,0.0,0.4936708860759494
VEV_4000,wide,early,aggr_buy,20,79,-0.0379746835443038,0.0,0.4177215189873418
VEV_4000,wide,early,aggr_buy,100,79,0.012658227848101266,0.5,0.5189873417721519
VEV_4000,wide,early,aggr_sell,5,76,-0.3618421052631579,-0.5,0.3684210526315789
VEV_4000,wide,early,aggr_sell,20,76,-0.5723684210526315,-1.0,0.40789473684210525
VEV_4000,wide,early,aggr_sell,100,76,0.07236842105263158,0.5,0.5
VEV_4000,wide,late,aggr_buy,5,60,0.15833333333333333,0.0,0.4666666666666667
VEV_4000,wide,late,aggr_buy,20,58,0.6206896551724138,0.5,0.5344827586206896
VEV_4000,wide,late,aggr_buy,100,56,0.25,1.0,0.5178571428571429
VEV_4000,wide,late,aggr_sell,5,76,0.013157894736842105,0.0,0.4342105263157895
VEV_4000,wide,late,aggr_sell,20,76,-0.3684210526315789,-0.25,0.47368421052631576
VEV_4000,wide,late,aggr_sell,100,75,0.5,-1.5,0.4533333333333333
VEV_4000,wide,mid,aggr_buy,5,70,0.12142857142857143,0.0,0.4714285714285714
VEV_4000,wide,mid,aggr_buy,20,70,0.3,0.5,0.5285714285714286
VEV_4000,wide,mid,aggr_buy,100,70,-0.95,-1.0,0.42857142857142855
VEV_4000,wide,mid,aggr_sell,5,81,-0.16049382716049382,0.0,0.4691358024691358
VEV_4000,wide,mid,aggr_sell,20,81,0.38271604938271603,0.0,0.4567901234567901
VEV_4000,wide,mid,aggr_sell,100,81,-0.6851851851851852,-2.0,0.4074074074074074
VEV_5200,tight,mid,aggr_sell,5,26,-0.23076923076923078,-0.5,0.3076923076923077
VEV_5200,tight,mid,aggr_sell,20,26,0.40384615384615385,0.5,0.5
VEV_5200,tight,mid,aggr_sell,100,26,-0.057692307692307696,0.5,0.5384615384615384
VEV_5300,tight,early,aggr_sell,5,48,-0.1875,0.0,0.22916666666666666
VEV_5300,tight,early,aggr_sell,20,48,-0.4270833333333333,-0.75,0.2916666666666667
VEV_5300,tight,early,aggr_sell,100,48,-0.21875,0.0,0.4166666666666667
VEV_5300,tight,late,aggr_sell,5,47,-0.20212765957446807,0.0,0.2553191489361702
VEV_5300,tight,late,aggr_sell,20,47,-0.0425531914893617,0.0,0.3829787234042553
VEV_5300,tight,late,aggr_sell,100,46,0.5217391304347826,1.0,0.6086956521739131
VEV_5300,tight,mid,aggr_sell,5,66,-0.20454545454545456,0.0,0.24242424242424243
VEV_5300,tight,mid,aggr_sell,20,66,0.015151515151515152,0.0,0.45454545454545453
VEV_5300,tight,mid,aggr_sell,100,66,0.23484848484848486,0.0,0.48484848484848486
VEV_5400,tight,early,aggr_sell,5,92,-0.043478260869565216,0.0,0.15217391304347827
VEV_5400,tight,early,aggr_sell,20,92,0.005434782608695652,0.0,0.33695652173913043
VEV_5400,tight,early,aggr_sell,100,92,-0.2608695652173913,0.0,0.3804347826086957
VEV_5400,tight,late,aggr_sell,5,82,-0.03048780487804878,0.0,0.24390243902439024
VEV_5400,tight,late,aggr_sell,20,82,0.036585365853658534,0.0,0.36585365853658536
VEV_5400,tight,late,aggr_sell,100,79,0.16455696202531644,0.0,0.4936708860759494
VEV_5400,tight,mid,aggr_sell,5,101,-0.019801980198019802,0.0,0.10891089108910891
VEV_5400,tight,mid,aggr_sell,20,101,0.019801980198019802,0.0,0.22772277227722773
VEV_5400,tight,mid,aggr_sell,100,101,0.0,0.0,0.38613861386138615
VEV_5500,tight,early,aggr_sell,5,101,-0.034653465346534656,0.0,0.04950495049504951
VEV_5500,tight,early,aggr_sell,20,101,-0.024752475247524754,0.0,0.12871287128712872
VEV_5500,tight,early,aggr_sell,100,101,-0.13366336633663367,0.0,0.2079207920792079
VEV_5500,tight,late,aggr_sell,5,98,0.0,0.0,0.07142857142857142
VEV_5500,tight,late,aggr_sell,20,98,0.061224489795918366,0.0,0.19387755102040816
VEV_5500,tight,late,aggr_sell,100,96,0.046875,0.0,0.28125
VEV_5500,tight,mid,aggr_sell,5,107,-0.04205607476635514,0.0,0.04672897196261682
VEV_5500,tight,mid,aggr_sell,20,107,0.009345794392523364,0.0,0.102803738317757
VEV_5500,tight,mid,aggr_sell,100,107,-0.018691588785046728,0.0,0.21495327102803738
VEV_6000,tight,early,aggr_sell,5,105,0.0,0.0,0.0
VEV_6000,tight,early,aggr_sell,20,105,0.0,0.0,0.0
VEV_6000,tight,early,aggr_sell,100,105,0.0,0.0,0.0
VEV_6000,tight,late,aggr_sell,5,100,0.0,0.0,0.0
VEV_6000,tight,late,aggr_sell,20,100,0.0,0.0,0.0
VEV_6000,tight,late,aggr_sell,100,97,0.0,0.0,0.0
VEV_6000,tight,mid,aggr_sell,5,112,0.0,0.0,0.0
VEV_6000,tight,mid,aggr_sell,20,112,0.0,0.0,0.0
VEV_6000,tight,mid,aggr_sell,100,112,0.0,0.0,0.0
VEV_6500,tight,early,aggr_sell,5,105,0.0,0.0,0.0
VEV_6500,tight,early,aggr_sell,20,105,0.0,0.0,0.0
VEV_6500,tight,early,aggr_sell,100,105,0.0,0.0,0.0
VEV_6500,tight,late,aggr_sell,5,100,0.0,0.0,0.0
VEV_6500,tight,late,aggr_sell,20,100,0.0,0.0,0.0
VEV_6500,tight,late,aggr_sell,100,97,0.0,0.0,0.0
VEV_6500,tight,mid,aggr_sell,5,112,0.0,0.0,0.0
VEV_6500,tight,mid,aggr_sell,20,112,0.0,0.0,0.0
VEV_6500,tight,mid,aggr_sell,100,112,0.0,0.0,0.0
