mark,side,symbol,burst_bucket,K,n,mean_fwd_same,median_fwd_same,frac_pos_same,mean_fwd_extract,mean_fwd_hydro,days_present,n_days
Mark 22,aggr_sell,VEV_6500,small_multi,100,24,0.0,0.0,0.0,-2.3125,-1.4583333333333333,"1,2,3",3
Mark 22,aggr_sell,VEV_5300,burst,5,159,-0.20125786163522014,0.0,0.2389937106918239,-0.12578616352201258,-0.4716981132075472,"1,2,3",3
Mark 22,aggr_sell,VEV_5300,burst,20,159,-0.14465408805031446,0.0,0.3836477987421384,0.05660377358490566,-0.3238993710691824,"1,2,3",3
Mark 22,aggr_sell,VEV_5300,burst,100,158,0.1550632911392405,0.25,0.5,1.0221518987341771,0.20569620253164558,"1,2,3",3
Mark 22,aggr_sell,VEV_5200,burst,5,44,-0.22727272727272727,-0.5,0.3181818181818182,-0.20454545454545456,-1.0,"1,2,3",3
Mark 22,aggr_sell,VEV_5200,burst,20,44,0.22727272727272727,-0.25,0.4772727272727273,0.7272727272727273,0.07954545454545454,"1,2,3",3
Mark 22,aggr_sell,VEV_5200,burst,100,44,0.625,0.5,0.5681818181818182,1.0681818181818181,-4.2272727272727275,"1,2,3",3
Mark 22,aggr_sell,VELVETFRUIT_EXTRACT,isolated,5,10,-2.7,-2.75,0.1,-2.7,1.15,"1,2,3",3
Mark 22,aggr_sell,VELVETFRUIT_EXTRACT,isolated,20,10,-3.85,-6.25,0.4,-3.85,3.35,"1,2,3",3
Mark 38,aggr_buy,HYDROGEL_PACK,isolated,5,480,-0.08645833333333333,0.0,0.4625,-0.0875,-0.08645833333333333,"1,2,3",3
Mark 38,aggr_buy,HYDROGEL_PACK,isolated,20,480,-0.37916666666666665,0.0,0.4979166666666667,-0.20833333333333334,-0.37916666666666665,"1,2,3",3
Mark 38,aggr_buy,HYDROGEL_PACK,isolated,100,477,-0.9077568134171907,0.0,0.48218029350104824,-0.4339622641509434,-0.9077568134171907,"1,2,3",3
Mark 38,aggr_buy,HYDROGEL_PACK,small_multi,5,28,-0.21428571428571427,-0.5,0.4642857142857143,-0.25,-0.21428571428571427,"1,2,3",3
Mark 38,aggr_buy,HYDROGEL_PACK,small_multi,20,28,0.5178571428571429,-1.0,0.4642857142857143,-1.1428571428571428,0.5178571428571429,"1,2,3",3
Mark 38,aggr_buy,HYDROGEL_PACK,small_multi,100,28,6.535714285714286,5.0,0.6071428571428571,-0.44642857142857145,6.535714285714286,"1,2,3",3
Mark 38,aggr_buy,VEV_4000,isolated,5,197,0.10913705583756345,0.0,0.4720812182741117,0.20304568527918782,-0.5355329949238579,"1,2,3",3
Mark 38,aggr_buy,VEV_4000,isolated,20,195,0.23846153846153847,0.0,0.49230769230769234,0.3717948717948718,-0.48205128205128206,"1,2,3",3
Mark 38,aggr_buy,VEV_4000,isolated,100,194,-0.21391752577319587,0.25,0.5,-0.13917525773195877,0.18814432989690721,"1,2,3",3
Mark 38,aggr_buy,VEV_4000,small_multi,5,10,0.55,0.5,0.5,0.4,-1.4,"1,2,3",3
Mark 38,aggr_buy,VEV_4000,small_multi,20,10,-0.25,-0.5,0.4,-0.85,-0.8,"1,2,3",3
Mark 38,aggr_sell,VEV_4000,isolated,5,217,-0.15668202764976957,0.0,0.42857142857142855,-0.055299539170506916,-0.04838709677419355,"1,2,3",3
Mark 38,aggr_sell,VEV_4000,isolated,20,217,-0.21428571428571427,-0.5,0.4377880184331797,-0.21428571428571427,0.3387096774193548,"1,2,3",3
Mark 38,aggr_sell,VEV_4000,isolated,100,216,-0.013888888888888888,-1.0,0.44907407407407407,-0.11342592592592593,1.0162037037037037,"1,2,3",3
Mark 38,aggr_sell,VEV_4000,small_multi,5,14,-0.75,-0.5,0.35714285714285715,-0.32142857142857145,0.6785714285714286,"1,2,3",3
Mark 38,aggr_sell,VEV_4000,small_multi,20,14,0.21428571428571427,0.25,0.5,0.17857142857142858,1.0357142857142858,"1,2,3",3
Mark 38,aggr_sell,VEV_4000,small_multi,100,14,-1.8571428571428572,-0.5,0.42857142857142855,-2.0357142857142856,2.392857142857143,"1,2,3",3
Mark 38,aggr_sell,HYDROGEL_PACK,isolated,5,480,0.06770833333333333,0.0,0.4666666666666667,-0.09270833333333334,0.06770833333333333,"1,2,3",3
Mark 38,aggr_sell,HYDROGEL_PACK,isolated,20,480,0.315625,1.0,0.5104166666666666,-0.153125,0.315625,"1,2,3",3
Mark 38,aggr_sell,HYDROGEL_PACK,isolated,100,479,0.7275574112734864,0.0,0.49269311064718163,-0.48434237995824636,0.7275574112734864,"1,2,3",3
Mark 38,aggr_sell,HYDROGEL_PACK,small_multi,5,18,-2.0555555555555554,-1.5,0.3888888888888889,0.027777777777777776,-2.0555555555555554,"1,2,3",3
Mark 38,aggr_sell,HYDROGEL_PACK,small_multi,20,18,-3.9444444444444446,-2.0,0.2777777777777778,0.4166666666666667,-3.9444444444444446,"1,2,3",3
Mark 38,aggr_sell,HYDROGEL_PACK,small_multi,100,17,-1.1764705882352942,-6.0,0.35294117647058826,1.1470588235294117,-1.1764705882352942,"1,2,3",3
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,isolated,5,567,0.19047619047619047,0.0,0.4656084656084656,0.19047619047619047,0.25132275132275134,"1,2,3",3
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,isolated,20,567,0.35978835978835977,0.5,0.5026455026455027,0.35978835978835977,0.3271604938271605,"1,2,3",3
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,isolated,100,565,0.39557522123893807,0.0,0.49557522123893805,0.39557522123893807,0.3734513274336283,"1,2,3",3
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,small_multi,5,24,0.4375,0.5,0.5,0.4375,-0.9375,"1,2,3",3
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,small_multi,20,24,1.4166666666666667,0.75,0.625,1.4166666666666667,-0.8541666666666666,"1,2,3",3
Mark 55,aggr_buy,VELVETFRUIT_EXTRACT,small_multi,100,23,3.0,2.0,0.5652173913043478,3.0,-2.0,"1,2,3",3
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,isolated,5,565,0.030973451327433628,0.0,0.4407079646017699,0.030973451327433628,0.08230088495575222,"1,2,3",3
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,isolated,20,565,-0.13539823008849558,0.0,0.43716814159292033,-0.13539823008849558,-0.16991150442477876,"1,2,3",3
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,isolated,100,561,-0.8983957219251337,-1.0,0.44028520499108736,-0.8983957219251337,-0.4028520499108734,"1,2,3",3
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,small_multi,5,30,0.36666666666666664,0.0,0.4666666666666667,0.36666666666666664,-0.11666666666666667,"1,2,3",3
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,small_multi,20,30,0.6333333333333333,0.25,0.5,0.6333333333333333,0.5333333333333333,"1,2,3",3
Mark 55,aggr_sell,VELVETFRUIT_EXTRACT,small_multi,100,29,-1.2758620689655173,-3.0,0.3793103448275862,-1.2758620689655173,5.017241379310345,"1,2,3",3
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,isolated,5,154,1.9772727272727273,2.0,0.8441558441558441,1.9772727272727273,0.40584415584415584,"1,2,3",3
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,isolated,20,154,1.7857142857142858,1.5,0.6428571428571429,1.7857142857142858,0.487012987012987,"1,2,3",3
Mark 67,aggr_buy,VELVETFRUIT_EXTRACT,isolated,100,153,1.5,1.0,0.5424836601307189,1.5,-2.2973856209150325,"1,2,3",3
