day,tight,buyer,fwd20
1,False,Mark 14,2.0
1,False,Mark 14,-7.0
1,True,Mark 14,-10.0
1,False,Mark 14,0.0
1,False,Mark 14,-12.0
1,False,Mark 14,-10.0
1,False,Mark 14,2.0
1,False,Mark 14,10.0
1,False,Mark 14,-1.0
1,True,Mark 14,4.0
1,False,Mark 14,2.0
1,False,Mark 14,10.0
1,False,Mark 14,2.0
1,False,Mark 14,10.0
1,False,Mark 14,16.5
1,False,Mark 14,5.0
1,True,Mark 14,-10.0
1,False,Mark 14,-1.5
1,False,Mark 22,1.0
1,True,Mark 14,10.0
1,False,Mark 14,-5.0
1,False,Mark 14,-4.0
1,False,Mark 14,-9.0
1,False,Mark 14,-13.0
1,False,Mark 14,3.0
1,False,Mark 14,4.0
1,False,Mark 14,8.0
1,False,Mark 14,2.0
1,False,Mark 14,-1.0
1,False,Mark 14,-5.0
1,True,Mark 14,3.0
1,False,Mark 14,14.0
1,False,Mark 14,-13.0
1,False,Mark 14,-5.0
1,False,Mark 14,7.0
1,False,Mark 14,17.0
1,False,Mark 14,-2.0
1,False,Mark 14,7.5
1,True,Mark 14,2.0
1,False,Mark 14,3.0
1,False,Mark 14,6.0
2,False,Mark 14,-11.0
2,False,Mark 14,-8.0
2,True,Mark 14,-8.0
2,False,Mark 22,-21.0
2,False,Mark 14,-6.0
2,False,Mark 14,11.0
2,False,Mark 14,8.0
2,False,Mark 14,10.0
2,True,Mark 14,2.0
2,False,Mark 14,11.0
2,False,Mark 14,8.0
2,False,Mark 14,-6.0
2,False,Mark 14,-11.0
2,False,Mark 14,-6.0
2,False,Mark 14,-9.0
2,False,Mark 14,-9.0
2,False,Mark 14,-3.0
2,False,Mark 14,-5.0
2,False,Mark 14,8.5
2,False,Mark 14,4.0
2,False,Mark 22,3.0
2,False,Mark 14,-7.0
2,False,Mark 14,6.0
2,False,Mark 14,2.0
2,False,Mark 14,6.0
2,True,Mark 14,2.5
2,False,Mark 14,19.5
2,False,Mark 14,-16.0
2,False,Mark 14,9.0
2,False,Mark 14,7.0
2,False,Mark 14,-18.0
2,False,Mark 14,4.5
2,False,Mark 14,-4.0
2,False,Mark 14,16.0
2,False,Mark 14,-1.0
2,False,Mark 14,-12.5
2,False,Mark 14,1.0
2,False,Mark 14,-7.5
2,False,Mark 14,3.0
2,False,Mark 14,1.0
2,False,Mark 14,-11.0
2,False,Mark 14,-9.5
2,False,Mark 14,23.0
2,False,Mark 14,6.0
2,False,Mark 14,7.0
2,False,Mark 22,-6.0
2,False,Mark 14,3.0
2,False,Mark 14,-1.0
2,False,Mark 14,7.0
2,True,Mark 14,-3.0
2,True,Mark 14,-14.0
2,False,Mark 14,-7.0
2,False,Mark 14,-8.5
2,False,Mark 14,-10.0
2,True,Mark 14,3.0
2,False,Mark 14,-1.5
2,True,Mark 14,-10.0
2,False,Mark 14,4.0
2,True,Mark 14,-12.0
2,False,Mark 14,0.0
2,False,Mark 14,-8.0
2,False,Mark 14,-1.0
2,True,Mark 14,-3.0
2,False,Mark 14,-3.0
2,True,Mark 14,3.5
2,False,Mark 14,-4.0
2,False,Mark 14,0.0
2,False,Mark 14,12.0
2,False,Mark 14,-20.0
2,False,Mark 14,0.5
2,True,Mark 14,1.0
2,True,Mark 14,-3.0
2,True,Mark 14,-5.0
2,True,Mark 14,0.0
2,False,Mark 14,22.0
2,True,Mark 14,-6.0
2,False,Mark 14,-2.0
2,True,Mark 14,1.0
2,True,Mark 14,7.0
2,False,Mark 14,-2.0
2,False,Mark 14,0.0
2,True,Mark 14,10.0
2,False,Mark 14,-13.0
2,False,Mark 14,-2.0
2,False,Mark 14,1.0
2,True,Mark 14,16.0
2,False,Mark 14,2.5
2,True,Mark 14,5.5
2,False,Mark 14,-1.0
2,False,Mark 14,-6.0
2,False,Mark 14,6.0
2,False,Mark 14,-7.0
2,False,Mark 14,10.0
2,False,Mark 14,4.0
2,False,Mark 14,3.0
2,False,Mark 14,1.0
2,False,Mark 14,-6.0
2,False,Mark 14,2.0
2,False,Mark 14,0.0
2,True,Mark 14,-12.0
2,True,Mark 14,9.0
2,True,Mark 14,4.0
2,True,Mark 14,-1.0
2,False,Mark 14,12.0
2,True,Mark 14,1.0
2,True,Mark 14,4.0
2,True,Mark 14,10.0
2,True,Mark 14,-16.0
2,False,Mark 14,12.5
2,False,Mark 14,0.0
2,False,Mark 14,-14.0
2,True,Mark 14,-2.0
2,False,Mark 14,13.0
2,True,Mark 14,-7.0
2,False,Mark 14,-2.5
2,False,Mark 14,-3.0
2,True,Mark 14,11.0
2,False,Mark 14,4.0
2,False,Mark 14,0.0
2,False,Mark 14,1.0
2,True,Mark 14,-11.0
2,True,Mark 14,-7.0
2,False,Mark 14,-7.0
2,False,Mark 14,0.0
2,False,Mark 14,2.0
2,False,Mark 14,-2.0
2,False,Mark 14,-1.5
2,False,Mark 14,9.0
2,False,Mark 14,0.0
2,False,Mark 14,1.0
2,False,Mark 14,7.0
2,False,Mark 14,18.0
2,False,Mark 14,14.0
2,False,Mark 14,-12.0
2,False,Mark 14,-7.0
2,False,Mark 22,-9.5
2,False,Mark 14,-4.0
2,False,Mark 14,-2.0
2,False,Mark 14,1.0
2,False,Mark 14,5.0
2,False,Mark 14,6.0
2,False,Mark 14,8.0
2,False,Mark 14,-12.0
2,False,Mark 14,-3.0
2,False,Mark 14,2.0
2,False,Mark 14,-1.0
3,False,Mark 14,0.0
3,False,Mark 14,-19.0
3,False,Mark 14,1.0
3,False,Mark 14,-3.0
3,False,Mark 14,-12.0
3,False,Mark 14,-11.0
3,False,Mark 14,1.0
3,False,Mark 14,-12.0
3,False,Mark 14,-9.0
3,False,Mark 14,-7.0
3,False,Mark 14,-4.0
3,False,Mark 14,9.0
3,False,Mark 14,15.0
3,False,Mark 14,4.0
3,False,Mark 14,0.0
3,False,Mark 14,6.0
3,True,Mark 22,-15.0
3,False,Mark 14,-5.0
3,False,Mark 14,-7.0
3,False,Mark 14,-4.5
3,False,Mark 14,10.0
3,True,Mark 14,-11.0
3,False,Mark 14,-1.0
3,False,Mark 14,-3.0
3,False,Mark 14,-7.0
3,True,Mark 14,-1.0
3,False,Mark 14,-3.0
3,True,Mark 14,8.0
3,True,Mark 14,-11.0
3,True,Mark 14,-9.0
3,True,Mark 14,-13.0
3,False,Mark 14,-9.5
3,False,Mark 14,15.0
3,True,Mark 14,11.0
3,True,Mark 14,2.0
3,True,Mark 14,2.0
3,True,Mark 14,-10.0
3,False,Mark 14,4.0
3,True,Mark 14,1.0
3,False,Mark 14,-2.0
3,False,Mark 14,4.0
3,True,Mark 14,-13.0
3,True,Mark 14,-15.0
3,True,Mark 14,-15.5
3,False,Mark 14,-5.0
3,False,Mark 14,-10.0
3,False,Mark 14,21.0
3,False,Mark 14,4.0
3,False,Mark 14,1.0
3,False,Mark 14,-7.0
3,True,Mark 14,7.0
3,True,Mark 14,19.5
3,True,Mark 14,12.0
3,True,Mark 14,-2.0
3,False,Mark 14,0.0
3,True,Mark 22,-3.0
3,True,Mark 14,-22.0
3,False,Mark 14,-9.0
3,False,Mark 14,-6.0
3,True,Mark 14,-1.0
3,False,Mark 14,-1.0
3,True,Mark 14,12.0
3,False,Mark 14,-6.0
3,False,Mark 14,6.0
3,False,Mark 14,-13.0
3,True,Mark 14,-1.0
3,False,Mark 14,5.0
3,True,Mark 14,-7.0
3,True,Mark 14,10.0
3,False,Mark 14,8.0
3,False,Mark 14,1.0
3,True,Mark 14,-12.0
3,True,Mark 14,8.0
3,True,Mark 14,0.0
3,False,Mark 14,-1.0
3,True,Mark 14,4.0
3,True,Mark 14,13.0
3,False,Mark 14,12.0
3,True,Mark 14,-15.5
3,False,Mark 14,-4.0
3,False,Mark 14,4.0
3,True,Mark 14,-3.0
3,False,Mark 14,14.0
3,True,Mark 14,6.0
3,False,Mark 14,7.0
3,False,Mark 14,-6.0
3,True,Mark 14,2.0
3,False,Mark 14,-9.5
3,False,Mark 14,-10.0
3,False,Mark 14,-11.0
3,False,Mark 14,-5.0
3,True,Mark 14,3.0
3,False,Mark 14,4.5
3,True,Mark 14,6.0
3,False,Mark 14,-10.0
3,False,Mark 14,-4.0
3,True,Mark 14,12.5
3,False,Mark 14,13.0
3,True,Mark 14,-9.0
3,True,Mark 14,-10.0
3,True,Mark 14,-10.0
3,True,Mark 14,9.0
3,True,Mark 14,-2.0
3,True,Mark 14,-5.5
3,True,Mark 14,4.0
3,True,Mark 14,11.0
3,True,Mark 14,-7.0
3,True,Mark 14,-6.0
3,True,Mark 14,-26.0
3,True,Mark 14,-27.0
3,True,Mark 14,-13.0
3,False,Mark 22,-1.0
3,True,Mark 14,8.0
3,True,Mark 14,6.0
3,True,Mark 14,10.0
3,True,Mark 14,-2.0
3,True,Mark 14,9.0
3,False,Mark 14,-1.0
3,True,Mark 14,-2.0
3,True,Mark 14,0.0
3,True,Mark 14,-6.0
3,False,Mark 14,4.0
3,True,Mark 14,6.0
3,False,Mark 14,15.0
3,True,Mark 14,-10.0
3,False,Mark 14,-0.5
3,False,Mark 14,3.0
3,False,Mark 14,7.0
3,False,Mark 14,9.0
3,True,Mark 14,0.0
3,False,Mark 14,5.0
3,False,Mark 14,3.0
3,False,Mark 14,4.0
3,False,Mark 14,9.0
3,False,Mark 14,4.0
3,False,Mark 14,6.0
3,True,Mark 14,6.5
3,True,Mark 14,-12.0
3,False,Mark 22,3.0
3,False,Mark 14,-5.0
3,False,Mark 14,1.0
3,True,Mark 14,10.0
3,False,Mark 14,-12.5
3,False,Mark 14,6.0
3,False,Mark 14,-2.0
3,False,Mark 14,-6.0
3,False,Mark 14,0.0
3,False,Mark 14,12.0
3,True,Mark 14,8.0
3,False,Mark 14,8.0
3,False,Mark 14,1.0
3,False,Mark 14,15.0
3,True,Mark 14,-7.0
3,False,Mark 14,6.0
3,False,Mark 14,-3.5
3,True,Mark 14,-5.0
3,False,Mark 14,-17.0
3,True,Mark 14,-3.5
3,False,Mark 14,0.0
3,False,Mark 14,-9.0
3,False,Mark 14,7.5
3,False,Mark 14,5.0
3,False,Mark 14,5.0
3,False,Mark 14,0.0
3,False,Mark 14,-10.0
3,False,Mark 14,-11.5
3,False,Mark 14,-9.5
3,False,Mark 14,2.0
3,True,Mark 14,18.0
3,False,Mark 14,16.0
3,False,Mark 14,19.0
3,False,Mark 14,-21.0
3,False,Mark 14,-9.0
3,False,Mark 14,0.5
3,False,Mark 14,-9.0
