day,timestamp,burst_n,orchestrator_buyer,fwd_extract,K
1,703200,4,Mark 01,3.0,5
1,703200,4,Mark 01,3.5,20
1,703200,4,Mark 01,18.0,100
1,710500,5,Mark 01,2.0,5
1,710500,5,Mark 01,6.0,20
1,710500,5,Mark 01,10.0,100
1,715000,4,Mark 01,2.5,5
1,715000,4,Mark 01,2.0,20
1,715000,4,Mark 01,-3.0,100
1,720500,6,Mark 01,-1.0,5
1,720500,6,Mark 01,-3.0,20
1,720500,6,Mark 01,2.0,100
1,725000,5,Mark 01,-2.0,5
1,725000,5,Mark 01,-8.0,20
1,725000,5,Mark 01,16.0,100
1,725800,2,Mark 14,0.0,5
1,725800,2,Mark 14,-4.0,20
1,725800,2,Mark 14,17.0,100
1,735100,4,Mark 01,-3.0,5
1,735100,4,Mark 01,-8.0,20
1,735100,4,Mark 01,-3.0,100
1,741900,4,Mark 01,-1.5,5
1,741900,4,Mark 01,4.0,20
1,741900,4,Mark 01,4.0,100
1,746300,4,Mark 01,-1.0,5
1,746300,4,Mark 01,-4.5,20
1,746300,4,Mark 01,-11.5,100
1,754200,4,Mark 01,1.5,5
1,754200,4,Mark 01,5.0,20
1,754200,4,Mark 01,7.5,100
1,760000,4,Mark 01,-2.0,5
1,760000,4,Mark 01,-4.0,20
1,760000,4,Mark 01,-9.0,100
1,772000,2,Mark 38,0.0,5
1,772000,2,Mark 38,0.5,20
1,772000,2,Mark 38,-3.5,100
1,785800,5,Mark 01,-1.5,5
1,785800,5,Mark 01,4.0,20
1,785800,5,Mark 01,0.0,100
1,792200,2,Mark 22,-4.5,5
1,792200,2,Mark 22,-5.5,20
1,792200,2,Mark 22,-15.5,100
1,798100,4,Mark 01,1.0,5
1,798100,4,Mark 01,-4.0,20
1,798100,4,Mark 01,-6.0,100
1,800400,4,Mark 01,0.0,5
1,800400,4,Mark 01,-5.5,20
1,800400,4,Mark 01,-8.0,100
1,801800,4,Mark 01,-3.0,5
1,801800,4,Mark 01,-6.0,20
1,801800,4,Mark 01,-10.0,100
1,807800,5,Mark 01,1.5,5
1,807800,5,Mark 01,-4.5,20
1,807800,5,Mark 01,-17.5,100
1,812600,5,Mark 01,-3.5,5
1,812600,5,Mark 01,-6.0,20
1,812600,5,Mark 01,7.5,100
1,813000,3,Mark 01,0.0,5
1,813000,3,Mark 01,-4.0,20
1,813000,3,Mark 01,15.0,100
1,815000,2,Mark 38,2.0,5
1,815000,2,Mark 38,5.0,20
1,815000,2,Mark 38,23.0,100
1,824800,3,Mark 01,0.0,5
1,824800,3,Mark 01,-4.0,20
1,824800,3,Mark 01,-5.0,100
1,848900,4,Mark 01,3.0,5
1,848900,4,Mark 01,-2.0,20
1,848900,4,Mark 01,-1.0,100
1,851200,4,Mark 01,2.0,5
1,851200,4,Mark 01,9.0,20
1,851200,4,Mark 01,-3.0,100
1,865400,4,Mark 01,-1.5,5
1,865400,4,Mark 01,-5.5,20
1,865400,4,Mark 01,-14.5,100
1,868800,3,Mark 01,-3.5,5
1,868800,3,Mark 01,-4.0,20
1,868800,3,Mark 01,-10.0,100
1,901100,4,Mark 01,2.5,5
1,901100,4,Mark 01,7.5,20
1,901100,4,Mark 01,11.0,100
1,921000,4,Mark 01,3.0,5
1,921000,4,Mark 01,3.0,20
1,921000,4,Mark 01,3.0,100
1,928400,3,Mark 01,-1.5,5
1,928400,3,Mark 01,-9.0,20
1,928400,3,Mark 01,-18.0,100
1,937300,4,Mark 01,2.0,5
1,937300,4,Mark 01,4.0,20
1,937300,4,Mark 01,-12.5,100
1,943100,4,Mark 01,-2.0,5
1,943100,4,Mark 01,-1.0,20
1,943100,4,Mark 01,11.0,100
1,948500,5,Mark 01,1.0,5
1,948500,5,Mark 01,4.0,20
1,948500,5,Mark 01,16.5,100
1,950300,5,Mark 01,2.0,5
1,950300,5,Mark 01,7.0,20
1,950300,5,Mark 01,7.0,100
1,988000,2,Mark 14,-1.0,5
1,988000,2,Mark 14,3.0,20
1,988000,2,Mark 14,15.0,100
1,988100,6,Mark 01,-0.5,5
1,988100,6,Mark 01,4.0,20
1,988100,6,Mark 01,14.0,100
1,990300,3,Mark 01,3.0,5
1,990300,3,Mark 01,4.5,20
2,13100,4,Mark 01,-0.5,5
2,13100,4,Mark 01,2.5,20
2,13100,4,Mark 01,1.0,100
2,20900,5,Mark 01,0.5,5
2,20900,5,Mark 01,-2.5,20
2,20900,5,Mark 01,-10.0,100
2,23500,4,Mark 01,1.5,5
2,23500,4,Mark 01,2.5,20
2,23500,4,Mark 01,4.5,100
2,29500,4,Mark 01,-2.0,5
2,29500,4,Mark 01,-5.0,20
2,29500,4,Mark 01,-2.0,100
2,41900,4,Mark 01,3.0,5
2,41900,4,Mark 01,0.0,20
2,41900,4,Mark 01,11.0,100
2,42900,4,Mark 01,1.0,5
2,42900,4,Mark 01,3.0,20
2,42900,4,Mark 01,7.5,100
2,45100,5,Mark 01,-1.5,5
2,45100,5,Mark 01,1.5,20
2,45100,5,Mark 01,0.5,100
2,52900,3,Mark 01,0.5,5
2,52900,3,Mark 01,-3.5,20
2,52900,3,Mark 01,-11.5,100
2,75200,5,Mark 01,0.0,5
2,75200,5,Mark 01,-3.0,20
2,75200,5,Mark 01,13.0,100
2,79300,5,Mark 01,-0.5,5
2,79300,5,Mark 01,7.0,20
2,79300,5,Mark 01,12.0,100
2,85500,2,Mark 38,-2.0,5
2,85500,2,Mark 38,0.0,20
2,85500,2,Mark 38,-8.0,100
2,91700,2,Mark 14,2.0,5
2,91700,2,Mark 14,1.0,20
2,91700,2,Mark 14,-3.0,100
2,102600,4,Mark 01,-0.5,5
2,102600,4,Mark 01,-3.5,20
2,102600,4,Mark 01,-8.5,100
2,105500,4,Mark 01,3.0,5
2,105500,4,Mark 01,3.5,20
2,105500,4,Mark 01,-5.0,100
2,129300,2,Mark 22,1.5,5
2,129300,2,Mark 22,2.5,20
2,129300,2,Mark 22,-0.5,100
2,129700,5,Mark 01,0.5,5
2,129700,5,Mark 01,2.5,20
2,129700,5,Mark 01,2.5,100
2,169000,6,Mark 01,-1.0,5
2,169000,6,Mark 01,-1.0,20
2,169000,6,Mark 01,3.0,100
2,169200,2,Mark 14,-1.0,5
2,169200,2,Mark 14,2.0,20
2,169200,2,Mark 14,-2.5,100
2,171800,4,Mark 01,-1.0,5
2,171800,4,Mark 01,3.0,20
2,171800,4,Mark 01,-5.0,100
2,189100,5,Mark 01,1.5,5
2,189100,5,Mark 01,2.0,20
2,189100,5,Mark 01,2.5,100
2,204400,5,Mark 01,2.0,5
2,204400,5,Mark 01,6.0,20
2,204400,5,Mark 01,7.0,100
2,212100,2,Mark 14,-1.0,5
2,212100,2,Mark 14,0.5,20
2,212100,2,Mark 14,-9.5,100
2,225500,5,Mark 01,-4.0,5
2,225500,5,Mark 01,-4.0,20
2,225500,5,Mark 01,5.5,100
2,239400,5,Mark 01,3.0,5
2,239400,5,Mark 01,11.0,20
2,239400,5,Mark 01,15.0,100
2,253000,4,Mark 01,-1.5,5
2,253000,4,Mark 01,-2.0,20
2,253000,4,Mark 01,12.0,100
2,268900,4,Mark 01,-2.0,5
2,268900,4,Mark 01,-2.5,20
2,268900,4,Mark 01,-7.5,100
2,272000,3,Mark 01,-1.0,5
2,272000,3,Mark 01,0.0,20
2,272000,3,Mark 01,-11.5,100
2,272900,2,Mark 38,0.0,5
2,272900,2,Mark 38,-3.0,20
2,272900,2,Mark 38,-11.0,100
2,275200,4,Mark 01,-3.0,5
2,275200,4,Mark 01,-5.0,20
2,275200,4,Mark 01,-2.0,100
2,278800,2,Mark 14,0.0,5
2,278800,2,Mark 14,-4.0,20
2,278800,2,Mark 14,2.0,100
2,282600,2,Mark 49,1.0,5
2,282600,2,Mark 49,4.5,20
2,282600,2,Mark 49,2.0,100
2,287100,4,Mark 01,1.0,5
2,287100,4,Mark 01,-3.0,20
2,287100,4,Mark 01,-7.0,100
2,287600,4,Mark 01,-1.0,5
2,287600,4,Mark 01,-1.5,20
2,287600,4,Mark 01,-9.0,100
2,288000,2,Mark 01,-1.0,5
2,288000,2,Mark 01,-4.0,20
2,288000,2,Mark 01,-8.0,100
2,289300,5,Mark 01,1.0,5
2,289300,5,Mark 01,-1.0,20
2,289300,5,Mark 01,1.0,100
2,294600,4,Mark 01,3.5,5
2,294600,4,Mark 01,4.5,20
2,294600,4,Mark 01,1.5,100
2,316700,4,Mark 01,0.0,5
2,316700,4,Mark 01,-6.0,20
2,316700,4,Mark 01,-14.0,100
2,317500,4,Mark 01,-2.0,5
2,317500,4,Mark 01,0.0,20
2,317500,4,Mark 01,-13.0,100
2,320800,5,Mark 01,-1.0,5
2,320800,5,Mark 01,1.0,20
2,320800,5,Mark 01,-11.0,100
2,321600,5,Mark 01,1.5,5
2,321600,5,Mark 01,-0.5,20
2,321600,5,Mark 01,-1.5,100
2,328700,2,Mark 14,-2.0,5
2,328700,2,Mark 14,-3.0,20
2,328700,2,Mark 14,3.5,100
2,341400,4,Mark 01,-1.0,5
2,341400,4,Mark 01,2.0,20
2,341400,4,Mark 01,-12.5,100
2,344600,2,Mark 01,-1.5,5
2,344600,2,Mark 01,-2.5,20
2,344600,2,Mark 01,-7.5,100
2,347800,4,Mark 01,2.5,5
2,347800,4,Mark 01,-0.5,20
2,347800,4,Mark 01,1.0,100
2,350700,5,Mark 01,-7.5,5
2,350700,5,Mark 01,-7.5,20
2,350700,5,Mark 01,2.5,100
2,358500,5,Mark 01,-0.5,5
2,358500,5,Mark 01,3.5,20
2,358500,5,Mark 01,-3.5,100
2,362600,4,Mark 01,1.0,5
2,362600,4,Mark 01,-4.0,20
2,362600,4,Mark 01,-8.5,100
2,365600,5,Mark 01,-1.0,5
2,365600,5,Mark 01,2.0,20
2,365600,5,Mark 01,-5.0,100
2,372300,2,Mark 01,2.5,5
2,372300,2,Mark 01,-0.5,20
2,372300,2,Mark 01,-3.0,100
2,373800,3,Mark 01,1.5,5
2,373800,3,Mark 01,3.0,20
2,373800,3,Mark 01,-0.5,100
2,376300,4,Mark 01,-3.0,5
2,376300,4,Mark 01,-5.0,20
2,376300,4,Mark 01,-12.0,100
2,389000,5,Mark 01,-0.5,5
2,389000,5,Mark 01,2.0,20
2,389000,5,Mark 01,-5.5,100
2,389600,2,Mark 38,0.0,5
2,389600,2,Mark 38,5.0,20
2,389600,2,Mark 38,-2.0,100
2,390300,5,Mark 01,2.5,5
2,390300,5,Mark 01,6.0,20
2,390300,5,Mark 01,-5.0,100
2,398200,4,Mark 01,-2.5,5
2,398200,4,Mark 01,1.0,20
2,398200,4,Mark 01,-7.5,100
2,410200,4,Mark 01,-2.0,5
2,410200,4,Mark 01,-5.0,20
2,410200,4,Mark 01,5.0,100
2,414900,6,Mark 01,0.0,5
2,414900,6,Mark 01,9.0,20
2,414900,6,Mark 01,7.0,100
2,415500,4,Mark 01,-0.5,5
2,415500,4,Mark 01,5.0,20
2,415500,4,Mark 01,9.0,100
2,423800,7,Mark 01,0.5,5
2,423800,7,Mark 01,5.0,20
2,423800,7,Mark 01,6.0,100
2,433100,6,Mark 01,-0.5,5
2,433100,6,Mark 01,-1.5,20
2,433100,6,Mark 01,-4.5,100
2,443600,5,Mark 01,1.5,5
2,443600,5,Mark 01,11.5,20
2,443600,5,Mark 01,1.0,100
2,456200,5,Mark 01,0.5,5
2,456200,5,Mark 01,3.0,20
2,456200,5,Mark 01,-3.0,100
2,461200,5,Mark 01,3.0,5
2,461200,5,Mark 01,4.5,20
2,461200,5,Mark 01,-1.0,100
2,483400,6,Mark 01,-1.5,5
2,483400,6,Mark 01,-3.5,20
2,483400,6,Mark 01,-4.5,100
2,495700,5,Mark 01,3.0,5
2,495700,5,Mark 01,0.5,20
2,495700,5,Mark 01,-8.0,100
2,501900,5,Mark 01,1.5,5
2,501900,5,Mark 01,-5.5,20
2,501900,5,Mark 01,-9.0,100
2,508800,4,Mark 01,-1.0,5
2,508800,4,Mark 01,-0.5,20
2,508800,4,Mark 01,10.5,100
2,519600,6,Mark 01,-1.0,5
2,519600,6,Mark 01,-2.0,20
2,519600,6,Mark 01,0.0,100
2,519800,2,Mark 01,0.0,5
2,519800,2,Mark 01,-1.0,20
2,519800,2,Mark 01,1.0,100
2,548600,3,Mark 01,-1.5,5
2,548600,3,Mark 01,-0.5,20
2,548600,3,Mark 01,-2.0,100
2,554600,6,Mark 01,1.0,5
2,554600,6,Mark 01,-1.0,20
2,554600,6,Mark 01,-5.5,100
2,555700,5,Mark 01,2.0,5
2,555700,5,Mark 01,-3.0,20
2,555700,5,Mark 01,-5.0,100
2,566700,4,Mark 01,0.5,5
2,566700,4,Mark 01,-1.0,20
2,566700,4,Mark 01,-4.5,100
2,573500,2,Mark 01,0.0,5
2,573500,2,Mark 01,-2.5,20
2,573500,2,Mark 01,-17.0,100
2,575100,4,Mark 01,0.0,5
2,575100,4,Mark 01,-7.0,20
2,575100,4,Mark 01,-16.0,100
2,578300,2,Mark 14,-5.5,5
2,578300,2,Mark 14,-4.5,20
2,578300,2,Mark 14,-10.0,100
2,587100,5,Mark 01,1.0,5
2,587100,5,Mark 01,3.0,20
2,587100,5,Mark 01,18.0,100
2,588400,2,Mark 38,2.5,5
2,588400,2,Mark 38,-1.0,20
2,588400,2,Mark 38,21.0,100
2,588500,5,Mark 01,2.5,5
2,588500,5,Mark 01,-1.5,20
2,588500,5,Mark 01,22.0,100
2,593000,4,Mark 01,0.5,5
2,593000,4,Mark 01,3.0,20
2,593000,4,Mark 01,26.0,100
2,604100,5,Mark 01,-1.0,5
2,604100,5,Mark 01,7.0,20
2,604100,5,Mark 01,-0.5,100
2,610900,2,Mark 14,-6.0,5
2,610900,2,Mark 14,-7.5,20
2,610900,2,Mark 14,-19.0,100
2,622600,4,Mark 01,3.0,5
2,622600,4,Mark 01,3.0,20
2,622600,4,Mark 01,12.0,100
2,642400,4,Mark 01,-2.0,5
2,642400,4,Mark 01,1.0,20
2,642400,4,Mark 01,1.0,100
2,644500,4,Mark 01,-0.5,5
2,644500,4,Mark 01,2.0,20
2,644500,4,Mark 01,6.5,100
2,666500,6,Mark 01,0.0,5
2,666500,6,Mark 01,5.5,20
2,666500,6,Mark 01,14.5,100
2,675600,2,Mark 38,0.0,5
2,675600,2,Mark 38,-5.0,20
2,675600,2,Mark 38,7.0,100
2,687700,2,Mark 01,2.5,5
2,687700,2,Mark 01,5.5,20
2,687700,2,Mark 01,3.5,100
2,688600,4,Mark 01,1.0,5
2,688600,4,Mark 01,-2.0,20
2,688600,4,Mark 01,-2.0,100
2,691100,4,Mark 01,-1.0,5
2,691100,4,Mark 01,1.0,20
2,691100,4,Mark 01,-6.0,100
2,695800,3,Mark 01,0.5,5
2,695800,3,Mark 01,6.0,20
2,695800,3,Mark 01,-5.0,100
2,711900,5,Mark 01,-4.0,5
2,711900,5,Mark 01,-7.0,20
2,711900,5,Mark 01,-21.0,100
2,726600,4,Mark 01,1.5,5
2,726600,4,Mark 01,2.0,20
2,726600,4,Mark 01,-4.5,100
2,733200,4,Mark 01,0.0,5
2,733200,4,Mark 01,-1.5,20
2,733200,4,Mark 01,-16.0,100
2,748500,4,Mark 01,3.0,5
2,748500,4,Mark 01,1.0,20
2,748500,4,Mark 01,2.0,100
2,763500,4,Mark 01,5.0,5
2,763500,4,Mark 01,5.5,20
2,763500,4,Mark 01,10.0,100
2,764000,5,Mark 01,-2.5,5
2,764000,5,Mark 01,-2.0,20
2,764000,5,Mark 01,6.0,100
2,779200,5,Mark 01,-1.5,5
2,779200,5,Mark 01,-6.0,20
2,779200,5,Mark 01,-2.0,100
2,793900,5,Mark 01,-0.5,5
2,793900,5,Mark 01,-1.0,20
2,793900,5,Mark 01,16.0,100
2,808800,5,Mark 01,-4.5,5
2,808800,5,Mark 01,-9.0,20
2,808800,5,Mark 01,-14.0,100
2,825900,4,Mark 01,-1.0,5
2,825900,4,Mark 01,-3.5,20
2,825900,4,Mark 01,-6.0,100
2,826400,5,Mark 01,-1.0,5
2,826400,5,Mark 01,-0.5,20
2,826400,5,Mark 01,0.0,100
2,836300,5,Mark 01,-0.5,5
2,836300,5,Mark 01,0.0,20
2,836300,5,Mark 01,4.0,100
2,840900,2,Mark 14,4.0,5
2,840900,2,Mark 14,2.5,20
2,840900,2,Mark 14,2.0,100
2,872600,5,Mark 01,0.0,5
2,872600,5,Mark 01,-1.0,20
2,872600,5,Mark 01,4.0,100
2,876500,5,Mark 01,0.0,5
2,876500,5,Mark 01,7.0,20
2,876500,5,Mark 01,18.0,100
2,898600,4,Mark 01,0.5,5
2,898600,4,Mark 01,2.0,20
2,898600,4,Mark 01,-1.5,100
2,910900,3,Mark 01,-3.5,5
2,910900,3,Mark 01,5.5,20
2,910900,3,Mark 01,7.0,100
2,924200,3,Mark 01,-3.0,5
2,924200,3,Mark 01,-6.0,20
2,924200,3,Mark 01,-7.0,100
2,934900,4,Mark 01,-2.0,5
2,934900,4,Mark 01,-6.0,20
2,934900,4,Mark 01,-5.0,100
2,947900,2,Mark 14,-1.0,5
2,947900,2,Mark 14,-2.5,20
2,947900,2,Mark 14,-2.0,100
2,948000,3,Mark 01,-1.0,5
2,948000,3,Mark 01,-2.0,20
2,948000,3,Mark 01,-2.0,100
2,948500,5,Mark 01,-1.5,5
2,948500,5,Mark 01,-2.0,20
2,948500,5,Mark 01,-5.0,100
2,961700,2,Mark 14,-2.0,5
2,961700,2,Mark 14,-4.0,20
2,961700,2,Mark 14,-4.0,100
2,972800,4,Mark 01,-1.0,5
2,972800,4,Mark 01,0.0,20
2,972800,4,Mark 01,3.0,100
2,977300,4,Mark 01,0.0,5
2,977300,4,Mark 01,1.0,20
2,977300,4,Mark 01,13.5,100
2,977500,4,Mark 01,1.0,5
