buyer,seller,symbol,K,n,mean_mark,std_mark,residual_vs_global_mean
Mark 38,Mark 14,HYDROGEL_PACK,20,507,-0.3530571992110454,8.580219318873082,-1.9517513946605023
Mark 38,Mark 14,HYDROGEL_PACK,100,505,-0.49504950495049505,18.327013933799673,-2.093743700399952
Mark 38,Mark 14,VEV_4000,5,207,0.13043478260869565,2.21532423372559,-1.4682594128407613
Mark 38,Mark 14,VEV_4000,20,205,0.2146341463414634,4.0837171273582715,-1.3840600491079935
Mark 38,Mark 14,VEV_4000,100,203,-0.4064039408866995,8.775450025095846,-2.0050981363361564
Mark 38,Mark 22,HYDROGEL_PACK,5,8,3.1875,5.43097925923914,1.588805804550543
Mark 38,Mark 22,HYDROGEL_PACK,20,8,1.3125,5.2775636965771024,-0.2861941954494569
Mark 38,Mark 22,HYDROGEL_PACK,100,7,-4.428571428571429,21.23367720436212,-6.0272656240208855
Mark 38,Mark 22,VEV_4000,5,2,4.75,1.0606601717798212,3.1513058045505433
Mark 38,Mark 22,VEV_4000,20,2,5.0,7.7781745930520225,3.4013058045505433
Mark 38,Mark 22,VEV_4000,100,2,15.5,12.727922061357855,13.901305804550542
Mark 38,Mark 22,VEV_4500,5,2,3.0,0.7071067811865476,1.401305804550543
Mark 38,Mark 22,VEV_4500,20,2,3.75,7.424621202458749,2.1513058045505433
Mark 38,Mark 22,VEV_4500,100,2,13.5,12.727922061357855,11.901305804550542
Mark 38,Mark 22,VEV_5000,5,2,0.75,0.3535533905932738,-0.8486941954494569
Mark 38,Mark 22,VEV_5000,20,2,1.5,7.7781745930520225,-0.0986941954494569
Mark 38,Mark 22,VEV_5000,100,2,11.0,12.727922061357855,9.401305804550542
Mark 38,Mark 22,VEV_5100,5,2,0.25,0.3535533905932738,-1.348694195449457
Mark 38,Mark 22,VEV_5100,20,2,1.0,6.363961030678928,-0.5986941954494569
Mark 38,Mark 22,VEV_5100,100,2,9.25,10.960155108391486,7.651305804550543
Mark 38,Mark 22,VEV_5200,5,2,0.25,0.3535533905932738,-1.348694195449457
Mark 38,Mark 22,VEV_5200,20,2,0.25,4.596194077712559,-1.348694195449457
Mark 38,Mark 22,VEV_5200,100,2,6.5,7.7781745930520225,4.901305804550543
Mark 38,Mark 22,VEV_5300,5,1,0.5,,-1.098694195449457
Mark 38,Mark 22,VEV_5300,20,1,2.5,,0.9013058045505431
Mark 38,Mark 22,VEV_5300,100,1,8.0,,6.401305804550543
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5,12,-1.875,3.2761188234639085,-3.4736941954494567
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,20,12,-2.7083333333333335,5.224323937703385,-4.307027528782791
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,100,11,-3.3636363636363638,5.2872058267619435,-4.962330559085821
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,5,5,-1.7,1.8234582528810468,-3.298694195449457
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,20,5,-1.3,5.392123885817164,-2.898694195449457
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,100,5,-4.8,4.040420770167384,-6.3986941954494565
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,244,-0.0020491803278688526,2.1137887263074204,-1.6007433757773257
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,244,0.006147540983606557,4.2587314223764245,-1.5925466544658504
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,244,-0.17418032786885246,9.483003495330522,-1.7728745233183094
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,2.209240247238266,-1.3373648903135051
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,331,0.5755287009063444,3.8585253041361036,-1.0231654945431123
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,8.955270781328323,-0.5011332198397007
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,5,14,1.7142857142857142,1.6374732612530445,0.11559151883625729
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,20,14,2.0357142857142856,3.7286019534770034,0.4370200902648287
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,100,14,1.5,11.378116648265584,-0.0986941954494569
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,5,9,1.0,1.620185174601965,-0.5986941954494569
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,20,9,2.6666666666666665,3.152380053229623,1.0679724712172096
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,100,9,-2.5,7.897784499465657,-4.098694195449457
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,75,2.06,1.917134686297602,0.46130580455054315
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,75,2.026666666666667,4.220200242890151,0.42797247121720994
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,75,0.7266666666666667,9.585424370384462,-0.8720275287827902
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,89,1.8764044943820224,1.9427617684807574,0.2777102989325655
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,89,1.6348314606741574,3.749821241908967,0.03613726522470051
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,88,1.9204545454545454,9.148169329973301,0.3217603500050885
Mark 67,Mark 55,VELVETFRUIT_EXTRACT,5,1,-0.5,,-2.0986941954494567
Mark 67,Mark 55,VELVETFRUIT_EXTRACT,20,1,7.0,,5.401305804550543
Mark 67,Mark 55,VELVETFRUIT_EXTRACT,100,1,19.0,,17.401305804550542
