day,timestamp,s5200,s5300,s_ext,m_ext
1,663800,3.0,2.0,5.0,5216.5
1,343200,3.0,2.0,5.0,5251.5
1,151500,4.0,2.0,5.0,5260.5
1,797000,3.0,2.0,5.0,5253.5
1,148800,3.0,2.0,1.0,5262.5
1,578100,3.0,2.0,5.0,5235.5
1,172000,3.0,2.0,6.0,5250.0
1,731300,3.0,2.0,5.0,5274.5
1,982100,3.0,2.0,5.0,5254.5
1,280200,3.0,3.0,5.0,5258.5
1,519600,3.0,2.0,5.0,5258.5
1,236200,3.0,2.0,5.0,5246.5
1,783200,3.0,2.0,5.0,5257.5
1,623800,3.0,2.0,3.0,5240.5
1,735900,3.0,2.0,5.0,5280.5
1,993900,3.0,2.0,6.0,5263.0
1,79300,3.0,2.0,5.0,5239.5
1,157200,3.0,2.0,5.0,5247.5
1,131500,3.0,3.0,5.0,5264.5
1,847700,3.0,2.0,5.0,5259.5
1,109400,3.0,2.0,5.0,5268.5
1,890000,3.0,3.0,3.0,5245.5
1,198600,3.0,2.0,3.0,5243.5
1,709100,3.0,2.0,5.0,5253.5
1,687200,3.0,2.0,5.0,5232.5
1,243800,3.0,2.0,5.0,5256.5
1,196700,3.0,2.0,5.0,5235.5
1,901300,3.0,3.0,5.0,5252.5
1,426800,3.0,2.0,5.0,5234.5
1,889700,2.0,2.0,3.0,5247.5
1,186800,3.0,2.0,3.0,5237.5
1,753100,4.0,2.0,5.0,5266.5
1,591900,3.0,2.0,5.0,5242.5
1,656500,3.0,2.0,5.0,5206.5
1,383200,3.0,2.0,5.0,5249.5
1,222700,2.0,2.0,5.0,5245.5
1,410600,3.0,2.0,5.0,5236.5
1,422800,2.0,1.0,3.0,5228.5
1,423200,3.0,2.0,5.0,5228.5
1,693600,3.0,2.0,2.0,5234.0
1,841500,3.0,2.0,5.0,5257.5
1,775900,4.0,2.0,5.0,5262.5
1,954100,3.0,2.0,5.0,5261.5
1,465900,3.0,2.0,5.0,5253.5
1,671100,2.0,2.0,2.0,5218.0
1,436300,3.0,2.0,5.0,5234.5
1,126400,3.0,2.0,5.0,5265.5
1,213400,3.0,2.0,5.0,5255.5
1,641900,3.0,2.0,6.0,5212.0
1,985700,2.0,2.0,5.0,5253.5
1,615900,2.0,2.0,5.0,5228.5
1,456000,2.0,2.0,6.0,5246.0
1,187300,3.0,2.0,5.0,5231.5
1,189000,3.0,2.0,3.0,5234.5
1,68500,3.0,2.0,5.0,5246.5
1,182000,3.0,2.0,5.0,5242.5
1,194600,3.0,2.0,5.0,5235.5
1,614200,3.0,2.0,5.0,5233.5
1,576900,3.0,2.0,5.0,5234.5
1,568000,3.0,2.0,5.0,5234.5
1,975900,3.0,2.0,6.0,5258.0
1,626000,3.0,2.0,2.0,5233.0
1,522000,3.0,2.0,6.0,5262.0
1,279500,3.0,2.0,2.0,5256.0
1,248700,3.0,3.0,2.0,5262.0
1,517400,3.0,2.0,5.0,5262.5
1,652900,3.0,2.0,5.0,5202.5
1,949200,3.0,2.0,5.0,5249.5
1,421100,3.0,2.0,5.0,5228.5
1,589200,3.0,2.0,5.0,5245.5
1,26000,2.0,2.0,6.0,5232.0
1,188300,3.0,2.0,5.0,5231.5
1,255000,3.0,2.0,6.0,5263.0
1,945300,3.0,2.0,5.0,5245.5
1,141000,3.0,3.0,5.0,5257.5
1,185900,3.0,2.0,6.0,5237.0
1,384200,3.0,2.0,5.0,5249.5
1,83000,3.0,2.0,5.0,5233.5
1,363200,3.0,2.0,6.0,5252.0
1,270600,3.0,3.0,5.0,5258.5
1,580900,3.0,3.0,6.0,5237.0
1,750400,3.0,3.0,5.0,5271.5
1,569200,3.0,2.0,5.0,5238.5
1,513400,3.0,2.0,5.0,5263.5
1,172900,3.0,2.0,2.0,5246.0
1,264900,3.0,2.0,5.0,5253.5
1,27800,3.0,2.0,2.0,5237.0
1,829500,3.0,3.0,3.0,5238.5
1,701200,1.0,1.0,5.0,5242.5
1,905200,3.0,2.0,5.0,5259.5
1,189300,3.0,3.0,5.0,5237.5
1,584700,3.0,2.0,6.0,5236.0
1,563500,3.0,2.0,5.0,5228.5
1,697300,3.0,2.0,3.0,5237.5
1,454400,3.0,3.0,5.0,5249.5
1,709500,3.0,2.0,6.0,5253.0
1,388300,3.0,2.0,5.0,5249.5
1,502700,1.0,1.0,5.0,5249.5
1,777200,3.0,3.0,5.0,5264.5
1,154500,3.0,2.0,2.0,5253.0
1,82500,3.0,2.0,6.0,5237.0
1,59400,3.0,2.0,6.0,5247.0
1,154600,3.0,2.0,5.0,5253.5
1,805800,3.0,2.0,5.0,5244.5
1,485400,3.0,2.0,5.0,5243.5
1,435100,3.0,2.0,5.0,5230.5
1,871400,3.0,2.0,2.0,5242.0
1,12800,3.0,2.0,5.0,5238.5
1,750600,3.0,2.0,5.0,5269.5
1,431100,3.0,2.0,5.0,5230.5
1,367500,3.0,3.0,5.0,5251.5
1,735200,4.0,3.0,5.0,5279.5
1,867600,3.0,2.0,6.0,5248.0
1,308600,4.0,2.0,5.0,5269.5
1,173200,3.0,2.0,5.0,5247.5
1,67400,3.0,2.0,5.0,5248.5
1,964800,3.0,2.0,2.0,5275.0
1,27400,3.0,2.0,5.0,5236.5
1,978900,3.0,3.0,5.0,5261.5
1,702300,3.0,2.0,5.0,5245.5
1,725100,3.0,3.0,5.0,5265.5
1,851600,4.0,2.0,5.0,5261.5
1,969100,3.0,2.0,6.0,5271.0
1,235400,3.0,3.0,5.0,5246.5
1,117000,3.0,3.0,5.0,5254.5
1,193900,3.0,2.0,5.0,5236.5
1,592900,3.0,2.0,5.0,5241.5
1,122500,3.0,2.0,5.0,5263.5
1,191200,3.0,2.0,5.0,5239.5
1,403600,3.0,2.0,5.0,5242.5
1,273300,3.0,3.0,5.0,5260.5
1,209000,3.0,2.0,5.0,5246.5
1,451900,3.0,2.0,5.0,5247.5
1,878700,2.0,2.0,5.0,5238.5
1,788100,3.0,2.0,5.0,5259.5
1,432700,3.0,2.0,5.0,5229.5
1,270700,3.0,2.0,6.0,5259.0
1,11200,3.0,2.0,5.0,5243.5
1,648700,2.0,2.0,5.0,5202.5
1,370400,3.0,2.0,5.0,5249.5
1,815000,3.0,2.0,5.0,5227.5
1,306800,3.0,2.0,6.0,5266.0
1,55000,3.0,2.0,5.0,5245.5
1,656800,3.0,2.0,5.0,5208.5
1,514300,3.0,3.0,5.0,5264.5
1,464200,3.0,2.0,5.0,5251.5
1,233300,3.0,2.0,5.0,5242.5
1,771800,3.0,3.0,5.0,5261.5
1,22900,3.0,2.0,6.0,5231.0
1,480400,3.0,2.0,5.0,5249.5
1,47300,3.0,3.0,5.0,5245.5
1,301400,3.0,3.0,1.0,5268.5
1,349100,3.0,2.0,5.0,5245.5
1,457100,3.0,2.0,6.0,5241.0
1,518300,4.0,2.0,5.0,5259.5
1,953000,3.0,2.0,6.0,5257.0
1,499300,2.0,2.0,2.0,5242.0
1,296300,4.0,3.0,5.0,5274.5
1,834800,3.0,2.0,5.0,5245.5
1,209800,3.0,2.0,5.0,5250.5
1,672200,3.0,2.0,5.0,5219.5
1,23400,3.0,2.0,2.0,5229.0
1,607700,3.0,2.0,6.0,5224.0
1,58900,3.0,2.0,5.0,5245.5
1,99400,3.0,2.0,5.0,5247.5
1,316900,3.0,2.0,2.0,5245.0
1,386400,3.0,2.0,2.0,5245.0
1,938100,3.0,2.0,5.0,5263.5
1,931700,3.0,3.0,3.0,5275.5
1,686800,2.0,2.0,5.0,5231.5
1,71200,3.0,2.0,5.0,5239.5
1,756100,3.0,2.0,5.0,5263.5
1,298700,3.0,2.0,5.0,5267.5
1,906000,3.0,2.0,5.0,5257.5
1,852700,3.0,2.0,2.0,5266.0
1,319500,3.0,2.0,6.0,5247.0
1,829900,2.0,2.0,3.0,5240.5
1,699600,3.0,2.0,5.0,5236.5
1,630900,2.0,2.0,5.0,5221.5
1,428900,3.0,2.0,6.0,5232.0
1,93100,3.0,2.0,6.0,5244.0
1,147500,3.0,2.0,5.0,5268.5
1,981800,3.0,2.0,5.0,5254.5
1,370700,2.0,2.0,5.0,5251.5
1,235500,3.0,2.0,5.0,5246.5
1,751000,4.0,2.0,6.0,5270.0
1,850000,3.0,3.0,5.0,5263.5
1,251200,3.0,2.0,5.0,5264.5
1,804300,2.0,2.0,5.0,5240.5
1,463400,3.0,2.0,5.0,5250.5
1,58700,3.0,2.0,5.0,5244.5
1,168500,2.0,1.0,6.0,5250.0
1,104900,3.0,2.0,5.0,5250.5
1,380100,3.0,2.0,5.0,5251.5
1,678100,3.0,2.0,6.0,5227.0
1,928000,3.0,2.0,5.0,5277.5
1,300100,4.0,3.0,6.0,5268.0
1,620700,3.0,2.0,5.0,5232.5
1,143500,3.0,2.0,5.0,5265.5
1,373200,3.0,2.0,5.0,5253.5
1,600800,3.0,2.0,5.0,5232.5
1,916500,3.0,2.0,5.0,5260.5
1,753200,3.0,2.0,5.0,5265.5
1,443200,3.0,2.0,6.0,5236.0
1,927000,4.0,3.0,6.0,5277.0
1,312300,3.0,2.0,5.0,5266.5
1,688800,3.0,2.0,5.0,5236.5
1,394800,2.0,2.0,5.0,5240.5
1,97500,3.0,2.0,6.0,5244.0
1,561500,3.0,2.0,5.0,5229.5
1,171800,3.0,2.0,6.0,5249.0
1,258200,3.0,2.0,2.0,5256.0
1,4300,3.0,2.0,5.0,5252.5
1,775200,3.0,2.0,5.0,5260.5
1,37200,3.0,2.0,5.0,5233.5
1,352100,3.0,2.0,5.0,5244.5
1,965300,3.0,3.0,5.0,5274.5
1,116500,3.0,3.0,5.0,5256.5
1,39700,3.0,3.0,6.0,5235.0
1,802700,3.0,2.0,5.0,5239.5
1,691000,2.0,2.0,5.0,5240.5
1,601100,3.0,2.0,5.0,5232.5
1,131200,3.0,2.0,6.0,5266.0
1,746500,3.0,2.0,6.0,5277.0
1,818300,3.0,2.0,5.0,5231.5
1,917600,3.0,3.0,5.0,5263.5
1,326200,3.0,2.0,5.0,5250.5
1,210600,3.0,2.0,6.0,5252.0
1,407600,3.0,2.0,5.0,5241.5
1,905500,3.0,2.0,5.0,5257.5
1,679900,3.0,2.0,5.0,5224.5
1,737400,3.0,2.0,5.0,5274.5
1,453400,3.0,2.0,5.0,5248.5
1,205300,3.0,2.0,5.0,5242.5
1,916800,3.0,2.0,6.0,5259.0
1,297300,4.0,3.0,5.0,5272.5
1,230500,3.0,2.0,5.0,5244.5
1,204000,2.0,2.0,5.0,5240.5
1,611600,3.0,2.0,5.0,5222.5
1,713800,3.0,3.0,5.0,5272.5
1,988300,3.0,2.0,6.0,5253.0
1,613800,3.0,2.0,6.0,5230.0
1,881400,2.0,2.0,2.0,5241.0
1,9900,3.0,2.0,6.0,5245.0
1,116700,3.0,2.0,5.0,5255.5
1,60000,3.0,2.0,6.0,5246.0
1,333500,3.0,2.0,5.0,5244.5
1,30700,3.0,2.0,5.0,5234.5
1,980300,3.0,2.0,5.0,5258.5
1,546800,3.0,2.0,5.0,5232.5
1,879600,3.0,2.0,5.0,5239.5
1,45900,3.0,2.0,5.0,5247.5
1,552700,3.0,2.0,6.0,5233.0
1,464500,3.0,2.0,5.0,5253.5
1,948000,3.0,2.0,5.0,5248.5
1,442800,3.0,2.0,5.0,5233.5
1,828700,3.0,2.0,5.0,5235.5
1,812900,2.0,2.0,2.0,5232.0
1,624300,3.0,2.0,5.0,5237.5
1,347500,3.0,3.0,5.0,5247.5
1,621800,3.0,2.0,5.0,5234.5
1,872300,2.0,2.0,3.0,5245.5
1,860500,3.0,2.0,2.0,5258.0
1,943700,2.0,2.0,5.0,5244.5
1,408400,3.0,2.0,5.0,5238.5
1,270100,3.0,3.0,5.0,5253.5
1,744100,3.0,2.0,5.0,5271.5
1,706700,3.0,2.0,5.0,5259.5
1,205100,3.0,2.0,3.0,5243.5
1,193600,3.0,2.0,3.0,5237.5
1,673000,3.0,2.0,5.0,5221.5
1,450300,3.0,2.0,5.0,5249.5
1,193700,3.0,2.0,5.0,5237.5
1,550800,2.0,2.0,5.0,5231.5
1,814600,2.0,2.0,6.0,5229.0
1,688900,3.0,2.0,5.0,5236.5
1,593700,3.0,2.0,2.0,5236.0
1,93900,3.0,2.0,5.0,5244.5
1,720900,3.0,2.0,5.0,5266.5
1,667300,2.0,2.0,3.0,5225.5
1,860600,3.0,2.0,2.0,5258.0
1,737000,3.0,2.0,5.0,5273.5
1,873200,3.0,2.0,5.0,5243.5
1,826600,2.0,2.0,5.0,5246.5
1,442900,3.0,2.0,3.0,5235.5
1,700500,3.0,2.0,5.0,5241.5
1,526200,3.0,3.0,5.0,5252.5
1,40800,3.0,2.0,5.0,5231.5
1,488300,3.0,2.0,5.0,5241.5
1,361800,3.0,3.0,5.0,5251.5
1,266100,3.0,2.0,2.0,5251.0
1,405300,3.0,2.0,6.0,5242.0
1,758700,3.0,2.0,5.0,5276.5
1,356800,2.0,2.0,3.0,5245.5
1,550600,3.0,2.0,3.0,5233.5
1,442700,3.0,2.0,5.0,5232.5
1,139600,3.0,2.0,5.0,5258.5
1,992800,3.0,2.0,5.0,5264.5
1,228200,3.0,2.0,5.0,5252.5
1,266600,2.0,2.0,5.0,5248.5
1,462100,3.0,2.0,5.0,5255.5
1,343900,3.0,2.0,5.0,5251.5
1,803200,3.0,2.0,5.0,5239.5
1,588100,3.0,2.0,5.0,5247.5
1,259800,3.0,3.0,5.0,5253.5
1,560600,2.0,2.0,6.0,5232.0
1,499100,3.0,2.0,5.0,5242.5
1,740000,3.0,2.0,5.0,5264.5
1,339300,3.0,2.0,2.0,5250.0
1,792100,3.0,3.0,5.0,5260.5
1,3200,3.0,2.0,6.0,5253.0
1,162000,3.0,2.0,5.0,5254.5
1,156200,2.0,3.0,5.0,5247.5
1,495600,3.0,2.0,5.0,5238.5
1,875500,2.0,2.0,5.0,5237.5
1,158300,3.0,2.0,5.0,5256.5
1,806700,3.0,2.0,5.0,5247.5
1,834900,3.0,2.0,5.0,5245.5
1,76300,3.0,2.0,5.0,5239.5
1,48400,3.0,3.0,5.0,5245.5
1,262000,3.0,2.0,6.0,5255.0
1,923000,3.0,2.0,5.0,5272.5
1,218500,3.0,2.0,6.0,5252.0
1,858100,3.0,2.0,5.0,5263.5
1,575300,3.0,2.0,5.0,5232.5
1,959000,3.0,2.0,5.0,5262.5
1,868200,3.0,2.0,5.0,5250.5
1,98800,3.0,2.0,5.0,5246.5
1,85800,3.0,2.0,5.0,5235.5
1,880100,3.0,2.0,5.0,5239.5
1,462000,3.0,2.0,5.0,5256.5
1,419200,2.0,2.0,6.0,5233.0
1,683400,3.0,2.0,5.0,5225.5
1,495300,3.0,2.0,3.0,5239.5
1,997700,3.0,3.0,5.0,5270.5
1,39400,2.0,2.0,1.0,5232.5
1,592100,3.0,2.0,5.0,5244.5
1,609700,2.0,2.0,5.0,5225.5
1,836100,2.0,2.0,5.0,5247.5
1,795600,3.0,2.0,2.0,5256.0
1,34200,3.0,2.0,6.0,5233.0
1,278000,3.0,2.0,6.0,5255.0
1,764600,3.0,2.0,5.0,5269.5
1,623300,3.0,2.0,5.0,5237.5
1,552500,3.0,2.0,3.0,5233.5
1,380400,3.0,3.0,6.0,5253.0
1,450700,3.0,2.0,5.0,5248.5
1,681900,3.0,2.0,6.0,5222.0
1,963200,3.0,2.0,3.0,5268.5
1,331200,3.0,2.0,3.0,5242.5
1,262400,3.0,2.0,6.0,5253.0
1,154400,3.0,2.0,5.0,5254.5
1,839700,3.0,3.0,5.0,5253.5
1,347600,3.0,2.0,5.0,5248.5
1,739800,4.0,2.0,5.0,5265.5
1,583000,3.0,2.0,5.0,5236.5
1,512300,3.0,3.0,6.0,5265.0
1,385100,3.0,3.0,5.0,5248.5
1,560400,3.0,2.0,5.0,5233.5
1,461400,3.0,2.0,6.0,5253.0
1,78100,3.0,2.0,5.0,5239.5
1,726200,3.0,2.0,5.0,5263.5
1,951300,3.0,2.0,5.0,5257.5
1,299200,3.0,3.0,6.0,5268.0
1,605700,3.0,2.0,5.0,5228.5
1,924100,3.0,3.0,5.0,5273.5
1,338200,2.0,3.0,5.0,5251.5
1,295800,3.0,2.0,2.0,5272.0
1,383900,3.0,3.0,5.0,5250.5
1,743200,3.0,3.0,6.0,5266.0
1,850300,3.0,2.0,2.0,5261.0
1,135800,3.0,3.0,6.0,5262.0
1,992900,3.0,2.0,5.0,5262.5
1,253900,3.0,2.0,5.0,5263.5
1,686300,3.0,2.0,5.0,5230.5
1,778400,3.0,2.0,5.0,5268.5
1,248800,3.0,3.0,5.0,5263.5
1,967400,3.0,2.0,5.0,5273.5
1,960100,3.0,2.0,5.0,5261.5
1,877100,2.0,2.0,3.0,5237.5
1,363300,3.0,2.0,5.0,5253.5
1,232000,3.0,2.0,5.0,5243.5
1,684500,3.0,2.0,6.0,5229.0
1,30800,3.0,2.0,5.0,5234.5
1,92100,3.0,2.0,5.0,5240.5
1,572500,3.0,2.0,5.0,5235.5
1,65900,3.0,2.0,5.0,5242.5
1,486200,3.0,2.0,6.0,5243.0
1,649100,3.0,1.0,5.0,5200.5
1,788600,3.0,2.0,5.0,5261.5
1,233600,3.0,2.0,5.0,5243.5
1,2800,3.0,2.0,5.0,5248.5
1,712900,3.0,2.0,5.0,5264.5
1,811500,3.0,2.0,5.0,5236.5
1,129700,3.0,3.0,6.0,5264.0
1,285400,3.0,2.0,5.0,5264.5
1,849700,3.0,2.0,6.0,5266.0
1,644600,3.0,2.0,5.0,5208.5
1,386200,3.0,2.0,2.0,5246.0
1,816700,2.0,2.0,5.0,5232.5
1,221700,2.0,2.0,3.0,5243.5
1,619700,3.0,2.0,5.0,5233.5
1,541400,3.0,2.0,5.0,5237.5
1,490000,2.0,2.0,5.0,5242.5
1,725200,3.0,3.0,5.0,5265.5
1,691300,3.0,2.0,5.0,5237.5
1,199000,2.0,2.0,6.0,5241.0
1,594600,3.0,2.0,5.0,5239.5
1,433100,3.0,2.0,5.0,5230.5
1,337000,3.0,2.0,3.0,5253.5
1,417700,2.0,2.0,5.0,5231.5
1,224300,3.0,2.0,5.0,5248.5
1,237300,3.0,2.0,5.0,5250.5
1,338800,3.0,3.0,5.0,5248.5
1,355600,3.0,2.0,5.0,5241.5
1,970100,3.0,2.0,5.0,5266.5
1,107000,3.0,3.0,5.0,5259.5
1,138000,3.0,2.0,5.0,5256.5
1,359700,3.0,2.0,5.0,5249.5
1,939700,3.0,2.0,5.0,5263.5
1,59700,3.0,2.0,5.0,5246.5
1,496300,2.0,2.0,5.0,5240.5
1,130800,3.0,3.0,5.0,5263.5
1,388100,3.0,2.0,5.0,5246.5
1,790900,3.0,3.0,5.0,5262.5
1,565500,3.0,2.0,5.0,5236.5
1,10800,2.0,2.0,5.0,5242.5
1,436400,3.0,2.0,5.0,5233.5
1,89100,3.0,2.0,5.0,5242.5
1,55200,3.0,3.0,5.0,5245.5
1,108500,3.0,2.0,5.0,5264.5
1,858700,3.0,2.0,5.0,5264.5
1,380700,3.0,3.0,6.0,5253.0
1,375500,3.0,2.0,5.0,5251.5
1,140400,3.0,3.0,5.0,5257.5
1,341900,3.0,2.0,5.0,5249.5
1,372200,3.0,3.0,5.0,5253.5
1,322700,3.0,2.0,5.0,5253.5
1,216500,3.0,2.0,5.0,5250.5
1,83400,3.0,2.0,3.0,5235.5
1,765700,2.0,2.0,5.0,5269.5
1,862500,3.0,2.0,6.0,5255.0
1,433700,3.0,2.0,3.0,5231.5
1,767000,4.0,2.0,6.0,5274.0
1,362800,3.0,2.0,5.0,5249.5
1,191000,3.0,2.0,2.0,5239.0
1,847600,3.0,2.0,5.0,5260.5
1,189200,3.0,2.0,5.0,5236.5
1,427000,2.0,2.0,5.0,5234.5
1,428100,2.0,2.0,5.0,5231.5
1,420900,3.0,2.0,5.0,5226.5
1,921900,3.0,2.0,3.0,5275.5
1,522800,3.0,2.0,5.0,5258.5
1,602200,3.0,2.0,5.0,5229.5
1,560100,2.0,2.0,5.0,5228.5
1,860800,3.0,2.0,5.0,5258.5
1,490400,3.0,2.0,6.0,5241.0
1,453000,3.0,2.0,5.0,5247.5
1,143200,3.0,3.0,5.0,5264.5
1,464000,3.0,2.0,5.0,5254.5
1,959100,4.0,2.0,6.0,5262.0
1,379800,3.0,3.0,5.0,5250.5
1,126200,3.0,2.0,5.0,5264.5
1,951100,3.0,3.0,6.0,5256.0
1,768900,3.0,2.0,6.0,5273.0
1,997900,3.0,2.0,6.0,5269.0
1,13600,3.0,2.0,5.0,5236.5
1,675300,3.0,2.0,6.0,5229.0
1,372000,3.0,2.0,5.0,5251.5
1,6700,3.0,2.0,6.0,5250.0
1,657500,3.0,2.0,3.0,5212.5
1,297800,3.0,2.0,5.0,5271.5
1,32400,3.0,2.0,2.0,5237.0
1,754200,1.0,1.0,5.0,5260.5
1,636700,3.0,2.0,5.0,5219.5
1,682100,3.0,2.0,5.0,5222.5
1,661100,3.0,2.0,5.0,5216.5
