participant,role,symbol,K,n,mean_fwd,median_fwd,t_stat,boot_ci95_mean_lo,boot_ci95_mean_hi,frac_pos
Mark 38,U_aggr_buy,VEV_5000,100,2,11.0,11.0,,,,1.0
Mark 38,U_aggr_buy,VEV_5100,5,2,0.25,0.25,,,,0.5
Mark 38,U_aggr_buy,VEV_5100,20,2,1.0,1.0,,,,0.5
Mark 38,U_aggr_buy,VEV_5100,100,2,9.25,9.25,,,,1.0
Mark 38,U_aggr_buy,VEV_5200,5,2,0.25,0.25,,,,0.5
Mark 38,U_aggr_buy,VEV_5200,20,2,0.25,0.25,,,,0.5
Mark 38,U_aggr_buy,VEV_5200,100,2,6.5,6.5,,,,1.0
Mark 38,U_aggr_buy,VEV_5300,5,1,0.5,0.5,,,,1.0
Mark 38,U_aggr_buy,VEV_5300,20,1,2.5,2.5,,,,1.0
Mark 38,U_aggr_buy,VEV_5300,100,1,8.0,8.0,,,,1.0
Mark 38,U_aggr_sell,VEV_4000,5,233,-0.16952789699570817,0.0,-1.1630208076407231,-0.44420600858369097,0.1159334763948495,0.4248927038626609
Mark 38,U_aggr_sell,VEV_4000,20,233,-0.17381974248927037,0.0,-0.594263133536499,-0.721030042918455,0.3905579399141631,0.44635193133047213
Mark 38,U_aggr_sell,VEV_4000,100,232,-0.05387931034482758,-1.0,-0.09076619605406933,-1.2866918103448275,1.112338362068964,0.4525862068965517
Mark 38,U_aggr_sell,HYDROGEL_PACK,5,507,0.011834319526627219,0.0,0.0591147406905954,-0.3797337278106509,0.3895710059171596,0.4635108481262327
Mark 38,U_aggr_sell,HYDROGEL_PACK,20,507,0.10157790927021697,0.0,0.2624804099548992,-0.6728303747534516,0.8630670611439833,0.4990138067061144
Mark 38,U_aggr_sell,HYDROGEL_PACK,100,505,0.5881188118811881,0.0,0.7280135711120933,-0.8737623762376238,2.164628712871286,0.48514851485148514
Mark 38,U_aggr_sell,VEV_4500,5,1,0.0,0.0,,,,0.0
Mark 38,U_aggr_sell,VEV_4500,20,1,3.0,3.0,,,,1.0
Mark 38,U_aggr_sell,VEV_4500,100,1,13.0,13.0,,,,1.0
Mark 38,U_aggr_sell,VEV_5000,5,1,2.5,2.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5000,20,1,5.5,5.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5000,100,1,15.5,15.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5100,5,1,2.5,2.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5100,20,1,4.5,4.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5100,100,1,13.5,13.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5200,5,1,2.0,2.0,,,,1.0
Mark 38,U_aggr_sell,VEV_5200,20,1,3.5,3.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5200,100,1,10.0,10.0,,,,1.0
Mark 38,U_aggr_sell,VEV_5300,5,1,0.5,0.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5300,20,1,1.5,1.5,,,,1.0
Mark 38,U_aggr_sell,VEV_5300,100,1,5.5,5.5,,,,1.0
Mark 49,U_aggr_buy,VELVETFRUIT_EXTRACT,5,1,3.5,3.5,,,,1.0
Mark 49,U_aggr_buy,VELVETFRUIT_EXTRACT,20,1,1.5,1.5,,,,1.0
Mark 49,U_aggr_buy,VELVETFRUIT_EXTRACT,100,1,6.5,6.5,,,,1.0
Mark 49,U_aggr_sell,VELVETFRUIT_EXTRACT,5,1,-1.0,-1.0,,,,0.0
Mark 49,U_aggr_sell,VELVETFRUIT_EXTRACT,20,1,-2.0,-2.0,,,,0.0
Mark 49,U_aggr_sell,VELVETFRUIT_EXTRACT,100,1,-4.0,-4.0,,,,0.0
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,5,598,0.19899665551839466,0.0,2.2464782628170425,0.024226588628762546,0.37964046822742453,0.46488294314381273
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,0.5,2.4788758254472882,0.09694816053511707,0.7416387959866221,0.5100334448160535
Mark 55,U_aggr_buy,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,0.0,1.4038715282649978,-0.1957983193277311,1.281533613445378,0.4991596638655462
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,5,600,0.051666666666666666,0.0,0.5770292515005375,-0.12752083333333333,0.235895833333333,0.44333333333333336
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,20,600,-0.10583333333333333,0.0,-0.6181496555114884,-0.435875,0.23514583333333253,0.43833333333333335
Mark 55,U_aggr_sell,VELVETFRUIT_EXTRACT,100,595,-0.9184873949579831,-1.0,-2.504567788249762,-1.6428991596638656,-0.14705882352941177,0.4369747899159664
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,5,164,1.9603658536585367,2.0,13.025623326344341,1.6615853658536586,2.2531249999999994,0.8353658536585366
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,20,164,1.8140243902439024,1.5,5.86010068131766,1.2073170731707317,2.4177591463414627,0.6463414634146342
Mark 67,U_aggr_buy,VELVETFRUIT_EXTRACT,100,163,1.3711656441717792,1.0,1.873917213276957,-0.0982361963190184,2.8192484662576676,0.5398773006134969
