day,timestamp,fwd_ext_20,fwd_ext_100
2,898600,2.0,-1.5
2,934900,-6.0,-5.0
2,948500,-2.0,-5.0
2,972800,0.0,3.0
2,977300,1.0,13.5
2,977500,1.0,12.5
2,993800,9.0,
3,32900,2.5,-23.0
3,33600,-1.0,-21.0
3,37000,-9.0,-25.5
3,40200,-10.5,-9.5
3,45600,1.0,3.0
3,47200,1.0,6.5
3,54400,3.0,2.0
3,69900,8.0,3.0
3,70100,10.0,5.5
3,70300,7.0,3.0
3,74300,-1.0,-2.5
3,87300,-1.5,6.5
3,92200,-2.5,-1.0
3,98900,0.0,2.0
3,118700,10.0,4.0
3,126600,-2.0,14.0
3,128700,9.0,7.5
3,132100,5.0,-9.0
3,137700,-4.0,-3.0
3,142700,3.0,4.0
3,144800,3.0,0.5
3,155400,-6.0,1.0
3,166000,3.5,9.0
3,218300,4.0,12.0
3,220800,-6.0,9.0
3,222400,1.0,5.0
3,243700,-1.0,7.0
3,250200,-1.0,-6.0
3,253400,-2.5,-14.5
3,269000,-6.5,5.5
3,289400,-7.0,-13.0
3,290900,-1.0,-4.0
3,315800,2.0,3.0
3,317200,-3.0,4.0
3,319700,-3.0,10.5
3,320200,1.5,14.5
3,328700,8.0,0.0
3,329200,6.5,-5.0
3,332600,-5.0,-7.0
3,346200,-6.0,-8.0
3,350300,-4.0,-7.5
3,363100,-1.5,9.5
3,364700,0.0,13.0
3,369800,4.0,16.0
3,370100,6.0,17.0
3,385400,5.0,8.0
3,389100,7.0,9.0
3,391400,0.5,9.5
3,396000,-1.0,-15.0
3,428900,-4.5,-3.0
3,431900,2.0,1.0
3,442200,3.0,-5.0
3,451300,-1.0,1.0
3,456600,-2.0,2.0
3,459800,-2.0,-4.0
3,483900,7.0,1.0
3,485500,-6.0,-9.0
3,498100,-3.0,0.0
3,511800,5.0,2.0
3,516400,-2.0,-6.0
3,524000,0.0,-11.0
3,529600,-1.0,1.0
3,531500,-3.0,5.0
3,535400,4.0,8.0
3,535900,7.0,8.0
3,547600,3.0,12.0
3,551600,5.0,5.0
3,555100,-2.0,4.5
3,556400,-1.0,7.5
3,565600,-0.5,-9.5
3,580600,-1.0,-1.5
3,583100,-5.0,-1.0
3,584300,-6.0,3.0
3,612700,8.0,-9.0
3,614800,-6.5,-10.5
3,621000,3.5,11.5
3,622500,2.0,8.0
3,624200,12.0,10.0
3,627700,-9.5,-4.5
3,631300,-3.5,4.5
3,631500,-4.0,4.0
3,634500,3.0,19.0
3,642500,8.0,13.0
3,666500,-1.0,-4.0
3,671800,11.5,7.0
3,671900,8.0,4.0
3,678700,1.5,-12.5
3,689900,4.5,7.5
3,699400,-1.0,9.5
3,700300,0.0,12.0
3,705400,0.0,12.5
3,708800,11.0,7.5
3,728500,-3.0,-16.0
3,730000,-9.5,-15.0
3,741100,4.0,-9.0
3,753700,4.0,-7.0
3,766900,1.5,-2.5
3,777600,0.5,19.5
3,784100,5.5,6.5
3,785100,5.5,4.5
3,788300,-2.0,1.0
3,793100,1.0,3.5
3,807400,2.0,-2.0
3,820200,0.0,-9.0
3,826200,2.0,-11.5
3,834400,-4.0,0.5
3,837500,2.5,1.0
3,839800,-6.0,4.0
3,842200,6.0,9.0
3,864100,3.0,7.0
3,868300,-3.0,1.5
3,877600,-4.0,-5.0
3,878300,-9.5,-6.0
3,890900,9.0,18.5
3,894300,0.0,14.0
3,918500,5.0,6.0
3,937000,2.0,12.5
3,937400,0.0,15.5
3,943900,2.0,4.0
3,977300,-7.0,-11.0
3,983300,0.0,-7.0
3,997100,0.0,
