timestamp,s_VEV_5200,m_VEV_5200,s_VEV_5300,m_VEV_5300,s_VELVETFRUIT_EXTRACT,m_VELVETFRUIT_EXTRACT,day,s5200,s5300,m_ext,s_ext,joint_tight,m5200,m5300,fwd20_ext,fwd5_5300,fwd20_5300
1800,3,99.5,2,49.0,5,5250.5,1,3,2,5250.5,5,False,99.5,49.0,1.0,0.0,0.5
1900,3,99.5,2,49.0,5,5250.5,1,3,2,5250.5,5,False,99.5,49.0,1.0,0.0,0.5
2000,3,98.5,2,49.0,3,5251.5,1,3,2,5251.5,3,False,98.5,49.0,1.0,0.0,1.0
2100,3,98.5,2,49.0,6,5250.0,1,3,2,5250.0,6,False,98.5,49.0,2.0,-0.5,0.5
2200,3,97.5,2,48.0,5,5248.5,1,3,2,5248.5,5,False,97.5,48.0,4.0,0.5,2.0
2300,3,98.5,2,49.0,5,5249.5,1,3,2,5249.5,5,False,98.5,49.0,3.0,-1.0,1.0
2400,3,98.5,2,49.0,5,5250.5,1,3,2,5250.5,5,False,98.5,49.0,4.0,-0.5,2.0
2500,3,99.5,2,49.0,5,5251.5,1,3,2,5251.5,5,False,99.5,49.0,3.0,0.0,0.5
2600,3,98.5,3,48.5,6,5249.0,1,3,3,5249.0,6,False,98.5,48.5,4.5,1.0,1.5
2700,3,98.5,3,48.5,5,5248.5,1,3,3,5248.5,5,False,98.5,48.5,4.5,1.5,1.5
2800,3,97.5,2,48.0,5,5248.5,1,3,2,5248.5,5,False,97.5,48.0,3.0,2.0,1.0
2900,3,98.5,3,48.5,5,5249.5,1,3,3,5249.5,5,False,98.5,48.5,3.0,1.5,1.0
3000,3,98.5,2,49.0,6,5250.0,1,3,2,5250.0,6,False,98.5,49.0,2.0,1.0,0.0
3100,3,99.5,3,49.5,5,5251.5,1,3,3,5251.5,5,False,99.5,49.5,0.5,0.5,-0.5
3200,3,100.5,2,50.0,6,5253.0,1,3,2,5253.0,6,False,100.5,50.0,-1.5,-0.5,0.0
3300,3,101.5,2,50.0,6,5254.0,1,3,2,5254.0,6,False,101.5,50.0,-0.5,-0.5,0.0
3400,3,101.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,101.5,50.0,0.5,-0.5,1.0
3500,3,101.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,101.5,50.0,1.0,0.0,0.0
3600,3,100.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,100.5,50.0,-0.5,-0.5,0.0
3700,3,99.5,3,49.5,6,5252.0,1,3,3,5252.0,6,False,99.5,49.5,0.0,0.5,0.0
3800,3,99.5,3,49.5,5,5251.5,1,3,3,5251.5,5,False,99.5,49.5,2.0,0.5,0.5
3900,3,99.5,3,49.5,5,5251.5,1,3,3,5251.5,5,False,99.5,49.5,2.0,1.5,0.5
4000,3,100.5,2,50.0,5,5252.5,1,3,2,5252.5,5,False,100.5,50.0,1.0,-0.5,0.0
4100,3,100.5,3,49.5,6,5252.0,1,3,3,5252.0,6,False,100.5,49.5,0.5,0.5,0.5
4200,3,100.5,2,50.0,5,5252.5,1,3,2,5252.5,5,False,100.5,50.0,0.0,0.0,0.0
4300,3,100.5,2,50.0,5,5252.5,1,3,2,5252.5,5,False,100.5,50.0,0.0,-1.0,0.0
4400,3,101.5,2,51.0,5,5254.5,1,3,2,5254.5,5,False,101.5,51.0,-2.5,-1.5,-1.5
4500,1,100.5,1,49.5,5,5254.5,1,1,1,5254.5,5,True,100.5,49.5,-4.0,-0.5,-0.5
4600,3,101.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,101.5,50.0,-3.0,-1.0,-1.0
4700,3,100.5,2,50.0,6,5253.0,1,3,2,5253.0,6,False,100.5,50.0,-3.0,0.0,-1.0
4800,3,99.5,2,49.0,5,5251.5,1,3,2,5251.5,5,False,99.5,49.0,-3.0,1.0,-1.0
4900,3,100.5,3,49.5,5,5252.5,1,3,3,5252.5,5,False,100.5,49.5,-5.0,1.5,-1.5
5000,3,99.5,2,49.0,6,5252.0,1,3,2,5252.0,6,False,99.5,49.0,-3.5,1.0,-1.0
5100,3,100.5,2,49.0,6,5252.0,1,3,2,5252.0,6,False,100.5,49.0,-3.5,1.0,-1.0
5200,3,100.5,2,50.0,1,5251.5,1,3,2,5251.5,1,False,100.5,50.0,-4.0,-0.5,-2.0
5300,3,101.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,101.5,50.0,-7.0,0.0,-3.0
5400,3,101.5,2,51.0,2,5254.0,1,3,2,5254.0,2,False,101.5,51.0,-7.5,-1.0,-4.0
5500,3,101.5,2,50.0,5,5254.5,1,3,2,5254.5,5,False,101.5,50.0,-8.0,0.0,-2.5
5600,3,100.5,2,50.0,6,5253.0,1,3,2,5253.0,6,False,100.5,50.0,-7.0,0.0,-3.0
5700,3,99.5,3,49.5,6,5252.0,1,3,3,5252.0,6,False,99.5,49.5,-4.5,0.5,-1.5
5800,3,100.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,100.5,50.0,-6.5,0.0,-2.5
5900,3,101.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,101.5,50.0,-6.0,-0.5,-2.0
6000,3,101.5,2,50.0,5,5253.5,1,3,2,5253.5,5,False,101.5,50.0,-7.0,-1.0,-3.0
6100,3,100.5,2,50.0,5,5252.5,1,3,2,5252.5,5,False,100.5,50.0,-5.0,-1.0,-2.0
6200,3,100.5,2,50.0,5,5252.5,1,3,2,5252.5,5,False,100.5,50.0,-7.0,-1.0,-2.5
6300,3,100.5,2,50.0,5,5252.5,1,3,2,5252.5,5,False,100.5,50.0,-5.0,-2.0,-2.0
6400,3,99.5,3,49.5,6,5252.0,1,3,3,5252.0,6,False,99.5,49.5,-3.5,-1.5,-1.5
6500,3,99.5,2,49.0,5,5250.5,1,3,2,5250.5,5,False,99.5,49.0,-4.0,-1.0,-2.0
6600,3,99.5,2,49.0,5,5250.5,1,3,2,5250.5,5,False,99.5,49.0,-5.5,-1.0,-2.0
6700,3,98.5,2,49.0,6,5250.0,1,3,2,5250.0,6,False,98.5,49.0,-4.5,-1.0,-2.0
6800,3,97.5,2,48.0,5,5248.5,1,3,2,5248.5,5,False,97.5,48.0,-3.0,-1.0,-1.0
6900,3,97.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,97.5,48.0,-2.0,-1.0,-1.0
7000,3,97.5,2,48.0,5,5248.5,1,3,2,5248.5,5,False,97.5,48.0,-2.0,-0.5,-1.0
7100,3,97.5,2,48.0,5,5248.5,1,3,2,5248.5,5,False,97.5,48.0,-2.5,-1.0,-1.0
7200,3,97.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,97.5,48.0,-0.5,0.0,-0.5
7300,3,96.5,2,47.0,5,5246.5,1,3,2,5246.5,5,False,96.5,47.0,-0.5,0.5,0.0
7400,3,96.5,2,47.0,5,5246.5,1,3,2,5246.5,5,False,96.5,47.0,-3.0,1.0,0.0
7500,2,97.0,1,47.5,5,5246.5,1,2,1,5246.5,5,True,97.0,47.5,-2.5,-0.5,-0.5
7600,3,96.5,2,47.0,6,5246.0,1,3,2,5246.0,6,False,96.5,47.0,0.5,1.0,-0.5
7700,3,96.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,96.5,48.0,-2.5,-0.5,-1.0
7800,3,96.5,3,47.5,6,5247.0,1,3,3,5247.0,6,False,96.5,47.5,-0.5,0.5,-0.5
7900,3,97.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,97.5,48.0,-2.5,0.0,-1.0
8000,3,96.5,2,47.0,5,5246.5,1,3,2,5246.5,5,False,96.5,47.0,-1.0,0.0,0.0
8100,3,97.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,97.5,48.0,-3.5,-1.0,-2.0
8200,3,96.5,3,47.5,3,5245.5,1,3,3,5245.5,3,False,96.5,47.5,-2.0,-0.5,-1.5
8300,3,97.5,2,48.0,5,5247.5,1,3,2,5247.5,5,False,97.5,48.0,-6.0,-1.0,-2.0
8400,3,97.5,2,48.0,5,5248.5,1,3,2,5248.5,5,False,97.5,48.0,-9.0,-1.0,-3.0
8500,3,96.5,2,47.0,5,5246.5,1,3,2,5246.5,5,False,96.5,47.0,-5.0,0.0,-1.5
8600,3,95.5,2,47.0,6,5245.0,1,3,2,5245.0,6,False,95.5,47.0,-3.5,0.0,-1.5
8700,3,96.5,2,47.0,5,5245.5,1,3,2,5245.5,5,False,96.5,47.0,-4.0,0.5,-1.0
8800,3,95.5,2,47.0,5,5245.5,1,3,2,5245.5,5,False,95.5,47.0,-3.0,0.0,-1.0
8900,2,96.0,2,47.0,5,5245.5,1,2,2,5245.5,5,True,96.0,47.0,-2.0,0.0,-1.0
9000,3,96.5,2,47.0,5,5246.5,1,3,2,5246.5,5,False,96.5,47.0,-2.0,0.0,0.0
9100,3,96.5,2,47.0,6,5246.0,1,3,2,5246.0,6,False,96.5,47.0,-1.5,-0.5,-0.5
9200,3,96.5,3,47.5,6,5247.0,1,3,3,5247.0,6,False,96.5,47.5,-3.5,-0.5,-1.5
9300,3,96.5,2,47.0,6,5246.0,1,3,2,5246.0,6,False,96.5,47.0,-2.5,0.0,-1.0
9400,3,95.5,2,47.0,1,5243.5,1,3,2,5243.5,1,False,95.5,47.0,0.0,0.0,-1.0
9500,3,96.5,2,47.0,2,5244.0,1,3,2,5244.0,2,False,96.5,47.0,-2.5,0.0,-1.0
9600,1,95.5,1,46.5,5,5246.5,1,1,1,5246.5,5,True,95.5,46.5,-5.0,-0.5,-1.0
9700,3,95.5,2,47.0,6,5245.0,1,3,2,5245.0,6,False,95.5,47.0,-4.0,-1.0,-2.0
9800,3,96.5,2,47.0,5,5246.5,1,3,2,5246.5,5,False,96.5,47.0,-5.0,-1.0,-2.5
9900,3,95.5,2,47.0,6,5245.0,1,3,2,5245.0,6,False,95.5,47.0,-2.5,-2.0,-1.0
10000,3,95.5,2,47.0,3,5245.5,1,3,2,5245.5,3,False,95.5,47.0,-2.5,-1.5,-1.0
10100,2,95.0,2,46.0,6,5244.0,1,2,2,5244.0,6,True,95.0,46.0,-2.5,-0.5,-1.0
10200,3,94.5,2,46.0,5,5243.5,1,3,2,5243.5,5,False,94.5,46.0,-2.0,0.0,-1.0
10300,3,94.5,2,46.0,1,5241.5,1,3,2,5241.5,1,False,94.5,46.0,0.0,0.0,-0.5
10400,3,93.5,2,45.0,1,5239.5,1,3,2,5239.5,1,False,93.5,45.0,2.0,1.0,0.0
10500,3,93.5,3,45.5,5,5241.5,1,3,3,5241.5,5,False,93.5,45.5,-1.0,1.5,-0.5
10600,3,93.5,3,45.5,5,5241.5,1,3,3,5241.5,5,False,93.5,45.5,0.0,1.0,0.0
10700,3,93.5,2,46.0,5,5241.5,1,3,2,5241.5,5,False,93.5,46.0,-1.0,0.0,-1.0
10800,2,94.0,2,46.0,5,5242.5,1,2,2,5242.5,5,True,94.0,46.0,-4.0,0.0,-2.0
10900,3,94.5,2,46.0,5,5243.5,1,3,2,5243.5,5,False,94.5,46.0,-4.0,0.0,-1.0
11000,3,95.5,2,47.0,5,5244.5,1,3,2,5244.5,5,False,95.5,47.0,-4.0,-1.0,-2.0
11100,3,95.5,3,46.5,5,5244.5,1,3,3,5244.5,5,False,95.5,46.5,-5.5,-1.0,-2.5
11200,3,94.5,2,46.0,5,5243.5,1,3,2,5243.5,5,False,94.5,46.0,-4.0,-1.0,-1.0
11300,3,94.5,2,46.0,5,5243.5,1,3,2,5243.5,5,False,94.5,46.0,-5.0,-1.5,-2.0
11400,3,94.5,2,46.0,5,5243.5,1,3,2,5243.5,5,False,94.5,46.0,-5.5,0.0,-2.0
11500,3,93.5,2,46.0,5,5241.5,1,3,2,5241.5,5,False,93.5,46.0,-3.0,0.0,-2.0
11600,3,93.5,3,45.5,5,5241.5,1,3,3,5241.5,5,False,93.5,45.5,-5.0,-0.5,-1.5
11700,3,93.5,2,45.0,6,5241.0,1,3,2,5241.0,6,False,93.5,45.0,-2.5,0.0,-1.0
11800,1,92.5,1,44.5,5,5241.5,1,1,1,5241.5,5,True,92.5,44.5,-3.0,1.0,-0.5
11900,2,94.0,2,46.0,5,5242.5,1,2,2,5242.5,5,True,94.0,46.0,-6.0,-1.0,-2.0
12000,3,94.5,2,46.0,6,5243.0,1,3,2,5243.0,6,False,94.5,46.0,-6.0,-1.0,-2.0
12100,3,93.5,2,45.0,5,5241.5,1,3,2,5241.5,5,False,93.5,45.0,-5.0,0.5,-1.0
12200,3,93.5,2,45.0,5,5241.5,1,3,2,5241.5,5,False,93.5,45.0,-6.0,0.0,-2.0
12300,3,93.5,3,45.5,5,5241.5,1,3,3,5241.5,5,False,93.5,45.5,-6.0,-1.5,-2.5
12400,3,93.5,2,45.0,5,5241.5,1,3,2,5241.5,5,False,93.5,45.0,-8.0,0.0,-2.0
12500,3,92.5,2,45.0,5,5240.5,1,3,2,5240.5,5,False,92.5,45.0,-6.0,0.0,-2.0
12600,3,93.5,3,45.5,5,5241.5,1,3,3,5241.5,5,False,93.5,45.5,-7.0,-1.5,-2.5
12700,2,93.0,2,45.0,5,5240.5,1,2,2,5240.5,5,True,93.0,45.0,-6.0,0.0,-2.0
12800,3,91.5,2,44.0,5,5238.5,1,3,2,5238.5,5,False,91.5,44.0,-4.0,0.0,-1.0
12900,3,92.5,2,45.0,5,5239.5,1,3,2,5239.5,5,False,92.5,45.0,-5.0,-1.0,-2.0
13000,3,92.5,2,45.0,5,5240.5,1,3,2,5240.5,5,False,92.5,45.0,-7.0,-1.0,-2.5
13100,2,92.0,2,44.0,6,5239.0,1,2,2,5239.0,6,True,92.0,44.0,-4.5,0.0,-1.0
13200,3,92.5,2,45.0,5,5239.5,1,3,2,5239.5,5,False,92.5,45.0,-6.0,-1.0,-2.0
13300,3,91.5,2,44.0,5,5238.5,1,3,2,5238.5,5,False,91.5,44.0,-5.0,0.0,-1.0
13400,3,91.5,2,44.0,6,5238.0,1,3,2,5238.0,6,False,91.5,44.0,-4.5,0.0,-2.0
13500,2,92.0,2,44.0,5,5238.5,1,2,2,5238.5,5,True,92.0,44.0,-7.0,0.0,-2.0
13600,3,90.5,2,44.0,5,5236.5,1,3,2,5236.5,5,False,90.5,44.0,-5.0,0.0,-2.0
13700,3,91.5,2,44.0,5,5238.5,1,3,2,5238.5,5,False,91.5,44.0,-7.0,-1.0,-2.0
13800,3,91.5,2,44.0,5,5238.5,1,3,2,5238.5,5,False,91.5,44.0,-6.5,-1.0,-2.0
13900,3,90.5,2,44.0,5,5236.5,1,3,2,5236.5,5,False,90.5,44.0,-3.0,-1.0,-1.0
14000,2,91.0,2,44.0,6,5237.0,1,2,2,5237.0,6,True,91.0,44.0,-3.5,-1.0,-2.0
14100,3,90.5,2,44.0,5,5236.5,1,3,2,5236.5,5,False,90.5,44.0,-5.0,-1.0,-2.0
14200,2,90.0,2,43.0,5,5235.5,1,2,2,5235.5,5,True,90.0,43.0,-3.0,0.0,-1.0
14300,3,89.5,2,43.0,5,5235.5,1,3,2,5235.5,5,False,89.5,43.0,-5.5,0.0,-1.0
14400,2,89.0,2,43.0,5,5233.5,1,2,2,5233.5,5,True,89.0,43.0,-2.5,0.0,-1.0
14500,3,89.5,2,43.0,5,5234.5,1,3,2,5234.5,5,False,89.5,43.0,-2.0,-0.5,-1.0
14600,3,89.5,2,43.0,5,5234.5,1,3,2,5234.5,5,False,89.5,43.0,-3.0,0.0,-1.0
14700,3,89.5,2,43.0,5,5234.5,1,3,2,5234.5,5,False,89.5,43.0,-3.0,0.0,-1.0
14800,1,88.5,2,43.0,5,5234.5,1,1,2,5234.5,5,True,88.5,43.0,-4.0,0.0,-1.0
14900,3,89.5,2,43.0,5,5234.5,1,3,2,5234.5,5,False,89.5,43.0,-5.0,-1.0,-2.0
15000,3,88.5,3,42.5,5,5233.5,1,3,3,5233.5,5,False,88.5,42.5,-4.0,-0.5,-1.5
15100,3,89.5,2,43.0,5,5234.5,1,3,2,5234.5,5,False,89.5,43.0,-5.5,-1.0,-1.0
15200,3,88.5,2,43.0,5,5233.5,1,3,2,5233.5,5,False,88.5,43.0,-1.0,-1.0,-1.0
15300,2,89.0,2,43.0,5,5233.5,1,2,2,5233.5,5,True,89.0,43.0,-2.0,-1.0,-1.0
15400,3,88.5,2,42.0,5,5233.5,1,3,2,5233.5,5,False,88.5,42.0,-4.5,1.0,0.0
15500,3,87.5,2,42.0,5,5231.5,1,3,2,5231.5,5,False,87.5,42.0,1.0,0.0,0.0
15600,3,87.5,2,42.0,5,5231.5,1,3,2,5231.5,5,False,87.5,42.0,2.0,0.0,0.0
15700,3,87.5,2,42.0,5,5231.5,1,3,2,5231.5,5,False,87.5,42.0,2.0,0.0,1.0
15800,2,88.0,2,42.0,6,5232.0,1,2,2,5232.0,6,True,88.0,42.0,0.0,0.0,0.0
15900,3,88.5,2,43.0,5,5233.5,1,3,2,5233.5,5,False,88.5,43.0,-0.5,-1.0,-1.0
16000,3,88.5,2,42.0,5,5233.5,1,3,2,5233.5,5,False,88.5,42.0,-1.0,0.0,0.0
16100,2,88.0,2,42.0,5,5231.5,1,2,2,5231.5,5,True,88.0,42.0,0.0,0.0,0.0
16200,2,88.0,2,42.0,5,5232.5,1,2,2,5232.5,5,True,88.0,42.0,-1.0,0.0,0.0
16300,3,87.5,2,42.0,2,5230.0,1,3,2,5230.0,2,False,87.5,42.0,0.5,0.0,-1.0
16400,3,87.5,2,42.0,6,5231.0,1,3,2,5231.0,6,False,87.5,42.0,-1.5,-1.0,-1.0
16500,3,88.5,2,42.0,5,5232.5,1,3,2,5232.5,5,False,88.5,42.0,-4.5,-1.0,-1.5
16600,3,87.5,2,42.0,5,5231.5,1,3,2,5231.5,5,False,87.5,42.0,-2.0,0.0,-1.0
16700,1,86.5,2,42.0,5,5231.5,1,1,2,5231.5,5,True,86.5,42.0,-4.5,0.0,-1.0
16800,3,87.5,2,42.0,5,5230.5,1,3,2,5230.5,5,False,87.5,42.0,-3.0,0.0,-1.5
16900,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,-1.0,1.0,0.0
17000,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,-1.0,1.0,0.0
17100,3,87.5,2,42.0,2,5229.0,1,3,2,5229.0,2,False,87.5,42.0,0.5,0.0,-1.0
17200,3,88.5,2,42.0,5,5232.5,1,3,2,5232.5,5,False,88.5,42.0,-4.0,1.0,-1.0
17300,2,88.0,2,42.0,5,5231.5,1,2,2,5231.5,5,True,88.0,42.0,-3.0,0.0,-1.0
17400,3,87.5,2,42.0,2,5229.0,1,3,2,5229.0,2,False,87.5,42.0,-0.5,0.0,-1.0
17500,3,88.5,2,42.0,5,5232.5,1,3,2,5232.5,5,False,88.5,42.0,-5.0,0.0,-2.0
17600,3,88.5,2,42.0,5,5233.5,1,3,2,5233.5,5,False,88.5,42.0,-4.5,0.0,-1.0
17700,3,88.5,2,43.0,5,5233.5,1,3,2,5233.5,5,False,88.5,43.0,-4.0,-1.0,-2.0
17800,3,88.5,2,42.0,2,5232.0,1,3,2,5232.0,2,False,88.5,42.0,-3.5,-1.0,-1.0
17900,3,88.5,2,42.0,6,5233.0,1,3,2,5233.0,6,False,88.5,42.0,-6.5,-1.0,-2.0
18000,3,88.5,2,42.0,5,5232.5,1,3,2,5232.5,5,False,88.5,42.0,-5.5,-1.5,-2.0
18100,2,88.0,2,42.0,5,5231.5,1,2,2,5231.5,5,True,88.0,42.0,-5.0,-1.0,-2.0
18200,3,87.5,2,42.0,5,5231.5,1,3,2,5231.5,5,False,87.5,42.0,-5.0,-1.0,-2.0
18300,2,87.0,2,41.0,5,5230.5,1,2,2,5230.5,5,True,87.0,41.0,-4.0,-0.5,-1.0
18400,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,-1.0,0.0,0.0
18500,3,85.5,1,40.5,6,5228.0,1,3,1,5228.0,6,False,85.5,40.5,0.0,0.5,0.0
18600,3,85.5,2,41.0,3,5229.5,1,3,2,5229.5,3,False,85.5,41.0,-1.5,0.0,0.0
18700,3,85.5,2,41.0,2,5227.0,1,3,2,5227.0,2,False,85.5,41.0,0.5,0.0,-1.0
18800,3,85.5,1,40.5,5,5227.5,1,3,1,5227.5,5,False,85.5,40.5,-0.5,0.5,-0.5
18900,3,85.5,2,41.0,5,5228.5,1,3,2,5228.5,5,False,85.5,41.0,-1.5,0.0,-1.0
19000,2,86.0,2,41.0,5,5228.5,1,2,2,5228.5,5,True,86.0,41.0,-2.5,-1.0,-1.0
19100,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,-2.0,0.0,-1.0
19200,2,86.0,2,41.0,5,5228.5,1,2,2,5228.5,5,True,86.0,41.0,-1.5,0.0,-1.0
19300,3,85.5,2,41.0,5,5228.5,1,3,2,5228.5,5,False,85.5,41.0,0.0,0.0,0.0
19400,3,85.5,2,41.0,5,5228.5,1,3,2,5228.5,5,False,85.5,41.0,2.0,-1.0,0.0
19500,3,85.5,2,40.0,5,5227.5,1,3,2,5227.5,5,False,85.5,40.0,2.0,0.0,1.0
19600,3,86.5,2,41.0,6,5229.0,1,3,2,5229.0,6,False,86.5,41.0,1.5,-1.0,0.0
19700,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,-1.5,-1.0,0.0
19800,3,85.5,2,41.0,5,5228.5,1,3,2,5228.5,5,False,85.5,41.0,1.0,-1.0,0.0
19900,3,84.5,2,40.0,5,5226.5,1,3,2,5226.5,5,False,84.5,40.0,2.0,1.0,0.5
20000,2,85.0,2,40.0,6,5227.0,1,2,2,5227.0,6,True,85.0,40.0,0.5,0.5,0.0
20100,2,85.0,2,40.0,5,5226.5,1,2,2,5226.5,5,True,85.0,40.0,2.0,1.0,1.0
20200,2,85.0,2,40.0,5,5226.5,1,2,2,5226.5,5,True,85.0,40.0,1.0,0.0,0.0
20300,3,84.5,2,40.0,5,5226.5,1,3,2,5226.5,5,False,84.5,40.0,2.0,0.0,1.0
20400,2,86.0,2,41.0,5,5228.5,1,2,2,5228.5,5,True,86.0,41.0,1.0,-1.0,0.0
20500,3,85.5,1,40.5,6,5228.0,1,3,1,5228.0,6,False,85.5,40.5,2.5,-0.5,0.5
20600,3,85.5,2,41.0,6,5228.0,1,3,2,5228.0,6,False,85.5,41.0,4.0,-1.0,1.0
20700,3,85.5,2,40.0,5,5227.5,1,3,2,5227.5,5,False,85.5,40.0,3.0,0.0,1.0
20800,2,85.0,2,40.0,6,5227.0,1,2,2,5227.0,6,True,85.0,40.0,4.5,1.0,2.0
20900,2,85.0,2,40.0,6,5227.0,1,2,2,5227.0,6,True,85.0,40.0,4.0,1.0,1.0
21000,3,84.5,2,40.0,6,5226.0,1,3,2,5226.0,6,False,84.5,40.0,4.5,1.0,1.0
21100,3,85.5,2,40.0,5,5227.5,1,3,2,5227.5,5,False,85.5,40.0,3.0,1.0,1.0
21200,2,85.0,2,40.0,6,5227.0,1,2,2,5227.0,6,True,85.0,40.0,5.5,1.0,2.0
21300,2,86.0,2,41.0,5,5228.5,1,2,2,5228.5,5,True,86.0,41.0,3.0,0.0,1.0
21400,3,87.5,2,41.0,5,5230.5,1,3,2,5230.5,5,False,87.5,41.0,-1.5,-0.5,0.0
21500,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,2.0,-1.0,1.0
21600,2,87.0,2,41.0,5,5230.5,1,2,2,5230.5,5,True,87.0,41.0,1.5,0.0,1.0
21700,3,86.5,2,41.0,2,5228.0,1,3,2,5228.0,2,False,86.5,41.0,3.5,-1.0,1.0
21800,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,3.0,0.0,1.0
21900,3,85.5,1,40.5,5,5228.5,1,3,1,5228.5,5,False,85.5,40.5,4.0,0.5,1.5
22000,3,85.5,2,40.0,5,5227.5,1,3,2,5227.5,5,False,85.5,40.0,5.0,1.0,2.0
22100,3,86.5,2,41.0,5,5228.5,1,3,2,5228.5,5,False,86.5,41.0,4.0,1.0,2.0
22200,3,85.5,2,40.0,5,5227.5,1,3,2,5227.5,5,False,85.5,40.0,8.0,1.0,3.0
22300,2,86.0,2,41.0,5,5228.5,1,2,2,5228.5,5,True,86.0,41.0,6.0,1.0,2.0
22400,3,86.5,2,41.0,5,5229.5,1,3,2,5229.5,5,False,86.5,41.0,6.0,0.0,2.0
22500,2,87.0,2,41.0,5,5230.5,1,2,2,5230.5,5,True,87.0,41.0,4.5,0.0,2.0
22600,2,88.0,2,42.0,6,5232.0,1,2,2,5232.0,6,True,88.0,42.0,3.5,-1.0,1.0
22700,2,87.0,2,41.0,5,5230.5,1,2,2,5230.5,5,True,87.0,41.0,4.0,1.0,2.0
22800,3,87.5,2,42.0,5,5231.5,1,3,2,5231.5,5,False,87.5,42.0,2.0,0.0,1.0
22900,3,87.5,2,41.0,6,5231.0,1,3,2,5231.0,6,False,87.5,41.0,3.5,0.0,1.0
23000,3,87.5,2,41.0,5,5230.5,1,3,2,5230.5,5,False,87.5,41.0,1.0,1.0,1.0
23100,2,87.0,2,41.0,5,5230.5,1,2,2,5230.5,5,True,87.0,41.0,1.0,1.0,1.0
23200,2,88.0,2,42.0,5,5232.5,1,2,2,5232.5,5,True,88.0,42.0,-1.0,0.0,0.0
23300,3,87.5,2,42.0,5,5231.5,1,3,2,5231.5,5,False,87.5,42.0,2.0,0.0,0.0
