day,timestamp,n_trades,symbols,ext_fwd20,vev5200_fwd20,vev5300_fwd20
3,890900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",9.0,5.0,2.5
3,428900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.5,-3.0,-1.0
3,705400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,0.5,0.5
3,370100,6,"VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300",6.0,3.5,1.5
2,519600,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,-1.0,-1.0
3,369800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,2.5,1.0
3,511800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.0,2.0,1.5
3,516400,6,"HYDROGEL_PACK,VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,-1.0,0.0
3,269000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.5,-4.0,-2.5
1,16700,6,"VEV_4000,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.5,-1.0,-1.0
2,433100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,-0.5,-1.0
3,555100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,-1.0,-0.5
3,622500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,1.0,0.5
1,14800,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.0,-1.0,-1.0
3,328700,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",8.0,4.5,2.5
1,642100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,-1.5,-1.0
1,624400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-7.0,-4.5,-3.0
2,414900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",9.0,5.0,3.0
3,943900,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,0.5
3,98900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,-0.5,-1.0
3,320200,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.5,1.5,0.5
3,535900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.0,3.0,1.5
1,710500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",6.0,5.0,2.0
3,92200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.5,-0.5,-1.0
2,225500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.0,-2.0,-2.0
3,728500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-1.0,-1.5
1,807800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.5,-2.5,-2.0
3,878300,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-9.5,-5.5,-2.0
1,190100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,0.0,-1.0
1,588200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.0,-2.0,-2.0
3,142700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,2.5,1.5
2,189100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,0.5
2,390300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",6.0,4.5,2.0
3,329200,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500",6.5,3.5,2.0
3,730000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-9.5,-4.0,-3.0
3,442200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,3.0,1.0
3,319700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-1.0,-1.0
3,547600,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,2.0,1.5
2,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,0.0,-1.0
3,364700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,0.5,0.0
1,701200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",8.0,5.0,3.0
3,317200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-0.5,-0.5
1,195600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.0,3.0,1.0
3,785100,5,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_6000,VEV_6500",5.5,4.0,1.5
3,315800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,0.5
2,495700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.5,1.0,0.5
2,808800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-9.0,-3.0,-3.0
3,350300,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500",-4.0,-3.0,-1.5
3,807400,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,1.5
3,32900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.5,2.5,1.0
2,204400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",6.0,6.0,2.5
1,812600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.0,-2.5,-2.0
3,894300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,-0.5
1,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,3.0,2.0
1,150600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-9.0,-5.0,-4.0
3,289400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-7.0,-2.5,-2.0
2,711900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-7.0,-4.0,-3.0
2,779200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.0,-2.5,-2.0
3,290900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.5,-1.0
2,365600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,3.0,1.0
3,839800,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.0,-4.0,-1.5
2,350700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-7.5,-3.0,-3.0
1,950300,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.0,6.0,3.5
1,172500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.5,-2.0,-2.0
2,443600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",11.5,7.0,4.5
3,826200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,-0.5,0.5
3,535400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,3.5,1.5
3,332600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.0,-2.5,-2.0
1,460400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",6.0,5.0,2.0
2,764000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,0.0,-0.5
3,126600,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,-0.5,0.0
1,785800,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,3.0,2.5
3,741100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,3.0,1.0
1,135900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.5,-3.0,-2.0
2,389000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,0.0
1,604600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.5,-2.0,-2.0
3,777600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.5,0.5,0.5
3,868300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-0.5,-1.0
3,137700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.0,-1.5,-1.5
2,793900,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,-0.5,-0.5
3,753700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,2.0,0.5
3,864100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,2.5,1.5
3,346200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.0,-2.5,-1.0
3,820200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,0.5,-0.5
2,461200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.5,3.0,1.0
1,725000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-8.0,-4.0,-3.0
2,358500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.5,3.0,1.0
2,321600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-0.5,0.0,0.0
2,456200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,1.5,1.5
3,531500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-0.5,-1.0
3,529600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.5,-0.5
2,587100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,3.0,0.5
2,604100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.0,5.0,2.0
1,617900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,0.5,0.0
3,580600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.0,-0.5
1,674000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.0,4.0,1.0
3,459800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,-0.5,-0.5
1,636100,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500",-11.0,-6.0,-4.0
2,836300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,0.0
3,584300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.0,-2.5,-2.0
1,40400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,0.0,-1.0
3,385400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.0,4.0,1.5
3,977300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-7.0,-3.5,-2.0
3,627700,5,"VEV_5200,VEV_5300,VEV_5400,VEV_6000,VEV_6500",-9.5,-6.0,-3.0
2,555700,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-0.5,-0.5
3,671900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",8.0,6.0,3.0
2,239400,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",11.0,8.0,5.5
2,79300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.0,5.0,2.5
3,642500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",8.0,6.0,3.0
3,396000,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,-1.0,0.5
3,218300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,3.0,1.0
2,75200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-1.0,-1.5
2,45100,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.5,1.0,1.0
3,391400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.5,1.0,0.0
3,671800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",11.5,7.5,3.5
3,220800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.0,-3.0,-2.0
1,618300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,0.5,-1.0
3,634500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,2.5,0.5
2,289300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.0,-1.0
3,631500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.0,-1.5,-2.0
3,983300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,0.0,-0.5
3,631300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.5,-1.5,-1.0
3,389100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.0,4.5,2.0
1,376600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,0.5
2,501900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.5,-2.0,-2.0
2,320800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.0,1.5,0.0
3,708800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",11.0,8.0,4.0
2,20900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.5,-1.0,-1.0
3,612700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",8.0,6.0,2.5
1,568900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,0.0,-1.0
3,33600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,1.0,0.0
1,85300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.5,4.0,1.0
3,918500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.0,4.0,1.5
3,700300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,-0.5
2,129700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.5,1.0,0.0
2,876500,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.0,3.5,3.5
2,588500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,-0.5,-0.5
2,872600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.0,-1.0
3,689900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.5,3.0,1.0
2,826400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-0.5,1.0,0.0
2,993800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",9.0,7.5,4.0
1,519500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,0.0
1,74100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,3.0,1.0
3,243700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.5,-0.5
3,456600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,0.0,-0.5
3,624200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",12.0,6.5,4.5
3,793100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",1.0,1.0,0.0
1,741900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.0,3.0,2.5
2,253000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,-1.0,-0.5
1,235300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.0,3.0,2.5
1,754200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.0,4.0,2.5
3,614800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.5,-3.5,-1.5
1,377900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",3.0,3.0,1.0
3,47200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.0,1.5,1.5
2,275200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.0,-2.0,-1.5
1,746300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.5,-1.5,-1.5
2,763500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.5,3.5,2.5
2,102600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.5,-2.0,-0.5
3,784100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.5,5.0,2.5
3,40200,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500",-10.5,-6.0,-4.0
3,54400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,3.0,2.0
3,556400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.0,0.0
3,621000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.5,2.5,1.5
2,398200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.0,2.0,0.5
3,788300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,0.0,0.5
1,410400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,0.5
2,268900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.5,-1.0,-0.5
1,399700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",5.0,3.0,2.5
3,583100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.0,-1.5,-0.5
1,428000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-2.0,0.0,-0.5
2,347800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-0.5,0.0,0.5
1,715000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,3.0,1.5
1,322600,4,"VEV_5200,VEV_5500,VEV_6000,VEV_6500",-4.0,-2.5,-0.5
3,565600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-0.5,1.0,0.5
1,322000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,0.5
2,825900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.5,-1.0,-0.5
2,341400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,1.5
3,45600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.0,2.0,0.5
1,703200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.5,3.5,2.5
1,684000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.5,2.0,1.5
2,23500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.5,2.0,1.5
1,310100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-4.0,-1.0,-0.5
2,316700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-6.0,-3.0,-2.0
2,317500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,0.5
2,13100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.5,2.5,1.5
1,304000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,0.5,0.5
3,87300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,0.0,-0.5
2,29500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.0,-2.0,-1.5
2,376300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.0,-2.0,-1.5
3,766900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.5,1.5,1.5
3,37000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-9.0,-5.0,-3.5
1,735100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-8.0,-4.5,-2.5
2,898600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,1.0
1,654200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.5,0.5
2,287100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-2.0,-1.5
2,287600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,0.5,0.5
2,362600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",-4.0,-2.0,-2.0
3,74300,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500",-1.0,0.0,-1.0
3,666500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.0,0.5
1,350300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.5,0.0,-0.5
3,69900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",8.0,7.0,4.5
2,41900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,0.5
1,455700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.0,-1.0,-0.5
3,70100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",10.0,7.0,4.5
2,294600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.5,4.0,2.5
3,678700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.5,2.0,1.5
3,70300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.0,6.0,3.5
2,42900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,4.0,2.5
3,253400,4,"VEV_5200,VEV_5500,VEV_6000,VEV_6500",-2.5,-2.0,0.0
1,567200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",4.5,2.0,1.5
3,166000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.5,3.0,1.5
3,250200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-1.0,0.5,0.5
3,842200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",6.0,4.0,2.5
2,644500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,1.5
1,153000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-3.0,-1.0,-0.5
3,997100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",0.0,1.0,0.5
2,642400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",1.0,1.0,1.5
1,524000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.0,-2.0,-1.5
1,851200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",9.0,7.0,4.5
1,901100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",7.5,5.0,3.5
3,837500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",2.5,3.0,1.5
1,865400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",-5.5,-3.0,-1.5
2,622600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",3.0,2.5,1.5
1,553100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",2.0,2.0,1.0
