day,timestamp,n_trades,symbols,dominant_buyer,dominant_buyer_row_count,dominant_buyer_n_symbols,dominant_seller,dominant_seller_row_count,dominant_seller_n_symbols,n_unique_buyers,n_unique_sellers
3,555100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,622500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
1,14800,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,5,5,1,2
3,328700,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
1,642100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
1,624400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
2,414900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,943900,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,5,5,3,2
3,98900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,6,6,2,1
3,320200,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,3,2
3,535900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,6,6,Mark 22,6,6,1,1
1,710500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,92200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,225500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,728500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
1,807800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,878300,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
1,190100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,588200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,142700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
2,189100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,390300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,329200,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,5,5,2,1
3,730000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,442200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,319700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,547600,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
2,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,364700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,701200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
3,317200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,195600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,785100,5,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
3,315800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,495700,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
2,808800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,350300,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,807400,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
3,32900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,204400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,812600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,894300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,948500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,150600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,289400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,711900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,779200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,290900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,365600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,839800,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,350700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
1,950300,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
1,172500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,443600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,826200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,535400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,332600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,460400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,764000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,126600,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
1,785800,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
3,741100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,135900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,389000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,604600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,777600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,868300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,137700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,793900,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,753700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,864100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,346200,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
3,820200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,461200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
1,725000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,358500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,321600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,456200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,531500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,529600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,587100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,604100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,617900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,580600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,674000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,459800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,636100,5,"VEV_5200,VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,836300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,584300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,40400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,385400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,977300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,627700,5,"VEV_5200,VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,555700,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
3,671900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,239400,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,2,2
2,79300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,642500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,396000,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,218300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,75200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,45100,5,"HYDROGEL_PACK,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,4,4,3,2
3,391400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,671800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,220800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,618300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,634500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,289300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,631500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,983300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,631300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,389100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,376600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,501900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,320800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,708800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,20900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,612700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,568900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,33600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
1,85300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,918500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,700300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,129700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,876500,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
2,588500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,872600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,689900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,826400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
2,993800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,519500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
1,74100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,243700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,456600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,5,5,Mark 22,5,5,1,1
3,624200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,5,5,2,1
3,793100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,741900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,253000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,235300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,754200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
3,614800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,377900,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,4,4,2,1
3,47200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,275200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,746300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,4,4,2,1
2,763500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,102600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,4,4,2,1
3,784100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
3,40200,4,"VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,4,4,2,1
3,54400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
3,556400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
3,621000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,398200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
3,788300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,410400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,268900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,399700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
3,583100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,428000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,347800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,715000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,322600,4,"VEV_5200,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,4,4,2,1
3,565600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
1,322000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,825900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
2,341400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,3,3,Mark 22,4,4,2,1
3,45600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,4,4,Mark 22,4,4,1,1
