day,burst_ts,n_vev,vev5300_mid_at,spread_at,fwd5,fwd20
1,701200,4,43.5,1.0,0.5,3.0
1,703200,4,46.5,1.0,1.5,2.5
1,710500,4,50.0,2.0,0.0,2.0
1,715000,4,54.5,1.0,1.5,1.5
1,720500,4,54.0,2.0,-1.0,-1.5
1,725000,5,54.0,2.0,-1.0,-3.0
1,735100,3,59.5,1.0,-0.5,-2.5
1,741900,4,52.5,1.0,0.0,2.5
1,746300,3,57.5,1.0,0.5,-1.5
1,754200,4,50.5,1.0,1.5,2.5
1,760000,4,57.5,1.0,-0.5,-0.5
1,785800,4,47.5,1.0,0.5,2.5
1,798100,4,47.5,1.0,0.5,-0.5
1,800400,4,46.0,2.0,0.0,-2.0
1,801800,4,44.5,1.0,-0.5,-1.5
1,807800,5,46.0,2.0,0.5,-2.0
1,812600,5,41.0,2.0,-2.0,-2.0
1,813000,3,38.5,1.0,1.0,-0.5
1,824800,3,45.5,1.0,0.5,-0.5
1,851200,4,49.5,1.0,1.5,4.5
1,865400,4,46.5,1.0,0.5,-1.5
1,868800,3,44.5,1.0,-0.5,-1.5
1,901100,4,45.5,1.0,1.5,3.5
1,921000,4,53.5,1.0,1.5,1.5
1,928400,3,58.5,1.0,0.0,-3.5
1,937300,4,49.5,1.0,1.5,2.5
1,943100,4,44.5,1.0,-0.5,0.5
1,948500,5,46.0,2.0,0.0,2.0
1,950300,4,46.5,1.0,2.0,3.5
1,988100,5,47.0,2.0,0.0,2.0
1,990300,3,48.5,1.0,1.5,2.5
2,13100,4,51.5,1.0,0.5,1.5
2,20900,5,54.0,2.0,0.0,-1.0
2,23500,4,50.5,1.0,1.5,1.5
2,29500,4,51.5,1.0,-0.5,-1.5
2,41900,4,44.5,1.0,1.5,0.5
2,42900,4,45.5,1.0,1.5,2.5
2,45100,3,47.5,1.0,-0.5,1.0
2,52900,3,47.5,1.0,1.5,0.5
2,75200,5,47.0,2.0,0.0,-1.5
2,79300,4,48.0,2.0,-1.0,2.5
2,102600,3,49.5,1.0,0.5,-0.5
2,105500,4,48.0,2.0,1.0,1.0
2,129700,5,47.0,2.0,-1.0,0.0
2,169000,5,53.0,2.0,-0.5,-0.5
2,171800,4,52.5,1.0,0.5,2.0
2,189100,5,48.0,2.0,0.0,0.5
2,204400,5,48.0,2.0,1.0,2.5
2,225500,4,51.0,2.0,-2.0,-2.0
2,239400,4,47.5,1.0,1.5,5.5
2,253000,4,49.5,1.0,0.5,-0.5
2,268900,4,55.5,1.0,-0.5,-0.5
2,272000,3,54.5,1.0,0.5,0.5
2,275200,4,53.5,1.0,-0.5,-1.5
2,287100,4,53.5,1.0,0.0,-1.5
2,287600,4,53.5,1.0,0.5,0.5
2,289300,4,53.0,2.0,0.0,-1.0
2,294600,3,49.5,1.0,2.5,2.5
2,316700,4,52.5,1.0,1.5,-2.0
2,317500,4,52.5,1.0,0.0,0.5
2,320800,5,53.0,2.0,-1.0,0.0
2,321600,5,51.0,2.0,0.5,0.0
2,341400,3,50.5,1.0,0.0,1.5
2,347800,4,47.5,1.0,2.5,0.5
2,350700,4,48.0,2.0,-3.0,-3.0
2,358500,5,48.0,2.0,0.0,1.0
2,362600,4,48.0,2.0,0.0,-2.0
2,365600,5,46.0,2.0,0.0,1.0
2,373800,3,42.5,1.0,1.0,1.5
2,376300,4,43.5,1.0,-0.5,-1.5
2,389000,5,39.0,2.0,-0.5,0.0
2,390300,5,39.0,2.0,1.0,2.0
2,398200,4,36.5,1.0,-0.5,0.5
2,410200,4,34.5,1.0,0.5,-0.5
2,414900,5,35.0,2.0,0.0,3.0
2,415500,4,34.5,1.0,0.5,2.5
2,423800,4,37.0,2.0,0.0,1.0
2,433100,5,39.0,2.0,0.0,-1.0
2,443600,4,37.5,1.0,1.5,4.5
2,456200,4,37.5,1.0,0.5,1.5
2,461200,4,37.5,1.0,0.5,1.0
2,483400,4,41.0,2.0,-1.0,-2.0
2,495700,4,38.5,1.0,1.5,0.5
2,501900,5,39.0,2.0,0.0,-2.0
2,508800,4,35.5,1.0,0.5,0.5
2,519600,5,41.0,2.0,-1.0,-1.0
2,548600,3,37.0,2.0,-0.5,0.0
2,554600,4,38.0,2.0,1.0,0.0
2,555700,4,37.5,1.0,1.5,-0.5
2,566700,4,33.5,1.0,1.0,0.5
2,575100,4,33.5,1.0,0.5,-1.5
2,587100,4,28.5,1.0,0.0,0.5
2,588500,5,29.0,2.0,1.0,-0.5
2,593000,4,29.5,1.0,1.0,2.0
2,604100,5,39.0,2.0,-1.0,2.0
2,622600,4,34.5,1.0,1.5,1.5
2,642400,4,37.5,1.0,0.5,1.5
2,644500,4,38.5,1.0,0.5,1.5
2,666500,5,43.0,2.0,0.0,1.5
2,688600,4,49.5,1.0,1.5,0.5
2,691100,4,48.5,1.0,0.5,1.5
2,695800,3,46.5,1.0,1.5,4.0
2,711900,5,44.0,2.0,-2.0,-3.0
2,726600,4,32.5,1.0,1.0,1.5
2,733200,4,32.5,1.0,0.5,0.5
2,748500,4,28.5,1.0,0.5,0.5
2,763500,4,30.5,1.0,2.0,2.5
2,764000,4,32.5,1.0,-0.5,-0.5
2,779200,5,38.0,2.0,0.0,-2.0
2,793900,4,37.5,1.0,0.5,-0.5
2,808800,4,45.0,2.0,-2.0,-3.0
2,825900,4,42.5,1.0,0.5,-0.5
2,826400,5,43.0,2.0,0.0,0.0
2,836300,4,44.0,2.0,-1.0,0.0
2,872600,5,40.0,2.0,0.0,-1.0
2,876500,4,37.5,1.0,0.5,3.5
2,898600,4,53.0,2.0,0.0,1.0
2,910900,3,50.5,1.0,-1.0,3.0
2,924200,3,54.5,1.0,-0.5,-2.0
2,934900,4,50.5,1.0,0.0,-2.0
2,948000,3,49.5,1.0,0.5,-0.5
2,948500,4,50.0,2.0,-1.0,-1.0
2,972800,3,47.0,2.0,-1.0,0.0
2,977300,3,47.0,2.0,0.0,0.0
2,977500,4,47.0,2.0,0.0,0.0
2,993800,5,51.0,2.0,1.0,4.0
3,32900,5,46.0,2.0,1.0,1.0
3,33600,4,47.0,2.0,1.0,0.0
3,37000,4,46.5,1.0,-0.5,-3.5
3,40200,3,42.0,2.0,-2.0,-4.0
3,45600,4,37.5,1.0,0.5,0.5
3,47200,4,37.5,1.0,0.5,1.5
3,54400,4,37.5,1.0,0.5,2.0
3,69900,4,40.5,1.0,0.5,4.5
3,70100,4,39.5,1.0,1.5,4.5
3,70300,4,40.5,1.0,-0.5,3.5
3,74300,4,42.0,2.0,0.0,-1.0
3,87300,4,36.5,1.0,0.5,-0.5
3,92200,5,41.0,2.0,0.0,-1.0
3,98900,5,40.0,2.0,-1.0,-1.0
3,118700,4,32.5,1.0,1.5,3.5
3,126600,4,33.5,1.0,0.5,0.0
3,128700,5,33.5,1.0,0.0,3.5
3,132100,4,36.5,1.0,2.5,3.0
3,137700,5,37.0,2.0,-0.5,-1.5
3,142700,4,33.5,1.0,2.5,1.5
3,144800,4,34.5,1.0,1.5,1.5
3,155400,5,34.0,2.0,0.0,-2.0
3,166000,4,33.5,1.0,0.5,1.5
3,172300,3,36.5,1.0,-0.5,0.5
3,218300,5,30.0,2.0,0.0,1.0
3,220800,5,31.5,1.0,0.5,-2.0
3,222400,6,30.0,2.0,-0.5,0.0
3,243700,5,32.0,2.0,0.0,-0.5
3,250200,4,31.5,1.0,1.5,0.5
3,253400,3,33.5,1.0,0.5,0.0
3,269000,4,32.5,1.0,0.5,-2.5
3,273400,3,31.5,1.0,1.5,1.5
3,289400,5,32.0,2.0,-1.0,-2.0
3,290900,5,30.0,2.0,0.0,-1.0
3,315800,5,28.5,1.0,0.0,0.5
3,317200,5,28.5,1.0,0.5,-0.5
3,319700,5,28.0,2.0,-0.5,-1.0
3,320200,4,27.5,1.0,-0.5,0.5
3,328700,5,30.0,2.0,0.5,2.5
3,329200,3,30.5,1.0,0.5,2.0
3,332600,5,33.0,2.0,-1.5,-2.0
3,346200,4,27.5,1.0,0.5,-1.0
3,350300,4,27.5,1.0,-0.5,-1.5
3,363100,6,27.5,1.0,-0.5,-0.5
3,364700,5,27.5,1.0,-0.5,0.0
3,369800,5,29.0,2.0,0.0,1.0
3,385400,5,33.0,2.0,0.5,1.5
3,389100,5,33.0,2.0,1.0,2.0
3,391400,5,35.0,2.0,0.0,0.0
3,396000,4,36.5,1.0,1.0,0.5
3,428900,5,25.5,1.0,-0.5,-1.0
3,431900,6,24.5,1.0,0.0,0.5
3,442200,5,24.0,2.0,0.5,1.0
3,451300,4,23.5,1.0,-1.0,-0.5
3,456600,5,24.0,2.0,-0.5,-0.5
3,459800,5,24.0,2.0,-0.5,-0.5
3,483900,4,23.0,2.0,1.0,2.0
3,485500,4,24.5,1.0,0.5,-1.0
3,498100,4,21.5,1.0,-0.5,-0.5
3,511800,6,20.5,1.0,0.5,1.5
3,516400,5,22.5,1.0,0.5,0.0
3,524000,6,21.5,1.0,-0.5,0.0
3,529600,4,20.5,1.0,0.0,-0.5
3,531500,5,20.5,1.0,-1.0,-1.0
3,535400,5,18.5,1.0,0.5,1.5
3,535900,6,19.0,2.0,0.5,1.5
3,547600,4,21.5,1.0,1.0,1.5
3,551600,4,24.0,2.0,0.0,1.0
3,555100,5,26.5,1.0,-0.5,-0.5
3,556400,4,24.5,1.0,1.5,0.0
3,565600,4,26.5,1.0,0.5,0.5
3,580600,5,26.0,2.0,0.5,-0.5
3,583100,4,24.5,1.0,0.5,-0.5
3,584300,5,25.0,2.0,-1.0,-2.0
3,612700,5,28.0,2.0,1.0,2.5
3,614800,4,29.5,1.0,1.0,-1.5
3,621000,4,24.5,1.0,0.0,1.5
3,622500,5,25.5,1.0,0.5,0.5
3,624200,4,25.5,1.0,1.5,4.5
3,627700,5,31.0,2.0,-0.5,-3.0
3,631300,5,29.5,1.0,-0.5,-1.0
3,631500,5,30.0,2.0,-2.0,-2.0
3,634500,4,29.5,1.0,0.0,0.5
3,642500,4,33.0,2.0,0.0,3.0
3,666500,4,36.5,1.0,0.5,0.5
3,666700,3,36.5,1.0,0.5,0.0
3,671800,5,33.5,1.0,0.0,3.5
3,671900,5,34.0,2.0,-1.0,3.0
3,678700,4,35.5,1.0,0.0,1.5
3,689900,5,31.0,2.0,1.0,1.0
3,699400,5,33.0,2.0,0.0,-1.0
3,700300,4,32.5,1.0,0.0,-0.5
3,705400,5,32.5,1.0,-0.5,0.5
3,708800,5,35.0,2.0,1.0,4.0
3,728500,4,36.5,1.0,0.5,-1.5
3,730000,5,37.0,2.0,-2.0,-3.0
3,741100,5,30.0,2.0,0.5,1.0
3,753700,5,27.5,1.0,0.5,0.5
3,766900,4,27.5,1.0,0.5,1.5
3,777600,4,26.5,1.0,1.5,0.5
3,784100,4,30.5,1.0,1.5,2.5
3,785100,4,31.5,1.0,1.5,1.5
3,788300,4,32.5,1.0,3.0,0.5
3,793100,4,33.0,2.0,0.0,0.0
3,807400,4,36.5,1.0,0.5,1.5
3,820200,5,35.0,2.0,0.0,-0.5
3,826200,4,32.5,1.0,0.5,0.5
3,834400,5,30.0,2.0,-1.0,-1.5
3,837500,4,29.5,1.0,0.5,1.5
3,839800,4,29.5,1.0,-0.5,-1.5
3,842200,4,27.5,1.0,1.5,2.5
3,864100,5,26.5,1.0,0.0,1.5
3,868300,5,28.0,2.0,0.5,-1.0
3,877600,5,28.5,1.0,-0.5,-1.0
3,878300,4,27.5,1.0,0.5,-2.0
3,890900,6,28.0,2.0,0.0,2.5
3,894300,5,30.0,2.0,-1.0,-0.5
3,918500,5,35.0,2.0,0.0,1.5
3,937000,4,34.5,1.0,1.5,1.5
3,937400,4,34.5,1.0,1.5,0.5
3,943900,3,39.5,3.0,-0.5,0.5
3,977300,5,32.0,2.0,-1.0,-2.0
3,983300,4,30.5,1.0,-0.5,-0.5
3,997100,4,26.5,1.0,1.0,0.5
