day,ts,buyer,seller,sym,price,side,spread,spr_q,burst_n,fwd_5,fwd_20,fwd_100,ex_fwd_20
1,14800,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,6,0.0,0.0,0.0,-4.0
1,14800,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,6,0.0,0.0,0.0,-4.0
1,14800,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,6,0.0,0.0,0.0,-4.0
1,15000,Mark 38,Mark 14,HYDROGEL_PACK,9966.0,buyer_agg,15.0,tight,1,-1.5,-11.5,-6.5,-4.0
1,16700,Mark 14,Mark 38,VEV_4000,1221.0,seller_agg,10.0,tight,6,6.5,2.0,4.5,-4.5
1,16700,Mark 01,Mark 22,VEV_5300,41.0,seller_agg,2.0,tight,6,0.0,-1.0,-1.0,-4.5
1,16700,Mark 01,Mark 22,VEV_5400,14.0,seller_agg,1.0,tight,6,0.0,-1.0,-0.5,-4.5
1,16700,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,6,0.0,-0.5,0.0,-4.5
1,16700,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,6,0.0,0.0,0.0,-4.5
1,16700,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,6,0.0,0.0,0.0,-4.5
1,17300,Mark 14,Mark 38,VEV_4000,1221.0,seller_agg,21.0,tight,1,2.0,-3.0,4.0,-3.0
1,17400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5230.0,buyer_agg,2.0,tight,1,4.0,-0.5,7.5,-0.5
1,17900,Mark 38,Mark 14,VEV_4000,1243.0,buyer_agg,20.0,tight,1,-3.5,-6.5,4.5,-6.5
1,19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5226.0,seller_agg,5.0,tight,1,0.0,0.0,11.0,0.0
1,20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5224.0,seller_agg,5.0,tight,1,1.0,1.0,11.0,1.0
1,22800,Mark 14,Mark 38,HYDROGEL_PACK,9946.0,seller_agg,16.0,tight,1,-3.0,-1.0,2.0,2.0
1,25700,Mark 38,Mark 14,VEV_4000,1241.0,buyer_agg,20.0,tight,1,-0.5,7.5,3.0,7.0
1,29300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5237.0,seller_agg,5.0,tight,1,2.0,-7.5,-5.0,-7.5
1,30800,Mark 14,Mark 38,HYDROGEL_PACK,9940.0,seller_agg,16.0,tight,1,-1.0,8.0,-3.0,2.5
1,31400,Mark 38,Mark 14,HYDROGEL_PACK,9953.0,buyer_agg,16.0,tight,1,0.5,10.0,-1.0,7.0
1,31700,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5237.0,buyer_agg,5.0,tight,1,1.5,1.0,-6.5,1.0
1,32000,Mark 14,Mark 38,HYDROGEL_PACK,9938.0,seller_agg,16.0,tight,1,6.0,5.0,5.0,-1.0
1,32600,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5240.0,buyer_agg,5.0,tight,1,2.5,-2.5,-7.0,-2.5
1,32800,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5238.0,buyer_agg,2.0,tight,1,2.5,-1.5,-5.5,-1.5
1,33600,Mark 14,Mark 38,HYDROGEL_PACK,9948.0,seller_agg,16.0,tight,1,-6.0,-2.0,6.5,-3.0
1,36200,Mark 38,Mark 14,VEV_4000,1244.0,buyer_agg,21.0,tight,1,-0.5,-1.5,15.0,-0.5
1,36500,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5232.0,seller_agg,3.0,tight,1,-3.0,-2.0,13.0,-2.0
1,37400,Mark 14,Mark 38,HYDROGEL_PACK,9936.0,seller_agg,16.0,tight,1,7.0,-1.0,25.0,0.0
1,38500,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,3,0.0,0.0,1.0,2.0
1,38500,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,2.0
1,38500,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,2.0
1,38700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5228.0,seller_agg,6.0,wide,1,3.5,1.0,14.5,1.0
1,39400,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5234.0,buyer_agg,1.0,tight,2,2.0,-5.0,11.0,-5.0
1,39400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5233.0,buyer_agg,1.0,tight,2,2.0,-5.0,11.0,-5.0
1,39800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5232.0,seller_agg,6.0,wide,1,-2.0,-5.5,11.5,-5.5
1,40400,Mark 01,Mark 22,VEV_5300,41.0,seller_agg,2.0,tight,5,0.0,-1.0,5.0,-2.0
1,40400,Mark 01,Mark 22,VEV_5400,14.0,seller_agg,1.0,tight,5,-0.5,-0.5,2.0,-2.0
1,40400,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,5,0.0,0.0,1.0,-2.0
1,40400,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,-2.0
1,40400,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,-2.0
1,40900,Mark 38,Mark 14,HYDROGEL_PACK,9951.0,buyer_agg,16.0,tight,1,1.0,10.0,36.0,-2.0
1,41300,Mark 38,Mark 14,HYDROGEL_PACK,9953.0,buyer_agg,16.0,tight,1,1.0,14.0,31.0,3.5
1,43400,Mark 01,Mark 22,VEV_5400,13.0,seller_agg,2.0,wide,4,0.5,2.0,1.5,8.5
1,43400,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,4,0.0,0.5,1.0,8.5
1,43400,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,8.5
1,43400,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,8.5
1,43600,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5229.0,seller_agg,5.0,tight,1,4.5,10.5,12.0,10.5
1,43900,Mark 14,Mark 38,HYDROGEL_PACK,9952.0,seller_agg,16.0,tight,1,7.0,9.0,6.0,13.0
1,45200,Mark 14,Mark 38,HYDROGEL_PACK,9961.0,seller_agg,16.0,tight,1,3.0,4.0,-23.0,4.0
1,45400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5241.0,buyer_agg,2.0,tight,1,7.5,6.0,7.5,6.0
1,47700,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5243.0,seller_agg,2.0,tight,1,0.5,1.5,3.5,1.5
1,48300,Mark 14,Mark 38,HYDROGEL_PACK,9960.0,seller_agg,15.0,tight,1,-1.5,12.5,-13.5,0.5
1,48900,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5241.0,seller_agg,5.0,tight,1,0.0,-0.5,2.0,-0.5
1,49800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5244.0,seller_agg,5.0,tight,1,-0.5,1.0,0.5,1.0
1,50200,Mark 14,Mark 38,VEV_4000,1236.0,seller_agg,21.0,tight,1,-7.5,0.0,1.0,0.0
1,50300,Mark 38,Mark 14,VEV_4000,1257.0,buyer_agg,21.0,tight,1,-3.0,1.0,1.0,1.5
1,50700,Mark 01,Mark 22,VEV_5400,16.0,seller_agg,1.0,tight,4,0.0,0.5,0.0,2.0
1,50700,Mark 01,Mark 22,VEV_5500,7.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,2.0
1,50700,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,2.0
1,50700,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,2.0
1,51700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5243.0,seller_agg,5.0,tight,1,1.0,0.0,0.0,0.0
1,52400,Mark 14,Mark 38,HYDROGEL_PACK,9961.0,seller_agg,16.0,tight,1,0.0,-15.0,-29.0,-1.0
1,52800,Mark 01,Mark 22,VEV_5400,16.0,seller_agg,1.0,tight,4,0.0,0.0,-0.5,-3.0
1,52800,Mark 01,Mark 22,VEV_5500,7.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-3.0
1,52800,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-3.0
1,52800,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-3.0
1,53000,Mark 14,Mark 38,HYDROGEL_PACK,9961.0,seller_agg,16.0,tight,1,-1.0,-21.5,-26.5,0.0
1,53400,Mark 14,Mark 22,VEV_5500,7.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,5.0
1,53400,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,5.0
1,53400,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,5.0
1,53800,Mark 38,Mark 14,VEV_4000,1255.0,buyer_agg,21.0,tight,1,-1.0,1.0,-2.0,3.0
1,54400,Mark 14,Mark 38,VEV_4000,1234.0,seller_agg,21.0,tight,1,-1.0,1.0,0.0,1.0
1,57600,Mark 38,Mark 14,VEV_4000,1257.0,buyer_agg,21.0,tight,1,2.0,0.0,0.0,0.0
1,59300,Mark 14,Mark 38,HYDROGEL_PACK,9949.0,seller_agg,16.0,tight,1,-2.0,-5.0,0.5,-2.0
1,59600,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5244.0,seller_agg,5.0,tight,1,0.0,-1.0,-2.0,-1.0
1,60300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5245.0,seller_agg,5.0,tight,1,-1.0,-4.0,-5.0,-4.0
1,61100,Mark 38,Mark 14,HYDROGEL_PACK,9961.0,buyer_agg,16.0,tight,1,0.0,-11.0,10.0,-3.5
1,61400,Mark 38,Mark 14,HYDROGEL_PACK,9962.0,buyer_agg,16.0,tight,1,-6.0,-17.0,7.0,-3.0
1,62100,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5243.0,seller_agg,5.0,tight,1,-2.0,-4.0,-2.0,-4.0
1,62600,Mark 38,Mark 14,VEV_4000,1254.0,buyer_agg,21.0,tight,1,-1.5,-1.0,-5.0,-1.0
1,63100,Mark 38,Mark 14,VEV_4000,1252.0,buyer_agg,20.0,tight,1,3.5,2.5,-3.5,2.5
1,63200,Mark 38,Mark 14,HYDROGEL_PACK,9950.0,buyer_agg,16.0,tight,2,-5.0,-5.0,29.0,2.0
1,63200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5240.0,seller_agg,5.0,tight,2,1.0,2.0,-5.0,2.0
1,64200,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5245.0,buyer_agg,5.0,tight,1,1.0,-0.5,-5.5,-0.5
1,64300,Mark 14,Mark 38,HYDROGEL_PACK,9933.0,seller_agg,16.0,tight,1,-4.0,10.0,42.0,-1.0
1,65400,Mark 14,Mark 38,HYDROGEL_PACK,9930.0,seller_agg,16.0,tight,1,4.5,18.0,45.0,5.0
1,65700,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5240.0,seller_agg,5.0,tight,1,-0.5,6.0,-5.0,6.0
1,65900,Mark 14,Mark 38,HYDROGEL_PACK,9935.0,seller_agg,15.0,tight,1,6.0,15.5,40.5,5.0
1,67700,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5250.0,buyer_agg,3.0,tight,1,-2.0,-4.0,-11.0,-4.0
1,68000,Mark 38,Mark 14,VEV_4000,1258.0,buyer_agg,21.0,tight,1,-1.0,-4.0,-9.0,-4.0
1,69500,Mark 14,Mark 38,HYDROGEL_PACK,9952.0,seller_agg,15.0,tight,1,-2.5,5.5,23.5,-3.0
1,70500,Mark 14,Mark 38,VEV_4000,1232.0,seller_agg,20.0,tight,1,-0.5,-3.0,-4.5,-3.0
1,73400,Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5237.0,buyer_agg,1.0,tight,2,0.0,4.0,0.0,4.0
1,73400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,5236.0,buyer_agg,1.0,tight,2,0.0,4.0,0.0,4.0
1,73500,Mark 14,Mark 38,HYDROGEL_PACK,9966.0,seller_agg,16.0,tight,1,6.0,6.0,1.0,1.5
1,74100,Mark 01,Mark 22,VEV_5300,42.0,seller_agg,2.0,tight,5,1.0,1.0,-2.0,3.0
1,74100,Mark 01,Mark 22,VEV_5400,14.0,seller_agg,1.0,tight,5,1.0,1.0,-0.5,3.0
1,74100,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,3.0
1,74100,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,3.0
1,74100,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,3.0
1,74300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5238.0,buyer_agg,5.0,tight,1,4.5,4.0,-3.0,4.0
1,74400,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5235.0,seller_agg,5.0,tight,1,2.0,0.0,-5.0,0.0
1,76600,Mark 38,Mark 14,HYDROGEL_PACK,9995.0,buyer_agg,16.0,tight,1,4.0,3.0,-23.0,1.0
1,77300,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5241.0,buyer_agg,5.0,tight,1,-2.0,1.0,1.0,1.0
1,78300,Mark 14,Mark 38,VEV_4000,1229.0,seller_agg,21.0,tight,1,0.0,-2.0,1.0,-2.0
1,78400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5238.0,buyer_agg,2.0,tight,1,0.5,0.5,5.5,0.5
1,78500,Mark 38,Mark 14,HYDROGEL_PACK,10000.0,buyer_agg,16.0,tight,1,-2.5,-11.0,-32.0,-3.5
1,79000,Mark 14,Mark 38,HYDROGEL_PACK,9982.0,seller_agg,15.0,tight,1,-6.5,-7.5,-22.5,-2.5
1,79800,Mark 38,Mark 14,HYDROGEL_PACK,9994.0,buyer_agg,16.0,tight,1,-6.0,-16.0,-21.0,-2.0
1,81300,Mark 14,Mark 38,HYDROGEL_PACK,9970.0,seller_agg,16.0,tight,1,-8.0,-3.0,-20.0,-3.5
1,81700,Mark 38,Mark 14,HYDROGEL_PACK,9980.0,buyer_agg,16.0,tight,1,-3.0,1.0,-14.0,-2.0
1,81900,Mark 38,Mark 14,HYDROGEL_PACK,9978.0,buyer_agg,16.0,tight,1,1.0,2.0,-11.0,-3.5
1,82300,Mark 38,Mark 14,HYDROGEL_PACK,9977.0,buyer_agg,16.0,tight,2,2.0,4.0,-5.0,-5.0
1,82300,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5235.0,seller_agg,5.0,tight,2,-2.0,-5.0,5.0,-5.0
1,83200,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5237.0,buyer_agg,6.0,wide,1,1.0,0.5,10.5,0.5
1,84300,Mark 38,Mark 14,VEV_4000,1243.0,buyer_agg,21.0,tight,1,2.0,5.0,11.0,5.0
1,84600,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5233.0,buyer_agg,2.0,tight,1,4.5,4.5,12.5,4.5
1,85300,Mark 14,Mark 22,VEV_5300,42.0,seller_agg,2.0,tight,5,0.0,1.0,3.0,4.5
1,85300,Mark 01,Mark 22,VEV_5400,14.0,seller_agg,1.0,tight,5,0.0,1.0,1.5,4.5
1,85300,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,5,0.0,0.0,0.5,4.5
1,85300,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,4.5
1,85300,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,4.5
1,86100,Mark 01,Mark 22,VEV_5400,14.0,seller_agg,2.0,wide,4,-0.5,0.5,0.5,3.5
1,86100,Mark 01,Mark 22,VEV_5500,6.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,3.5
1,86100,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,3.5
1,86100,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,3.5
1,87900,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5239.0,seller_agg,5.0,tight,1,1.0,1.5,1.0,1.5
1,88500,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5242.0,buyer_agg,2.0,tight,1,2.0,3.5,4.5,3.5
1,89300,Mark 14,Mark 38,VEV_4000,1232.0,seller_agg,21.0,tight,1,-4.5,-1.0,3.0,-1.0
1,89800,Mark 01,Mark 22,VEV_5300,45.0,seller_agg,2.0,tight,4,0.0,-1.0,1.0,-2.0
1,89800,Mark 01,Mark 22,VEV_5400,15.0,seller_agg,2.0,wide,4,0.0,-0.5,1.0,-2.0
1,89800,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-2.0
1,89800,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,-2.0
1,91100,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5244.0,buyer_agg,5.0,tight,1,0.0,2.5,7.0,2.5
1,92000,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5243.0,buyer_agg,5.0,tight,1,3.0,5.0,3.5,5.0
1,92100,Mark 14,Mark 38,HYDROGEL_PACK,9955.0,seller_agg,16.0,tight,1,3.0,7.0,-11.0,6.0
1,92500,Mark 14,Mark 38,HYDROGEL_PACK,9956.0,seller_agg,16.0,tight,1,-1.0,0.0,-14.5,0.0
1,93700,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5246.0,buyer_agg,5.0,tight,1,2.0,-2.0,3.0,-2.0
1,93800,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5246.0,buyer_agg,5.0,tight,1,0.0,-2.0,4.0,-2.0
1,94400,Mark 38,Mark 14,HYDROGEL_PACK,9974.0,buyer_agg,16.0,tight,1,0.0,-2.0,-12.0,0.0
1,97100,Mark 14,Mark 38,HYDROGEL_PACK,9950.0,seller_agg,16.0,tight,1,1.0,-6.0,2.0,3.0
1,98600,Mark 38,Mark 14,HYDROGEL_PACK,9962.0,buyer_agg,16.0,tight,1,-2.0,-1.5,10.0,-0.5
1,99000,Mark 38,Mark 14,HYDROGEL_PACK,9961.0,buyer_agg,16.0,tight,1,-1.5,-9.0,11.0,2.0
1,100500,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5248.0,buyer_agg,5.0,tight,1,2.5,0.0,22.0,0.0
1,101400,Mark 14,Mark 38,HYDROGEL_PACK,9936.0,seller_agg,16.0,tight,1,7.0,4.0,13.0,-5.0
1,101500,Mark 14,Mark 38,HYDROGEL_PACK,9935.0,seller_agg,16.0,tight,1,8.0,5.0,14.0,-3.0
1,102500,Mark 14,Mark 38,VEV_4000,1235.0,seller_agg,21.0,tight,1,2.0,4.0,17.5,4.0
1,102800,Mark 14,Mark 38,VEV_4000,1236.0,seller_agg,21.0,tight,1,0.0,3.0,15.0,2.5
1,103100,Mark 38,Mark 14,HYDROGEL_PACK,9952.0,buyer_agg,16.0,tight,1,7.0,6.0,6.0,8.0
1,103500,Mark 14,Mark 38,HYDROGEL_PACK,9940.0,seller_agg,16.0,tight,1,5.0,-2.5,-1.0,10.0
1,104400,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5252.0,buyer_agg,5.0,tight,1,1.0,9.5,16.0,9.5
1,107100,Mark 14,Mark 38,HYDROGEL_PACK,9952.0,seller_agg,16.0,tight,1,0.0,5.0,-1.0,6.5
1,107900,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5267.0,buyer_agg,6.0,wide,1,0.0,6.5,-6.5,6.5
1,109000,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5265.0,buyer_agg,1.0,tight,1,4.0,0.0,-7.0,0.0
1,109100,Mark 14,Mark 38,HYDROGEL_PACK,9957.0,seller_agg,16.0,tight,1,1.0,-6.0,-13.0,-2.0
1,110100,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5265.0,seller_agg,5.0,tight,1,-1.0,-4.0,-9.0,-4.0
1,112000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5260.0,seller_agg,5.0,tight,1,2.0,2.0,1.0,2.0
1,112700,Mark 14,Mark 38,HYDROGEL_PACK,9948.0,seller_agg,16.0,tight,1,-6.0,-11.0,-9.0,2.0
1,113900,Mark 38,Mark 14,HYDROGEL_PACK,9956.0,buyer_agg,16.0,tight,1,0.0,-1.0,-6.0,-3.0
1,115500,Mark 14,Mark 38,HYDROGEL_PACK,9937.0,seller_agg,16.0,tight,1,4.0,24.0,1.0,-3.0
1,118800,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5257.0,seller_agg,5.0,tight,1,-1.5,1.0,5.0,1.0
1,119400,Mark 38,Mark 14,HYDROGEL_PACK,9962.0,buyer_agg,16.0,tight,1,3.0,-0.5,5.0,5.0
1,120300,Mark 01,Mark 22,VEV_5400,18.0,seller_agg,1.0,tight,4,1.0,1.5,1.0,6.5
1,120300,Mark 01,Mark 22,VEV_5500,8.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,6.5
1,120300,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,6.5
1,120300,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,4,0.0,0.0,0.0,6.5
1,120700,Mark 38,Mark 14,HYDROGEL_PACK,9958.0,buyer_agg,16.0,tight,1,4.0,-3.0,5.5,0.0
1,123300,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5262.0,seller_agg,5.0,tight,1,0.0,-1.0,-0.5,-1.0
1,125600,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5265.0,buyer_agg,5.0,tight,1,1.0,4.0,-2.0,4.0
1,126000,Mark 38,Mark 14,HYDROGEL_PACK,9953.0,buyer_agg,16.0,tight,1,1.0,10.0,8.0,2.5
1,127200,Mark 01,Mark 22,VEV_5500,8.0,seller_agg,1.0,tight,3,0.5,0.0,0.0,0.5
1,127200,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,0.5
1,127200,Mark 01,Mark 22,VEV_6500,0.0,seller_agg,1.0,tight,3,0.0,0.0,0.0,0.5
1,129100,Mark 38,Mark 14,VEV_4000,1275.0,buyer_agg,22.0,wide,1,0.0,1.5,-6.5,2.5
1,129500,Mark 38,Mark 14,HYDROGEL_PACK,9967.0,buyer_agg,16.0,tight,1,-2.0,-8.0,5.0,2.0
1,129800,Mark 14,Mark 38,HYDROGEL_PACK,9951.0,seller_agg,16.0,tight,1,-0.5,-8.0,9.0,-0.5
1,130800,Mark 14,Mark 38,HYDROGEL_PACK,9946.0,seller_agg,16.0,tight,1,-5.0,6.5,7.0,1.0
1,131300,Mark 49,Mark 55,VELVETFRUIT_EXTRACT,5265.0,seller_agg,3.0,tight,1,-2.5,-2.5,-8.0,-2.5
1,131800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5261.0,seller_agg,6.0,wide,1,0.0,3.5,-4.5,3.5
1,132600,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5263.0,buyer_agg,2.0,tight,1,1.5,-0.5,0.5,-0.5
1,133100,Mark 14,Mark 38,VEV_4000,1253.0,seller_agg,21.0,tight,1,2.5,-1.5,1.5,0.0
1,133700,Mark 14,Mark 38,HYDROGEL_PACK,9948.0,seller_agg,16.0,tight,1,-1.0,1.0,-2.0,-5.5
1,134000,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5264.0,seller_agg,5.0,tight,1,-5.0,-4.0,-4.5,-4.0
1,134500,Mark 14,Mark 38,HYDROGEL_PACK,9944.0,seller_agg,16.0,tight,1,4.0,-1.0,1.0,1.0
1,135200,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5264.0,buyer_agg,6.0,wide,1,0.0,-1.0,-0.5,-1.0
1,135500,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5257.0,seller_agg,5.0,tight,1,3.0,0.0,2.0,0.0
1,135900,Mark 01,Mark 22,VEV_5300,52.0,seller_agg,2.0,tight,5,0.0,-2.0,-0.5,-5.5
1,135900,Mark 01,Mark 22,VEV_5400,19.0,seller_agg,2.0,wide,5,0.0,-1.0,-0.5,-5.5
1,135900,Mark 01,Mark 22,VEV_5500,8.0,seller_agg,1.0,tight,5,0.0,-0.5,0.0,-5.5
1,135900,Mark 01,Mark 22,VEV_6000,0.0,seller_agg,1.0,tight,5,0.0,0.0,0.0,-5.5
