day,product,lag_v_minus_s,corr
2,VEV_4500,2,0.0021234956057351157
2,VEV_5000,-2,-0.0014480313005696033
2,VEV_5000,-1,0.0034274295093157906
2,VEV_5000,0,0.7548610096169358
2,VEV_5000,1,-0.005436025196019705
2,VEV_5000,2,0.0011006659130206524
2,VEV_5100,-2,-0.003772375579495402
2,VEV_5100,-1,-0.004644876382375377
2,VEV_5100,0,0.7681361424458129
2,VEV_5100,1,-0.01469292681319109
2,VEV_5100,2,0.008146472430987905
2,VEV_5200,-2,-0.004388382763598431
2,VEV_5200,-1,0.0008136053101228656
2,VEV_5200,0,0.7309421620772029
2,VEV_5200,1,-0.007949320506798608
2,VEV_5200,2,-0.0036310944130787085
2,VEV_5300,-2,-0.012049737852241723
2,VEV_5300,-1,0.0051847733415558445
2,VEV_5300,0,0.622460981889446
2,VEV_5300,1,-0.0013658353240359512
2,VEV_5300,2,-0.005674289176846739
2,VEV_5400,-2,-0.010295630824480205
2,VEV_5400,-1,0.014189711455642708
2,VEV_5400,0,0.5243896293641837
2,VEV_5400,1,0.0070501318240291395
2,VEV_5400,2,-0.02614166574075085
2,VEV_5500,-2,-0.0013277467061897704
2,VEV_5500,-1,0.0017224210411965126
2,VEV_5500,0,0.321130558625712
2,VEV_5500,1,0.00940955209529087
2,VEV_5500,2,-0.014845822095631848
2,VEV_6000,-2,
2,VEV_6000,-1,
2,VEV_6000,0,
2,VEV_6000,1,
2,VEV_6000,2,
2,VEV_6500,-2,
2,VEV_6500,-1,
2,VEV_6500,0,
2,VEV_6500,1,
2,VEV_6500,2,
