day,timestamp,fwd_u_5,fwd_u_20
3,37000,-3.0,-9.0
3,40200,-5.5,-10.5
3,45600,1.0,1.0
3,47200,0.0,1.0
3,54400,1.0,3.0
3,69900,-1.5,8.0
3,70100,1.0,10.0
3,70300,-2.0,7.0
3,74300,-0.5,-1.0
3,87300,-1.5,-1.5
3,92200,2.0,-2.5
3,98900,-2.0,0.0
3,118700,3.0,10.0
3,126600,0.0,-2.0
3,128700,0.5,9.0
3,132100,4.0,5.0
3,137700,-1.0,-4.0
3,142700,5.0,3.0
3,144800,4.0,3.0
3,155400,0.0,-6.0
3,166000,-0.5,3.5
3,172300,-3.5,-2.0
3,218300,1.0,4.0
3,220800,1.0,-6.0
3,222400,0.0,1.0
3,243700,1.0,-1.0
3,250200,0.5,-1.0
3,253400,-0.5,-2.5
3,269000,2.5,-6.5
3,273400,2.0,4.0
3,289400,-2.0,-7.0
3,290900,0.0,-1.0
3,315800,-0.5,2.0
3,317200,1.5,-3.0
3,319700,-1.5,-3.0
3,320200,-1.5,1.5
3,328700,2.0,8.0
3,329200,2.5,6.5
3,332600,-4.0,-5.0
3,346200,-1.0,-6.0
3,350300,0.0,-4.0
3,363100,-3.0,-1.5
3,364700,-2.0,0.0
3,369800,-0.5,4.0
3,385400,2.0,5.0
3,389100,3.5,7.0
3,391400,1.0,0.5
3,396000,1.0,-1.0
3,428900,-2.0,-4.5
3,431900,0.5,2.0
3,442200,2.0,3.0
3,451300,-3.0,-1.0
3,456600,-2.0,-2.0
3,459800,-3.5,-2.0
3,483900,3.0,7.0
3,485500,0.0,-6.0
3,498100,-2.5,-3.0
3,511800,1.0,5.0
3,516400,0.0,-2.0
3,524000,-4.0,0.0
3,529600,0.0,-1.0
3,531500,-3.0,-3.0
3,535400,0.0,4.0
3,535900,2.5,7.0
3,547600,1.0,3.0
3,551600,0.5,5.0
3,555100,-1.0,-2.0
3,556400,2.0,-1.0
3,565600,-1.0,-0.5
3,580600,1.5,-1.0
3,583100,0.0,-5.0
3,584300,-3.0,-6.0
3,612700,3.0,8.0
3,614800,1.5,-6.5
3,621000,-2.5,3.5
3,622500,2.0,2.0
3,624200,2.0,12.0
3,627700,-1.5,-9.5
3,631300,-1.5,-3.5
3,631500,-4.0,-4.0
3,634500,0.0,3.0
3,642500,1.0,8.0
3,666500,-0.5,-1.0
3,666700,0.0,-1.5
3,671800,1.5,11.5
3,671900,-2.0,8.0
3,678700,-2.5,1.5
3,689900,4.0,4.5
3,699400,0.0,-1.0
3,700300,0.5,0.0
3,705400,-2.0,0.0
3,708800,4.0,11.0
3,728500,0.0,-3.0
3,730000,-4.5,-9.5
3,741100,2.0,4.0
3,753700,2.0,4.0
3,766900,-1.5,1.5
3,777600,2.5,0.5
3,784100,2.0,5.5
3,785100,4.0,5.5
3,788300,6.5,-2.0
3,793100,1.5,1.0
3,807400,0.0,2.0
3,820200,1.0,0.0
3,826200,1.5,2.0
3,834400,-4.0,-4.0
3,837500,-1.0,2.5
3,839800,-3.5,-6.0
3,842200,3.0,6.0
3,864100,-1.0,3.0
3,868300,3.0,-3.0
3,877600,-1.0,-4.0
3,878300,-1.5,-9.5
3,890900,2.0,9.0
3,894300,-1.0,0.0
3,918500,1.0,5.0
3,937000,2.0,2.0
3,937400,2.0,0.0
3,943900,-0.5,2.0
3,977300,-3.5,-7.0
3,983300,0.0,0.0
3,997100,2.0,0.0
