buyer,seller,symbol,spread_regime,k,tape_day,fwd_same,baseline_mean,cell_n,residual
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,100,1,-1.0,-0.12447257383966245,237,-0.8755274261603375
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,-1.0,0.23694779116465864,249,-1.2369477911646587
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,-4.0,-0.09839357429718876,249,-3.9016064257028114
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,-1.0,-0.6847389558232931,249,-0.31526104417670686
Mark 01,Mark 22,VEV_5300,wide,5,1,0.0,-0.16666666666666666,108,0.16666666666666666
Mark 01,Mark 22,VEV_5300,wide,20,1,-1.0,-0.18055555555555555,108,-0.8194444444444444
Mark 01,Mark 22,VEV_5300,wide,100,1,0.0,-0.22429906542056074,107,0.22429906542056074
Mark 01,Mark 22,VEV_5400,wide,5,1,-0.5,-0.013307984790874524,263,-0.4866920152091255
Mark 01,Mark 22,VEV_5400,wide,20,1,-0.5,0.039923954372623575,263,-0.5399239543726235
Mark 01,Mark 22,VEV_5400,wide,100,1,-0.5,0.0038461538461538464,260,-0.5038461538461538
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,0.0,0.02508361204013378,299,-0.02508361204013378
Mark 01,Mark 22,VEV_5500,wide,100,1,0.0,-0.02356902356902357,297,0.02356902356902357
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 38,Mark 14,HYDROGEL_PACK,tight,5,1,-1.5,-1.7380952380952381,21,0.23809523809523814
Mark 38,Mark 14,HYDROGEL_PACK,tight,20,1,-11.5,-1.380952380952381,21,-10.119047619047619
Mark 38,Mark 14,HYDROGEL_PACK,tight,100,1,-6.5,3.0476190476190474,21,-9.547619047619047
Mark 14,Mark 38,VEV_4000,tight,5,1,6.5,0.35714285714285715,28,6.142857142857143
Mark 14,Mark 38,VEV_4000,tight,20,1,2.0,0.8392857142857143,28,1.1607142857142856
Mark 14,Mark 38,VEV_4000,tight,100,1,4.5,1.6428571428571428,28,2.857142857142857
Mark 01,Mark 22,VEV_5300,wide,5,1,0.0,-0.16666666666666666,108,0.16666666666666666
Mark 01,Mark 22,VEV_5300,wide,20,1,-1.0,-0.18055555555555555,108,-0.8194444444444444
Mark 01,Mark 22,VEV_5300,wide,100,1,-1.0,-0.22429906542056074,107,-0.7757009345794392
Mark 01,Mark 22,VEV_5400,wide,5,1,0.0,-0.013307984790874524,263,0.013307984790874524
Mark 01,Mark 22,VEV_5400,wide,20,1,-1.0,0.039923954372623575,263,-1.0399239543726235
Mark 01,Mark 22,VEV_5400,wide,100,1,-0.5,0.0038461538461538464,260,-0.5038461538461538
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,-0.5,0.02508361204013378,299,-0.5250836120401338
Mark 01,Mark 22,VEV_5500,wide,100,1,0.0,-0.02356902356902357,297,0.02356902356902357
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 14,Mark 38,VEV_4000,wide,5,1,2.0,-0.23529411764705882,204,2.235294117647059
Mark 14,Mark 38,VEV_4000,wide,20,1,-3.0,-0.31862745098039214,204,-2.681372549019608
Mark 14,Mark 38,VEV_4000,wide,100,1,4.0,-0.3472906403940887,203,4.347290640394089
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,5,1,4.0,2.06,75,1.94
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,20,1,-0.5,2.026666666666667,75,-2.526666666666667
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,100,1,7.5,0.7266666666666667,75,6.773333333333333
Mark 38,Mark 14,VEV_4000,tight,5,1,-3.5,-0.30357142857142855,28,-3.1964285714285716
Mark 38,Mark 14,VEV_4000,tight,20,1,-6.5,-0.7321428571428571,28,-5.767857142857143
Mark 38,Mark 14,VEV_4000,tight,100,1,4.5,-2.767857142857143,28,7.267857142857142
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,0.0,-0.10596026490066225,302,0.10596026490066225
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,0.0,-0.2947019867549669,302,0.2947019867549669
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,11.0,-1.3636363636363635,297,12.363636363636363
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,1.0,-0.10596026490066225,302,1.1059602649006623
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,1.0,-0.2947019867549669,302,1.294701986754967
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,11.0,-1.3636363636363635,297,12.363636363636363
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,-3.0,0.06418219461697723,483,-3.0641821946169774
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,-1.0,0.13043478260869565,483,-1.1304347826086956
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,2.0,0.7234927234927235,481,1.2765072765072765
Mark 38,Mark 14,VEV_4000,tight,5,1,-0.5,-0.30357142857142855,28,-0.19642857142857145
Mark 38,Mark 14,VEV_4000,tight,20,1,7.5,-0.7321428571428571,28,8.232142857142858
Mark 38,Mark 14,VEV_4000,tight,100,1,3.0,-2.767857142857143,28,5.767857142857142
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,2.0,-0.10596026490066225,302,2.1059602649006623
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,-7.5,-0.2947019867549669,302,-7.2052980132450335
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,-5.0,-1.3636363636363635,297,-3.6363636363636367
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,-1.0,0.06418219461697723,483,-1.0641821946169772
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,8.0,0.13043478260869565,483,7.869565217391305
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,-3.0,0.7234927234927235,481,-3.7234927234927238
Mark 38,Mark 14,HYDROGEL_PACK,wide,5,1,0.5,-0.10390946502057613,486,0.6039094650205761
Mark 38,Mark 14,HYDROGEL_PACK,wide,20,1,10.0,-0.30864197530864196,486,10.308641975308642
Mark 38,Mark 14,HYDROGEL_PACK,wide,100,1,-1.0,-0.6487603305785123,484,-0.35123966942148765
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,5,1,1.5,0.0189873417721519,237,1.481012658227848
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,20,1,1.0,0.06751054852320675,237,0.9324894514767933
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,100,1,-6.5,-0.12447257383966245,237,-6.375527426160337
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,6.0,0.06418219461697723,483,5.935817805383023
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,5.0,0.13043478260869565,483,4.869565217391305
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,5.0,0.7234927234927235,481,4.276507276507276
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,5,1,2.5,0.0189873417721519,237,2.481012658227848
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,20,1,-2.5,0.06751054852320675,237,-2.567510548523207
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,100,1,-7.0,-0.12447257383966245,237,-6.875527426160337
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,5,1,2.5,2.06,75,0.43999999999999995
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,20,1,-1.5,2.026666666666667,75,-3.526666666666667
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,100,1,-5.5,0.7266666666666667,75,-6.226666666666667
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,-6.0,0.06418219461697723,483,-6.064182194616977
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,-2.0,0.13043478260869565,483,-2.130434782608696
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,6.5,0.7234927234927235,481,5.776507276507276
Mark 38,Mark 14,VEV_4000,wide,5,1,-0.5,0.19832402234636873,179,-0.6983240223463687
Mark 38,Mark 14,VEV_4000,wide,20,1,-1.5,0.3644067796610169,177,-1.8644067796610169
Mark 38,Mark 14,VEV_4000,wide,100,1,15.0,-0.02857142857142857,175,15.028571428571428
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight,5,1,-3.0,-1.3888888888888888,18,-1.6111111111111112
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight,20,1,-2.0,0.5277777777777778,18,-2.5277777777777777
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight,100,1,13.0,0.8888888888888888,18,12.11111111111111
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,7.0,0.06418219461697723,483,6.935817805383023
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,-1.0,0.13043478260869565,483,-1.1304347826086956
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,25.0,0.7234927234927235,481,24.276507276507278
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,0.0,0.02508361204013378,299,-0.02508361204013378
Mark 01,Mark 22,VEV_5500,wide,100,1,1.0,-0.02356902356902357,297,1.0235690235690236
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,3.5,0.23694779116465864,249,3.2630522088353415
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,1.0,-0.09839357429718876,249,1.0983935742971886
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,14.5,-0.6847389558232931,249,15.184738955823294
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,tight,5,1,2.0,2.142857142857143,7,-0.1428571428571428
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,tight,20,1,-5.0,2.7142857142857144,7,-7.714285714285714
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,tight,100,1,11.0,5.571428571428571,7,5.428571428571429
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,5,1,2.0,1.8764044943820224,89,0.12359550561797761
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,20,1,-5.0,1.6348314606741574,89,-6.634831460674158
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,100,1,11.0,1.9204545454545454,88,9.079545454545455
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,-2.0,0.23694779116465864,249,-2.2369477911646585
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,-5.5,-0.09839357429718876,249,-5.401606425702811
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,11.5,-0.6847389558232931,249,12.184738955823294
Mark 01,Mark 22,VEV_5300,wide,5,1,0.0,-0.16666666666666666,108,0.16666666666666666
Mark 01,Mark 22,VEV_5300,wide,20,1,-1.0,-0.18055555555555555,108,-0.8194444444444444
Mark 01,Mark 22,VEV_5300,wide,100,1,5.0,-0.22429906542056074,107,5.224299065420561
Mark 01,Mark 22,VEV_5400,wide,5,1,-0.5,-0.013307984790874524,263,-0.4866920152091255
Mark 01,Mark 22,VEV_5400,wide,20,1,-0.5,0.039923954372623575,263,-0.5399239543726235
Mark 01,Mark 22,VEV_5400,wide,100,1,2.0,0.0038461538461538464,260,1.9961538461538462
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,0.0,0.02508361204013378,299,-0.02508361204013378
Mark 01,Mark 22,VEV_5500,wide,100,1,1.0,-0.02356902356902357,297,1.0235690235690236
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 38,Mark 14,HYDROGEL_PACK,wide,5,1,1.0,-0.10390946502057613,486,1.103909465020576
Mark 38,Mark 14,HYDROGEL_PACK,wide,20,1,10.0,-0.30864197530864196,486,10.308641975308642
Mark 38,Mark 14,HYDROGEL_PACK,wide,100,1,36.0,-0.6487603305785123,484,36.64876033057851
Mark 38,Mark 14,HYDROGEL_PACK,wide,5,1,1.0,-0.10390946502057613,486,1.103909465020576
Mark 38,Mark 14,HYDROGEL_PACK,wide,20,1,14.0,-0.30864197530864196,486,14.308641975308642
Mark 38,Mark 14,HYDROGEL_PACK,wide,100,1,31.0,-0.6487603305785123,484,31.64876033057851
Mark 01,Mark 22,VEV_5400,wide,5,1,0.5,-0.013307984790874524,263,0.5133079847908745
Mark 01,Mark 22,VEV_5400,wide,20,1,2.0,0.039923954372623575,263,1.9600760456273765
Mark 01,Mark 22,VEV_5400,wide,100,1,1.5,0.0038461538461538464,260,1.4961538461538462
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,0.5,0.02508361204013378,299,0.47491638795986624
Mark 01,Mark 22,VEV_5500,wide,100,1,1.0,-0.02356902356902357,297,1.0235690235690236
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,4.5,0.23694779116465864,249,4.263052208835341
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,10.5,-0.09839357429718876,249,10.598393574297189
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,12.0,-0.6847389558232931,249,12.684738955823294
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,7.0,0.06418219461697723,483,6.935817805383023
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,9.0,0.13043478260869565,483,8.869565217391305
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,6.0,0.7234927234927235,481,5.276507276507276
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,3.0,0.06418219461697723,483,2.9358178053830226
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,4.0,0.13043478260869565,483,3.869565217391304
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,-23.0,0.7234927234927235,481,-23.723492723492722
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,5,1,7.5,2.06,75,5.4399999999999995
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,20,1,6.0,2.026666666666667,75,3.973333333333333
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,100,1,7.5,0.7266666666666667,75,6.773333333333333
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,5,1,0.5,1.5,11,-1.0
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,20,1,1.5,2.3636363636363638,11,-0.8636363636363638
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,100,1,3.5,0.5,11,3.0
Mark 14,Mark 38,HYDROGEL_PACK,tight,5,1,-1.5,0.34615384615384615,13,-1.8461538461538463
Mark 14,Mark 38,HYDROGEL_PACK,tight,20,1,12.5,4.076923076923077,13,8.423076923076923
Mark 14,Mark 38,HYDROGEL_PACK,tight,100,1,-13.5,7.153846153846154,13,-20.653846153846153
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,0.0,0.23694779116465864,249,-0.23694779116465864
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,-0.5,-0.09839357429718876,249,-0.40160642570281124
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,2.0,-0.6847389558232931,249,2.6847389558232932
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,-0.5,0.23694779116465864,249,-0.7369477911646587
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,1.0,-0.09839357429718876,249,1.0983935742971886
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,0.5,-0.6847389558232931,249,1.1847389558232932
Mark 14,Mark 38,VEV_4000,wide,5,1,-7.5,-0.23529411764705882,204,-7.264705882352941
Mark 14,Mark 38,VEV_4000,wide,20,1,0.0,-0.31862745098039214,204,0.31862745098039214
Mark 14,Mark 38,VEV_4000,wide,100,1,1.0,-0.3472906403940887,203,1.3472906403940887
Mark 38,Mark 14,VEV_4000,wide,5,1,-3.0,0.19832402234636873,179,-3.1983240223463687
Mark 38,Mark 14,VEV_4000,wide,20,1,1.0,0.3644067796610169,177,0.6355932203389831
Mark 38,Mark 14,VEV_4000,wide,100,1,1.0,-0.02857142857142857,175,1.0285714285714285
Mark 01,Mark 22,VEV_5400,wide,5,1,0.0,-0.013307984790874524,263,0.013307984790874524
Mark 01,Mark 22,VEV_5400,wide,20,1,0.5,0.039923954372623575,263,0.4600760456273764
Mark 01,Mark 22,VEV_5400,wide,100,1,0.0,0.0038461538461538464,260,-0.0038461538461538464
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,0.0,0.02508361204013378,299,-0.02508361204013378
Mark 01,Mark 22,VEV_5500,wide,100,1,0.0,-0.02356902356902357,297,0.02356902356902357
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,5,1,1.0,-0.10596026490066225,302,1.1059602649006623
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,20,1,0.0,-0.2947019867549669,302,0.2947019867549669
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,100,1,0.0,-1.3636363636363635,297,1.3636363636363635
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,0.0,0.06418219461697723,483,-0.06418219461697723
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,-15.0,0.13043478260869565,483,-15.130434782608695
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,-29.0,0.7234927234927235,481,-29.723492723492722
Mark 01,Mark 22,VEV_5400,wide,5,1,0.0,-0.013307984790874524,263,0.013307984790874524
Mark 01,Mark 22,VEV_5400,wide,20,1,0.0,0.039923954372623575,263,-0.039923954372623575
Mark 01,Mark 22,VEV_5400,wide,100,1,-0.5,0.0038461538461538464,260,-0.5038461538461538
Mark 01,Mark 22,VEV_5500,wide,5,1,0.0,-0.020066889632107024,299,0.020066889632107024
Mark 01,Mark 22,VEV_5500,wide,20,1,0.0,0.02508361204013378,299,-0.02508361204013378
Mark 01,Mark 22,VEV_5500,wide,100,1,0.0,-0.02356902356902357,297,0.02356902356902357
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,100,1,0.0,0.0,314,0.0
Mark 01,Mark 22,VEV_6500,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,20,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,wide,100,1,0.0,0.0,314,0.0
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,1,-1.0,0.06418219461697723,483,-1.0641821946169772
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,1,-21.5,0.13043478260869565,483,-21.630434782608695
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,1,-26.5,0.7234927234927235,481,-27.223492723492722
Mark 14,Mark 22,VEV_5500,wide,5,1,0.0,-0.2857142857142857,7,0.2857142857142857
Mark 14,Mark 22,VEV_5500,wide,20,1,0.0,-0.42857142857142855,7,0.42857142857142855
Mark 14,Mark 22,VEV_5500,wide,100,1,0.0,-0.5714285714285714,7,0.5714285714285714
Mark 01,Mark 22,VEV_6000,wide,5,1,0.0,0.0,317,0.0
Mark 01,Mark 22,VEV_6000,wide,20,1,0.0,0.0,317,0.0
