cross_target,name,role,symbol,k,spread_regime,burst,tape_day,n,mean,median,t_stat,frac_pos
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5200,100,wide,1,3,11,-4.5,-4.5,-0.7889661046722114,0.2727272727272727
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,5,tight,1,2,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,5,tight,1,3,23,0.5434782608695652,0.0,0.8044375233140623,0.43478260869565216
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,5,wide,0,2,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,5,wide,1,1,32,-0.703125,-0.5,-0.9959467209171169,0.375
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,5,wide,1,2,29,-1.4655172413793103,-2.0,-1.484406842809928,0.3103448275862069
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,5,wide,1,3,46,-0.5,0.0,-0.6719900896801025,0.45652173913043476
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,20,tight,1,2,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,20,tight,1,3,23,-1.7826086956521738,-2.0,-1.1041375949494914,0.391304347826087
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,20,wide,0,2,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,20,wide,1,1,32,0.921875,0.25,0.6908190903031144,0.5
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,20,wide,1,2,29,0.6896551724137931,0.0,0.3863993630984547,0.4827586206896552
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,20,wide,1,3,46,-1.608695652173913,-1.25,-1.4695800622832627,0.43478260869565216
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,100,tight,1,2,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,100,tight,1,3,23,-7.695652173913044,-8.0,-1.839626278112603,0.34782608695652173
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,100,wide,0,2,1,,,,
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,100,wide,1,1,32,0.3125,-2.0,0.0854180685467294,0.4375
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,100,wide,1,2,28,-2.142857142857143,-1.0,-0.8716596299217917,0.4642857142857143
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5300,100,wide,1,3,46,0.7934782608695652,1.5,0.3179966820868312,0.5217391304347826
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,5,wide,0,1,4,-2.0,-1.5,-0.8798826901281198,0.25
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,5,wide,1,1,72,-0.3541666666666667,0.0,-0.7525544622500986,0.4027777777777778
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,5,wide,1,2,78,0.07051282051282051,-0.25,0.12662768843826394,0.3717948717948718
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,5,wide,1,3,109,-0.11467889908256881,0.0,-0.27914494087448527,0.45871559633027525
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,20,wide,0,1,4,-3.75,-3.0,-1.44560827395728,0.25
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,20,wide,1,1,72,-0.3055555555555556,-1.0,-0.2982701127604038,0.4444444444444444
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,20,wide,1,2,78,0.9871794871794872,1.0,0.9266345206868297,0.5128205128205128
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,20,wide,1,3,109,-1.1009174311926606,0.0,-1.4660490342392627,0.43119266055045874
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,100,wide,0,1,3,-8.0,-12.0,-1.109400392450458,0.3333333333333333
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,100,wide,1,1,72,1.9097222222222223,0.5,0.8720281715337658,0.5
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,100,wide,1,2,77,-0.025974025974025976,-1.0,-0.012243123104701173,0.4805194805194805
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5400,100,wide,1,3,108,-2.0972222222222223,-2.0,-1.1511906397635927,0.4351851851851852
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,5,wide,0,1,8,0.75,2.0,0.3369176657783226,0.75
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,5,wide,0,2,7,-4.571428571428571,-5.0,-3.1633075503308965,0.14285714285714285
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,5,wide,0,3,3,0.16666666666666666,1.0,0.07559289460184543,0.6666666666666666
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,5,wide,1,1,81,-0.37037037037037035,0.0,-0.8451731204105112,0.4074074074074074
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,5,wide,1,2,84,0.13095238095238096,0.0,0.2551464816602483,0.39285714285714285
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,5,wide,1,3,116,0.021551724137931036,0.0,0.053724780339285814,0.46551724137931033
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,20,wide,0,1,8,-0.125,2.0,-0.03225806451612904,0.5
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,20,wide,0,2,7,-4.428571428571429,-8.0,-1.5710894047788049,0.2857142857142857
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,20,wide,0,3,3,-5.833333333333333,-11.0,-0.8677093313502823,0.3333333333333333
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,20,wide,1,1,81,-0.9135802469135802,-1.0,-0.9620175599870385,0.4074074074074074
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,20,wide,1,2,84,0.9285714285714286,1.0,0.9255844657749114,0.5238095238095238
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,20,wide,1,3,116,-0.5258620689655172,0.0,-0.7116510672399672,0.45689655172413796
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,100,wide,0,1,8,1.125,6.5,0.15241732275345493,0.75
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,100,wide,0,2,7,4.357142857142857,5.0,0.6415368396642461,0.5714285714285714
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,100,wide,0,3,3,-1.8333333333333333,-6.0,-0.30543773964388604,0.3333333333333333
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,100,wide,1,1,81,1.4567901234567902,0.0,0.7140342927908995,0.49382716049382713
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,100,wide,1,2,83,0.3493975903614458,1.0,0.1701980558075322,0.5180722891566265
HYDROGEL_PACK,Mark 01,buyer_any,VEV_5500,100,wide,1,3,115,-1.508695652173913,-2.0,-0.8562445566102604,0.4434782608695652
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,5,wide,0,1,14,-0.14285714285714285,1.5,-0.1013339153554417,0.5714285714285714
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,5,wide,0,2,8,-4.0,-4.0,-2.9073751372465244,0.125
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,5,wide,0,3,3,0.16666666666666666,1.0,0.07559289460184543,0.6666666666666666
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,5,wide,1,1,84,-0.4166666666666667,0.0,-0.9762922369478655,0.40476190476190477
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,5,wide,1,2,87,0.13218390804597702,0.0,0.2553639029243956,0.39080459770114945
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,5,wide,1,3,121,0.09090909090909091,0.0,0.23432316116261515,0.4793388429752066
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,20,wide,0,1,14,-2.7142857142857144,-1.5,-1.0090714600773496,0.35714285714285715
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,20,wide,0,2,8,-4.875,-8.0,-1.9644355134626077,0.25
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,20,wide,0,3,3,-5.833333333333333,-11.0,-0.8677093313502823,0.3333333333333333
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,20,wide,1,1,84,-0.9166666666666666,-1.0,-0.9949601932245973,0.4166666666666667
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,20,wide,1,2,87,1.0402298850574712,1.0,1.0489863100161247,0.5172413793103449
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,20,wide,1,3,121,-0.640495867768595,0.0,-0.8908244587532314,0.45454545454545453
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,100,wide,0,1,13,-4.6923076923076925,5.0,-0.8848637168699144,0.5384615384615384
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,100,wide,0,2,8,3.9375,3.0,0.6677397172716225,0.625
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,100,wide,0,3,3,-1.8333333333333333,-6.0,-0.30543773964388604,0.3333333333333333
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,100,wide,1,1,84,1.7023809523809523,0.5,0.8347323175309878,0.5
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,100,wide,1,2,86,0.28488372093023256,1.0,0.14264135064407393,0.5116279069767442
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6000,100,wide,1,3,120,-1.575,-2.0,-0.9269016375774775,0.44166666666666665
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,5,wide,0,1,14,-0.14285714285714285,1.5,-0.1013339153554417,0.5714285714285714
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,5,wide,0,2,8,-4.0,-4.0,-2.9073751372465244,0.125
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,5,wide,0,3,3,0.16666666666666666,1.0,0.07559289460184543,0.6666666666666666
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,5,wide,1,1,84,-0.4166666666666667,0.0,-0.9762922369478655,0.40476190476190477
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,5,wide,1,2,87,0.13218390804597702,0.0,0.2553639029243956,0.39080459770114945
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,5,wide,1,3,121,0.09090909090909091,0.0,0.23432316116261515,0.4793388429752066
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,20,wide,0,1,14,-2.7142857142857144,-1.5,-1.0090714600773496,0.35714285714285715
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,20,wide,0,2,8,-4.875,-8.0,-1.9644355134626077,0.25
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,20,wide,0,3,3,-5.833333333333333,-11.0,-0.8677093313502823,0.3333333333333333
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,20,wide,1,1,84,-0.9166666666666666,-1.0,-0.9949601932245973,0.4166666666666667
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,20,wide,1,2,87,1.0402298850574712,1.0,1.0489863100161247,0.5172413793103449
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,20,wide,1,3,121,-0.640495867768595,0.0,-0.8908244587532314,0.45454545454545453
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,100,wide,0,1,13,-4.6923076923076925,5.0,-0.8848637168699144,0.5384615384615384
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,100,wide,0,2,8,3.9375,3.0,0.6677397172716225,0.625
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,100,wide,0,3,3,-1.8333333333333333,-6.0,-0.30543773964388604,0.3333333333333333
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,100,wide,1,1,84,1.7023809523809523,0.5,0.8347323175309878,0.5
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,100,wide,1,2,86,0.28488372093023256,1.0,0.14264135064407393,0.5116279069767442
HYDROGEL_PACK,Mark 01,buyer_any,VEV_6500,100,wide,1,3,120,-1.575,-2.0,-0.9269016375774775,0.44166666666666665
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,tight,0,1,2,-0.5,-0.5,-1.0,0.0
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,tight,0,2,4,1.75,3.5,0.576045521150823,0.75
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,tight,0,3,1,,,,
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,wide,0,1,79,-0.21518987341772153,0.0,-0.4700695041910175,0.45569620253164556
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,wide,0,2,87,-0.05172413793103448,0.0,-0.11578963944501325,0.4482758620689655
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,wide,0,3,68,0.40441176470588236,0.0,0.802116095597973,0.4852941176470588
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,wide,1,2,1,,,,
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,5,wide,1,3,2,-1.0,-1.0,,0.0
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,tight,0,1,2,-3.5,-3.5,-1.0000000000000002,0.0
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,tight,0,2,4,1.75,7.0,0.2587863737597785,0.75
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,tight,0,3,1,,,,
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,wide,0,1,79,-0.8291139240506329,0.0,-0.8200516658909123,0.4810126582278481
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,wide,0,2,87,0.7758620689655172,1.0,0.895100761687641,0.5287356321839081
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,wide,0,3,68,-0.125,0.0,-0.1402188333533585,0.4411764705882353
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,wide,1,2,1,,,,
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,20,wide,1,3,2,-8.5,-8.5,-5.666666666666668,0.0
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,tight,0,1,2,-22.5,-22.5,-3.0,0.0
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,tight,0,2,4,7.5,8.5,0.9320546490018,0.75
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,tight,0,3,1,,,,
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,wide,0,1,79,-2.462025316455696,-5.0,-1.325479132535562,0.4177215189873418
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,wide,0,2,87,2.0057471264367814,0.0,0.9254605455570102,0.4827586206896552
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,wide,0,3,68,-4.0588235294117645,-3.5,-2.018680890653398,0.39705882352941174
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,wide,1,2,1,,,,
HYDROGEL_PACK,Mark 01,seller_any,VELVETFRUIT_EXTRACT,100,wide,1,3,2,-6.0,-6.0,-0.375,0.5
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,tight,0,1,7,-0.2857142857142857,-1.5,-0.1416280479633616,0.42857142857142855
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,tight,0,2,4,1.75,2.5,0.6434939836876904,0.75
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,tight,0,3,2,-0.25,-0.25,-0.04,0.5
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,wide,0,1,173,0.3786127167630058,1.0,1.0948433504456405,0.5086705202312138
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,wide,0,2,136,0.09191176470588236,0.0,0.26064228307319104,0.45588235294117646
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,wide,0,3,165,-0.3484848484848485,-1.0,-0.9304061251802354,0.4303030303030303
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,wide,1,1,3,-0.6666666666666666,-1.0,-1.9999999999999998,0.0
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,wide,1,2,2,1.5,1.5,3.0,1.0
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,5,wide,1,3,4,2.375,2.25,1.3969077819782347,0.5
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,tight,0,1,7,6.928571428571429,7.5,2.0543963245618424,0.7142857142857143
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,tight,0,2,4,1.75,2.0,1.270977818604485,0.75
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,tight,0,3,2,-1.25,-1.25,-0.12195121951219512,0.5
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,wide,0,1,173,1.0317919075144508,2.0,1.6076295041552955,0.5722543352601156
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,wide,0,2,136,0.025735294117647058,0.0,0.036048055692740416,0.4632352941176471
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,wide,0,3,165,-0.5454545454545454,0.0,-0.7582245114790546,0.46060606060606063
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,wide,1,1,3,-3.6666666666666665,-4.0,-0.9760921603577251,0.3333333333333333
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,wide,1,2,2,-4.75,-4.75,-0.6551724137931035,0.5
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,20,wide,1,3,4,-2.125,-2.75,-0.5242155107808855,0.25
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,tight,0,1,7,6.642857142857143,17.5,0.7019984279927935,0.5714285714285714
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,tight,0,2,4,12.75,14.5,1.1370829989402151,0.75
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,tight,0,3,2,-2.25,-2.25,-0.8181818181818183,0.5
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,wide,0,1,173,1.0809248554913296,1.0,0.7767505662663172,0.5260115606936416
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,wide,0,2,134,-0.7014925373134329,-1.75,-0.4798766918268209,0.44029850746268656
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,wide,0,3,165,1.7363636363636363,0.0,1.1892985555326245,0.49696969696969695
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,wide,1,1,3,-7.333333333333333,-2.0,-0.9878291611472618,0.3333333333333333
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,wide,1,2,2,0.5,0.5,0.038461538461538464,0.5
HYDROGEL_PACK,Mark 14,buyer_any,HYDROGEL_PACK,100,wide,1,3,4,-2.625,-4.5,-0.42880962307561565,0.25
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,1,3,4.0,5.0,1.9215378456610457,0.6666666666666666
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,2,5,0.0,-1.0,0.0,0.4
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,tight,0,3,6,0.16666666666666666,0.75,0.07301020754057114,0.5
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,1,109,0.4541284403669725,0.0,1.190568046914664,0.47706422018348627
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,2,85,-0.25882352941176473,0.0,-0.4984933767060775,0.4235294117647059
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,wide,0,3,104,-0.27884615384615385,0.0,-0.6670479547002646,0.4423076923076923
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,wide,1,1,2,6.5,6.5,13.0,1.0
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,5,wide,1,2,2,3.0,3.0,1.0000000000000002,0.5
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,1,3,3.6666666666666665,5.0,1.0394023007753748,0.6666666666666666
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,2,5,2.0,1.0,0.8032193289024989,0.6
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,tight,0,3,6,3.5833333333333335,3.5,1.3601875113526163,0.6666666666666666
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,1,109,0.3577981651376147,1.0,0.4529047339204595,0.5045871559633027
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,2,85,-0.32941176470588235,0.0,-0.3422916383987513,0.4823529411764706
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,wide,0,3,104,0.6730769230769231,1.0,0.8284731980287819,0.5384615384615384
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,wide,1,1,2,13.5,13.5,2.454545454545455,1.0
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,20,wide,1,2,2,5.25,5.25,0.6,0.5
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,1,3,14.0,6.0,1.0513149660756935,0.6666666666666666
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,2,5,-6.8,-11.0,-1.0588869217693093,0.2
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,tight,0,3,6,0.5833333333333334,-3.0,0.10143223294056787,0.3333333333333333
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,1,107,1.5467289719626167,1.0,0.9210446020299237,0.514018691588785
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,2,83,-1.4879518072289157,-0.5,-0.6578545517683725,0.4819277108433735
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,wide,0,3,103,1.203883495145631,0.0,0.7495363956518991,0.4854368932038835
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,wide,1,1,2,25.5,25.5,1.2439024390243902,1.0
HYDROGEL_PACK,Mark 14,buyer_any,VELVETFRUIT_EXTRACT,100,wide,1,2,2,19.0,19.0,3.8,1.0
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,5,tight,0,1,8,0.375,0.5,0.3139929128113796,0.5
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,5,tight,0,2,5,-1.6,-1.0,-0.6725301627347178,0.4
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,5,tight,0,3,14,1.6071428571428572,1.5,1.4324774279453758,0.5
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,5,tight,1,1,1,,,,
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,5,wide,0,1,82,-0.22560975609756098,-1.0,-0.46716566712654123,0.4146341463414634
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,5,wide,0,2,59,-0.3050847457627119,0.0,-0.696000928001856,0.4067796610169492
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,5,wide,0,3,63,0.2857142857142857,1.0,0.46418187513722237,0.5079365079365079
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,20,tight,0,1,8,-0.5625,-2.25,-0.2637461221145024,0.375
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,20,tight,0,2,5,0.9,0.0,0.6784005252999682,0.4
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,20,tight,0,3,14,-1.25,-2.75,-0.5585951381122015,0.42857142857142855
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,20,tight,1,1,1,,,,
HYDROGEL_PACK,Mark 14,buyer_any,VEV_4000,20,wide,0,1,82,0.8841463414634146,0.5,0.9955044339933607,0.5
