symbol,aggressor_bucket,spread_bin,session_tert,burst,count,mean,median,t_vs_0,frac_pos,day
VELVETFRUIT_EXTRACT,aggr_sell,mid,early,0,71,-1.2183098591549295,-1.0,-2.083801592217906,0.36619718309859156,3
VELVETFRUIT_EXTRACT,aggr_sell,mid,late,0,71,0.647887323943662,1.0,1.2316723451638907,0.5352112676056338,3
VELVETFRUIT_EXTRACT,aggr_sell,mid,mid,0,64,-0.0546875,0.0,-0.1041789199431429,0.46875,3
VEV_4000,aggr_buy,wide,early,0,22,-0.11363636363636363,0.0,-0.14623884514353086,0.36363636363636365,3
VEV_4000,aggr_buy,wide,mid,0,24,0.25,0.25,0.29295203621478383,0.5,3
VEV_4000,aggr_sell,wide,early,0,21,-0.023809523809523808,0.0,-0.02699451122415712,0.42857142857142855,3
VEV_4000,aggr_sell,wide,late,0,27,-0.3888888888888889,-1.0,-0.4367133646618243,0.4444444444444444,3
VEV_4000,aggr_sell,wide,mid,0,24,1.1875,0.75,1.2843260532405243,0.5,3
VEV_5400,aggr_sell,tight,early,1,30,-0.016666666666666666,0.0,-0.10926604951199244,0.26666666666666666,3
VEV_5400,aggr_sell,tight,late,1,33,0.15151515151515152,0.0,1.2216944435630523,0.2727272727272727,3
VEV_5400,aggr_sell,tight,mid,1,38,0.0,0.0,0.0,0.18421052631578946,3
VEV_5500,aggr_sell,tight,early,1,39,0.07692307692307693,0.0,0.9023778112773575,0.1794871794871795,3
VEV_5500,aggr_sell,tight,late,1,38,0.039473684210526314,0.0,1.3563845345346806,0.05263157894736842,3
VEV_5500,aggr_sell,tight,mid,1,42,0.011904761904761904,0.0,0.32977767609386077,0.047619047619047616,3
VEV_6000,aggr_sell,tight,early,1,41,0.0,0.0,,0.0,3
VEV_6000,aggr_sell,tight,late,1,40,0.0,0.0,,0.0,3
VEV_6000,aggr_sell,tight,mid,1,43,0.0,0.0,,0.0,3
VEV_6500,aggr_sell,tight,early,1,41,0.0,0.0,,0.0,3
VEV_6500,aggr_sell,tight,late,1,40,0.0,0.0,,0.0,3
VEV_6500,aggr_sell,tight,mid,1,43,0.0,0.0,,0.0,3
