timestamp;true_fv;side;depth_slot;price;volume;offset_fv;offset_rf;offset_int;cross_label
800;10008.6552734375;bid;1;10001;12;-7.6552734375;-8;-8;bid_passive
800;10008.6552734375;bid;2;9998;27;-10.6552734375;-11;-11;bid_passive
800;10008.6552734375;ask;1;10017;12;8.3447265625;8;8;ask_passive
800;10008.6552734375;ask;2;10019;27;10.3447265625;10;10;ask_passive
900;10008.6201171875;bid;1;10001;12;-7.6201171875;-8;-8;bid_passive
900;10008.6201171875;bid;2;9998;21;-10.6201171875;-11;-11;bid_passive
900;10008.6201171875;ask;1;10017;12;8.3798828125;8;8;ask_passive
900;10008.6201171875;ask;2;10019;21;10.3798828125;10;10;ask_passive
1000;10008.9716796875;bid;1;10001;14;-7.9716796875;-8;-8;bid_passive
1000;10008.9716796875;bid;2;9998;28;-10.9716796875;-11;-11;bid_passive
1000;10008.9716796875;ask;1;10017;14;8.0283203125;8;8;ask_passive
1000;10008.9716796875;ask;2;10019;28;10.0283203125;10;10;ask_passive
1100;10008.8154296875;bid;1;10001;13;-7.8154296875;-8;-8;bid_passive
1100;10008.8154296875;bid;2;9998;28;-10.8154296875;-11;-11;bid_passive
1100;10008.8154296875;ask;1;10019;28;10.1845703125;10;10;ask_passive
1200;10008.9238281250;bid;1;9998;28;-10.9238281250;-11;-11;bid_passive
1200;10008.9238281250;ask;1;10017;12;8.0761718750;8;8;ask_passive
1300;10009.2421875000;bid;1;10001;13;-8.2421875000;-8;-8;bid_passive
1300;10009.2421875000;bid;2;9999;23;-10.2421875000;-10;-10;bid_passive
1300;10009.2421875000;ask;1;10020;23;10.7578125000;11;11;ask_passive
1400;10009.2021484375;bid;1;10001;10;-8.2021484375;-8;-8;bid_passive
1500;10009.0498046875;bid;1;10001;12;-8.0498046875;-8;-8;bid_passive
1500;10009.0498046875;ask;1;10020;29;10.9501953125;11;11;ask_passive
1600;10009.3378906250;bid;1;9999;23;-10.3378906250;-10;-10;bid_passive
1600;10009.3378906250;ask;1;10017;14;7.6621093750;8;8;ask_passive
1600;10009.3378906250;ask;2;10020;23;10.6621093750;11;11;ask_passive
1700;10009.4941406250;bid;1;10001;13;-8.4941406250;-8;-8;bid_passive
1700;10009.4941406250;bid;2;9999;24;-10.4941406250;-10;-10;bid_passive
1700;10009.4941406250;ask;1;10020;24;10.5058593750;11;11;ask_passive
1800;10009.4570312500;bid;1;9999;28;-10.4570312500;-10;-10;bid_passive
1800;10009.4570312500;ask;1;10011;4;1.5429687500;2;2;ask_passive
1800;10009.4570312500;ask;2;10017;13;7.5429687500;8;8;ask_passive
1800;10009.4570312500;ask;3;10020;28;10.5429687500;11;11;ask_passive
1900;10009.6904296875;bid;1;10002;15;-7.6904296875;-8;-8;bid_passive
1900;10009.6904296875;bid;2;9999;24;-10.6904296875;-11;-11;bid_passive
1900;10009.6904296875;ask;1;10020;24;10.3095703125;10;10;ask_passive
2000;10010.2470703125;bid;1;10002;13;-8.2470703125;-8;-8;bid_passive
2000;10010.2470703125;bid;2;10000;22;-10.2470703125;-10;-10;bid_passive
2000;10010.2470703125;ask;1;10018;13;7.7529296875;8;8;ask_passive
2100;10010.5751953125;bid;1;10000;25;-10.5751953125;-11;-11;bid_passive
2100;10010.5751953125;ask;1;10019;12;8.4248046875;8;8;ask_passive
2100;10010.5751953125;ask;2;10021;25;10.4248046875;10;10;ask_passive
2200;10010.7968750000;bid;1;10003;10;-7.7968750000;-8;-8;bid_passive
2200;10010.7968750000;bid;2;10000;29;-10.7968750000;-11;-11;bid_passive
2200;10010.7968750000;ask;1;10021;29;10.2031250000;10;10;ask_passive
2300;10010.8027343750;bid;1;10003;14;-7.8027343750;-8;-8;bid_passive
2300;10010.8027343750;bid;2;10000;20;-10.8027343750;-11;-11;bid_passive
2300;10010.8027343750;ask;1;10019;14;8.1972656250;8;8;ask_passive
2300;10010.8027343750;ask;2;10021;20;10.1972656250;10;10;ask_passive
2400;10010.4560546875;bid;1;10002;10;-8.4560546875;-8;-8;bid_passive
2400;10010.4560546875;bid;2;10000;25;-10.4560546875;-10;-10;bid_passive
2400;10010.4560546875;ask;1;10018;10;7.5439453125;8;8;ask_passive
2400;10010.4560546875;ask;2;10021;25;10.5439453125;11;11;ask_passive
2500;10010.3662109375;bid;1;10002;14;-8.3662109375;-8;-8;bid_passive
2500;10010.3662109375;bid;2;10000;27;-10.3662109375;-10;-10;bid_passive
2500;10010.3662109375;ask;1;10018;14;7.6337890625;8;8;ask_passive
2500;10010.3662109375;ask;2;10021;27;10.6337890625;11;11;ask_passive
2600;10009.7470703125;bid;1;10002;13;-7.7470703125;-8;-8;bid_passive
2600;10009.7470703125;bid;2;9999;20;-10.7470703125;-11;-11;bid_passive
2600;10009.7470703125;ask;1;10018;13;8.2529296875;8;8;ask_passive
2600;10009.7470703125;ask;2;10020;20;10.2529296875;10;10;ask_passive
2700;10009.5419921875;bid;1;9999;29;-10.5419921875;-11;-11;bid_passive
2700;10009.5419921875;ask;1;10018;14;8.4580078125;8;8;ask_passive
2700;10009.5419921875;ask;2;10020;29;10.4580078125;10;10;ask_passive
2800;10009.8623046875;bid;1;10002;11;-7.8623046875;-8;-8;bid_passive
2800;10009.8623046875;bid;2;9999;22;-10.8623046875;-11;-11;bid_passive
2800;10009.8623046875;ask;1;10018;11;8.1376953125;8;8;ask_passive
2800;10009.8623046875;ask;2;10020;22;10.1376953125;10;10;ask_passive
2900;10009.3720703125;bid;1;10001;15;-8.3720703125;-8;-8;bid_passive
2900;10009.3720703125;bid;2;9999;21;-10.3720703125;-10;-10;bid_passive
2900;10009.3720703125;ask;1;10020;21;10.6279296875;11;11;ask_passive
3000;10009.6240234375;bid;1;10002;13;-7.6240234375;-8;-8;bid_passive
3000;10009.6240234375;bid;2;9999;27;-10.6240234375;-11;-11;bid_passive
3000;10009.6240234375;ask;1;10018;13;8.3759765625;8;8;ask_passive
3000;10009.6240234375;ask;2;10020;27;10.3759765625;10;10;ask_passive
3100;10009.2216796875;bid;1;10001;10;-8.2216796875;-8;-8;bid_passive
3100;10009.2216796875;bid;2;9999;25;-10.2216796875;-10;-10;bid_passive
3100;10009.2216796875;ask;1;10017;10;7.7783203125;8;8;ask_passive
3200;10009.2968750000;bid;1;10001;12;-8.2968750000;-8;-8;bid_passive
3200;10009.2968750000;bid;2;9999;28;-10.2968750000;-10;-10;bid_passive
3200;10009.2968750000;ask;1;10017;12;7.7031250000;8;8;ask_passive
3200;10009.2968750000;ask;2;10020;28;10.7031250000;11;11;ask_passive
3300;10009.1621093750;bid;1;9999;26;-10.1621093750;-10;-10;bid_passive
3300;10009.1621093750;ask;1;10017;12;7.8378906250;8;8;ask_passive
3300;10009.1621093750;ask;2;10020;26;10.8378906250;11;11;ask_passive
3400;10009.4287109375;bid;1;10001;11;-8.4287109375;-8;-8;bid_passive
3400;10009.4287109375;bid;2;9999;25;-10.4287109375;-10;-10;bid_passive
3400;10009.4287109375;ask;1;10017;11;7.5712890625;8;8;ask_passive
3400;10009.4287109375;ask;2;10020;25;10.5712890625;11;11;ask_passive
3500;10009.3076171875;bid;1;10001;10;-8.3076171875;-8;-8;bid_passive
3500;10009.3076171875;bid;2;9999;21;-10.3076171875;-10;-10;bid_passive
3500;10009.3076171875;ask;1;10017;10;7.6923828125;8;8;ask_passive
3500;10009.3076171875;ask;2;10020;21;10.6923828125;11;11;ask_passive
3600;10008.8085937500;bid;1;9998;30;-10.8085937500;-11;-11;bid_passive
3600;10008.8085937500;ask;1;10017;10;8.1914062500;8;8;ask_passive
3600;10008.8085937500;ask;2;10019;30;10.1914062500;10;10;ask_passive
3700;10008.2421875000;bid;1;10000;15;-8.2421875000;-8;-8;bid_passive
3700;10008.2421875000;ask;1;10016;15;7.7578125000;8;8;ask_passive
3700;10008.2421875000;ask;2;10019;24;10.7578125000;11;11;ask_passive
3800;10008.7324218750;bid;1;10006;5;-2.7324218750;-3;-3;bid_passive
3800;10008.7324218750;bid;2;10001;13;-7.7324218750;-8;-8;bid_passive
3800;10008.7324218750;bid;3;9998;29;-10.7324218750;-11;-11;bid_passive
3800;10008.7324218750;ask;1;10017;13;8.2675781250;8;8;ask_passive
3900;10008.5205078125;bid;1;10001;13;-7.5205078125;-8;-8;bid_passive
3900;10008.5205078125;bid;2;9998;26;-10.5205078125;-11;-11;bid_passive
3900;10008.5205078125;ask;1;10019;26;10.4794921875;10;10;ask_passive
4000;10008.2656250000;bid;1;9998;30;-10.2656250000;-10;-10;bid_passive
4000;10008.2656250000;ask;1;10019;30;10.7343750000;11;11;ask_passive
4100;10008.3388671875;bid;1;10000;14;-8.3388671875;-8;-8;bid_passive
4100;10008.3388671875;bid;2;9998;25;-10.3388671875;-10;-10;bid_passive
4100;10008.3388671875;ask;1;10016;14;7.6611328125;8;8;ask_passive
4100;10008.3388671875;ask;2;10019;25;10.6611328125;11;11;ask_passive
4200;10008.8896484375;bid;1;10001;10;-7.8896484375;-8;-8;bid_passive
4200;10008.8896484375;bid;2;9998;26;-10.8896484375;-11;-11;bid_passive
4200;10008.8896484375;ask;1;10017;10;8.1103515625;8;8;ask_passive
4300;10009.3154296875;bid;1;10001;12;-8.3154296875;-8;-8;bid_passive
4300;10009.3154296875;bid;2;9999;24;-10.3154296875;-10;-10;bid_passive
4300;10009.3154296875;ask;1;10017;12;7.6845703125;8;8;ask_passive
4300;10009.3154296875;ask;2;10020;24;10.6845703125;11;11;ask_passive
4400;10009.1123046875;bid;1;10001;10;-8.1123046875;-8;-8;bid_passive
4400;10009.1123046875;bid;2;9999;22;-10.1123046875;-10;-10;bid_passive
4400;10009.1123046875;ask;1;10020;22;10.8876953125;11;11;ask_passive
4500;10009.5849609375;bid;1;10002;14;-7.5849609375;-8;-8;bid_passive
4500;10009.5849609375;ask;1;10018;14;8.4150390625;8;8;ask_passive
4500;10009.5849609375;ask;2;10020;26;10.4150390625;10;10;ask_passive
4600;10009.7275390625;bid;1;9999;21;-10.7275390625;-11;-11;bid_passive
4600;10009.7275390625;ask;1;10018;15;8.2724609375;8;8;ask_passive
4700;10009.2070312500;bid;1;10001;14;-8.2070312500;-8;-8;bid_passive
4700;10009.2070312500;bid;2;9999;27;-10.2070312500;-10;-10;bid_passive
4700;10009.2070312500;ask;1;10017;14;7.7929687500;8;8;ask_passive
4700;10009.2070312500;ask;2;10020;27;10.7929687500;11;11;ask_passive
4800;10008.9140625000;bid;1;10001;10;-7.9140625000;-8;-8;bid_passive
4800;10008.9140625000;bid;2;9998;28;-10.9140625000;-11;-11;bid_passive
4800;10008.9140625000;ask;1;10017;10;8.0859375000;8;8;ask_passive
4800;10008.9140625000;ask;2;10019;28;10.0859375000;10;10;ask_passive
4900;10009.1845703125;bid;1;9999;27;-10.1845703125;-10;-10;bid_passive
4900;10009.1845703125;ask;1;10017;15;7.8154296875;8;8;ask_passive
4900;10009.1845703125;ask;2;10020;27;10.8154296875;11;11;ask_passive
5000;10009.0615234375;bid;1;10001;12;-8.0615234375;-8;-8;bid_passive
5000;10009.0615234375;bid;2;9999;29;-10.0615234375;-10;-10;bid_passive
5000;10009.0615234375;ask;1;10020;29;10.9384765625;11;11;ask_passive
5100;10008.8408203125;bid;1;9998;24;-10.8408203125;-11;-11;bid_passive
5100;10008.8408203125;ask;1;10017;11;8.1591796875;8;8;ask_passive
5200;10008.8837890625;bid;1;10001;15;-7.8837890625;-8;-8;bid_passive
5200;10008.8837890625;bid;2;9998;29;-10.8837890625;-11;-11;bid_passive
5200;10008.8837890625;ask;1;10017;15;8.1162109375;8;8;ask_passive
5300;10009.1611328125;bid;1;9999;21;-10.1611328125;-10;-10;bid_passive
5300;10009.1611328125;ask;1;10017;15;7.8388671875;8;8;ask_passive
5400;10009.1523437500;bid;1;10001;14;-8.1523437500;-8;-8;bid_passive
5400;10009.1523437500;bid;2;9999;20;-10.1523437500;-10;-10;bid_passive
5400;10009.1523437500;ask;1;10017;14;7.8476562500;8;8;ask_passive
5500;10009.2871093750;bid;1;9999;28;-10.2871093750;-10;-10;bid_passive
5500;10009.2871093750;ask;1;10020;28;10.7128906250;11;11;ask_passive
5600;10008.8037109375;bid;1;9998;21;-10.8037109375;-11;-11;bid_passive
5600;10008.8037109375;ask;1;10017;14;8.1962890625;8;8;ask_passive
5600;10008.8037109375;ask;2;10019;21;10.1962890625;10;10;ask_passive
5700;10008.8193359375;bid;1;10001;12;-7.8193359375;-8;-8;bid_passive
5700;10008.8193359375;bid;2;9998;29;-10.8193359375;-11;-11;bid_passive
5700;10008.8193359375;ask;1;10017;12;8.1806640625;8;8;ask_passive
5700;10008.8193359375;ask;2;10019;29;10.1806640625;10;10;ask_passive
5800;10009.2607421875;bid;1;10001;10;-8.2607421875;-8;-8;bid_passive
5800;10009.2607421875;bid;2;9999;28;-10.2607421875;-10;-10;bid_passive
5800;10009.2607421875;ask;1;10020;28;10.7392578125;11;11;ask_passive
5900;10009.5742187500;bid;1;10002;15;-7.5742187500;-8;-8;bid_passive
5900;10009.5742187500;bid;2;9999;29;-10.5742187500;-11;-11;bid_passive
6000;10009.4287109375;bid;1;10001;15;-8.4287109375;-8;-8;bid_passive
6000;10009.4287109375;ask;1;10020;30;10.5712890625;11;11;ask_passive
6100;10009.1376953125;bid;1;10001;11;-8.1376953125;-8;-8;bid_passive
6100;10009.1376953125;ask;1;10017;11;7.8623046875;8;8;ask_passive
6100;10009.1376953125;ask;2;10020;28;10.8623046875;11;11;ask_passive
6200;10008.7861328125;bid;1;10001;11;-7.7861328125;-8;-8;bid_passive
6200;10008.7861328125;bid;2;9998;20;-10.7861328125;-11;-11;bid_passive
6200;10008.7861328125;ask;1;10017;11;8.2138671875;8;8;ask_passive
6300;10008.8564453125;bid;1;10001;12;-7.8564453125;-8;-8;bid_passive
6300;10008.8564453125;ask;1;10019;22;10.1435546875;10;10;ask_passive
6400;10008.9785156250;bid;1;10001;14;-7.9785156250;-8;-8;bid_passive
6400;10008.9785156250;bid;2;9998;23;-10.9785156250;-11;-11;bid_passive
6400;10008.9785156250;ask;1;10017;14;8.0214843750;8;8;ask_passive
6500;10009.1054687500;bid;1;10001;13;-8.1054687500;-8;-8;bid_passive
6500;10009.1054687500;bid;2;9999;24;-10.1054687500;-10;-10;bid_passive
6500;10009.1054687500;ask;1;10017;13;7.8945312500;8;8;ask_passive
6500;10009.1054687500;ask;2;10020;24;10.8945312500;11;11;ask_passive
6600;10008.8203125000;bid;1;9998;25;-10.8203125000;-11;-11;bid_passive
6600;10008.8203125000;ask;1;10017;15;8.1796875000;8;8;ask_passive
6700;10008.7070312500;bid;1;10001;13;-7.7070312500;-8;-8;bid_passive
6700;10008.7070312500;bid;2;9998;29;-10.7070312500;-11;-11;bid_passive
6700;10008.7070312500;ask;1;10017;13;8.2929687500;8;8;ask_passive
6700;10008.7070312500;ask;2;10019;29;10.2929687500;10;10;ask_passive
6800;10008.9746093750;bid;1;9998;30;-10.9746093750;-11;-11;bid_passive
6800;10008.9746093750;ask;1;10017;10;8.0253906250;8;8;ask_passive
6800;10008.9746093750;ask;2;10019;30;10.0253906250;10;10;ask_passive
6900;10008.5966796875;bid;1;10006;5;-2.5966796875;-3;-3;bid_passive
6900;10008.5966796875;bid;2;9998;22;-10.5966796875;-11;-11;bid_passive
6900;10008.5966796875;ask;1;10017;12;8.4033203125;8;8;ask_passive
6900;10008.5966796875;ask;2;10019;22;10.4033203125;10;10;ask_passive
7000;10008.6845703125;bid;1;10001;11;-7.6845703125;-8;-8;bid_passive
7000;10008.6845703125;bid;2;9998;22;-10.6845703125;-11;-11;bid_passive
7000;10008.6845703125;ask;1;10017;11;8.3154296875;8;8;ask_passive
7100;10008.3271484375;bid;1;10000;15;-8.3271484375;-8;-8;bid_passive
7100;10008.3271484375;bid;2;9998;25;-10.3271484375;-10;-10;bid_passive
7100;10008.3271484375;ask;1;10016;15;7.6728515625;8;8;ask_passive
7100;10008.3271484375;ask;2;10019;25;10.6728515625;11;11;ask_passive
7200;10008.8857421875;bid;1;10006;2;-2.8857421875;-3;-3;bid_passive
7200;10008.8857421875;bid;2;10001;11;-7.8857421875;-8;-8;bid_passive
7200;10008.8857421875;bid;3;9998;20;-10.8857421875;-11;-11;bid_passive
7300;10008.8095703125;bid;1;10001;11;-7.8095703125;-8;-8;bid_passive
7300;10008.8095703125;bid;2;9998;21;-10.8095703125;-11;-11;bid_passive
7300;10008.8095703125;ask;1;10017;11;8.1904296875;8;8;ask_passive
7300;10008.8095703125;ask;2;10019;21;10.1904296875;10;10;ask_passive
7400;10008.6943359375;ask;1;10017;15;8.3056640625;8;8;ask_passive
7400;10008.6943359375;ask;2;10019;26;10.3056640625;10;10;ask_passive
7500;10008.8242187500;bid;1;10001;14;-7.8242187500;-8;-8;bid_passive
7500;10008.8242187500;bid;2;9998;21;-10.8242187500;-11;-11;bid_passive
7500;10008.8242187500;ask;1;10017;14;8.1757812500;8;8;ask_passive
7600;10009.1757812500;bid;1;10001;14;-8.1757812500;-8;-8;bid_passive
7600;10009.1757812500;ask;1;10007;5;-2.1757812500;-2;-2;ask_cross
7600;10009.1757812500;ask;2;10017;14;7.8242187500;8;8;ask_passive
7600;10009.1757812500;ask;3;10020;30;10.8242187500;11;11;ask_passive
7700;10008.7685546875;bid;1;10001;10;-7.7685546875;-8;-8;bid_passive
7700;10008.7685546875;bid;2;9998;25;-10.7685546875;-11;-11;bid_passive
7700;10008.7685546875;ask;1;10019;25;10.2314453125;10;10;ask_passive
7800;10008.4853515625;bid;1;10000;11;-8.4853515625;-8;-8;bid_passive
7800;10008.4853515625;bid;2;9998;22;-10.4853515625;-10;-10;bid_passive
7800;10008.4853515625;ask;1;10016;11;7.5146484375;8;8;ask_passive
7900;10008.2568359375;bid;1;10000;13;-8.2568359375;-8;-8;bid_passive
7900;10008.2568359375;bid;2;9998;23;-10.2568359375;-10;-10;bid_passive
7900;10008.2568359375;ask;1;10016;13;7.7431640625;8;8;ask_passive
7900;10008.2568359375;ask;2;10019;23;10.7431640625;11;11;ask_passive
8000;10007.6875000000;bid;1;10000;15;-7.6875000000;-8;-8;bid_passive
8000;10007.6875000000;bid;2;9997;22;-10.6875000000;-11;-11;bid_passive
8000;10007.6875000000;ask;1;10018;22;10.3125000000;10;10;ask_passive
8100;10008.1171875000;bid;1;10000;10;-8.1171875000;-8;-8;bid_passive
8100;10008.1171875000;ask;1;10016;10;7.8828125000;8;8;ask_passive
8100;10008.1171875000;ask;2;10019;30;10.8828125000;11;11;ask_passive
8200;10007.6591796875;bid;1;10000;12;-7.6591796875;-8;-8;bid_passive
8200;10007.6591796875;ask;1;10016;12;8.3408203125;8;8;ask_passive
8200;10007.6591796875;ask;2;10018;24;10.3408203125;10;10;ask_passive
8300;10008.3046875000;bid;1;10000;15;-8.3046875000;-8;-8;bid_passive
8300;10008.3046875000;bid;2;9998;23;-10.3046875000;-10;-10;bid_passive
8300;10008.3046875000;ask;1;10016;15;7.6953125000;8;8;ask_passive
8300;10008.3046875000;ask;2;10019;23;10.6953125000;11;11;ask_passive
8400;10009.1064453125;bid;1;10001;13;-8.1064453125;-8;-8;bid_passive
8400;10009.1064453125;bid;2;9999;23;-10.1064453125;-10;-10;bid_passive
8400;10009.1064453125;ask;1;10017;13;7.8935546875;8;8;ask_passive
8400;10009.1064453125;ask;2;10020;23;10.8935546875;11;11;ask_passive
8500;10008.6503906250;bid;1;10001;14;-7.6503906250;-8;-8;bid_passive
8500;10008.6503906250;ask;1;10019;21;10.3496093750;10;10;ask_passive
8600;10008.8232421875;bid;1;10001;13;-7.8232421875;-8;-8;bid_passive
8600;10008.8232421875;bid;2;9998;24;-10.8232421875;-11;-11;bid_passive
8600;10008.8232421875;ask;1;10017;13;8.1767578125;8;8;ask_passive
8600;10008.8232421875;ask;2;10019;24;10.1767578125;10;10;ask_passive
8700;10008.5576171875;bid;1;9998;30;-10.5576171875;-11;-11;bid_passive
8700;10008.5576171875;ask;1;10017;11;8.4423828125;8;8;ask_passive
8800;10008.4511718750;bid;1;9998;22;-10.4511718750;-10;-10;bid_passive
8800;10008.4511718750;ask;1;10019;22;10.5488281250;11;11;ask_passive
8900;10008.6259765625;bid;1;10001;11;-7.6259765625;-8;-8;bid_passive
8900;10008.6259765625;bid;2;9998;27;-10.6259765625;-11;-11;bid_passive
8900;10008.6259765625;ask;1;10010;5;1.3740234375;1;1;ask_passive
8900;10008.6259765625;ask;2;10017;11;8.3740234375;8;8;ask_passive
8900;10008.6259765625;ask;3;10019;27;10.3740234375;10;10;ask_passive
9000;10008.6972656250;ask;1;10017;14;8.3027343750;8;8;ask_passive
9000;10008.6972656250;ask;2;10019;20;10.3027343750;10;10;ask_passive
9100;10008.4472656250;bid;1;10006;4;-2.4472656250;-2;-2;bid_passive
9100;10008.4472656250;bid;2;10000;12;-8.4472656250;-8;-8;bid_passive
9100;10008.4472656250;bid;3;9998;25;-10.4472656250;-10;-10;bid_passive
9100;10008.4472656250;ask;1;10016;12;7.5527343750;8;8;ask_passive
9100;10008.4472656250;ask;2;10019;25;10.5527343750;11;11;ask_passive
9200;10008.2333984375;bid;1;10000;12;-8.2333984375;-8;-8;bid_passive
9200;10008.2333984375;bid;2;9998;21;-10.2333984375;-10;-10;bid_passive
9200;10008.2333984375;ask;1;10016;12;7.7666015625;8;8;ask_passive
9200;10008.2333984375;ask;2;10019;21;10.7666015625;11;11;ask_passive
9300;10008.1669921875;bid;1;10000;12;-8.1669921875;-8;-8;bid_passive
9300;10008.1669921875;ask;1;10016;12;7.8330078125;8;8;ask_passive
9300;10008.1669921875;ask;2;10019;23;10.8330078125;11;11;ask_passive
9400;10008.0185546875;bid;1;10000;10;-8.0185546875;-8;-8;bid_passive
9400;10008.0185546875;bid;2;9998;30;-10.0185546875;-10;-10;bid_passive
9400;10008.0185546875;ask;1;10006;10;-2.0185546875;-2;-2;ask_cross
9400;10008.0185546875;ask;2;10016;10;7.9814453125;8;8;ask_passive
9400;10008.0185546875;ask;3;10019;30;10.9814453125;11;11;ask_passive
9500;10007.4628906250;bid;1;9999;14;-8.4628906250;-8;-8;bid_passive
9500;10007.4628906250;bid;2;9997;27;-10.4628906250;-10;-10;bid_passive
9500;10007.4628906250;ask;1;10015;14;7.5371093750;8;8;ask_passive
9500;10007.4628906250;ask;2;10018;27;10.5371093750;11;11;ask_passive
9600;10007.4169921875;ask;1;10015;10;7.5830078125;8;8;ask_passive
9600;10007.4169921875;ask;2;10018;30;10.5830078125;11;11;ask_passive
9700;10007.1660156250;bid;1;9999;15;-8.1660156250;-8;-8;bid_passive
9700;10007.1660156250;bid;2;9997;26;-10.1660156250;-10;-10;bid_passive
9700;10007.1660156250;ask;1;10018;26;10.8339843750;11;11;ask_passive
9800;10007.2968750000;bid;1;9999;13;-8.2968750000;-8;-8;bid_passive
9800;10007.2968750000;ask;1;10018;29;10.7031250000;11;11;ask_passive
9900;10006.7929687500;bid;1;9999;11;-7.7929687500;-8;-8;bid_passive
9900;10006.7929687500;bid;2;9996;29;-10.7929687500;-11;-11;bid_passive
9900;10006.7929687500;ask;1;10015;11;8.2070312500;8;8;ask_passive
9900;10006.7929687500;ask;2;10017;29;10.2070312500;10;10;ask_passive
10000;10007.0644531250;bid;1;9999;13;-8.0644531250;-8;-8;bid_passive
10000;10007.0644531250;bid;2;9997;23;-10.0644531250;-10;-10;bid_passive
10000;10007.0644531250;ask;1;10015;13;7.9355468750;8;8;ask_passive
10000;10007.0644531250;ask;2;10018;23;10.9355468750;11;11;ask_passive
10100;10006.7890625000;bid;1;9999;10;-7.7890625000;-8;-8;bid_passive
10100;10006.7890625000;bid;2;9996;22;-10.7890625000;-11;-11;bid_passive
10100;10006.7890625000;ask;1;10015;10;8.2109375000;8;8;ask_passive
10200;10007.2646484375;bid;1;9999;11;-8.2646484375;-8;-8;bid_passive
10200;10007.2646484375;bid;2;9997;23;-10.2646484375;-10;-10;bid_passive
10200;10007.2646484375;ask;1;10015;11;7.7353515625;8;8;ask_passive
10200;10007.2646484375;ask;2;10018;23;10.7353515625;11;11;ask_passive
10300;10007.6406250000;bid;1;10000;12;-7.6406250000;-8;-8;bid_passive
10300;10007.6406250000;bid;2;9997;21;-10.6406250000;-11;-11;bid_passive
10300;10007.6406250000;ask;1;10016;12;8.3593750000;8;8;ask_passive
10300;10007.6406250000;ask;2;10018;21;10.3593750000;10;10;ask_passive
10400;10007.6992187500;bid;1;10000;12;-7.6992187500;-8;-8;bid_passive
10400;10007.6992187500;bid;2;9997;21;-10.6992187500;-11;-11;bid_passive
10400;10007.6992187500;ask;1;10016;12;8.3007812500;8;8;ask_passive
10400;10007.6992187500;ask;2;10018;21;10.3007812500;10;10;ask_passive
10500;10007.3886718750;bid;1;9999;11;-8.3886718750;-8;-8;bid_passive
10500;10007.3886718750;bid;2;9997;29;-10.3886718750;-10;-10;bid_passive
10500;10007.3886718750;ask;1;10015;11;7.6113281250;8;8;ask_passive
10500;10007.3886718750;ask;2;10018;29;10.6113281250;11;11;ask_passive
10600;10007.8486328125;bid;1;10000;11;-7.8486328125;-8;-8;bid_passive
10600;10007.8486328125;bid;2;9997;26;-10.8486328125;-11;-11;bid_passive
10600;10007.8486328125;ask;1;10016;11;8.1513671875;8;8;ask_passive
10600;10007.8486328125;ask;2;10018;26;10.1513671875;10;10;ask_passive
10700;10007.0810546875;bid;1;9999;13;-8.0810546875;-8;-8;bid_passive
10700;10007.0810546875;ask;1;10015;13;7.9189453125;8;8;ask_passive
10800;10006.5058593750;bid;1;9999;12;-7.5058593750;-8;-8;bid_passive
10800;10006.5058593750;bid;2;9996;23;-10.5058593750;-11;-11;bid_passive
10800;10006.5058593750;ask;1;10015;12;8.4941406250;8;8;ask_passive
10800;10006.5058593750;ask;2;10017;23;10.4941406250;10;10;ask_passive
