day,aggressor_party,side,product,spread_bucket,K,n,mean,median,frac_pos
1,Mark 38,seller,VEV_4000,wide,100,91,-0.7032967032967034,-1.0,0.38461538461538464
1,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,5,188,0.24468085106382978,0.5,0.5053191489361702
1,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,20,188,0.06914893617021277,0.0,0.44680851063829785
1,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,100,188,-0.34574468085106386,-1.0,0.44148936170212766
2,Mark 38,buyer,HYDROGEL_PACK,wide,5,165,-0.01818181818181818,0.0,0.47878787878787876
2,Mark 38,buyer,HYDROGEL_PACK,wide,20,165,-0.6333333333333333,0.0,0.4727272727272727
2,Mark 38,buyer,HYDROGEL_PACK,wide,100,165,1.903030303030303,0.0,0.49696969696969695
2,Mark 38,buyer,VEV_4000,wide,5,64,0.234375,0.75,0.53125
2,Mark 38,buyer,VEV_4000,wide,20,64,0.78125,1.0,0.625
2,Mark 38,buyer,VEV_4000,wide,100,64,1.875,2.25,0.65625
2,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,5,210,0.17857142857142858,0.0,0.44285714285714284
2,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,20,210,0.30714285714285716,0.0,0.49523809523809526
2,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,100,210,0.4738095238095238,1.0,0.5095238095238095
2,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,5,61,1.7540983606557377,2.0,0.8524590163934426
2,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,20,61,1.4508196721311475,1.0,0.6229508196721312
2,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,100,61,1.7295081967213115,2.0,0.5901639344262295
2,Mark 22,seller,VEV_5300,tight,5,44,-0.3068181818181818,0.0,0.18181818181818182
2,Mark 22,seller,VEV_5300,tight,20,44,-0.06818181818181818,0.0,0.36363636363636365
2,Mark 22,seller,VEV_5300,tight,100,44,0.26136363636363635,0.0,0.4772727272727273
2,Mark 22,seller,VEV_5400,tight,5,80,-0.04375,0.0,0.1875
2,Mark 22,seller,VEV_5400,tight,20,80,0.0125,0.0,0.3125
2,Mark 22,seller,VEV_5400,tight,100,80,-0.08125,-0.25,0.3625
2,Mark 22,seller,VEV_5500,tight,5,94,-0.047872340425531915,0.0,0.06382978723404255
2,Mark 22,seller,VEV_5500,tight,20,94,0.015957446808510637,0.0,0.1702127659574468
2,Mark 22,seller,VEV_5500,tight,100,94,-0.02127659574468085,0.0,0.2872340425531915
2,Mark 22,seller,VEV_6000,tight,5,95,0.0,0.0,0.0
2,Mark 22,seller,VEV_6000,tight,20,95,0.0,0.0,0.0
2,Mark 22,seller,VEV_6000,tight,100,95,0.0,0.0,0.0
2,Mark 22,seller,VEV_6500,tight,5,95,0.0,0.0,0.0
2,Mark 22,seller,VEV_6500,tight,20,95,0.0,0.0,0.0
2,Mark 22,seller,VEV_6500,tight,100,95,0.0,0.0,0.0
2,Mark 38,seller,HYDROGEL_PACK,wide,5,146,0.06506849315068493,0.0,0.4657534246575342
2,Mark 38,seller,HYDROGEL_PACK,wide,20,146,-0.2226027397260274,0.0,0.4657534246575342
2,Mark 38,seller,HYDROGEL_PACK,wide,100,146,-0.7773972602739726,-2.0,0.4315068493150685
2,Mark 38,seller,VEV_4000,wide,5,64,-0.53125,-0.75,0.40625
2,Mark 38,seller,VEV_4000,wide,20,64,-1.109375,-1.5,0.390625
2,Mark 38,seller,VEV_4000,wide,100,64,-0.3125,-1.25,0.46875
2,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,5,182,-0.3434065934065934,0.0,0.36813186813186816
2,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,20,182,-0.5961538461538461,-1.0,0.3626373626373626
2,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,100,182,-1.5412087912087913,-2.0,0.3956043956043956
3,Mark 38,buyer,HYDROGEL_PACK,wide,5,161,0.009316770186335404,0.0,0.42857142857142855
3,Mark 38,buyer,HYDROGEL_PACK,wide,20,161,0.049689440993788817,1.0,0.515527950310559
3,Mark 38,buyer,HYDROGEL_PACK,wide,100,161,-1.968944099378882,-1.5,0.4472049689440994
3,Mark 38,buyer,VEV_4000,wide,5,72,0.5138888888888888,0.25,0.5
3,Mark 38,buyer,VEV_4000,wide,20,72,0.2361111111111111,0.0,0.4305555555555556
3,Mark 38,buyer,VEV_4000,wide,100,72,-2.173611111111111,-2.25,0.4027777777777778
3,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,5,186,0.2768817204301075,0.0,0.46774193548387094
3,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,20,186,0.2553763440860215,0.25,0.5
3,Mark 55,buyer,VELVETFRUIT_EXTRACT,mid,100,186,-0.002688172043010753,-1.0,0.45161290322580644
3,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,5,45,1.9333333333333333,2.0,0.7333333333333333
3,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,20,45,2.022222222222222,1.5,0.6444444444444445
3,Mark 67,buyer,VELVETFRUIT_EXTRACT,tight,100,45,-1.0777777777777777,-1.5,0.4222222222222222
3,Mark 22,seller,VEV_5200,tight,5,30,-0.23333333333333334,-0.5,0.3
3,Mark 22,seller,VEV_5200,tight,20,30,-0.05,-0.5,0.43333333333333335
3,Mark 22,seller,VEV_5200,tight,100,30,0.9833333333333333,0.75,0.6
3,Mark 22,seller,VEV_5300,tight,5,78,-0.11538461538461539,0.0,0.3076923076923077
3,Mark 22,seller,VEV_5300,tight,20,78,0.01282051282051282,-0.5,0.41025641025641024
3,Mark 22,seller,VEV_5300,tight,100,78,0.3974358974358974,0.5,0.5641025641025641
3,Mark 22,seller,VEV_5400,tight,5,114,-0.03508771929824561,0.0,0.12280701754385964
3,Mark 22,seller,VEV_5400,tight,20,114,0.02631578947368421,0.0,0.24561403508771928
3,Mark 22,seller,VEV_5400,tight,100,114,0.13596491228070176,0.0,0.4473684210526316
3,Mark 22,seller,VEV_5500,tight,5,120,-0.0125,0.0,0.041666666666666664
3,Mark 22,seller,VEV_5500,tight,20,120,0.04583333333333333,0.0,0.1
3,Mark 22,seller,VEV_5500,tight,100,120,0.025,0.0,0.15833333333333333
3,Mark 22,seller,VEV_6000,tight,5,124,0.0,0.0,0.0
3,Mark 22,seller,VEV_6000,tight,20,124,0.0,0.0,0.0
3,Mark 22,seller,VEV_6000,tight,100,124,0.0,0.0,0.0
3,Mark 22,seller,VEV_6500,tight,5,124,0.0,0.0,0.0
3,Mark 22,seller,VEV_6500,tight,20,124,0.0,0.0,0.0
3,Mark 22,seller,VEV_6500,tight,100,124,0.0,0.0,0.0
3,Mark 38,seller,HYDROGEL_PACK,wide,5,175,-0.35714285714285715,-1.0,0.42857142857142855
3,Mark 38,seller,HYDROGEL_PACK,wide,20,175,-0.6685714285714286,0.0,0.4514285714285714
3,Mark 38,seller,HYDROGEL_PACK,wide,100,175,1.2142857142857142,0.0,0.4857142857142857
3,Mark 38,seller,VEV_4000,wide,5,78,0.14102564102564102,0.0,0.44871794871794873
3,Mark 38,seller,VEV_4000,wide,20,78,0.26282051282051283,0.0,0.46153846153846156
3,Mark 38,seller,VEV_4000,wide,100,78,0.8397435897435898,1.0,0.5128205128205128
3,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,5,203,0.07142857142857142,0.0,0.4236453201970443
3,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,20,203,0.0,0.0,0.46798029556650245
3,Mark 55,seller,VELVETFRUIT_EXTRACT,mid,100,203,-1.0320197044334976,-1.0,0.46798029556650245
