day,timestamp,n_vev,joint_tight,s_ext,s_ext_bucket,fwd20_ex
2,358500,5,True,6.0,mid,3.5
2,362600,4,True,5.0,mid,-4.0
2,365600,5,True,5.0,mid,2.0
2,373800,3,True,6.0,mid,3.0
2,376300,4,True,5.0,mid,-5.0
2,389000,5,True,6.0,mid,2.0
2,390300,5,True,5.0,mid,6.0
2,398200,4,True,6.0,mid,1.0
2,410200,4,True,5.0,mid,-5.0
2,414900,5,True,5.0,mid,9.0
2,415500,4,True,5.0,mid,5.0
2,423800,4,True,5.0,mid,5.0
2,433100,5,True,6.0,mid,-1.5
2,443600,4,True,5.0,mid,11.5
2,456200,4,True,5.0,mid,3.0
2,461200,4,True,5.0,mid,4.5
2,483400,4,True,6.0,mid,-3.5
2,495700,4,True,5.0,mid,0.5
2,501900,5,True,6.0,mid,-5.5
2,508800,4,True,5.0,mid,-0.5
2,519600,5,True,5.0,mid,-2.0
2,548600,3,True,6.0,mid,-0.5
2,554600,4,True,5.0,mid,-1.0
2,555700,4,True,5.0,mid,-3.0
2,566700,4,True,6.0,mid,-1.0
2,575100,4,True,5.0,mid,-7.0
2,587100,4,True,5.0,mid,3.0
2,588500,5,True,5.0,mid,-1.5
2,593000,4,True,5.0,mid,3.0
2,604100,5,True,5.0,mid,7.0
2,622600,4,True,5.0,mid,3.0
2,642400,4,True,5.0,mid,1.0
2,644500,4,True,6.0,mid,2.0
2,666500,5,True,6.0,mid,5.5
2,688600,4,True,5.0,mid,-2.0
2,691100,4,True,5.0,mid,1.0
2,695800,3,True,3.0,mid,6.0
2,711900,5,True,5.0,mid,-7.0
2,726600,4,True,6.0,mid,2.0
2,733200,4,True,5.0,mid,-1.5
2,748500,4,True,5.0,mid,1.0
2,763500,4,True,5.0,mid,5.5
2,764000,4,True,5.0,mid,-2.0
2,779200,5,True,5.0,mid,-6.0
2,793900,4,True,2.0,tight,-1.0
2,808800,4,True,6.0,mid,-9.0
2,825900,4,True,5.0,mid,-3.5
2,826400,5,True,5.0,mid,-0.5
2,836300,4,True,5.0,mid,0.0
2,872600,5,True,5.0,mid,-1.0
2,876500,4,True,5.0,mid,7.0
2,898600,4,True,5.0,mid,2.0
2,910900,3,True,5.0,mid,5.5
2,924200,3,True,5.0,mid,-6.0
2,934900,4,True,5.0,mid,-6.0
2,948000,3,True,5.0,mid,-2.0
2,948500,4,True,5.0,mid,-2.0
2,972800,3,True,5.0,mid,0.0
2,977300,3,True,5.0,mid,1.0
2,977500,4,True,5.0,mid,1.0
2,993800,5,True,5.0,mid,9.0
3,32900,5,True,6.0,mid,2.5
3,33600,4,True,5.0,mid,-1.0
3,37000,4,True,5.0,mid,-9.0
3,40200,3,True,6.0,mid,-10.5
3,45600,4,True,5.0,mid,1.0
3,47200,4,True,5.0,mid,1.0
3,54400,4,True,5.0,mid,3.0
3,69900,4,True,5.0,mid,8.0
3,70100,4,True,5.0,mid,10.0
3,70300,4,True,5.0,mid,7.0
3,74300,4,True,6.0,mid,-1.0
3,87300,4,True,6.0,mid,-1.5
3,92200,5,True,5.0,mid,-2.5
3,98900,5,True,5.0,mid,0.0
3,118700,4,True,3.0,mid,10.0
3,126600,4,True,5.0,mid,-2.0
3,128700,5,True,3.0,mid,9.0
3,132100,4,True,3.0,mid,5.0
3,137700,5,True,5.0,mid,-4.0
3,142700,4,True,5.0,mid,3.0
3,144800,4,True,5.0,mid,3.0
3,155400,5,True,5.0,mid,-6.0
3,166000,4,True,6.0,mid,3.5
3,172300,3,True,5.0,mid,-2.0
3,218300,5,True,5.0,mid,4.0
3,220800,5,True,5.0,mid,-6.0
3,222400,6,True,5.0,mid,1.0
3,243700,5,True,5.0,mid,-1.0
3,250200,4,True,5.0,mid,-1.0
3,253400,3,True,5.0,mid,-2.5
3,269000,4,True,6.0,mid,-6.5
3,273400,3,True,5.0,mid,4.0
3,289400,5,True,5.0,mid,-7.0
3,290900,5,True,5.0,mid,-1.0
3,315800,5,True,5.0,mid,2.0
3,317200,5,True,5.0,mid,-3.0
3,319700,5,True,5.0,mid,-3.0
3,320200,4,True,6.0,mid,1.5
3,328700,5,True,5.0,mid,8.0
3,329200,3,True,5.0,mid,6.5
3,332600,5,True,5.0,mid,-5.0
3,346200,4,True,5.0,mid,-6.0
3,350300,4,True,5.0,mid,-4.0
3,363100,6,True,5.0,mid,-1.5
3,364700,5,True,5.0,mid,0.0
3,369800,5,True,5.0,mid,4.0
3,385400,5,True,5.0,mid,5.0
3,389100,5,True,5.0,mid,7.0
3,391400,5,True,5.0,mid,0.5
3,396000,4,True,5.0,mid,-1.0
3,428900,5,True,5.0,mid,-4.5
3,431900,6,True,5.0,mid,2.0
3,442200,5,True,5.0,mid,3.0
3,451300,4,True,5.0,mid,-1.0
3,456600,5,True,5.0,mid,-2.0
3,459800,5,True,5.0,mid,-2.0
3,483900,4,True,5.0,mid,7.0
3,485500,4,True,5.0,mid,-6.0
3,498100,4,True,5.0,mid,-3.0
3,511800,6,True,5.0,mid,5.0
3,516400,5,True,5.0,mid,-2.0
3,524000,6,True,5.0,mid,0.0
3,529600,4,True,5.0,mid,-1.0
3,531500,5,True,5.0,mid,-3.0
3,535400,5,True,5.0,mid,4.0
3,535900,6,True,5.0,mid,7.0
3,547600,4,True,5.0,mid,3.0
3,551600,4,True,5.0,mid,5.0
3,555100,5,True,5.0,mid,-2.0
3,556400,4,True,5.0,mid,-1.0
3,565600,4,True,5.0,mid,-0.5
3,580600,5,True,6.0,mid,-1.0
3,583100,4,True,5.0,mid,-5.0
3,584300,5,True,5.0,mid,-6.0
3,612700,5,True,5.0,mid,8.0
3,614800,4,True,6.0,mid,-6.5
3,621000,4,True,6.0,mid,3.5
3,622500,5,True,5.0,mid,2.0
3,624200,4,True,5.0,mid,12.0
3,627700,5,True,6.0,mid,-9.5
3,631300,5,True,6.0,mid,-3.5
3,631500,5,True,5.0,mid,-4.0
3,634500,4,True,5.0,mid,3.0
3,642500,4,True,5.0,mid,8.0
3,666500,4,True,5.0,mid,-1.0
3,666700,3,True,6.0,mid,-1.5
3,671800,5,True,2.0,tight,11.5
3,671900,5,True,5.0,mid,8.0
3,678700,4,True,6.0,mid,1.5
3,689900,5,True,2.0,tight,4.5
3,699400,5,True,5.0,mid,-1.0
3,700300,4,True,5.0,mid,0.0
3,705400,5,True,5.0,mid,0.0
3,708800,5,True,6.0,mid,11.0
3,728500,4,True,5.0,mid,-3.0
3,730000,5,True,2.0,tight,-9.5
3,741100,5,True,5.0,mid,4.0
3,753700,5,True,1.0,tight,4.0
3,766900,4,True,6.0,mid,1.5
3,777600,4,True,6.0,mid,0.5
3,784100,4,True,6.0,mid,5.5
3,785100,4,True,5.0,mid,5.5
3,788300,4,True,5.0,mid,-2.0
3,793100,4,True,6.0,mid,1.0
3,807400,4,True,5.0,mid,2.0
3,820200,5,True,5.0,mid,0.0
3,826200,4,True,2.0,tight,2.0
3,834400,5,True,3.0,mid,-4.0
3,837500,4,True,5.0,mid,2.5
3,839800,4,True,5.0,mid,-6.0
3,842200,4,True,5.0,mid,6.0
3,864100,5,True,5.0,mid,3.0
3,868300,5,True,5.0,mid,-3.0
3,877600,5,True,5.0,mid,-4.0
3,878300,4,True,2.0,tight,-9.5
3,890900,6,True,5.0,mid,9.0
3,894300,5,True,5.0,mid,0.0
3,918500,5,True,5.0,mid,5.0
3,937000,4,True,5.0,mid,2.0
3,937400,4,True,5.0,mid,0.0
3,943900,3,False,5.0,mid,2.0
3,977300,5,True,5.0,mid,-7.0
3,983300,4,True,5.0,mid,0.0
3,997100,4,True,5.0,mid,0.0
