tape_day,ts,fut_abs_5
1,97600,1.0
1,97800,5.0
1,98400,1.0
1,98900,1.0
1,99100,2.0
1,99300,3.5
1,100300,0.0
1,100700,3.0
1,101100,1.0
1,102100,2.0
1,102900,2.0
1,105100,4.0
1,105800,1.0
1,106100,3.0
1,106500,0.0
1,106600,0.5
1,106900,6.5
1,107200,0.0
1,107400,0.5
1,108000,2.0
1,108500,0.0
1,109000,4.0
1,109400,2.0
1,110100,1.0
1,110500,3.0
1,110800,0.5
1,112500,4.5
1,112700,1.5
1,112900,1.0
1,113000,1.5
1,113300,2.0
1,113800,1.0
1,113900,4.5
1,115000,3.0
1,115300,2.5
1,116100,1.5
1,116700,0.0
1,116900,0.5
1,117200,2.0
1,117500,1.0
1,119400,0.0
1,119900,1.0
1,120100,1.0
1,120500,1.0
1,120700,0.0
1,121400,2.0
1,121600,2.0
1,122400,1.0
1,123800,2.5
1,124100,3.0
1,124400,2.5
1,124800,1.0
1,125000,1.5
1,125300,1.0
1,125600,1.0
1,126100,2.5
1,126700,1.5
1,127300,2.0
1,128200,0.5
1,128800,1.0
1,129200,0.5
1,129800,2.5
1,130200,1.5
1,130400,1.0
1,130500,5.0
1,130800,3.0
1,131100,2.0
1,131300,2.5
1,131900,0.0
1,132400,1.0
1,132600,1.5
1,133300,3.5
1,133700,2.0
1,134000,5.0
1,134900,3.0
1,135100,3.0
1,135300,2.5
1,136000,0.0
1,136400,0.5
1,137200,0.0
1,137800,0.5
1,138200,2.0
1,139400,1.5
1,139600,1.0
1,139700,1.5
1,140900,3.0
1,141600,1.0
1,142000,3.0
1,142400,1.0
1,143200,0.5
1,143900,3.0
1,144000,1.5
1,144400,0.0
1,145100,0.0
1,145500,2.5
1,146100,1.0
1,146300,0.5
1,146900,5.0
1,147100,4.0
1,147900,4.0
1,148300,4.0
1,148800,3.0
1,149000,0.0
1,149500,1.5
1,150200,0.0
1,151200,6.0
1,152100,2.0
1,152600,1.0
1,152800,1.0
1,153700,3.5
1,154000,1.5
1,154500,0.5
1,154900,2.0
1,155400,2.0
1,155500,2.0
1,156200,0.0
1,156300,3.0
1,156600,0.0
1,157000,5.0
1,157500,0.5
1,158000,3.5
1,158200,1.0
1,158500,1.0
1,158700,1.0
1,158900,0.5
1,160100,0.0
1,160500,2.0
1,160600,1.0
1,161000,3.0
1,162700,0.0
1,163300,2.0
1,163900,4.5
1,164200,1.0
1,164400,2.5
1,165500,0.5
1,166300,2.0
1,166500,2.0
1,166800,1.0
1,167500,0.0
1,167700,1.0
1,168400,1.0
1,168600,1.5
1,169000,3.5
1,169700,7.0
1,170200,0.5
1,170800,2.0
1,171200,2.0
1,171700,0.0
1,171900,2.0
1,172100,2.0
1,172900,1.5
1,173100,0.0
1,173400,0.0
1,174000,5.0
1,174400,1.5
1,174600,3.0
1,174900,2.5
1,175400,3.0
1,176000,1.0
1,176500,0.0
1,177000,1.0
1,177400,0.5
1,177500,1.0
1,177900,3.5
1,178200,2.5
1,178800,2.0
1,179700,1.0
1,180100,3.0
1,180500,1.0
1,180900,2.5
1,182800,2.0
1,183000,1.0
1,183900,4.0
1,184800,0.5
1,185200,4.0
1,186000,1.0
1,186100,2.5
1,186800,6.0
1,187200,3.0
1,187500,0.0
1,187700,1.0
1,188100,3.5
1,188800,4.0
1,189000,4.0
1,189200,4.0
1,191000,1.5
1,191400,2.0
1,191800,2.5
1,191900,6.0
1,192200,2.0
1,192400,2.0
1,193100,2.0
1,193400,0.0
1,193600,1.0
1,193900,0.0
1,194100,1.0
1,194400,3.0
1,194800,1.0
1,195600,2.0
1,195900,0.0
1,197000,2.0
1,197300,2.0
1,197600,2.0
1,197800,1.0
1,198600,1.0
1,199100,5.5
1,199600,1.0
1,200100,2.5
1,200300,1.0
1,201000,2.5
1,201400,0.0
1,201800,4.5
1,202300,2.5
1,202800,2.0
1,203000,2.0
1,203100,2.0
1,203300,1.0
1,203600,0.5
1,204400,4.5
1,204800,1.0
1,205100,3.0
1,205300,4.0
1,205400,5.0
1,206100,0.5
1,206700,2.0
1,207000,3.0
1,207200,1.0
1,207700,0.5
1,207800,1.5
1,208100,1.5
1,208300,1.0
1,208500,1.0
1,208800,2.0
1,209200,2.0
1,210200,1.0
1,210400,2.0
1,210700,2.0
1,211400,3.0
1,211600,0.0
1,212700,2.0
1,213000,1.0
1,213800,5.0
1,214100,2.0
1,214600,1.0
1,214800,2.0
1,215000,2.0
1,215600,1.0
1,216100,1.5
1,216700,2.0
1,217100,3.5
1,217600,3.5
1,218000,1.5
1,218200,2.0
1,218600,1.0
1,218700,1.0
1,218900,0.0
1,219900,3.0
1,220200,3.0
1,220700,0.5
1,221300,0.0
1,221700,1.0
1,222000,2.0
1,222200,1.0
1,222900,1.0
1,223100,1.5
1,223200,1.5
1,223700,0.0
1,223900,0.5
1,224700,2.0
1,224900,0.0
1,226200,2.0
1,226500,0.5
1,227200,2.0
1,228200,3.0
1,228500,5.5
1,228700,1.0
1,229000,3.5
1,229200,1.0
1,229500,2.0
1,230200,3.0
1,231000,1.0
1,231400,1.0
1,231900,1.0
1,232200,2.0
1,232500,0.0
1,232700,2.0
1,233100,1.0
1,233800,1.0
1,234000,5.5
1,234200,4.0
1,235000,0.0
1,235200,0.0
1,235800,1.5
1,236200,0.5
1,236600,4.0
1,236800,5.0
1,237100,2.0
1,237500,1.5
1,237800,0.5
1,238000,3.5
1,238400,4.0
1,238600,5.0
1,239300,2.0
1,239600,1.5
1,240200,2.0
1,240600,3.0
1,241000,0.5
1,241600,2.0
1,242100,3.0
1,242800,3.0
1,242900,1.5
1,243700,0.5
1,244300,0.0
1,244400,2.5
1,245400,1.0
1,246000,1.0
1,246300,2.0
1,246400,1.5
1,246800,4.5
1,247000,1.5
1,247400,0.5
1,248000,5.0
1,248500,0.0
1,248700,3.0
1,249300,1.0
1,250300,2.0
1,251800,1.0
1,251900,2.5
1,254500,1.5
1,254700,1.0
1,255500,3.0
1,256200,0.5
1,256700,1.0
1,257600,5.0
1,257900,5.5
1,258200,0.0
1,258400,2.0
1,258800,0.5
1,259100,2.0
1,259300,3.5
1,260100,4.0
1,260600,0.0
1,260800,1.5
1,261400,3.5
1,261600,0.5
1,261800,1.0
1,262100,2.0
1,262500,3.5
1,263100,4.0
1,264000,1.5
1,265400,1.5
1,265700,4.5
1,266100,2.5
1,266300,3.0
1,266600,2.5
1,266800,2.0
1,267000,0.5
1,267200,3.0
1,267700,3.0
1,267900,1.0
1,268200,3.0
1,269300,1.5
1,269600,3.0
1,269900,5.5
1,270400,2.0
1,270800,0.0
1,271700,1.0
1,271900,0.0
1,272100,0.5
1,272500,2.5
1,273700,2.0
1,274100,1.0
1,274500,2.0
1,274800,0.0
1,274900,3.0
1,275300,1.0
1,276300,1.0
1,276500,2.5
1,277600,4.5
1,278200,1.5
1,278700,1.0
1,279100,2.0
1,279300,3.0
1,279500,4.0
1,279700,0.0
1,280200,2.5
1,280500,0.0
1,280600,0.5
1,280800,1.0
1,281400,4.0
1,281800,3.5
1,282000,6.0
1,282300,1.0
1,282800,3.5
1,283100,2.0
1,284100,1.0
1,284400,3.5
1,285000,1.0
1,285700,2.0
1,285900,0.5
1,286400,4.0
1,286800,0.0
1,287000,1.0
1,287200,1.0
1,287700,0.0
1,288000,4.0
1,288500,1.0
1,289200,4.0
1,289400,4.0
1,289700,4.0
1,290200,2.5
1,290600,4.5
1,290800,1.0
1,291100,2.0
1,291400,1.5
1,291800,3.5
1,292000,0.5
1,292500,1.0
1,293500,0.5
1,293800,4.0
1,294100,4.0
1,294300,3.0
1,294500,2.0
1,295600,1.0
1,295800,2.5
1,296800,1.0
1,297000,1.0
1,298000,3.0
1,298100,0.5
1,298500,1.0
1,298700,0.5
1,299300,1.5
1,299400,2.0
1,300000,1.0
1,300200,4.0
1,300700,1.0
1,301200,0.0
1,301400,0.5
1,302100,0.0
1,302300,2.0
1,302800,4.0
1,303000,4.0
1,303800,1.0
1,304100,0.5
1,304800,5.0
1,305000,0.0
1,305500,1.0
1,306700,4.5
1,306900,5.0
1,307300,0.0
1,307600,1.5
1,308100,0.5
1,308300,3.0
1,309000,2.0
1,309300,1.0
1,309500,2.0
1,310400,2.0
1,310500,1.0
1,311200,2.5
1,312300,2.0
1,312700,2.0
1,313000,3.0
1,314000,4.0
1,314300,4.5
1,314700,4.0
1,314900,2.0
1,315200,1.0
1,315400,1.5
1,315700,2.5
1,316000,0.0
1,316300,2.0
1,316500,1.0
1,316700,1.0
1,316900,2.5
1,318800,2.5
1,319100,0.0
1,319300,0.0
1,319600,2.0
1,319900,1.0
1,320100,3.0
1,320600,1.0
1,321900,3.0
1,323100,1.5
1,323500,1.0
1,323700,1.0
1,324000,4.0
1,325000,1.0
1,325200,0.0
1,326100,1.5
1,326700,1.0
1,326900,1.0
1,327600,1.0
1,327900,2.0
1,328100,2.0
1,328400,2.0
1,329700,0.5
1,330300,1.0
1,330700,4.0
1,330900,2.0
1,331200,1.5
1,331800,0.0
1,332300,3.0
1,333000,8.0
1,333900,1.5
1,334100,2.0
1,334400,1.0
1,334900,4.0
1,335400,0.5
1,335700,3.0
1,337000,1.0
1,337700,1.0
1,337900,3.0
1,338400,1.0
1,339300,3.0
1,339900,2.5
1,340200,1.5
1,340500,2.0
1,340900,3.0
1,341700,2.0
1,342500,2.0
1,342800,1.0
1,343400,1.0
1,343800,5.0
1,344100,2.0
1,344500,2.0
1,344900,0.0
1,345100,1.5
1,347000,1.0
1,347200,1.0
1,347500,1.0
1,347900,5.0
1,348200,1.0
1,348600,5.0
1,349000,0.0
1,349700,0.0
1,350100,2.5
1,350500,2.0
1,350700,2.0
1,351400,1.0
1,352400,1.0
1,353500,1.0
1,353800,2.0
1,354500,0.5
1,354800,3.0
1,355100,1.0
1,355300,2.0
1,355600,0.0
1,356400,1.5
1,356800,2.0
1,357000,1.0
1,357600,1.0
1,358500,0.0
1,358800,2.0
1,358900,2.0
1,359500,1.0
1,359600,0.0
1,360700,0.0
1,361800,0.5
1,362000,1.0
1,362400,1.0
1,363300,3.0
1,363800,2.0
1,364000,0.5
1,364300,1.0
1,364600,1.0
1,364800,0.5
1,365400,1.0
1,365500,0.5
1,366100,2.0
1,366700,1.0
1,367500,1.5
1,367700,1.0
1,367900,5.0
1,368100,0.5
1,368500,0.0
1,368600,0.5
1,369000,2.0
1,369600,2.0
1,369900,2.0
1,370200,1.0
1,370300,2.5
1,370800,2.5
1,371100,3.0
1,371800,4.5
1,372200,0.0
1,372400,1.0
1,372900,2.0
1,373700,1.0
1,373900,1.0
1,374700,2.0
1,375100,1.5
1,375400,5.0
1,375800,1.0
1,376300,1.5
1,376800,2.5
1,377300,1.5
1,377500,0.5
1,377700,0.0
1,377900,1.0
1,378200,0.0
1,379100,4.0
1,379200,1.0
1,379500,1.5
1,379800,3.0
1,380100,0.5
1,380500,2.5
1,380800,0.0
1,381100,2.0
1,381400,3.5
1,382100,1.0
1,384300,0.5
1,384800,1.0
1,385300,0.0
1,386200,0.5
1,386400,0.5
1,387500,2.5
1,388400,3.5
1,388600,5.0
1,389200,2.0
1,389400,2.0
1,389700,0.5
1,390000,0.0
1,390100,1.5
1,390400,0.0
1,390800,1.0
1,391200,2.0
1,391400,3.0
1,391600,2.0
1,391900,1.5
1,392100,0.0
1,393200,1.0
1,393600,3.5
1,393900,3.0
1,394600,0.5
1,395100,2.5
1,395500,2.0
1,397200,2.0
1,398200,0.0
1,399300,1.0
1,400300,2.0
1,400600,1.0
1,401400,1.0
1,402200,1.5
1,402900,2.5
1,403400,2.0
1,404100,1.0
1,404500,3.0
1,405400,0.0
1,405600,1.0
1,405800,0.5
1,406100,1.0
1,406400,0.5
1,406600,1.5
1,407000,2.0
1,407100,0.5
1,407300,3.0
1,407500,2.5
1,407800,1.0
1,407900,0.0
1,408100,1.0
1,409000,0.0
1,409600,0.0
1,409800,3.5
1,410100,0.0
1,410600,1.5
1,410800,1.0
1,411200,0.0
1,412000,1.0
1,412200,1.0
1,413300,2.0
1,413600,0.5
1,414300,2.0
1,415200,2.5
1,415600,0.5
1,416200,0.0
1,416700,2.0
1,417500,2.0
1,418000,0.0
1,418200,1.0
1,419400,4.0
1,419900,1.5
1,420100,1.0
1,420500,2.0
1,420900,2.0
1,421400,0.5
1,421800,1.5
1,422100,2.0
1,422200,0.5
1,422400,1.0
1,422800,0.0
1,423000,2.5
1,424200,0.5
1,424500,2.0
1,424800,2.0
1,425100,2.5
1,425500,2.0
1,425700,0.0
1,425800,2.5
1,426500,0.0
1,426600,1.5
1,427300,2.0
1,427600,3.0
1,428600,2.0
1,429000,4.0
1,429200,0.0
1,430400,1.0
1,431400,0.0
1,431600,2.0
1,432500,2.0
1,432700,1.5
1,433000,0.0
1,433300,2.0
1,433500,1.5
1,433700,0.0
1,434100,0.5
1,434400,2.0
1,434800,2.5
1,435100,0.5
1,435200,3.5
1,435400,1.5
1,435800,3.0
1,436000,3.0
1,437000,0.0
1,437400,0.0
1,437800,5.0
1,438100,5.5
1,438200,1.5
1,438700,0.0
1,439300,1.0
1,441300,0.0
1,441700,0.5
1,442000,0.5
1,442600,2.0
1,442900,1.0
1,443400,3.0
1,444500,1.0
1,445200,1.0
1,445500,4.0
1,445700,5.0
1,445900,2.0
1,447300,1.5
1,447900,4.0
1,448600,3.5
1,450000,4.0
1,450200,2.5
1,450900,3.5
1,451600,0.0
1,451800,1.5
1,452100,0.0
1,452500,1.0
1,453300,1.0
1,453600,0.0
1,453700,1.0
1,454000,3.0
1,454900,1.0
1,455300,1.0
1,455700,0.5
1,456100,3.0
1,456300,4.0
1,456900,3.5
1,457200,0.0
1,457500,1.0
1,458200,1.5
1,459000,0.5
1,459300,5.0
1,459700,3.0
1,459800,0.0
1,460000,0.5
1,460600,1.0
1,461500,4.0
1,462400,2.0
1,462700,2.0
1,463800,0.5
1,464000,1.0
1,464400,3.5
1,464900,3.5
1,466100,3.5
1,466900,2.0
1,469100,2.5
1,469500,0.5
1,470100,0.0
1,470400,4.0
1,470900,2.0
1,471200,0.0
1,471600,2.0
1,472000,0.0
1,472800,2.0
1,472900,1.5
1,474500,0.5
1,474800,1.5
1,475000,2.0
1,475200,3.0
1,475400,3.5
1,475900,0.0
1,476100,3.0
1,476400,1.0
1,476900,3.0
1,477100,3.5
1,478000,2.0
1,479600,0.5
1,479800,0.5
1,480100,0.5
1,480400,0.0
1,480600,0.0
1,480900,4.0
1,481900,3.0
1,482400,3.0
1,483600,4.0
1,483900,0.0
1,484900,2.0
1,485200,0.5
1,485600,1.0
1,485700,2.0
1,486300,3.0
1,486500,3.0
1,487000,1.0
1,487700,1.0
1,488200,0.5
1,488800,1.0
1,489100,1.5
1,489700,1.5
1,489900,3.5
1,490300,2.0
1,490500,2.0
1,491700,0.0
1,491900,1.0
1,492700,3.0
1,493500,2.0
1,493700,0.5
1,493900,0.0
1,494300,1.5
1,494900,1.5
1,495200,2.0
1,495300,0.5
1,495900,0.0
1,496200,1.5
1,496700,2.0
1,497300,1.5
1,497900,1.0
1,498200,3.0
1,498600,3.5
1,499300,2.5
1,500300,1.0
1,500800,0.0
1,501800,3.0
1,502300,1.0
1,504200,3.0
1,504700,0.0
1,505300,3.0
1,505700,2.0
1,506500,2.5
1,507200,1.0
1,508400,2.0
1,508800,2.5
1,509100,2.0
1,509400,0.0
1,509700,3.0
1,510000,2.5
1,510800,2.0
1,511000,0.0
1,511300,3.0
1,511800,3.5
1,512400,0.0
1,513400,0.5
1,514100,3.0
1,514300,4.0
1,515500,0.0
1,517600,0.5
1,518500,1.5
1,519200,3.0
1,520000,2.0
1,520500,1.0
1,521200,1.5
1,521800,2.0
1,522100,3.5
1,522700,1.0
1,523200,1.5
1,523500,1.5
1,523800,2.0
1,524000,1.5
1,524500,1.5
1,524700,0.5
1,525200,2.0
1,525500,1.5
1,525700,4.0
1,525900,0.0
1,526700,3.0
1,527100,2.5
1,527300,1.0
1,527600,2.0
1,528000,1.5
1,529000,0.0
1,529800,1.0
1,530000,1.5
1,530200,1.0
1,531200,0.0
1,531400,2.0
1,531700,3.0
1,532600,2.0
1,533000,1.0
1,533300,0.5
1,534300,1.5
1,535100,2.0
1,537500,1.0
1,537800,3.0
1,538200,3.0
1,539000,0.5
1,539400,1.5
1,539600,2.0
1,540000,2.0
1,540300,2.0
1,541400,0.5
1,542000,1.5
1,542800,2.0
1,543000,3.0
1,543200,1.0
1,543900,1.0
1,544700,1.5
1,545000,1.0
1,545300,0.0
1,546000,1.5
1,547300,2.5
1,547600,1.0
1,547800,1.0
1,548800,2.0
1,549100,1.5
1,549300,2.0
1,549500,0.5
1,549700,0.0
1,550100,1.0
1,550400,1.0
1,550600,2.0
1,551100,2.5
1,551300,0.0
1,551600,1.0
1,552200,0.5
1,552300,2.0
1,552500,4.0
1,552800,4.0
1,554500,1.5
1,555100,3.0
1,555900,0.5
1,556200,0.5
1,556400,3.5
1,556600,2.5
1,556700,1.5
1,557000,1.0
1,557200,3.0
1,559200,1.5
1,559600,2.0
1,559900,4.0
1,560700,0.0
1,561200,2.5
1,561900,0.0
1,562300,1.0
1,563200,0.5
1,563300,1.0
1,563800,2.5
1,564000,2.0
1,564400,0.5
1,564700,1.5
1,565000,3.0
1,565300,1.0
1,565800,2.0
1,566100,2.0
1,566600,0.5
1,567100,0.5
1,567900,2.0
1,568200,4.0
1,568600,2.5
1,568800,2.0
1,569000,4.5
1,569200,2.5
1,569500,1.5
1,569800,0.5
1,570200,0.5
1,570400,4.0
1,570700,2.0
1,571100,0.5
1,571400,1.0
1,571700,2.0
1,571900,0.5
1,572400,2.0
1,572800,1.0
1,573100,1.0
1,573300,0.5
1,573900,0.0
1,574100,3.5
1,574600,0.0
1,575000,2.0
1,575200,7.5
1,575800,2.0
1,576400,1.0
1,576500,0.5
1,576900,2.0
1,577300,2.0
1,577700,1.0
1,577800,1.0
1,578200,1.0
1,578400,0.5
1,579000,0.5
1,579700,1.0
1,581100,4.0
1,581400,4.5
1,581600,5.5
1,581800,3.0
1,582000,1.5
1,582300,2.0
1,582600,0.0
1,582900,3.5
1,583600,1.0
1,583900,3.0
1,584400,0.0
1,584800,3.0
1,585600,1.0
1,585700,3.0
1,586100,2.0
1,586300,2.0
1,587400,1.0
1,587700,1.5
1,588600,1.5
1,589000,1.0
1,589200,2.0
1,590100,2.0
1,590600,2.0
1,591800,1.0
1,592000,3.0
1,592600,1.5
1,593200,3.5
1,593600,0.5
1,593700,4.5
1,594200,0.0
1,594900,1.0
1,595400,0.0
1,595600,0.5
1,595800,0.0
1,596600,6.0
1,597000,1.0
1,597700,0.5
1,597900,0.5
1,598300,2.0
1,598500,2.0
1,599400,3.0
1,599900,2.5
1,600200,2.5
1,600600,0.0
1,600700,3.5
1,601500,2.0
1,603000,1.0
1,603900,0.0
1,604700,0.0
1,606500,1.5
1,607800,3.0
1,608500,5.0
1,608800,4.0
1,609100,3.0
1,609500,1.0
1,610300,1.0
1,611400,6.0
1,611900,1.5
1,612900,4.5
1,613600,4.0
1,613900,3.0
1,615300,1.0
1,615700,2.0
1,616600,1.5
1,616800,0.0
1,617200,1.0
1,618000,3.0
1,618200,0.0
1,618400,2.5
1,618900,1.5
1,619500,3.5
1,620000,2.0
1,621300,0.0
1,622400,3.0
1,622800,0.0
1,623800,3.0
1,624800,1.0
1,625200,2.0
1,626000,1.5
1,626300,2.0
1,626800,2.0
1,628000,3.0
1,629000,3.0
1,629100,0.0
1,629400,2.0
1,629900,2.0
1,630100,2.0
1,630500,2.0
1,630800,0.0
1,631300,0.5
1,631500,1.0
1,632800,1.5
1,633100,0.5
1,633700,0.5
1,634300,1.5
1,634700,2.0
1,634800,1.0
1,635100,1.0
1,635500,6.0
1,637100,1.0
1,637600,5.0
1,637700,4.5
1,638300,2.0
1,638700,2.0
1,638800,0.5
1,639200,1.0
1,639400,2.0
1,640700,0.5
1,641700,3.5
1,642000,0.0
1,642300,2.0
1,643500,3.5
1,643700,1.0
1,644100,4.0
1,644400,2.5
1,644800,2.0
1,645000,0.5
1,645200,1.0
1,645600,0.0
1,646400,2.5
1,646600,1.0
1,647000,1.0
1,647300,0.5
1,647900,0.0
1,648100,2.5
1,648200,4.0
1,648700,3.0
1,649600,1.0
1,649900,1.0
1,650500,2.0
1,650700,2.0
1,651000,2.5
1,651400,2.0
1,651600,2.0
1,652600,1.0
1,652900,1.0
1,653300,3.5
1,653600,0.0
1,653900,4.0
1,656000,0.0
1,656500,2.0
1,656800,1.0
1,657500,2.0
1,658100,1.0
1,658400,2.0
1,658700,1.5
1,659300,2.0
1,659700,0.5
1,661400,0.0
1,661500,2.5
1,661700,0.0
1,662000,0.5
1,662700,2.5
1,663300,1.0
1,663700,4.5
1,664300,4.0
1,664500,2.0
1,665400,1.0
1,665600,1.0
1,665900,0.0
1,666000,3.0
1,666200,0.5
1,666600,0.5
1,666800,3.0
1,667000,0.5
1,667200,2.0
1,667300,4.0
1,667600,5.0
1,668800,0.0
1,669500,1.5
1,669700,0.0
1,670000,0.0
1,671000,0.0
1,671100,0.5
1,672100,3.0
1,672900,0.0
1,673800,5.0
1,674400,2.0
1,674800,1.5
1,675100,1.5
1,675400,1.5
1,675800,1.0
1,676000,0.0
1,676300,0.0
1,676700,3.0
1,677200,2.0
1,678000,0.0
1,678300,2.0
1,679200,2.5
1,679600,1.0
1,679900,4.0
1,681300,1.0
1,682000,1.0
1,682800,1.0
1,683300,4.0
1,683800,1.5
1,684100,3.5
1,684300,1.5
1,684600,2.0
1,684800,2.0
1,685100,6.0
1,685700,2.5
1,685900,0.0
1,686300,1.0
1,686800,0.5
1,687400,3.5
1,687800,0.0
1,687900,4.5
1,688400,2.0
1,689400,2.0
1,690300,1.0
1,691600,3.0
1,691700,5.0
1,691900,1.5
1,692400,0.0
1,692900,0.5
1,693300,1.5
1,693500,3.5
1,693900,0.0
1,694200,1.0
1,694500,4.0
1,695200,3.0
1,695600,3.5
1,696000,2.5
1,696200,0.5
1,696400,2.0
1,696500,3.5
1,696800,1.0
1,697100,2.0
1,697300,1.0
1,697600,2.0
1,697800,1.0
1,698800,2.0
1,699600,1.0
1,699900,3.0
1,700100,4.0
1,700800,2.5
1,701000,2.0
1,701200,0.5
1,701400,0.5
1,702000,3.0
1,702300,3.5
1,702600,4.0
1,702900,1.0
1,703100,4.5
1,703900,2.5
1,704100,0.0
1,705000,2.5
1,705100,1.0
1,705300,0.0
1,705500,3.0
1,705900,2.0
1,706000,0.5
1,706700,0.5
1,706900,1.0
1,707200,6.5
1,708300,1.5
1,708900,0.5
1,709600,2.0
1,709900,4.0
1,710100,4.0
1,711200,4.0
1,711500,1.5
1,711700,0.0
1,712000,0.5
1,713400,4.0
1,713600,0.5
1,714200,2.5
1,714800,1.0
1,715600,0.0
1,715800,1.0
1,716900,0.0
1,717300,2.0
1,718500,2.0
1,718700,0.0
1,718800,1.5
1,719500,0.0
1,720000,0.0
1,720300,0.5
1,720900,0.5
1,721500,2.0
1,721700,1.5
1,722000,1.0
1,722300,3.0
1,722500,2.0
1,723000,3.0
1,723200,2.0
1,724000,0.0
1,724500,4.0
1,724900,1.0
1,725500,3.0
1,726000,0.0
1,726800,3.0
1,727300,1.5
1,727800,0.0
1,728100,1.0
1,728500,1.0
1,728800,0.5
1,729500,2.0
1,730000,2.0
1,730300,5.0
1,730500,3.0
1,731700,1.0
1,732200,1.0
1,732400,5.5
1,732600,0.5
1,733000,2.0
1,733800,1.0
1,734100,0.5
1,734700,1.0
1,734900,3.5
1,735500,0.0
1,736200,2.5
1,736400,1.0
1,736800,2.0
1,737600,0.5
1,738600,0.0
1,739000,1.0
1,739400,6.0
1,739800,4.0
1,740600,0.5
1,740800,4.0
1,741000,1.5
1,741200,2.0
1,741400,2.5
1,741600,1.0
1,741900,1.5
1,742200,0.5
1,742500,2.0
1,742800,1.0
1,743300,1.0
1,743600,2.0
1,744500,2.0
1,744600,1.5
1,746000,1.5
1,746400,2.5
1,746600,3.5
1,747000,3.0
1,747100,1.5
1,747600,2.5
1,747900,2.5
1,748200,3.5
1,748500,2.0
1,748800,1.5
1,749400,0.5
1,750000,2.0
1,751200,1.0
1,751400,2.0
1,751700,1.5
1,752000,1.0
1,752300,3.0
1,753500,5.0
1,753800,0.5
1,754400,3.0
1,754800,1.0
