participant,side_role,aggressor_filter,K,symbol,spread_regime,burst_only,n,mean,median,frac_pos,t_stat,abs_t
Mark 67,buyer,all,20,VELVETFRUIT_EXTRACT,all,False,162.0,1.873456790123457,1.5,0.654320987654321,5.972726257208577,5.972726257208577
Mark 67,buyer,aggr_buy,20,VELVETFRUIT_EXTRACT,all,False,161.0,1.8416149068322982,1.5,0.6521739130434783,5.865156239755291,5.865156239755291
Mark 67,buyer,aggr_buy,20,VELVETFRUIT_EXTRACT,tight,False,161.0,1.8416149068322982,1.5,0.6521739130434783,5.865156239755291,5.865156239755291
Mark 49,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,tight,False,104.0,1.8317307692307692,2.0,0.6826923076923077,4.9525955625564935,4.9525955625564935
Mark 49,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,all,False,104.0,1.8317307692307692,2.0,0.6826923076923077,4.9525955625564935,4.9525955625564935
Mark 49,seller,all,20,VELVETFRUIT_EXTRACT,all,False,105.0,1.7952380952380953,2.0,0.6761904761904762,4.876686926034512,4.876686926034512
Mark 49,seller,all,20,VELVETFRUIT_EXTRACT,tight,False,105.0,1.7952380952380953,2.0,0.6761904761904762,4.876686926034512,4.876686926034512
Mark 22,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,all,False,86.0,2.0348837209302326,1.5,0.6511627906976745,4.55419693859998,4.55419693859998
Mark 22,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,tight,False,86.0,2.0348837209302326,1.5,0.6511627906976745,4.55419693859998,4.55419693859998
Mark 22,seller,aggr_sell,5,VEV_5300,tight,True,160.0,-0.203125,0.0,0.2375,-3.3127067443445664,3.3127067443445664
Mark 22,seller,aggr_sell,5,VEV_5300,all,True,160.0,-0.203125,0.0,0.2375,-3.3127067443445664,3.3127067443445664
Mark 22,seller,all,5,VEV_5300,all,True,163.0,-0.19325153374233128,0.0,0.24539877300613497,-3.1776800666829024,3.1776800666829024
Mark 22,seller,all,20,VELVETFRUIT_EXTRACT,all,False,97.0,1.4536082474226804,1.5,0.6288659793814433,3.1392775893484672,3.1392775893484672
Mark 22,seller,all,20,VELVETFRUIT_EXTRACT,tight,False,97.0,1.4536082474226804,1.5,0.6288659793814433,3.1392775893484672,3.1392775893484672
Mark 22,seller,all,5,VEV_5300,tight,True,162.0,-0.19135802469135801,0.0,0.24691358024691357,-3.1286979891281437,3.1286979891281437
Mark 01,buyer,all,5,VEV_5400,wide,True,50.0,-0.15,0.0,0.16,-2.781517949836592,2.781517949836592
Mark 01,buyer,aggr_sell,5,VEV_5400,wide,True,50.0,-0.15,0.0,0.16,-2.781517949836592,2.781517949836592
Mark 22,seller,aggr_sell,5,VEV_5400,wide,True,50.0,-0.15,0.0,0.16,-2.781517949836592,2.781517949836592
Mark 22,seller,all,5,VEV_5400,wide,True,51.0,-0.14705882352941177,0.0,0.1568627450980392,-2.777777777777778,2.777777777777778
Mark 14,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,tight,False,316.0,0.6044303797468354,1.0,0.5221518987341772,2.7752533248692077,2.7752533248692077
Mark 14,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,all,False,316.0,0.6044303797468354,1.0,0.5221518987341772,2.7752533248692077,2.7752533248692077
Mark 14,seller,all,20,VELVETFRUIT_EXTRACT,all,False,316.0,0.6044303797468354,1.0,0.5221518987341772,2.7752533248692077,2.7752533248692077
Mark 14,seller,all,20,VELVETFRUIT_EXTRACT,tight,False,316.0,0.6044303797468354,1.0,0.5221518987341772,2.7752533248692077,2.7752533248692077
Mark 14,buyer,all,5,VEV_5300,all,True,30.0,-0.4166666666666667,0.0,0.2,-2.532968456878179,2.532968456878179
Mark 14,buyer,all,100,VELVETFRUIT_EXTRACT,tight,False,301.0,-1.1661129568106312,-1.0,0.4219269102990033,-2.3483164597473474,2.3483164597473474
Mark 14,buyer,aggr_sell,100,VELVETFRUIT_EXTRACT,tight,False,301.0,-1.1661129568106312,-1.0,0.4219269102990033,-2.3483164597473474,2.3483164597473474
Mark 14,buyer,aggr_sell,100,VELVETFRUIT_EXTRACT,all,False,301.0,-1.1661129568106312,-1.0,0.4219269102990033,-2.3483164597473474,2.3483164597473474
Mark 14,buyer,all,100,VELVETFRUIT_EXTRACT,all,False,301.0,-1.1661129568106312,-1.0,0.4219269102990033,-2.3483164597473474,2.3483164597473474
Mark 01,buyer,all,5,VEV_5300,all,True,132.0,-0.14772727272727273,0.0,0.25,-2.2914560462557185,2.2914560462557185
Mark 01,buyer,aggr_sell,5,VEV_5300,tight,True,132.0,-0.14772727272727273,0.0,0.25,-2.2914560462557185,2.2914560462557185
Mark 01,buyer,aggr_sell,5,VEV_5300,all,True,132.0,-0.14772727272727273,0.0,0.25,-2.2914560462557185,2.2914560462557185
Mark 01,buyer,all,5,VEV_5300,tight,True,132.0,-0.14772727272727273,0.0,0.25,-2.2914560462557185,2.2914560462557185
Mark 55,buyer,all,20,VELVETFRUIT_EXTRACT,all,False,570.0,0.3815789473684211,0.5,0.5052631578947369,2.2464859025036943,2.2464859025036943
Mark 55,buyer,aggr_buy,20,VELVETFRUIT_EXTRACT,all,False,570.0,0.3815789473684211,0.5,0.5052631578947369,2.2464859025036943,2.2464859025036943
Mark 01,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,tight,False,131.0,-0.8206106870229007,-1.0,0.3816793893129771,-2.2218599294101162,2.2218599294101162
Mark 01,seller,all,20,VELVETFRUIT_EXTRACT,tight,False,131.0,-0.8206106870229007,-1.0,0.3816793893129771,-2.2218599294101162,2.2218599294101162
Mark 67,buyer,all,100,VELVETFRUIT_EXTRACT,tight,False,162.0,1.6080246913580247,1.0,0.5432098765432098,2.205889449046839,2.205889449046839
Mark 67,buyer,all,100,VELVETFRUIT_EXTRACT,all,False,162.0,1.6080246913580247,1.0,0.5432098765432098,2.205889449046839,2.205889449046839
Mark 49,seller,aggr_buy,100,VELVETFRUIT_EXTRACT,all,False,104.0,1.9759615384615385,1.0,0.5384615384615384,2.1727850443995993,2.1727850443995993
Mark 49,seller,aggr_buy,100,VELVETFRUIT_EXTRACT,tight,False,104.0,1.9759615384615385,1.0,0.5384615384615384,2.1727850443995993,2.1727850443995993
Mark 01,buyer,all,5,VELVETFRUIT_EXTRACT,tight,False,166.0,0.37349397590361444,0.0,0.4939759036144578,2.15160370372589,2.15160370372589
Mark 01,buyer,aggr_sell,5,VELVETFRUIT_EXTRACT,tight,False,166.0,0.37349397590361444,0.0,0.4939759036144578,2.15160370372589,2.15160370372589
Mark 49,seller,all,100,VELVETFRUIT_EXTRACT,tight,False,105.0,1.9190476190476191,1.0,0.5333333333333333,2.1263501862296157,2.1263501862296157
Mark 49,seller,all,100,VELVETFRUIT_EXTRACT,all,False,105.0,1.9190476190476191,1.0,0.5333333333333333,2.1263501862296157,2.1263501862296157
Mark 55,seller,all,100,VELVETFRUIT_EXTRACT,all,False,571.0,-0.7898423817863398,-1.0,0.44658493870402804,-2.1064520320229665,2.1064520320229665
Mark 55,seller,aggr_sell,100,VELVETFRUIT_EXTRACT,all,False,571.0,-0.7898423817863398,-1.0,0.44658493870402804,-2.1064520320229665,2.1064520320229665
Mark 01,buyer,all,5,VELVETFRUIT_EXTRACT,all,False,248.0,0.29838709677419356,0.5,0.5040322580645161,2.0901339011065585,2.0901339011065585
Mark 01,buyer,aggr_sell,5,VELVETFRUIT_EXTRACT,all,False,248.0,0.29838709677419356,0.5,0.5040322580645161,2.0901339011065585,2.0901339011065585
Mark 55,buyer,all,5,VELVETFRUIT_EXTRACT,all,False,570.0,0.1912280701754386,0.0,0.4649122807017544,2.0819714262187774,2.0819714262187774
Mark 55,buyer,aggr_buy,5,VELVETFRUIT_EXTRACT,all,False,570.0,0.1912280701754386,0.0,0.4649122807017544,2.0819714262187774,2.0819714262187774
Mark 01,seller,aggr_buy,20,VELVETFRUIT_EXTRACT,wide,False,101.0,0.8663366336633663,0.5,0.5643564356435643,2.069509449518457,2.069509449518457
Mark 01,seller,all,20,VELVETFRUIT_EXTRACT,wide,False,101.0,0.8663366336633663,0.5,0.5643564356435643,2.069509449518457,2.069509449518457
Mark 55,buyer,all,20,VELVETFRUIT_EXTRACT,wide,False,101.0,0.8663366336633663,0.5,0.5643564356435643,2.069509449518457,2.069509449518457
Mark 55,buyer,aggr_buy,20,VELVETFRUIT_EXTRACT,wide,False,101.0,0.8663366336633663,0.5,0.5643564356435643,2.069509449518457,2.069509449518457
Mark 67,buyer,aggr_buy,100,VELVETFRUIT_EXTRACT,tight,False,161.0,1.5,1.0,0.5403726708074534,2.0677899381961007,2.0677899381961007
Mark 67,buyer,aggr_buy,100,VELVETFRUIT_EXTRACT,all,False,161.0,1.5,1.0,0.5403726708074534,2.0677899381961007,2.0677899381961007
Mark 55,buyer,aggr_buy,5,VELVETFRUIT_EXTRACT,tight,False,469.0,0.2046908315565032,0.0,0.464818763326226,2.0314964456619626,2.0314964456619626
Mark 55,buyer,all,5,VELVETFRUIT_EXTRACT,tight,False,469.0,0.2046908315565032,0.0,0.464818763326226,2.0314964456619626,2.0314964456619626
Mark 14,seller,aggr_buy,5,VELVETFRUIT_EXTRACT,all,False,316.0,0.24525316455696203,0.0,0.48417721518987344,1.9511226666390387,1.9511226666390387
Mark 14,seller,all,5,VELVETFRUIT_EXTRACT,all,False,316.0,0.24525316455696203,0.0,0.48417721518987344,1.9511226666390387,1.9511226666390387
Mark 14,seller,aggr_buy,5,VELVETFRUIT_EXTRACT,tight,False,316.0,0.24525316455696203,0.0,0.48417721518987344,1.9511226666390387,1.9511226666390387
Mark 14,seller,all,5,VELVETFRUIT_EXTRACT,tight,False,316.0,0.24525316455696203,0.0,0.48417721518987344,1.9511226666390387,1.9511226666390387
Mark 22,seller,all,5,VEV_5500,all,True,306.0,-0.026143790849673203,0.0,0.05555555555555555,-1.9207508139484648,1.9207508139484648
Mark 22,seller,aggr_sell,5,VEV_5500,all,True,306.0,-0.026143790849673203,0.0,0.05555555555555555,-1.9207508139484648,1.9207508139484648
Mark 14,seller,aggr_buy,100,VELVETFRUIT_EXTRACT,all,False,316.0,0.944620253164557,1.0,0.5189873417721519,1.9035108232073796,1.9035108232073796
Mark 14,seller,all,100,VELVETFRUIT_EXTRACT,tight,False,316.0,0.944620253164557,1.0,0.5189873417721519,1.9035108232073796,1.9035108232073796
Mark 14,seller,aggr_buy,100,VELVETFRUIT_EXTRACT,tight,False,316.0,0.944620253164557,1.0,0.5189873417721519,1.9035108232073796,1.9035108232073796
