day,K,burst_fwd_u,control_fwd_u
3,5,0.0,-1.0
3,20,1.0,3.5
1,5,2.0,-0.5
1,20,3.5,5.5
2,5,-2.0,2.0
2,20,-6.0,-2.0
1,5,-5.0,1.0
1,20,-11.0,-4.0
1,5,3.5,-1.0
1,20,2.0,6.5
1,5,3.0,-4.5
1,20,-2.0,1.5
1,5,0.0,-3.0
1,20,0.0,3.0
2,5,-1.5,-2.0
2,20,-2.0,2.5
1,5,-1.5,2.0
1,20,4.0,-2.0
2,5,0.0,3.0
2,20,1.0,5.0
1,5,2.5,-0.5
1,20,7.0,-3.0
1,5,2.0,2.0
1,20,2.0,-3.5
1,5,-3.0,2.5
1,20,-6.0,-7.0
2,5,1.0,-1.5
2,20,-2.0,7.0
3,5,1.0,1.0
3,20,1.0,-2.0
3,5,-0.5,-4.5
3,20,2.0,-3.0
1,5,0.0,1.0
1,20,-4.0,9.5
2,5,3.0,-0.5
2,20,1.0,1.5
2,5,-4.5,-0.5
2,20,-9.0,2.0
3,5,-3.0,-1.0
3,20,-3.0,8.0
2,5,1.0,1.5
2,20,-3.0,5.0
2,5,-1.5,-0.5
2,20,1.5,-2.0
3,5,-0.5,-0.5
3,20,-1.0,-1.5
1,5,-1.5,0.5
1,20,-5.0,2.0
3,5,-1.0,3.5
3,20,3.0,4.0
2,5,-4.0,-2.0
2,20,-7.0,5.0
1,5,-0.5,1.5
1,20,-3.0,6.0
3,5,1.0,1.0
3,20,0.5,4.0
3,5,-3.0,5.5
3,20,-1.0,-2.5
3,5,4.0,1.0
3,20,5.5,-1.0
2,5,1.5,-0.5
2,20,3.0,9.0
1,5,1.5,-0.5
1,20,5.0,3.5
2,5,-1.0,-1.5
2,20,7.0,-4.0
3,5,2.0,-1.5
3,20,9.0,5.5
3,5,2.0,-0.5
3,20,0.0,2.0
2,5,0.5,-1.5
2,20,-2.5,-5.0
3,5,1.0,0.0
3,20,5.0,-2.5
3,5,3.0,1.0
3,20,8.0,1.5
3,5,-3.5,-0.5
3,20,-2.0,4.0
2,5,-0.5,-4.0
2,20,2.0,1.0
2,5,0.5,1.5
2,20,-1.0,-2.0
3,5,1.0,2.0
3,20,-1.0,6.0
3,5,-2.0,1.5
3,20,-7.0,-0.5
3,5,0.5,-2.5
3,20,5.0,-6.0
2,5,1.5,1.5
2,20,-0.5,-2.5
2,5,-1.0,0.0
2,20,3.0,1.5
3,5,-1.0,-1.0
3,20,-0.5,3.0
2,5,0.0,1.0
2,20,-1.5,2.0
3,5,1.5,4.0
3,20,11.5,-4.5
1,5,-2.0,2.0
1,20,5.0,2.5
1,5,-2.0,1.0
1,20,-8.0,-7.5
2,5,-1.0,5.0
2,20,-2.0,1.0
2,5,-1.0,-1.0
2,20,1.0,3.0
2,5,1.0,4.5
2,20,1.0,-1.0
2,5,-2.5,-2.5
2,20,1.0,-4.5
3,5,-1.5,0.5
3,20,-3.0,3.0
3,5,2.0,0.0
3,20,4.0,5.0
2,5,5.0,-0.5
2,20,5.5,-2.0
3,5,0.0,-1.0
3,20,-1.0,-3.0
3,5,-4.0,2.0
3,20,-4.0,9.5
3,5,-0.5,-2.0
3,20,2.0,0.0
1,5,1.0,0.5
1,20,-4.0,-1.0
2,5,-1.0,2.0
2,20,0.0,4.0
3,5,-1.0,2.0
3,20,0.0,-1.5
3,5,0.0,-0.5
3,20,-1.5,3.5
3,5,-2.0,1.0
3,20,7.0,-1.5
1,5,-2.5,0.0
1,20,-5.5,-4.0
1,5,2.0,0.0
1,20,6.0,0.0
3,5,-1.5,0.5
3,20,8.0,-2.0
1,5,1.0,0.5
1,20,5.0,1.5
3,5,0.0,-0.5
3,20,1.0,-3.0
2,5,-3.5,4.0
2,20,5.5,-2.0
3,5,-1.5,1.5
3,20,-9.5,-4.0
2,5,1.5,2.5
2,20,2.5,-3.0
2,5,3.0,1.0
2,20,11.0,2.0
1,5,2.0,-2.5
1,20,0.0,-2.0
2,5,0.5,-2.0
2,20,2.5,4.0
1,5,-1.0,0.0
1,20,-5.5,5.0
1,5,-1.5,-1.5
1,20,-3.0,-4.0
2,5,-1.5,1.0
2,20,-2.0,1.0
1,5,-1.0,1.0
1,20,-4.5,1.0
3,5,-0.5,-1.5
3,20,4.0,-4.0
1,5,3.0,-0.5
1,20,6.5,0.0
2,5,-0.5,1.0
2,20,-1.5,-2.0
3,5,1.0,-3.0
3,20,8.0,2.5
3,5,2.5,2.5
3,20,7.0,3.5
2,5,3.5,-1.0
2,20,4.5,-3.0
3,5,0.0,1.5
3,20,-6.0,-3.0
1,5,0.0,-2.0
1,20,2.5,1.5
3,5,-1.5,-2.5
3,20,-9.5,-1.0
3,5,-2.0,-3.0
3,20,-4.5,-4.0
1,5,-2.0,0.0
1,20,-1.0,-1.0
