day,timestamp,symbol,buyer,seller,qty,notional,aggressor,spread_sym,spread_u,spr_bin_u,fwd_mid_5,fwd_u_5,fwd_h_5,fwd_mid_20,fwd_u_20,fwd_h_20,fwd_mid_100,fwd_u_100,fwd_h_100,cell_mean_fwd,cell_n,residual_k20
1,10400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,12,62880.0,buy_agg,1.0,1.0,tight_u,4.0,4.0,-2.0,2.0,2.0,8.0,-11.0,-11.0,7.0,1.6348314606741574,89,0.3651685393258426
1,11800,VEV_5500,Mark 01,Mark 22,4,28.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,2.0,-1.0,-3.0,15.0,-1.0,-12.0,7.0,0.02508361204013378,299,-1.0250836120401339
1,11800,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,2.0,0.0,-3.0,15.0,0.0,-12.0,7.0,0.0,317,0.0
1,11800,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,2.0,0.0,-3.0,15.0,0.0,-12.0,7.0,0.0,317,0.0
1,14300,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,6,31428.0,buy_agg,5.0,5.0,tight_u,-1.0,-1.0,-3.0,-5.5,-5.5,-4.0,-1.0,-1.0,-6.0,0.006147540983606557,244,-5.506147540983607
1,14800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,6,31392.0,sell_agg,5.0,5.0,tight_u,-1.0,-1.0,0.0,-4.0,-4.0,-6.5,-1.0,-1.0,-4.0,0.0057692307692307696,260,-4.005769230769231
1,14800,VEV_5300,Mark 01,Mark 22,4,168.0,sell_agg,2.0,5.0,tight_u,0.0,-1.0,0.0,-1.0,-4.0,-6.5,0.0,-1.0,-4.0,-0.12121212121212122,132,-0.8787878787878788
1,14800,VEV_5400,Mark 01,Mark 22,4,56.0,sell_agg,2.0,5.0,tight_u,-0.5,-1.0,0.0,-0.5,-4.0,-6.5,-0.5,-1.0,-4.0,0.039923954372623575,263,-0.5399239543726235
1,14800,VEV_5500,Mark 01,Mark 22,4,24.0,sell_agg,1.0,5.0,tight_u,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0,0.02508361204013378,299,-0.02508361204013378
1,14800,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0,0.0,317,0.0
1,14800,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0,0.0,317,0.0
1,15000,HYDROGEL_PACK,Mark 38,Mark 14,4,39864.0,buy_agg,15.0,5.0,tight_u,-1.5,-2.0,-1.5,-11.5,-4.0,-11.5,-6.5,-2.0,-6.5,-0.3530571992110454,507,-11.146942800788954
1,16700,VEV_4000,Mark 14,Mark 38,2,2442.0,sell_agg,10.0,5.0,tight_u,6.5,1.0,-7.0,2.0,-4.5,-4.0,4.5,-1.0,-8.0,-0.1788793103448276,232,2.1788793103448274
1,16700,VEV_5300,Mark 01,Mark 22,2,82.0,sell_agg,2.0,5.0,tight_u,0.0,1.0,-7.0,-1.0,-4.5,-4.0,-1.0,-1.0,-8.0,-0.12121212121212122,132,-0.8787878787878788
1,16700,VEV_5400,Mark 01,Mark 22,2,28.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,-1.0,-4.5,-4.0,-0.5,-1.0,-8.0,0.039923954372623575,263,-1.0399239543726235
1,16700,VEV_5500,Mark 01,Mark 22,2,12.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,-0.5,-4.5,-4.0,0.0,-1.0,-8.0,0.02508361204013378,299,-0.5250836120401338
1,16700,VEV_6000,Mark 01,Mark 22,2,0.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,0.0,-4.5,-4.0,0.0,-1.0,-8.0,0.0,317,0.0
1,16700,VEV_6500,Mark 01,Mark 22,2,0.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,0.0,-4.5,-4.0,0.0,-1.0,-8.0,0.0,317,0.0
1,17300,VEV_4000,Mark 14,Mark 38,1,1221.0,sell_agg,21.0,5.0,tight_u,2.0,0.5,-0.5,-3.0,-3.0,11.5,4.0,4.0,10.0,-0.1788793103448276,232,-2.8211206896551726
1,17400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,8,41840.0,buy_agg,2.0,2.0,tight_u,4.0,4.0,4.0,-0.5,-0.5,7.0,7.5,7.5,5.0,2.026666666666667,75,-2.526666666666667
1,17900,VEV_4000,Mark 38,Mark 14,1,1243.0,buy_agg,20.0,6.0,tight_u,-3.5,-3.5,-4.0,-6.5,-6.5,8.0,4.5,4.5,-3.0,0.2146341463414634,205,-6.714634146341464
1,19300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5,26130.0,sell_agg,5.0,5.0,tight_u,0.0,0.0,-0.5,0.0,0.0,9.5,11.0,11.0,-5.5,-0.23734177215189872,316,0.23734177215189872
1,20200,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5,26120.0,sell_agg,5.0,5.0,tight_u,1.0,1.0,7.0,1.0,1.0,6.0,11.0,11.0,-8.0,-0.23734177215189872,316,1.2373417721518987
1,22800,HYDROGEL_PACK,Mark 14,Mark 38,6,59676.0,sell_agg,16.0,5.0,tight_u,-3.0,0.0,-3.0,-1.0,2.0,-1.0,2.0,5.5,2.0,0.23387096774193547,496,-1.2338709677419355
1,25700,VEV_4000,Mark 38,Mark 14,3,3723.0,buy_agg,20.0,5.0,tight_u,-0.5,-1.0,-8.0,7.5,7.0,-7.0,3.0,3.0,2.0,0.2146341463414634,205,7.285365853658536
1,29300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,4,20948.0,sell_agg,5.0,5.0,tight_u,2.0,2.0,-2.0,-7.5,-7.5,1.0,-5.0,-5.0,3.5,-0.23734177215189872,316,-7.262658227848101
1,30800,HYDROGEL_PACK,Mark 14,Mark 38,2,19880.0,sell_agg,16.0,5.0,tight_u,-1.0,-2.5,-1.0,8.0,2.5,8.0,-3.0,-3.0,-3.0,0.23387096774193547,496,7.766129032258065
1,31400,HYDROGEL_PACK,Mark 38,Mark 14,3,29859.0,buy_agg,16.0,5.0,tight_u,0.5,5.0,0.5,10.0,7.0,10.0,-1.0,-4.0,-1.0,-0.3530571992110454,507,10.353057199211046
1,31700,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,4,20948.0,buy_agg,5.0,5.0,tight_u,1.5,1.5,0.0,1.0,1.0,8.0,-6.5,-6.5,-5.0,0.006147540983606557,244,0.9938524590163934
1,32000,HYDROGEL_PACK,Mark 14,Mark 38,5,49690.0,sell_agg,16.0,5.0,tight_u,6.0,2.0,6.0,5.0,-1.0,5.0,5.0,-7.0,5.0,0.23387096774193547,496,4.766129032258065
1,32600,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,5,26200.0,buy_agg,5.0,5.0,tight_u,2.5,2.5,-1.0,-2.5,-2.5,-4.0,-7.0,-7.0,8.0,0.006147540983606557,244,-2.5061475409836067
1,32800,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,7,36666.0,buy_agg,2.0,2.0,tight_u,2.5,2.5,-1.0,-1.5,-1.5,-5.0,-5.5,-5.5,-2.0,2.026666666666667,75,-3.526666666666667
1,33600,HYDROGEL_PACK,Mark 14,Mark 38,6,59688.0,sell_agg,16.0,5.0,tight_u,-6.0,-4.5,-6.0,-2.0,-3.0,-2.0,6.5,-5.0,6.5,0.23387096774193547,496,-2.2338709677419355
1,36200,VEV_4000,Mark 38,Mark 14,3,3732.0,buy_agg,21.0,5.0,tight_u,-0.5,-0.5,-3.0,-1.5,-0.5,1.0,15.0,15.0,24.0,0.2146341463414634,205,-1.7146341463414634
1,36500,VELVETFRUIT_EXTRACT,Mark 22,Mark 55,7,36624.0,sell_agg,3.0,3.0,tight_u,-3.0,-3.0,-4.0,-2.0,-2.0,-7.0,13.0,13.0,23.0,0.5277777777777778,18,-2.5277777777777777
1,37400,HYDROGEL_PACK,Mark 14,Mark 38,4,39744.0,sell_agg,16.0,5.0,tight_u,7.0,-1.5,7.0,-1.0,0.0,-1.0,25.0,13.5,25.0,0.23387096774193547,496,-1.2338709677419355
1,38500,VEV_5500,Mark 01,Mark 22,5,30.0,sell_agg,1.0,5.0,tight_u,0.0,2.0,6.0,0.0,2.0,-2.0,1.0,13.0,22.0,0.02508361204013378,299,-0.02508361204013378
1,38500,VEV_6000,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,2.0,6.0,0.0,2.0,-2.0,0.0,13.0,22.0,0.0,317,0.0
1,38500,VEV_6500,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,2.0,6.0,0.0,2.0,-2.0,0.0,13.0,22.0,0.0,317,0.0
1,38700,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,8,41824.0,sell_agg,6.0,6.0,tight_u,3.5,3.5,5.0,1.0,1.0,-1.0,14.5,14.5,22.0,0.0057692307692307696,260,0.9942307692307693
1,39400,VELVETFRUIT_EXTRACT,Mark 22,Mark 49,5,26170.0,buy_agg,1.0,1.0,tight_u,2.0,2.0,2.0,-5.0,-5.0,1.0,11.0,11.0,36.0,2.7142857142857144,7,-7.714285714285714
1,39400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,9,47097.0,buy_agg,1.0,1.0,tight_u,2.0,2.0,2.0,-5.0,-5.0,1.0,11.0,11.0,36.0,1.6348314606741574,89,-6.634831460674158
1,39800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,4,20928.0,sell_agg,6.0,6.0,tight_u,-2.0,-2.0,0.0,-5.5,-5.5,3.0,11.5,11.5,39.0,0.0057692307692307696,260,-5.505769230769231
1,40400,VEV_5300,Mark 01,Mark 22,4,164.0,sell_agg,2.0,5.0,tight_u,0.0,0.0,0.0,-1.0,-2.0,18.0,5.0,13.0,37.0,-0.12121212121212122,132,-0.8787878787878788
1,40400,VEV_5400,Mark 01,Mark 22,4,56.0,sell_agg,1.0,5.0,tight_u,-0.5,0.0,0.0,-0.5,-2.0,18.0,2.0,13.0,37.0,0.039923954372623575,263,-0.5399239543726235
1,40400,VEV_5500,Mark 01,Mark 22,4,24.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,0.0,0.0,-2.0,18.0,1.0,13.0,37.0,0.02508361204013378,299,-0.02508361204013378
1,40400,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,0.0,0.0,-2.0,18.0,0.0,13.0,37.0,0.0,317,0.0
1,40400,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,0.0,0.0,-2.0,18.0,0.0,13.0,37.0,0.0,317,0.0
1,40900,HYDROGEL_PACK,Mark 38,Mark 14,5,49755.0,buy_agg,16.0,3.0,tight_u,1.0,-6.0,1.0,10.0,-2.0,10.0,36.0,9.5,36.0,-0.3530571992110454,507,10.353057199211046
1,41300,HYDROGEL_PACK,Mark 38,Mark 14,5,49765.0,buy_agg,16.0,5.0,tight_u,1.0,2.0,1.0,14.0,3.5,14.0,31.0,18.0,31.0,-0.3530571992110454,507,14.353057199211046
1,43400,VEV_5400,Mark 01,Mark 22,5,65.0,sell_agg,2.0,5.0,tight_u,0.5,3.0,0.0,2.0,8.5,11.0,1.5,11.0,5.0,0.039923954372623575,263,1.9600760456273765
1,43400,VEV_5500,Mark 01,Mark 22,5,30.0,sell_agg,1.0,5.0,tight_u,0.0,3.0,0.0,0.5,8.5,11.0,1.0,11.0,5.0,0.02508361204013378,299,0.47491638795986624
1,43400,VEV_6000,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,3.0,0.0,0.0,8.5,11.0,0.0,11.0,5.0,0.0,317,0.0
1,43400,VEV_6500,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,3.0,0.0,0.0,8.5,11.0,0.0,11.0,5.0,0.0,317,0.0
1,43600,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,4,20916.0,sell_agg,5.0,5.0,tight_u,4.5,4.5,5.5,10.5,10.5,8.5,12.0,12.0,3.5,0.0057692307692307696,260,10.49423076923077
1,43900,HYDROGEL_PACK,Mark 14,Mark 38,6,59712.0,sell_agg,16.0,5.0,tight_u,7.0,5.0,7.0,9.0,13.0,9.0,6.0,10.0,6.0,0.23387096774193547,496,8.766129032258064
1,45200,HYDROGEL_PACK,Mark 14,Mark 38,2,19922.0,sell_agg,16.0,5.0,tight_u,3.0,3.0,3.0,4.0,4.0,4.0,-23.0,4.0,-23.0,0.23387096774193547,496,3.7661290322580645
1,45400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,8,41928.0,buy_agg,2.0,2.0,tight_u,7.5,7.5,-2.0,6.0,6.0,-2.0,7.5,7.5,-27.0,2.026666666666667,75,3.973333333333333
1,47700,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,4,20972.0,sell_agg,2.0,2.0,tight_u,0.5,0.5,-2.0,1.5,1.5,14.0,3.5,3.5,-17.0,0.0057692307692307696,260,1.4942307692307693
1,48300,HYDROGEL_PACK,Mark 14,Mark 38,3,29880.0,sell_agg,15.0,5.0,tight_u,-1.5,0.0,-1.5,12.5,0.5,12.5,-13.5,0.0,-13.5,0.23387096774193547,496,12.266129032258064
1,48900,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,6,31446.0,sell_agg,5.0,5.0,tight_u,0.0,0.0,11.0,-0.5,-0.5,11.0,2.0,2.0,-13.5,0.0057692307692307696,260,-0.5057692307692307
1,49800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,3,15732.0,sell_agg,5.0,5.0,tight_u,-0.5,-0.5,-2.0,1.0,1.0,-10.0,0.5,0.5,-27.0,0.0057692307692307696,260,0.9942307692307693
1,50200,VEV_4000,Mark 14,Mark 38,2,2472.0,sell_agg,21.0,5.0,tight_u,-7.5,-2.5,-6.0,0.0,0.0,-13.0,1.0,1.0,-26.5,-0.1788793103448276,232,0.1788793103448276
1,50300,VEV_4000,Mark 38,Mark 14,3,3771.0,buy_agg,21.0,6.0,tight_u,-3.0,-1.0,-5.0,1.0,1.5,-9.0,1.0,1.5,-27.0,0.2146341463414634,205,0.7853658536585366
1,50700,VEV_5400,Mark 01,Mark 22,5,80.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.5,2.0,-5.0,0.0,2.5,-20.0,0.039923954372623575,263,0.4600760456273764
1,50700,VEV_5500,Mark 01,Mark 22,5,35.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.0,2.0,-5.0,0.0,2.5,-20.0,0.02508361204013378,299,-0.02508361204013378
1,50700,VEV_6000,Mark 01,Mark 22,5,0.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.0,2.0,-5.0,0.0,2.5,-20.0,0.0,317,0.0
1,50700,VEV_6500,Mark 01,Mark 22,5,0.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.0,2.0,-5.0,0.0,2.5,-20.0,0.0,317,0.0
1,51700,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,4,20972.0,sell_agg,5.0,5.0,tight_u,1.0,1.0,-3.0,0.0,0.0,-2.0,0.0,0.0,-21.0,-0.23734177215189872,316,0.23734177215189872
1,52400,HYDROGEL_PACK,Mark 14,Mark 38,5,49805.0,sell_agg,16.0,5.0,tight_u,0.0,0.0,0.0,-15.0,-1.0,-15.0,-29.0,-3.0,-29.0,0.23387096774193547,496,-15.233870967741936
1,52800,VEV_5400,Mark 01,Mark 22,3,48.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,-0.5,-3.5,-28.0,0.039923954372623575,263,-0.039923954372623575
1,52800,VEV_5500,Mark 01,Mark 22,3,21.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,0.0,-3.5,-28.0,0.02508361204013378,299,-0.02508361204013378
1,52800,VEV_6000,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,0.0,-3.5,-28.0,0.0,317,0.0
1,52800,VEV_6500,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,0.0,-3.5,-28.0,0.0,317,0.0
1,53000,HYDROGEL_PACK,Mark 14,Mark 38,4,39844.0,sell_agg,16.0,5.0,tight_u,-1.0,0.0,-1.0,-21.5,0.0,-21.5,-26.5,-3.0,-26.5,0.23387096774193547,496,-21.733870967741936
1,53400,VEV_5500,Mark 14,Mark 22,2,14.0,sell_agg,1.0,3.0,tight_u,0.0,2.0,1.0,0.0,5.0,-21.0,0.0,1.0,-28.0,-0.42857142857142855,7,0.42857142857142855
1,53400,VEV_6000,Mark 01,Mark 22,2,0.0,sell_agg,1.0,3.0,tight_u,0.0,2.0,1.0,0.0,5.0,-21.0,0.0,1.0,-28.0,0.0,317,0.0
1,53400,VEV_6500,Mark 01,Mark 22,2,0.0,sell_agg,1.0,3.0,tight_u,0.0,2.0,1.0,0.0,5.0,-21.0,0.0,1.0,-28.0,0.0,317,0.0
1,53800,VEV_4000,Mark 38,Mark 14,2,2510.0,buy_agg,21.0,3.0,tight_u,-1.0,1.0,-15.0,1.0,3.0,-20.0,-2.0,0.0,-29.0,0.2146341463414634,205,0.7853658536585366
1,54400,VEV_4000,Mark 14,Mark 38,3,3702.0,sell_agg,21.0,5.0,tight_u,-1.0,-1.0,-6.0,1.0,1.0,-1.0,0.0,0.0,-13.5,-0.1788793103448276,232,1.1788793103448276
1,57600,VEV_4000,Mark 38,Mark 14,3,3771.0,buy_agg,21.0,5.0,tight_u,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2146341463414634,205,-0.2146341463414634
1,59300,HYDROGEL_PACK,Mark 14,Mark 38,4,39796.0,sell_agg,16.0,5.0,tight_u,-2.0,-0.5,-2.0,-5.0,-2.0,-5.0,0.5,-2.0,0.5,0.23387096774193547,496,-5.233870967741935
1,59600,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,4,20976.0,sell_agg,5.0,5.0,tight_u,0.0,0.0,0.0,-1.0,-1.0,-3.0,-2.0,-2.0,6.0,-0.23734177215189872,316,-0.7626582278481013
1,60300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5,26225.0,sell_agg,5.0,5.0,tight_u,-1.0,-1.0,3.0,-4.0,-4.0,-11.0,-5.0,-5.0,3.0,-0.23734177215189872,316,-3.7626582278481013
1,61100,HYDROGEL_PACK,Mark 38,Mark 14,2,19922.0,buy_agg,16.0,5.0,tight_u,0.0,0.0,0.0,-11.0,-3.5,-11.0,10.0,-4.0,10.0,-0.3530571992110454,507,-10.646942800788954
1,61400,HYDROGEL_PACK,Mark 38,Mark 14,2,19924.0,buy_agg,16.0,5.0,tight_u,-6.0,-2.5,-6.0,-17.0,-3.0,-17.0,7.0,-6.0,7.0,-0.3530571992110454,507,-16.646942800788956
1,62100,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,6,31458.0,sell_agg,5.0,5.0,tight_u,-2.0,-2.0,-6.0,-4.0,-4.0,-6.0,-2.0,-2.0,18.0,-0.23734177215189872,316,-3.7626582278481013
1,62600,VEV_4000,Mark 38,Mark 14,1,1254.0,buy_agg,21.0,5.0,tight_u,-1.5,-1.5,3.0,-1.0,-1.0,2.0,-5.0,-5.0,24.0,0.2146341463414634,205,-1.2146341463414634
1,63100,VEV_4000,Mark 38,Mark 14,3,3756.0,buy_agg,20.0,6.0,tight_u,3.5,3.5,-5.0,2.5,2.5,-4.0,-3.5,-3.5,26.0,0.2146341463414634,205,2.2853658536585364
1,63200,HYDROGEL_PACK,Mark 38,Mark 14,5,49750.0,buy_agg,16.0,5.0,tight_u,-5.0,1.0,-5.0,-5.0,2.0,-5.0,29.0,-5.0,29.0,-0.3530571992110454,507,-4.646942800788954
1,63200,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,8,41920.0,sell_agg,5.0,5.0,tight_u,1.0,1.0,-5.0,2.0,2.0,-5.0,-5.0,-5.0,29.0,-0.23734177215189872,316,2.2373417721518987
1,64200,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,6,31470.0,buy_agg,5.0,5.0,tight_u,1.0,1.0,-4.0,-0.5,-0.5,6.0,-5.5,-5.5,42.0,0.5755287009063444,331,-1.0755287009063443
1,64300,HYDROGEL_PACK,Mark 14,Mark 38,4,39732.0,sell_agg,16.0,5.0,tight_u,-4.0,0.0,-4.0,10.0,-1.0,10.0,42.0,-7.0,42.0,0.23387096774193547,496,9.766129032258064
1,65400,HYDROGEL_PACK,Mark 14,Mark 38,4,39720.0,sell_agg,16.0,5.0,tight_u,4.5,-1.0,4.5,18.0,5.0,18.0,45.0,-4.0,45.0,0.23387096774193547,496,17.766129032258064
1,65700,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,8,41920.0,sell_agg,5.0,5.0,tight_u,-0.5,-0.5,0.5,6.0,6.0,10.5,-5.0,-5.0,35.5,-0.23734177215189872,316,6.237341772151899
1,65900,HYDROGEL_PACK,Mark 14,Mark 38,2,19870.0,sell_agg,15.0,5.0,tight_u,6.0,-0.5,6.0,15.5,5.0,15.5,40.5,-4.5,40.5,0.23387096774193547,496,15.266129032258064
1,67700,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,4,21000.0,buy_agg,3.0,3.0,tight_u,-2.0,-2.0,2.0,-4.0,-4.0,4.0,-11.0,-11.0,37.0,0.5755287009063444,331,-4.575528700906345
1,68000,VEV_4000,Mark 38,Mark 14,2,2516.0,buy_agg,21.0,5.0,tight_u,-1.0,-1.0,-2.0,-4.0,-4.0,-4.0,-9.0,-9.0,34.0,0.2146341463414634,205,-4.214634146341464
1,69500,HYDROGEL_PACK,Mark 14,Mark 38,2,19904.0,sell_agg,15.0,5.0,tight_u,-2.5,0.0,-2.5,5.5,-3.0,5.5,23.5,-3.5,23.5,0.23387096774193547,496,5.266129032258065
1,70500,VEV_4000,Mark 14,Mark 38,1,1232.0,sell_agg,20.0,6.0,tight_u,-0.5,-0.5,5.0,-3.0,-3.0,12.0,-4.5,-4.5,26.0,-0.1788793103448276,232,-2.8211206896551726
1,73400,VELVETFRUIT_EXTRACT,Mark 22,Mark 49,8,41896.0,buy_agg,1.0,1.0,tight_u,0.0,0.0,8.5,4.0,4.0,11.5,0.0,0.0,7.5,2.7142857142857144,7,1.2857142857142856
1,73400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,6,31416.0,buy_agg,1.0,1.0,tight_u,0.0,0.0,8.5,4.0,4.0,11.5,0.0,0.0,7.5,2.6666666666666665,9,1.3333333333333335
1,73500,HYDROGEL_PACK,Mark 14,Mark 38,3,29898.0,sell_agg,16.0,5.0,tight_u,6.0,0.0,6.0,6.0,1.5,6.0,1.0,-1.0,1.0,0.23387096774193547,496,5.766129032258065
1,74100,VEV_5300,Mark 01,Mark 22,3,126.0,sell_agg,2.0,5.0,tight_u,1.0,4.0,3.0,1.0,3.0,6.0,-2.0,-4.0,-8.0,-0.12121212121212122,132,1.121212121212121
1,74100,VEV_5400,Mark 01,Mark 22,3,42.0,sell_agg,1.0,5.0,tight_u,1.0,4.0,3.0,1.0,3.0,6.0,-0.5,-4.0,-8.0,0.039923954372623575,263,0.9600760456273765
1,74100,VEV_5500,Mark 01,Mark 22,3,18.0,sell_agg,1.0,5.0,tight_u,0.0,4.0,3.0,0.0,3.0,6.0,0.0,-4.0,-8.0,0.02508361204013378,299,-0.02508361204013378
1,74100,VEV_6000,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,4.0,3.0,0.0,3.0,6.0,0.0,-4.0,-8.0,0.0,317,0.0
1,74100,VEV_6500,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,4.0,3.0,0.0,3.0,6.0,0.0,-4.0,-8.0,0.0,317,0.0
1,74300,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,6,31428.0,buy_agg,5.0,5.0,tight_u,4.5,4.5,-2.0,4.0,4.0,3.0,-3.0,-3.0,-10.0,0.5755287009063444,331,3.4244712990936557
