day,timestamp,symbol,buyer,seller,qty,notional,aggressor,spread_sym,spread_u,spr_bin_u,fwd_mid_5,fwd_u_5,fwd_h_5,fwd_mid_20,fwd_u_20,fwd_h_20,fwd_mid_100,fwd_u_100,fwd_h_100
1,9600,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0
1,9600,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.5,0.0,0.0,-5.0,2.0,0.0,-17.5,1.0
1,10400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,12,62880.0,buy_agg,1.0,1.0,tight_u,4.0,4.0,-2.0,2.0,2.0,8.0,-11.0,-11.0,7.0
1,11800,VEV_5500,Mark 01,Mark 22,4,28.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,2.0,-1.0,-3.0,15.0,-1.0,-12.0,7.0
1,11800,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,2.0,0.0,-3.0,15.0,0.0,-12.0,7.0
1,11800,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,2.0,0.0,-3.0,15.0,0.0,-12.0,7.0
1,14300,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,6,31428.0,buy_agg,5.0,5.0,tight_u,-1.0,-1.0,-3.0,-5.5,-5.5,-4.0,-1.0,-1.0,-6.0
1,14800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,6,31392.0,sell_agg,5.0,5.0,tight_u,-1.0,-1.0,0.0,-4.0,-4.0,-6.5,-1.0,-1.0,-4.0
1,14800,VEV_5300,Mark 01,Mark 22,4,168.0,sell_agg,2.0,5.0,tight_u,0.0,-1.0,0.0,-1.0,-4.0,-6.5,0.0,-1.0,-4.0
1,14800,VEV_5400,Mark 01,Mark 22,4,56.0,sell_agg,2.0,5.0,tight_u,-0.5,-1.0,0.0,-0.5,-4.0,-6.5,-0.5,-1.0,-4.0
1,14800,VEV_5500,Mark 01,Mark 22,4,24.0,sell_agg,1.0,5.0,tight_u,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0
1,14800,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0
1,14800,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,-1.0,0.0,0.0,-4.0,-6.5,0.0,-1.0,-4.0
1,15000,HYDROGEL_PACK,Mark 38,Mark 14,4,39864.0,buy_agg,15.0,5.0,tight_u,-1.5,-2.0,-1.5,-11.5,-4.0,-11.5,-6.5,-2.0,-6.5
1,16700,VEV_4000,Mark 14,Mark 38,2,2442.0,sell_agg,10.0,5.0,tight_u,6.5,1.0,-7.0,2.0,-4.5,-4.0,4.5,-1.0,-8.0
1,16700,VEV_5300,Mark 01,Mark 22,2,82.0,sell_agg,2.0,5.0,tight_u,0.0,1.0,-7.0,-1.0,-4.5,-4.0,-1.0,-1.0,-8.0
1,16700,VEV_5400,Mark 01,Mark 22,2,28.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,-1.0,-4.5,-4.0,-0.5,-1.0,-8.0
1,16700,VEV_5500,Mark 01,Mark 22,2,12.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,-0.5,-4.5,-4.0,0.0,-1.0,-8.0
1,16700,VEV_6000,Mark 01,Mark 22,2,0.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,0.0,-4.5,-4.0,0.0,-1.0,-8.0
1,16700,VEV_6500,Mark 01,Mark 22,2,0.0,sell_agg,1.0,5.0,tight_u,0.0,1.0,-7.0,0.0,-4.5,-4.0,0.0,-1.0,-8.0
1,17300,VEV_4000,Mark 14,Mark 38,1,1221.0,sell_agg,21.0,5.0,tight_u,2.0,0.5,-0.5,-3.0,-3.0,11.5,4.0,4.0,10.0
1,17400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,8,41840.0,buy_agg,2.0,2.0,tight_u,4.0,4.0,4.0,-0.5,-0.5,7.0,7.5,7.5,5.0
1,17900,VEV_4000,Mark 38,Mark 14,1,1243.0,buy_agg,20.0,6.0,tight_u,-3.5,-3.5,-4.0,-6.5,-6.5,8.0,4.5,4.5,-3.0
1,19300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5,26130.0,sell_agg,5.0,5.0,tight_u,0.0,0.0,-0.5,0.0,0.0,9.5,11.0,11.0,-5.5
1,20200,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5,26120.0,sell_agg,5.0,5.0,tight_u,1.0,1.0,7.0,1.0,1.0,6.0,11.0,11.0,-8.0
1,22800,HYDROGEL_PACK,Mark 14,Mark 38,6,59676.0,sell_agg,16.0,5.0,tight_u,-3.0,0.0,-3.0,-1.0,2.0,-1.0,2.0,5.5,2.0
1,25700,VEV_4000,Mark 38,Mark 14,3,3723.0,buy_agg,20.0,5.0,tight_u,-0.5,-1.0,-8.0,7.5,7.0,-7.0,3.0,3.0,2.0
1,29300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,4,20948.0,sell_agg,5.0,5.0,tight_u,2.0,2.0,-2.0,-7.5,-7.5,1.0,-5.0,-5.0,3.5
1,30800,HYDROGEL_PACK,Mark 14,Mark 38,2,19880.0,sell_agg,16.0,5.0,tight_u,-1.0,-2.5,-1.0,8.0,2.5,8.0,-3.0,-3.0,-3.0
1,31400,HYDROGEL_PACK,Mark 38,Mark 14,3,29859.0,buy_agg,16.0,5.0,tight_u,0.5,5.0,0.5,10.0,7.0,10.0,-1.0,-4.0,-1.0
1,31700,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,4,20948.0,buy_agg,5.0,5.0,tight_u,1.5,1.5,0.0,1.0,1.0,8.0,-6.5,-6.5,-5.0
1,32000,HYDROGEL_PACK,Mark 14,Mark 38,5,49690.0,sell_agg,16.0,5.0,tight_u,6.0,2.0,6.0,5.0,-1.0,5.0,5.0,-7.0,5.0
1,32600,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,5,26200.0,buy_agg,5.0,5.0,tight_u,2.5,2.5,-1.0,-2.5,-2.5,-4.0,-7.0,-7.0,8.0
1,32800,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,7,36666.0,buy_agg,2.0,2.0,tight_u,2.5,2.5,-1.0,-1.5,-1.5,-5.0,-5.5,-5.5,-2.0
1,33600,HYDROGEL_PACK,Mark 14,Mark 38,6,59688.0,sell_agg,16.0,5.0,tight_u,-6.0,-4.5,-6.0,-2.0,-3.0,-2.0,6.5,-5.0,6.5
1,36200,VEV_4000,Mark 38,Mark 14,3,3732.0,buy_agg,21.0,5.0,tight_u,-0.5,-0.5,-3.0,-1.5,-0.5,1.0,15.0,15.0,24.0
1,36500,VELVETFRUIT_EXTRACT,Mark 22,Mark 55,7,36624.0,sell_agg,3.0,3.0,tight_u,-3.0,-3.0,-4.0,-2.0,-2.0,-7.0,13.0,13.0,23.0
1,37400,HYDROGEL_PACK,Mark 14,Mark 38,4,39744.0,sell_agg,16.0,5.0,tight_u,7.0,-1.5,7.0,-1.0,0.0,-1.0,25.0,13.5,25.0
1,38500,VEV_5500,Mark 01,Mark 22,5,30.0,sell_agg,1.0,5.0,tight_u,0.0,2.0,6.0,0.0,2.0,-2.0,1.0,13.0,22.0
1,38500,VEV_6000,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,2.0,6.0,0.0,2.0,-2.0,0.0,13.0,22.0
1,38500,VEV_6500,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,2.0,6.0,0.0,2.0,-2.0,0.0,13.0,22.0
1,38700,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,8,41824.0,sell_agg,6.0,6.0,tight_u,3.5,3.5,5.0,1.0,1.0,-1.0,14.5,14.5,22.0
1,39400,VELVETFRUIT_EXTRACT,Mark 22,Mark 49,5,26170.0,buy_agg,1.0,1.0,tight_u,2.0,2.0,2.0,-5.0,-5.0,1.0,11.0,11.0,36.0
1,39400,VELVETFRUIT_EXTRACT,Mark 67,Mark 49,9,47097.0,buy_agg,1.0,1.0,tight_u,2.0,2.0,2.0,-5.0,-5.0,1.0,11.0,11.0,36.0
1,39800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,4,20928.0,sell_agg,6.0,6.0,tight_u,-2.0,-2.0,0.0,-5.5,-5.5,3.0,11.5,11.5,39.0
1,40400,VEV_5300,Mark 01,Mark 22,4,164.0,sell_agg,2.0,5.0,tight_u,0.0,0.0,0.0,-1.0,-2.0,18.0,5.0,13.0,37.0
1,40400,VEV_5400,Mark 01,Mark 22,4,56.0,sell_agg,1.0,5.0,tight_u,-0.5,0.0,0.0,-0.5,-2.0,18.0,2.0,13.0,37.0
1,40400,VEV_5500,Mark 01,Mark 22,4,24.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,0.0,0.0,-2.0,18.0,1.0,13.0,37.0
1,40400,VEV_6000,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,0.0,0.0,-2.0,18.0,0.0,13.0,37.0
1,40400,VEV_6500,Mark 01,Mark 22,4,0.0,sell_agg,1.0,5.0,tight_u,0.0,0.0,0.0,0.0,-2.0,18.0,0.0,13.0,37.0
1,40900,HYDROGEL_PACK,Mark 38,Mark 14,5,49755.0,buy_agg,16.0,3.0,tight_u,1.0,-6.0,1.0,10.0,-2.0,10.0,36.0,9.5,36.0
1,41300,HYDROGEL_PACK,Mark 38,Mark 14,5,49765.0,buy_agg,16.0,5.0,tight_u,1.0,2.0,1.0,14.0,3.5,14.0,31.0,18.0,31.0
1,43400,VEV_5400,Mark 01,Mark 22,5,65.0,sell_agg,2.0,5.0,tight_u,0.5,3.0,0.0,2.0,8.5,11.0,1.5,11.0,5.0
1,43400,VEV_5500,Mark 01,Mark 22,5,30.0,sell_agg,1.0,5.0,tight_u,0.0,3.0,0.0,0.5,8.5,11.0,1.0,11.0,5.0
1,43400,VEV_6000,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,3.0,0.0,0.0,8.5,11.0,0.0,11.0,5.0
1,43400,VEV_6500,Mark 01,Mark 22,5,0.0,sell_agg,1.0,5.0,tight_u,0.0,3.0,0.0,0.0,8.5,11.0,0.0,11.0,5.0
1,43600,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,4,20916.0,sell_agg,5.0,5.0,tight_u,4.5,4.5,5.5,10.5,10.5,8.5,12.0,12.0,3.5
1,43900,HYDROGEL_PACK,Mark 14,Mark 38,6,59712.0,sell_agg,16.0,5.0,tight_u,7.0,5.0,7.0,9.0,13.0,9.0,6.0,10.0,6.0
1,45200,HYDROGEL_PACK,Mark 14,Mark 38,2,19922.0,sell_agg,16.0,5.0,tight_u,3.0,3.0,3.0,4.0,4.0,4.0,-23.0,4.0,-23.0
1,45400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,8,41928.0,buy_agg,2.0,2.0,tight_u,7.5,7.5,-2.0,6.0,6.0,-2.0,7.5,7.5,-27.0
1,47700,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,4,20972.0,sell_agg,2.0,2.0,tight_u,0.5,0.5,-2.0,1.5,1.5,14.0,3.5,3.5,-17.0
1,48300,HYDROGEL_PACK,Mark 14,Mark 38,3,29880.0,sell_agg,15.0,5.0,tight_u,-1.5,0.0,-1.5,12.5,0.5,12.5,-13.5,0.0,-13.5
1,48900,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,6,31446.0,sell_agg,5.0,5.0,tight_u,0.0,0.0,11.0,-0.5,-0.5,11.0,2.0,2.0,-13.5
1,49800,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,3,15732.0,sell_agg,5.0,5.0,tight_u,-0.5,-0.5,-2.0,1.0,1.0,-10.0,0.5,0.5,-27.0
1,50200,VEV_4000,Mark 14,Mark 38,2,2472.0,sell_agg,21.0,5.0,tight_u,-7.5,-2.5,-6.0,0.0,0.0,-13.0,1.0,1.0,-26.5
1,50300,VEV_4000,Mark 38,Mark 14,3,3771.0,buy_agg,21.0,6.0,tight_u,-3.0,-1.0,-5.0,1.0,1.5,-9.0,1.0,1.5,-27.0
1,50700,VEV_5400,Mark 01,Mark 22,5,80.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.5,2.0,-5.0,0.0,2.5,-20.0
1,50700,VEV_5500,Mark 01,Mark 22,5,35.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.0,2.0,-5.0,0.0,2.5,-20.0
1,50700,VEV_6000,Mark 01,Mark 22,5,0.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.0,2.0,-5.0,0.0,2.5,-20.0
1,50700,VEV_6500,Mark 01,Mark 22,5,0.0,sell_agg,1.0,6.0,tight_u,0.0,1.5,0.0,0.0,2.0,-5.0,0.0,2.5,-20.0
1,51700,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,4,20972.0,sell_agg,5.0,5.0,tight_u,1.0,1.0,-3.0,0.0,0.0,-2.0,0.0,0.0,-21.0
1,52400,HYDROGEL_PACK,Mark 14,Mark 38,5,49805.0,sell_agg,16.0,5.0,tight_u,0.0,0.0,0.0,-15.0,-1.0,-15.0,-29.0,-3.0,-29.0
1,52800,VEV_5400,Mark 01,Mark 22,3,48.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,-0.5,-3.5,-28.0
1,52800,VEV_5500,Mark 01,Mark 22,3,21.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,0.0,-3.5,-28.0
1,52800,VEV_6000,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,0.0,-3.5,-28.0
1,52800,VEV_6500,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,-2.0,-4.0,0.0,-3.0,-21.0,0.0,-3.5,-28.0
1,53000,HYDROGEL_PACK,Mark 14,Mark 38,4,39844.0,sell_agg,16.0,5.0,tight_u,-1.0,0.0,-1.0,-21.5,0.0,-21.5,-26.5,-3.0,-26.5
1,53400,VEV_5500,Mark 14,Mark 22,2,14.0,sell_agg,1.0,3.0,tight_u,0.0,2.0,1.0,0.0,5.0,-21.0,0.0,1.0,-28.0
1,53400,VEV_6000,Mark 01,Mark 22,2,0.0,sell_agg,1.0,3.0,tight_u,0.0,2.0,1.0,0.0,5.0,-21.0,0.0,1.0,-28.0
1,53400,VEV_6500,Mark 01,Mark 22,2,0.0,sell_agg,1.0,3.0,tight_u,0.0,2.0,1.0,0.0,5.0,-21.0,0.0,1.0,-28.0
1,53800,VEV_4000,Mark 38,Mark 14,2,2510.0,buy_agg,21.0,3.0,tight_u,-1.0,1.0,-15.0,1.0,3.0,-20.0,-2.0,0.0,-29.0
1,54400,VEV_4000,Mark 14,Mark 38,3,3702.0,sell_agg,21.0,5.0,tight_u,-1.0,-1.0,-6.0,1.0,1.0,-1.0,0.0,0.0,-13.5
1,57600,VEV_4000,Mark 38,Mark 14,3,3771.0,buy_agg,21.0,5.0,tight_u,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
1,59300,HYDROGEL_PACK,Mark 14,Mark 38,4,39796.0,sell_agg,16.0,5.0,tight_u,-2.0,-0.5,-2.0,-5.0,-2.0,-5.0,0.5,-2.0,0.5
1,59600,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,4,20976.0,sell_agg,5.0,5.0,tight_u,0.0,0.0,0.0,-1.0,-1.0,-3.0,-2.0,-2.0,6.0
1,60300,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,5,26225.0,sell_agg,5.0,5.0,tight_u,-1.0,-1.0,3.0,-4.0,-4.0,-11.0,-5.0,-5.0,3.0
1,61100,HYDROGEL_PACK,Mark 38,Mark 14,2,19922.0,buy_agg,16.0,5.0,tight_u,0.0,0.0,0.0,-11.0,-3.5,-11.0,10.0,-4.0,10.0
1,61400,HYDROGEL_PACK,Mark 38,Mark 14,2,19924.0,buy_agg,16.0,5.0,tight_u,-6.0,-2.5,-6.0,-17.0,-3.0,-17.0,7.0,-6.0,7.0
1,62100,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,6,31458.0,sell_agg,5.0,5.0,tight_u,-2.0,-2.0,-6.0,-4.0,-4.0,-6.0,-2.0,-2.0,18.0
1,62600,VEV_4000,Mark 38,Mark 14,1,1254.0,buy_agg,21.0,5.0,tight_u,-1.5,-1.5,3.0,-1.0,-1.0,2.0,-5.0,-5.0,24.0
1,63100,VEV_4000,Mark 38,Mark 14,3,3756.0,buy_agg,20.0,6.0,tight_u,3.5,3.5,-5.0,2.5,2.5,-4.0,-3.5,-3.5,26.0
1,63200,HYDROGEL_PACK,Mark 38,Mark 14,5,49750.0,buy_agg,16.0,5.0,tight_u,-5.0,1.0,-5.0,-5.0,2.0,-5.0,29.0,-5.0,29.0
1,63200,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,8,41920.0,sell_agg,5.0,5.0,tight_u,1.0,1.0,-5.0,2.0,2.0,-5.0,-5.0,-5.0,29.0
1,64200,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,6,31470.0,buy_agg,5.0,5.0,tight_u,1.0,1.0,-4.0,-0.5,-0.5,6.0,-5.5,-5.5,42.0
1,64300,HYDROGEL_PACK,Mark 14,Mark 38,4,39732.0,sell_agg,16.0,5.0,tight_u,-4.0,0.0,-4.0,10.0,-1.0,10.0,42.0,-7.0,42.0
1,65400,HYDROGEL_PACK,Mark 14,Mark 38,4,39720.0,sell_agg,16.0,5.0,tight_u,4.5,-1.0,4.5,18.0,5.0,18.0,45.0,-4.0,45.0
1,65700,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,8,41920.0,sell_agg,5.0,5.0,tight_u,-0.5,-0.5,0.5,6.0,6.0,10.5,-5.0,-5.0,35.5
1,65900,HYDROGEL_PACK,Mark 14,Mark 38,2,19870.0,sell_agg,15.0,5.0,tight_u,6.0,-0.5,6.0,15.5,5.0,15.5,40.5,-4.5,40.5
1,67700,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,4,21000.0,buy_agg,3.0,3.0,tight_u,-2.0,-2.0,2.0,-4.0,-4.0,4.0,-11.0,-11.0,37.0
1,68000,VEV_4000,Mark 38,Mark 14,2,2516.0,buy_agg,21.0,5.0,tight_u,-1.0,-1.0,-2.0,-4.0,-4.0,-4.0,-9.0,-9.0,34.0
1,69500,HYDROGEL_PACK,Mark 14,Mark 38,2,19904.0,sell_agg,15.0,5.0,tight_u,-2.5,0.0,-2.5,5.5,-3.0,5.5,23.5,-3.5,23.5
1,70500,VEV_4000,Mark 14,Mark 38,1,1232.0,sell_agg,20.0,6.0,tight_u,-0.5,-0.5,5.0,-3.0,-3.0,12.0,-4.5,-4.5,26.0
1,73400,VELVETFRUIT_EXTRACT,Mark 22,Mark 49,8,41896.0,buy_agg,1.0,1.0,tight_u,0.0,0.0,8.5,4.0,4.0,11.5,0.0,0.0,7.5
1,73400,VELVETFRUIT_EXTRACT,Mark 55,Mark 49,6,31416.0,buy_agg,1.0,1.0,tight_u,0.0,0.0,8.5,4.0,4.0,11.5,0.0,0.0,7.5
1,73500,HYDROGEL_PACK,Mark 14,Mark 38,3,29898.0,sell_agg,16.0,5.0,tight_u,6.0,0.0,6.0,6.0,1.5,6.0,1.0,-1.0,1.0
1,74100,VEV_5300,Mark 01,Mark 22,3,126.0,sell_agg,2.0,5.0,tight_u,1.0,4.0,3.0,1.0,3.0,6.0,-2.0,-4.0,-8.0
1,74100,VEV_5400,Mark 01,Mark 22,3,42.0,sell_agg,1.0,5.0,tight_u,1.0,4.0,3.0,1.0,3.0,6.0,-0.5,-4.0,-8.0
1,74100,VEV_5500,Mark 01,Mark 22,3,18.0,sell_agg,1.0,5.0,tight_u,0.0,4.0,3.0,0.0,3.0,6.0,0.0,-4.0,-8.0
1,74100,VEV_6000,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,4.0,3.0,0.0,3.0,6.0,0.0,-4.0,-8.0
1,74100,VEV_6500,Mark 01,Mark 22,3,0.0,sell_agg,1.0,5.0,tight_u,0.0,4.0,3.0,0.0,3.0,6.0,0.0,-4.0,-8.0
1,74300,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,6,31428.0,buy_agg,5.0,5.0,tight_u,4.5,4.5,-2.0,4.0,4.0,3.0,-3.0,-3.0,-10.0
1,74400,VELVETFRUIT_EXTRACT,Mark 14,Mark 55,4,20940.0,sell_agg,5.0,5.0,tight_u,2.0,2.0,-2.0,0.0,0.0,3.0,-5.0,-5.0,-12.0
1,76600,HYDROGEL_PACK,Mark 38,Mark 14,3,29985.0,buy_agg,16.0,5.0,tight_u,4.0,0.0,4.0,3.0,1.0,3.0,-23.0,-1.0,-23.0
1,77300,VELVETFRUIT_EXTRACT,Mark 55,Mark 14,8,41928.0,buy_agg,5.0,5.0,tight_u,-2.0,-2.0,3.0,1.0,1.0,-4.0,1.0,1.0,-27.0
1,78300,VEV_4000,Mark 14,Mark 38,3,3687.0,sell_agg,21.0,5.0,tight_u,0.0,0.0,-3.0,-2.0,-2.0,-13.0,1.0,1.0,-29.0
1,78400,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,7,36666.0,buy_agg,2.0,2.0,tight_u,0.5,0.5,0.0,0.5,0.5,-13.0,5.5,5.5,-29.0
1,78500,HYDROGEL_PACK,Mark 38,Mark 14,4,40000.0,buy_agg,16.0,6.0,tight_u,-2.5,-2.0,-2.5,-11.0,-3.5,-11.0,-32.0,0.0,-32.0
1,79000,HYDROGEL_PACK,Mark 14,Mark 38,3,29946.0,sell_agg,15.0,6.0,tight_u,-6.5,1.0,-6.5,-7.5,-2.5,-7.5,-22.5,4.0,-22.5
1,79800,HYDROGEL_PACK,Mark 38,Mark 14,6,59964.0,buy_agg,16.0,5.0,tight_u,-6.0,-2.0,-6.0,-16.0,-2.0,-16.0,-21.0,4.0,-21.0
1,81300,HYDROGEL_PACK,Mark 14,Mark 38,6,59820.0,sell_agg,16.0,5.0,tight_u,-8.0,0.0,-8.0,-3.0,-3.5,-3.0,-20.0,4.0,-20.0
1,81700,HYDROGEL_PACK,Mark 38,Mark 14,3,29940.0,buy_agg,16.0,6.0,tight_u,-3.0,0.5,-3.0,1.0,-2.0,1.0,-14.0,3.5,-14.0
1,81900,HYDROGEL_PACK,Mark 38,Mark 14,2,19956.0,buy_agg,16.0,6.0,tight_u,1.0,0.5,1.0,2.0,-3.5,2.0,-11.0,2.5,-11.0
1,82300,HYDROGEL_PACK,Mark 38,Mark 14,3,29931.0,buy_agg,16.0,5.0,tight_u,2.0,-2.0,2.0,4.0,-5.0,4.0,-5.0,5.0,-5.0
1,82300,VELVETFRUIT_EXTRACT,Mark 01,Mark 55,3,15705.0,sell_agg,5.0,5.0,tight_u,-2.0,-2.0,2.0,-5.0,-5.0,4.0,5.0,5.0,-5.0
1,83200,VELVETFRUIT_EXTRACT,Mark 55,Mark 01,7,36659.0,buy_agg,6.0,6.0,tight_u,1.0,1.0,1.0,0.5,0.5,-4.0,10.5,10.5,-8.0
1,84300,VEV_4000,Mark 38,Mark 14,1,1243.0,buy_agg,21.0,5.0,tight_u,2.0,2.0,-4.5,5.0,5.0,-8.0,11.0,11.0,-8.0
1,84600,VELVETFRUIT_EXTRACT,Mark 67,Mark 22,8,41864.0,buy_agg,2.0,2.0,tight_u,4.5,4.5,-1.0,4.5,4.5,-7.0,12.5,12.5,-6.0
1,85300,VEV_5300,Mark 14,Mark 22,2,84.0,sell_agg,2.0,6.0,tight_u,0.0,0.5,1.5,1.0,4.5,-2.5,3.0,8.5,-3.5
1,85300,VEV_5400,Mark 01,Mark 22,2,28.0,sell_agg,1.0,6.0,tight_u,0.0,0.5,1.5,1.0,4.5,-2.5,1.5,8.5,-3.5
1,85300,VEV_5500,Mark 01,Mark 22,2,12.0,sell_agg,1.0,6.0,tight_u,0.0,0.5,1.5,0.0,4.5,-2.5,0.5,8.5,-3.5
1,85300,VEV_6000,Mark 01,Mark 22,2,0.0,sell_agg,1.0,6.0,tight_u,0.0,0.5,1.5,0.0,4.5,-2.5,0.0,8.5,-3.5
1,85300,VEV_6500,Mark 01,Mark 22,2,0.0,sell_agg,1.0,6.0,tight_u,0.0,0.5,1.5,0.0,4.5,-2.5,0.0,8.5,-3.5
1,86100,VEV_5400,Mark 01,Mark 22,5,70.0,sell_agg,2.0,6.0,tight_u,-0.5,-0.5,0.0,0.5,3.5,9.0,0.5,4.5,-1.0
1,86100,VEV_5500,Mark 01,Mark 22,5,30.0,sell_agg,1.0,6.0,tight_u,0.0,-0.5,0.0,0.0,3.5,9.0,0.0,4.5,-1.0
1,86100,VEV_6000,Mark 01,Mark 22,5,0.0,sell_agg,1.0,6.0,tight_u,0.0,-0.5,0.0,0.0,3.5,9.0,0.0,4.5,-1.0
1,86100,VEV_6500,Mark 01,Mark 22,5,0.0,sell_agg,1.0,6.0,tight_u,0.0,-0.5,0.0,0.0,3.5,9.0,0.0,4.5,-1.0
