buyer,seller,symbol,spread_bucket,K,n,cell_mean,cell_std
Mark 14,Mark 22,VEV_5200,tight,5,33,-0.24242424242424243,0.9772507044734936
Mark 14,Mark 22,VEV_5200,tight,20,33,0.015151515151515152,3.3622092078833754
Mark 14,Mark 22,VEV_5200,tight,100,33,-0.09090909090909091,6.362063523160333
Mark 14,Mark 22,VEV_5300,tight,5,29,-0.41379310344827586,0.9167972738720978
Mark 14,Mark 22,VEV_5300,tight,20,29,-0.2413793103448276,1.5733306893746395
Mark 14,Mark 22,VEV_5300,tight,100,29,0.6206896551724138,3.132933279845038
Mark 14,Mark 22,VEV_5300,wide,5,1,-0.5,
Mark 14,Mark 22,VEV_5300,wide,20,1,0.5,
Mark 14,Mark 22,VEV_5300,wide,100,1,1.5,
Mark 14,Mark 22,VEV_5400,tight,5,12,-0.4166666666666667,0.4174235549683609
Mark 14,Mark 22,VEV_5400,tight,20,12,-0.4166666666666667,1.0187633620614691
Mark 14,Mark 22,VEV_5400,tight,100,12,-1.0,2.23606797749979
Mark 14,Mark 22,VEV_5400,wide,5,1,0.0,
Mark 14,Mark 22,VEV_5400,wide,20,1,0.5,
Mark 14,Mark 22,VEV_5400,wide,100,1,0.5,
Mark 14,Mark 22,VEV_5500,tight,5,7,-0.2857142857142857,0.4879500364742666
Mark 14,Mark 22,VEV_5500,tight,20,7,-0.42857142857142855,0.5345224838248488
Mark 14,Mark 22,VEV_5500,tight,100,7,-0.5714285714285714,0.6725927091345493
Mark 14,Mark 38,HYDROGEL_PACK,tight,5,487,0.07392197125256673,4.515710756900793
Mark 14,Mark 38,HYDROGEL_PACK,tight,20,487,0.24537987679671458,8.685038351209567
Mark 14,Mark 38,HYDROGEL_PACK,tight,100,485,1.0371134020618558,17.976099373199123
Mark 14,Mark 38,HYDROGEL_PACK,wide,5,9,-0.05555555555555555,4.818223508491255
Mark 14,Mark 38,HYDROGEL_PACK,wide,20,9,-0.3888888888888889,9.453100608324823
Mark 14,Mark 38,HYDROGEL_PACK,wide,100,9,-6.888888888888889,23.363670754209647
Mark 14,Mark 38,VEV_4000,tight,5,210,-0.10476190476190476,2.2082871732838862
Mark 14,Mark 38,VEV_4000,tight,20,210,-0.10476190476190476,4.50395638841908
Mark 14,Mark 38,VEV_4000,tight,100,209,0.011961722488038277,9.05252304813356
Mark 14,Mark 38,VEV_4000,wide,5,22,-0.7272727272727273,2.3890986182642626
Mark 14,Mark 38,VEV_4000,wide,20,22,-0.8863636363636364,4.205811790112916
Mark 14,Mark 38,VEV_4000,wide,100,22,-1.2272727272727273,8.897200298980188
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,tight,5,316,-0.03322784810126582,2.1032107787063246
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,tight,20,316,-0.23734177215189872,4.053491290424975
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,tight,100,311,-1.2620578778135048,8.653153868995416
Mark 22,Mark 38,HYDROGEL_PACK,tight,5,11,-2.6818181818181817,3.2192602199319587
Mark 22,Mark 38,HYDROGEL_PACK,tight,20,11,-5.863636363636363,8.019011501085744
Mark 22,Mark 38,HYDROGEL_PACK,tight,100,11,-13.090909090909092,16.356677813385858
Mark 22,Mark 38,VEV_4000,tight,5,1,-1.5,
Mark 22,Mark 38,VEV_4000,tight,20,1,1.0,
Mark 22,Mark 38,VEV_4000,tight,100,1,12.0,
Mark 22,Mark 38,VEV_4500,tight,5,1,0.0,
Mark 22,Mark 38,VEV_4500,tight,20,1,3.0,
Mark 22,Mark 38,VEV_4500,tight,100,1,13.0,
Mark 22,Mark 38,VEV_5000,tight,5,1,2.5,
Mark 22,Mark 38,VEV_5000,tight,20,1,5.5,
Mark 22,Mark 38,VEV_5000,tight,100,1,15.5,
Mark 22,Mark 38,VEV_5100,tight,5,1,2.5,
Mark 22,Mark 38,VEV_5100,tight,20,1,4.5,
Mark 22,Mark 38,VEV_5100,tight,100,1,13.5,
Mark 22,Mark 38,VEV_5200,tight,5,1,2.0,
Mark 22,Mark 38,VEV_5200,tight,20,1,3.5,
Mark 22,Mark 38,VEV_5200,tight,100,1,10.0,
Mark 22,Mark 38,VEV_5300,tight,5,1,0.5,
Mark 22,Mark 38,VEV_5300,tight,20,1,1.5,
Mark 22,Mark 38,VEV_5300,tight,100,1,5.5,
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,tight,5,7,2.142857142857143,2.211980366743146
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,tight,20,7,2.7142857142857144,4.965356170987325
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,tight,100,7,5.571428571428571,10.386002485029918
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight,5,18,-1.3888888888888888,2.7947195774066262
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight,20,18,0.5277777777777778,3.9125447647212566
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight,100,18,0.8888888888888888,10.156938450773957
Mark 38,Mark 14,HYDROGEL_PACK,tight,5,501,-0.18063872255489022,4.2054493685238405
Mark 38,Mark 14,HYDROGEL_PACK,tight,20,501,-0.38223552894211577,8.585051181700385
Mark 38,Mark 14,HYDROGEL_PACK,tight,100,499,-0.45090180360721444,18.347715083451423
Mark 38,Mark 14,HYDROGEL_PACK,wide,5,6,0.5833333333333334,2.01038968030247
Mark 38,Mark 14,HYDROGEL_PACK,wide,20,6,2.0833333333333335,8.534732958134464
Mark 38,Mark 14,HYDROGEL_PACK,wide,100,6,-4.166666666666667,17.637082147188256
Mark 38,Mark 14,VEV_4000,tight,5,195,0.11282051282051282,2.2251120077424718
Mark 38,Mark 14,VEV_4000,tight,20,194,0.14432989690721648,4.031263036938616
Mark 38,Mark 14,VEV_4000,tight,100,192,-0.3697916666666667,8.769218174439782
Mark 38,Mark 14,VEV_4000,wide,5,12,0.4166666666666667,2.1195339682166554
Mark 38,Mark 14,VEV_4000,wide,20,11,1.4545454545454546,4.977220838251732
Mark 38,Mark 14,VEV_4000,wide,100,11,-1.0454545454545454,9.291002490190564
Mark 38,Mark 22,HYDROGEL_PACK,tight,5,8,3.1875,5.43097925923914
Mark 38,Mark 22,HYDROGEL_PACK,tight,20,8,1.3125,5.2775636965771024
Mark 38,Mark 22,HYDROGEL_PACK,tight,100,7,-4.428571428571429,21.23367720436212
Mark 38,Mark 22,VEV_4000,tight,5,2,4.75,1.0606601717798212
Mark 38,Mark 22,VEV_4000,tight,20,2,5.0,7.7781745930520225
Mark 38,Mark 22,VEV_4000,tight,100,2,15.5,12.727922061357855
Mark 38,Mark 22,VEV_4500,tight,5,2,3.0,0.7071067811865476
Mark 38,Mark 22,VEV_4500,tight,20,2,3.75,7.424621202458749
Mark 38,Mark 22,VEV_4500,tight,100,2,13.5,12.727922061357855
Mark 38,Mark 22,VEV_5000,tight,5,2,0.75,0.3535533905932738
Mark 38,Mark 22,VEV_5000,tight,20,2,1.5,7.7781745930520225
Mark 38,Mark 22,VEV_5000,tight,100,2,11.0,12.727922061357855
Mark 38,Mark 22,VEV_5100,tight,5,2,0.25,0.3535533905932738
Mark 38,Mark 22,VEV_5100,tight,20,2,1.0,6.363961030678928
Mark 38,Mark 22,VEV_5100,tight,100,2,9.25,10.960155108391486
Mark 38,Mark 22,VEV_5200,tight,5,2,0.25,0.3535533905932738
Mark 38,Mark 22,VEV_5200,tight,20,2,0.25,4.596194077712559
Mark 38,Mark 22,VEV_5200,tight,100,2,6.5,7.7781745930520225
Mark 38,Mark 22,VEV_5300,tight,5,1,0.5,
Mark 38,Mark 22,VEV_5300,tight,20,1,2.5,
Mark 38,Mark 22,VEV_5300,tight,100,1,8.0,
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,tight,5,12,-1.875,3.2761188234639085
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,tight,20,12,-2.7083333333333335,5.224323937703385
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,tight,100,11,-3.3636363636363638,5.2872058267619435
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,tight,5,5,-1.7,1.8234582528810468
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,tight,20,5,-1.3,5.392123885817164
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,tight,100,5,-4.8,4.040420770167384
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight,5,139,-0.07913669064748201,2.0290097113411028
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight,20,139,-0.6438848920863309,4.225631161293167
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight,100,139,-0.5755395683453237,9.547917609877938
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,5,105,0.1,2.226803504163276
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,20,105,0.8666666666666667,4.167910070883771
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,100,105,0.35714285714285715,9.415544197096231
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight,5,331,0.26132930513595165,2.209240247238266
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight,20,331,0.5755287009063444,3.8585253041361036
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight,100,328,1.0975609756097562,8.955270781328323
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,tight,5,14,1.7142857142857142,1.6374732612530445
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,tight,20,14,2.0357142857142856,3.7286019534770034
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,tight,100,14,1.5,11.378116648265584
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,tight,5,9,1.0,1.620185174601965
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,tight,20,9,2.6666666666666665,3.152380053229623
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,tight,100,9,-2.5,7.897784499465657
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,5,75,2.06,1.917134686297602
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,20,75,2.026666666666667,4.220200242890151
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,100,75,0.7266666666666667,9.585424370384462
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,5,89,1.8764044943820224,1.9427617684807574
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,20,89,1.6348314606741574,3.749821241908967
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,100,88,1.9204545454545454,9.148169329973301
Mark 67,Mark 55,VELVETFRUIT_EXTRACT,tight,5,1,-0.5,
Mark 67,Mark 55,VELVETFRUIT_EXTRACT,tight,20,1,7.0,
Mark 67,Mark 55,VELVETFRUIT_EXTRACT,tight,100,1,19.0,
