U,role,symbol,K,aggressor,spread_bucket,n,mean_d_mid,median_d_mid,pos_frac,t_stat
Mark 01,buyer,VEV_6500,100,sell_agg,tight,314,0.0,0.0,0.0,
Mark 22,seller,VEV_6000,100,sell_agg,tight,314,0.0,0.0,0.0,
Mark 22,seller,VEV_6500,100,sell_agg,tight,314,0.0,0.0,0.0,
Mark 14,buyer,VELVETFRUIT_EXTRACT,100,sell_agg,tight,311,-1.2620578778135048,-2.0,0.4115755627009646,-2.572083362790216
Mark 22,seller,VEV_5500,20,sell_agg,tight,290,0.020689655172413793,0.0,0.13448275862068965,0.8356446011650763
Mark 22,seller,VEV_5500,5,sell_agg,tight,290,-0.017241379310344827,0.0,0.04827586206896552,-1.3147124778907104
Mark 22,seller,VEV_5500,100,sell_agg,tight,288,-0.03125,0.0,0.2222222222222222,-0.750736056008346
Mark 01,buyer,VEV_5500,20,sell_agg,tight,283,0.03180212014134275,0.0,0.13780918727915195,1.2938628720198613
Mark 01,buyer,VEV_5500,5,sell_agg,tight,283,-0.01060070671378092,0.0,0.04946996466431095,-0.8481071957614428
Mark 01,buyer,VEV_5500,100,sell_agg,tight,281,-0.017793594306049824,0.0,0.2277580071174377,-0.42423891815015063
Mark 22,seller,VEV_5400,20,sell_agg,tight,225,0.06,0.0,0.3022222222222222,1.1749049766681707
Mark 22,seller,VEV_5400,5,sell_agg,tight,225,-0.0044444444444444444,0.0,0.16444444444444445,-0.17240075262328555
Mark 22,seller,VEV_5400,100,sell_agg,tight,223,0.06053811659192825,0.0,0.4170403587443946,0.6246874218359131
Mark 01,buyer,VEV_5400,20,sell_agg,tight,213,0.08685446009389672,0.0,0.3051643192488263,1.7052628440955544
Mark 01,buyer,VEV_5400,5,sell_agg,tight,213,0.018779342723004695,0.0,0.17370892018779344,0.7356661111158213
Mark 01,buyer,VEV_5400,100,sell_agg,tight,211,0.12085308056872038,0.0,0.41706161137440756,1.2789188869480632
Mark 38,seller,VEV_4000,20,sell_agg,tight,211,-0.0995260663507109,0.0,0.4597156398104265,-0.3217052800247593
Mark 38,seller,VEV_4000,5,sell_agg,tight,211,-0.11137440758293839,0.0,0.43601895734597157,-0.7336605882857299
Mark 38,seller,VEV_4000,100,sell_agg,tight,210,0.06904761904761905,-0.75,0.46190476190476193,0.11033560534554154
Mark 14,buyer,VEV_4000,20,sell_agg,tight,210,-0.10476190476190476,0.0,0.45714285714285713,-0.3370690343398415
Mark 14,buyer,VEV_4000,5,sell_agg,tight,210,-0.10476190476190476,0.0,0.4380952380952381,-0.6874759084415578
Mark 14,buyer,VEV_4000,100,sell_agg,tight,209,0.011961722488038277,-1.0,0.45933014354066987,0.019102808691790395
Mark 38,buyer,VEV_4000,5,buy_agg,tight,197,0.1598984771573604,0.0,0.47715736040609136,0.9914995329620299
Mark 38,buyer,VEV_4000,20,buy_agg,tight,196,0.19387755102040816,0.0,0.47959183673469385,0.6655137530790625
Mark 14,seller,VEV_4000,5,buy_agg,tight,195,0.11282051282051282,0.0,0.4717948717948718,0.708032996723233
Mark 14,seller,VEV_4000,20,buy_agg,tight,194,0.14432989690721648,0.0,0.4793814432989691,0.49867320135386073
Mark 38,buyer,VEV_4000,100,buy_agg,tight,194,-0.20618556701030927,0.0,0.4845360824742268,-0.3220388833678483
Mark 14,seller,VEV_4000,100,buy_agg,tight,192,-0.3697916666666667,0.0,0.4791666666666667,-0.5843147629731853
Mark 01,buyer,VELVETFRUIT_EXTRACT,5,sell_agg,tight,174,0.34195402298850575,0.0,0.4827586206896552,2.0489850553122575
Mark 01,buyer,VELVETFRUIT_EXTRACT,20,sell_agg,tight,174,0.3620689655172414,-0.25,0.4540229885057471,1.0874230452059002
Mark 01,buyer,VELVETFRUIT_EXTRACT,100,sell_agg,tight,174,-0.3160919540229885,0.0,0.4885057471264368,-0.45255611950335206
Mark 67,buyer,VELVETFRUIT_EXTRACT,5,buy_agg,tight,164,1.9603658536585367,2.0,0.8353658536585366,13.025623326344341
Mark 67,buyer,VELVETFRUIT_EXTRACT,20,buy_agg,tight,164,1.8140243902439024,1.5,0.6463414634146342,5.86010068131766
Mark 67,buyer,VELVETFRUIT_EXTRACT,100,buy_agg,tight,163,1.3711656441717792,1.0,0.5398773006134969,1.873917213276957
Mark 22,seller,VEV_5300,20,sell_agg,tight,160,-0.14375,0.0,0.38125,-1.1067249793822498
Mark 22,seller,VEV_5300,5,sell_agg,tight,160,-0.203125,0.0,0.2375,-3.3127067443445664
Mark 22,seller,VEV_5300,100,sell_agg,tight,159,0.14779874213836477,0.0,0.4968553459119497,0.5778864227270519
Mark 01,seller,VELVETFRUIT_EXTRACT,5,buy_agg,tight,139,-0.07913669064748201,0.0,0.38848920863309355,-0.45983408429882927
Mark 01,seller,VELVETFRUIT_EXTRACT,100,buy_agg,tight,139,-0.5755395683453237,-2.0,0.43884892086330934,-0.7106797224998798
Mark 01,seller,VELVETFRUIT_EXTRACT,20,buy_agg,tight,139,-0.6438848920863309,-1.0,0.4028776978417266,-1.7964868751849563
Mark 01,buyer,VEV_5300,20,sell_agg,tight,132,-0.12121212121212122,0.0,0.3939393939393939,-0.8405868912188258
Mark 01,buyer,VEV_5300,5,sell_agg,tight,132,-0.14772727272727273,0.0,0.25,-2.2914560462557185
Mark 01,buyer,VEV_5300,100,sell_agg,tight,131,0.026717557251908396,0.0,0.48854961832061067,0.09438270074145173
Mark 01,seller,VELVETFRUIT_EXTRACT,20,buy_agg,wide,105,0.8666666666666667,0.5,0.5714285714285714,2.130729913265277
Mark 55,buyer,VELVETFRUIT_EXTRACT,20,buy_agg,wide,105,0.8666666666666667,0.5,0.5714285714285714,2.130729913265277
Mark 01,seller,VELVETFRUIT_EXTRACT,5,buy_agg,wide,105,0.1,0.0,0.45714285714285713,0.4601641207588229
Mark 55,buyer,VELVETFRUIT_EXTRACT,5,buy_agg,wide,105,0.1,0.0,0.45714285714285713,0.4601641207588229
Mark 01,seller,VELVETFRUIT_EXTRACT,100,buy_agg,wide,105,0.35714285714285715,1.0,0.5238095238095238,0.38867910308207504
Mark 55,buyer,VELVETFRUIT_EXTRACT,100,buy_agg,wide,105,0.35714285714285715,1.0,0.5238095238095238,0.38867910308207504
Mark 49,seller,VELVETFRUIT_EXTRACT,5,buy_agg,tight,104,1.8461538461538463,2.0,0.7884615384615384,9.782143046421124
Mark 49,seller,VELVETFRUIT_EXTRACT,20,buy_agg,tight,104,1.8317307692307692,2.0,0.6826923076923077,4.9525955625564935
Mark 49,seller,VELVETFRUIT_EXTRACT,100,buy_agg,tight,103,1.8398058252427185,1.0,0.5339805825242718,2.0263596413545675
Mark 22,seller,VELVETFRUIT_EXTRACT,5,buy_agg,tight,90,2.022222222222222,2.0,0.8666666666666667,10.271773129152445
Mark 22,seller,VELVETFRUIT_EXTRACT,20,buy_agg,tight,90,2.022222222222222,1.5,0.6444444444444445,4.674667852598585
Mark 22,seller,VELVETFRUIT_EXTRACT,100,buy_agg,tight,90,0.9111111111111111,0.75,0.5111111111111111,0.88338027630116
Mark 01,buyer,VELVETFRUIT_EXTRACT,5,sell_agg,wide,86,0.18604651162790697,0.5,0.5348837209302325,0.765291090180946
Mark 55,seller,VELVETFRUIT_EXTRACT,5,sell_agg,wide,86,0.18604651162790697,0.5,0.5348837209302325,0.765291090180946
Mark 01,buyer,VELVETFRUIT_EXTRACT,100,sell_agg,wide,86,-1.2790697674418605,-3.0,0.4186046511627907,-1.2911545191357183
Mark 55,seller,VELVETFRUIT_EXTRACT,100,sell_agg,wide,86,-1.2790697674418605,-3.0,0.4186046511627907,-1.2911545191357183
Mark 01,buyer,VELVETFRUIT_EXTRACT,20,sell_agg,wide,86,-0.7151162790697675,-0.5,0.45348837209302323,-1.5758979826446913
Mark 55,seller,VELVETFRUIT_EXTRACT,20,sell_agg,wide,86,-0.7151162790697675,-0.5,0.45348837209302323,-1.5758979826446913
Mark 01,buyer,VEV_5400,20,sell_agg,wide,50,-0.16,-0.5,0.32,-1.2894876373638113
Mark 22,seller,VEV_5400,20,sell_agg,wide,50,-0.16,-0.5,0.32,-1.2894876373638113
Mark 01,buyer,VEV_5400,5,sell_agg,wide,50,-0.15,0.0,0.16,-2.781517949836592
Mark 22,seller,VEV_5400,5,sell_agg,wide,50,-0.15,0.0,0.16,-2.781517949836592
Mark 01,buyer,VEV_5400,100,sell_agg,wide,49,-0.5,-0.5,0.40816326530612246,-2.042109880970524
Mark 22,seller,VEV_5400,100,sell_agg,wide,49,-0.5,-0.5,0.40816326530612246,-2.042109880970524
Mark 22,seller,VEV_5200,100,sell_agg,tight,44,0.625,0.5,0.5681818181818182,0.6621679449607971
Mark 22,seller,VEV_5200,20,sell_agg,tight,44,0.22727272727272727,-0.25,0.4772727272727273,0.45017565512115065
Mark 22,seller,VEV_5200,5,sell_agg,tight,44,-0.22727272727272727,-0.5,0.3181818181818182,-1.5035884171827123
Mark 14,buyer,VEV_5200,20,sell_agg,tight,33,0.015151515151515152,-0.5,0.42424242424242425,0.02588739206762294
Mark 14,buyer,VEV_5200,100,sell_agg,tight,33,-0.09090909090909091,0.5,0.5151515151515151,-0.08208546896238408
Mark 14,buyer,VEV_5200,5,sell_agg,tight,33,-0.24242424242424243,-0.5,0.3333333333333333,-1.4250399015019133
Mark 14,buyer,VEV_5300,100,sell_agg,tight,28,0.7142857142857143,0.75,0.5357142857142857,1.2003201280569156
Mark 14,buyer,VEV_5300,20,sell_agg,tight,28,-0.25,-0.5,0.32142857142857145,-0.8260208649387009
Mark 14,buyer,VEV_5300,5,sell_agg,tight,28,-0.4642857142857143,0.0,0.17857142857142858,-2.755421218226036
Mark 14,buyer,VEV_4000,100,sell_agg,wide,22,-1.2272727272727273,-2.75,0.36363636363636365,-0.6469922164460309
Mark 38,seller,VEV_4000,100,sell_agg,wide,22,-1.2272727272727273,-2.75,0.36363636363636365,-0.6469922164460309
Mark 14,buyer,VEV_4000,20,sell_agg,wide,22,-0.8863636363636364,-1.5,0.3181818181818182,-0.9884926326726539
Mark 38,seller,VEV_4000,20,sell_agg,wide,22,-0.8863636363636364,-1.5,0.3181818181818182,-0.9884926326726539
Mark 14,buyer,VEV_4000,5,sell_agg,wide,22,-0.7272727272727273,-1.25,0.3181818181818182,-1.427823630055127
Mark 38,seller,VEV_4000,5,sell_agg,wide,22,-0.7272727272727273,-1.25,0.3181818181818182,-1.427823630055127
Mark 22,buyer,VELVETFRUIT_EXTRACT,20,sell_agg,tight,19,0.39473684210526316,0.5,0.5263157894736842,0.447346162153381
Mark 22,buyer,VELVETFRUIT_EXTRACT,100,sell_agg,tight,19,0.631578947368421,2.0,0.5263157894736842,0.27711991837211625
Mark 22,buyer,VELVETFRUIT_EXTRACT,5,sell_agg,tight,19,-1.368421052631579,-1.0,0.2631578947368421,-2.1950070228882206
Mark 01,buyer,VEV_5500,100,sell_agg,wide,16,-0.125,-0.25,0.4375,-0.564932682866032
Mark 22,seller,VEV_5500,100,sell_agg,wide,16,-0.125,-0.25,0.4375,-0.564932682866032
Mark 01,buyer,VEV_5500,20,sell_agg,wide,16,-0.09375,0.0,0.25,-0.8991013477539305
Mark 22,seller,VEV_5500,20,sell_agg,wide,16,-0.09375,0.0,0.25,-0.8991013477539305
Mark 01,buyer,VEV_5500,5,sell_agg,wide,16,-0.1875,-0.5,0.1875,-1.8605210188381267
Mark 22,seller,VEV_5500,5,sell_agg,wide,16,-0.1875,-0.5,0.1875,-1.8605210188381267
Mark 49,buyer,VELVETFRUIT_EXTRACT,20,sell_agg,tight,16,-2.53125,-1.75,0.4375,-1.9408227566644958
Mark 49,buyer,VELVETFRUIT_EXTRACT,5,sell_agg,tight,16,-2.15625,-2.25,0.125,-3.3179724168294045
Mark 49,buyer,VELVETFRUIT_EXTRACT,100,sell_agg,tight,15,-4.5,-5.0,0.13333333333333333,-4.222580807899984
