buyer,seller,symbol,K,near_01_22_burst,n,mean,t
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,False,263,-1.188212927756654,-2.2190292377854135
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,True,48,-1.6666666666666667,-1.348595376746081
Mark 38,Mark 14,HYDROGEL_PACK,5,False,447,-0.06040268456375839,-0.3059149651718386
Mark 38,Mark 14,HYDROGEL_PACK,5,True,60,-1.0,-1.8383348281349974
Mark 38,Mark 14,HYDROGEL_PACK,20,False,447,-0.24384787472035793,-0.5968726127511972
Mark 38,Mark 14,HYDROGEL_PACK,20,True,60,-1.1666666666666667,-1.1070082832750352
Mark 38,Mark 14,HYDROGEL_PACK,100,False,445,-0.33146067415730335,-0.3871062823055186
Mark 38,Mark 14,HYDROGEL_PACK,100,True,60,-1.7083333333333333,-0.6517182916422933
Mark 38,Mark 14,VEV_4000,5,False,188,0.19414893617021275,1.2852963593518623
Mark 38,Mark 14,VEV_4000,20,False,186,0.13978494623655913,0.47533094003789755
Mark 38,Mark 14,VEV_4000,100,False,184,-0.5027173913043478,-0.7624673012364415
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,False,211,0.08056872037914692,0.5493399654649291
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,True,33,-0.5303030303030303,-1.5603789952109879
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,False,211,0.25355450236966826,0.884931525464532
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,True,33,-1.5757575757575757,-1.972295072017855
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,False,211,0.016587677725118485,0.02530866526522384
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,True,33,-1.393939393939394,-0.8620111009723229
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,False,291,0.3281786941580756,2.550316720149938
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,True,40,-0.225,-0.6245383527799538
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,False,291,0.6821305841924399,3.043072593296031
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,True,40,-0.2,-0.3109408735371898
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,False,289,1.157439446366782,2.195774194962772
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,True,39,0.6538461538461539,0.4528822647602236
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,False,67,2.111940298507463,9.406450927380279
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,False,67,2.1492537313432836,4.227392042438819
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,False,67,0.1865671641791045,0.16751724168566903
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,False,81,1.9320987654320987,8.914792431857565
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,False,81,1.537037037037037,3.5982527462269034
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,False,81,1.9814814814814814,1.978168652148847
