U,role,product,k,n,mean_dv,std_dv,t_approx
Mark 38,aggr_seller,VEV_5200,20,1,3.5,,
Mark 38,aggr_seller,VEV_5200,100,1,10.0,,
Mark 38,aggr_seller,VEV_5300,5,1,0.5,,
Mark 38,aggr_seller,VEV_5300,20,1,1.5,,
Mark 38,aggr_seller,VEV_5300,100,1,5.5,,
Mark 49,aggr_buyer,VELVETFRUIT_EXTRACT,5,1,3.5,,
Mark 49,aggr_buyer,VELVETFRUIT_EXTRACT,20,1,1.5,,
Mark 49,aggr_buyer,VELVETFRUIT_EXTRACT,100,1,6.5,,
Mark 49,aggr_seller,VELVETFRUIT_EXTRACT,5,1,-1.0,,
Mark 49,aggr_seller,VELVETFRUIT_EXTRACT,20,1,-2.0,,
Mark 49,aggr_seller,VELVETFRUIT_EXTRACT,100,1,-4.0,,
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,5,598,0.19899665551839466,2.166178039732952,2.246478262817042
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,4.033420481655193,2.478875825447288
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,9.227865024604355,1.4038715282649987
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,5,600,0.051666666666666666,2.193250510519044,0.5770292515005374
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,20,600,-0.10583333333333333,4.193768647012293,-0.6181496555114885
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,100,595,-0.9184873949579831,8.945382029909961,-2.504567788249764
Mark 67,aggr_buyer,VELVETFRUIT_EXTRACT,5,164,1.9603658536585367,1.9273497777890347,13.025623326344338
Mark 67,aggr_buyer,VELVETFRUIT_EXTRACT,20,164,1.8140243902439024,3.964240265528447,5.860100681317659
Mark 67,aggr_buyer,VELVETFRUIT_EXTRACT,100,163,1.3711656441717792,9.341859359207215,1.8739172132769575
