U,role,product,k,spread_q,count,mean,std
Mark 38,aggr_buyer,VEV_4000,100,m6_10,2,15.5,12.727922061357855
Mark 38,aggr_buyer,VEV_4000,100,wide,203,-0.4064039408866995,8.775450025095846
Mark 38,aggr_buyer,VEV_4500,5,m6_10,2,3.0,0.7071067811865476
Mark 38,aggr_buyer,VEV_4500,20,m6_10,2,3.75,7.424621202458749
Mark 38,aggr_buyer,VEV_4500,100,m6_10,2,13.5,12.727922061357855
Mark 38,aggr_buyer,VEV_5000,5,tight_le2,2,0.75,0.3535533905932738
Mark 38,aggr_buyer,VEV_5000,20,tight_le2,2,1.5,7.7781745930520225
Mark 38,aggr_buyer,VEV_5000,100,tight_le2,2,11.0,12.727922061357855
Mark 38,aggr_buyer,VEV_5100,5,tight_le2,2,0.25,0.3535533905932738
Mark 38,aggr_buyer,VEV_5100,20,tight_le2,2,1.0,6.363961030678928
Mark 38,aggr_buyer,VEV_5100,100,tight_le2,2,9.25,10.960155108391486
Mark 38,aggr_buyer,VEV_5200,5,tight_le2,2,0.25,0.3535533905932738
Mark 38,aggr_buyer,VEV_5200,20,tight_le2,2,0.25,4.596194077712559
Mark 38,aggr_buyer,VEV_5200,100,tight_le2,2,6.5,7.7781745930520225
Mark 38,aggr_buyer,VEV_5300,5,tight_le2,1,0.5,
Mark 38,aggr_buyer,VEV_5300,20,tight_le2,1,2.5,
Mark 38,aggr_buyer,VEV_5300,100,tight_le2,1,8.0,
Mark 38,aggr_seller,HYDROGEL_PACK,5,m6_10,13,-1.3846153846153846,4.321235578289723
Mark 38,aggr_seller,HYDROGEL_PACK,5,wide,494,0.048582995951417005,4.510824036136204
Mark 38,aggr_seller,HYDROGEL_PACK,20,m6_10,13,-3.0,10.236780092717957
Mark 38,aggr_seller,HYDROGEL_PACK,20,wide,494,0.18319838056680163,8.667239213924866
Mark 38,aggr_seller,HYDROGEL_PACK,100,m6_10,13,-13.038461538461538,15.263602592525924
Mark 38,aggr_seller,HYDROGEL_PACK,100,wide,492,0.948170731707317,18.0983918873378
Mark 38,aggr_seller,VEV_4000,5,m6_10,1,6.5,
Mark 38,aggr_seller,VEV_4000,5,wide,232,-0.19827586206896552,2.186023401791727
Mark 38,aggr_seller,VEV_4000,20,m6_10,1,2.0,
Mark 38,aggr_seller,VEV_4000,20,wide,232,-0.18318965517241378,4.472118743852101
Mark 38,aggr_seller,VEV_4000,100,m6_10,1,4.5,
Mark 38,aggr_seller,VEV_4000,100,wide,231,-0.0735930735930736,9.056165067474376
Mark 38,aggr_seller,VEV_4500,5,m6_10,1,0.0,
Mark 38,aggr_seller,VEV_4500,20,m6_10,1,3.0,
Mark 38,aggr_seller,VEV_4500,100,m6_10,1,13.0,
Mark 38,aggr_seller,VEV_5000,5,m3_5,1,2.5,
Mark 38,aggr_seller,VEV_5000,20,m3_5,1,5.5,
Mark 38,aggr_seller,VEV_5000,100,m3_5,1,15.5,
Mark 38,aggr_seller,VEV_5100,5,m3_5,1,2.5,
Mark 38,aggr_seller,VEV_5100,20,m3_5,1,4.5,
Mark 38,aggr_seller,VEV_5100,100,m3_5,1,13.5,
Mark 38,aggr_seller,VEV_5200,5,tight_le2,1,2.0,
Mark 38,aggr_seller,VEV_5200,20,tight_le2,1,3.5,
Mark 38,aggr_seller,VEV_5200,100,tight_le2,1,10.0,
Mark 38,aggr_seller,VEV_5300,5,tight_le2,1,0.5,
Mark 38,aggr_seller,VEV_5300,20,tight_le2,1,1.5,
Mark 38,aggr_seller,VEV_5300,100,tight_le2,1,5.5,
Mark 49,aggr_buyer,VELVETFRUIT_EXTRACT,5,tight_le2,1,3.5,
Mark 49,aggr_buyer,VELVETFRUIT_EXTRACT,20,tight_le2,1,1.5,
Mark 49,aggr_buyer,VELVETFRUIT_EXTRACT,100,tight_le2,1,6.5,
Mark 49,aggr_seller,VELVETFRUIT_EXTRACT,5,m3_5,1,-1.0,
Mark 49,aggr_seller,VELVETFRUIT_EXTRACT,20,m3_5,1,-2.0,
Mark 49,aggr_seller,VELVETFRUIT_EXTRACT,100,m3_5,1,-4.0,
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,5,m3_5,470,0.18617021276595744,2.1542144474675666
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,5,m6_10,105,0.1,2.226803504163276
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,5,tight_le2,23,0.9130434782608695,2.092476642169206
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,20,m3_5,470,0.2393617021276596,4.022676078513565
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,20,m6_10,105,0.8666666666666667,4.167910070883771
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,20,tight_le2,23,1.7826086956521738,3.285042157459259
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,100,m3_5,467,0.6284796573875803,9.173435152137126
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,100,m6_10,105,0.35714285714285715,9.415544197096231
Mark 55,aggr_buyer,VELVETFRUIT_EXTRACT,100,tight_le2,23,-0.6521739130434783,9.785697799489053
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,5,m3_5,487,-0.03696098562628337,2.1467914149104437
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,5,m6_10,86,0.18604651162790697,2.254468127738267
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,5,tight_le2,27,1.2222222222222223,2.535643346270761
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,20,m3_5,487,-0.06981519507186858,4.108514265759546
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,20,m6_10,86,-0.7151162790697675,4.20821374546215
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,20,tight_le2,27,1.1851851851851851,5.3657534924100405
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,100,m3_5,482,-0.9346473029045643,8.948244742460963
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,100,m6_10,86,-1.2790697674418605,9.186820691545288
Mark 55,aggr_seller,VELVETFRUIT_EXTRACT,100,tight_le2,27,0.5185185185185185,8.266570167619841
Mark 67,aggr_buyer,VELVETFRUIT_EXTRACT,5,tight_le2,164,1.9603658536585367,1.9273497777890347
Mark 67,aggr_buyer,VELVETFRUIT_EXTRACT,20,tight_le2,164,1.8140243902439024,3.964240265528447
Mark 67,aggr_buyer,VELVETFRUIT_EXTRACT,100,tight_le2,163,1.3711656441717792,9.341859359207215
