regime,lag,leg,corr_fwd5,n
all,7,VEV_5300,-0.010107627806422378,29964
all,7,VEV_4000,-0.00392614489829569,29964
all,7,VEV_6500,-0.009784349942497139,29964
all,8,VELVETFRUIT_EXTRACT,-0.0035792267787555865,29961
all,8,HYDROGEL_PACK,-0.00654071396602091,29961
all,8,VEV_5200,-0.007215524054220549,29961
all,8,VEV_5300,-0.005204256268869332,29961
all,8,VEV_4000,-0.0018627948676917445,29961
all,8,VEV_6500,-0.0040590017146110765,29961
tight,0,VELVETFRUIT_EXTRACT,0.01307229459700947,7718
tight,0,HYDROGEL_PACK,-0.015438843646485545,7718
tight,0,VEV_5200,0.004888593252947503,7718
tight,0,VEV_5300,0.01027799454392921,7718
tight,0,VEV_4000,-0.005179891587304065,7718
tight,0,VEV_6500,0.0009595914129533481,7718
tight,1,VELVETFRUIT_EXTRACT,-0.0037401707198027,7715
tight,1,HYDROGEL_PACK,-0.006170003717144326,7715
tight,1,VEV_5200,-0.006023724545509805,7715
tight,1,VEV_5300,-0.002072725605719097,7715
tight,1,VEV_4000,-0.02139640226677794,7715
tight,1,VEV_6500,0.004298525943385922,7715
tight,2,VELVETFRUIT_EXTRACT,0.018007458096215623,7712
tight,2,HYDROGEL_PACK,0.0017543496277860615,7712
tight,2,VEV_5200,-0.018519838255299192,7712
tight,2,VEV_5300,-0.004673040187000055,7712
tight,2,VEV_4000,-0.0047245367895335745,7712
tight,2,VEV_6500,-0.005451381526261724,7712
tight,3,VELVETFRUIT_EXTRACT,0.006974050291941815,7709
tight,3,HYDROGEL_PACK,0.004948759347770119,7709
tight,3,VEV_5200,-0.019679258493955777,7709
tight,3,VEV_5300,-0.008036480413336596,7709
tight,3,VEV_4000,-0.017064510237328745,7709
tight,3,VEV_6500,-0.014910022513477122,7709
tight,4,VELVETFRUIT_EXTRACT,-0.003142350613974126,7706
tight,4,HYDROGEL_PACK,0.0005618912172660436,7706
tight,4,VEV_5200,-0.001620928006608244,7706
tight,4,VEV_5300,0.01323669690476714,7706
tight,4,VEV_4000,-0.006326272846812133,7706
tight,4,VEV_6500,0.010730726179945155,7706
tight,5,VELVETFRUIT_EXTRACT,0.026891061002727902,7703
tight,5,HYDROGEL_PACK,-0.002862908851432011,7703
tight,5,VEV_5200,-0.0048495543627070726,7703
tight,5,VEV_5300,0.012716838696052231,7703
tight,5,VEV_4000,-0.01615405525213126,7703
tight,5,VEV_6500,0.022121522006423693,7703
tight,6,VELVETFRUIT_EXTRACT,0.014074584559357948,7700
tight,6,HYDROGEL_PACK,0.004935442428282589,7700
tight,6,VEV_5200,-0.001733154430449423,7700
tight,6,VEV_5300,-0.001132184257835076,7700
tight,6,VEV_4000,0.0030447265669671974,7700
tight,6,VEV_6500,0.015486178635070035,7700
tight,7,VELVETFRUIT_EXTRACT,0.020537193663316446,7697
tight,7,HYDROGEL_PACK,-0.0009642591348125416,7697
tight,7,VEV_5200,0.009624224461759829,7697
tight,7,VEV_5300,0.00728094451055817,7697
tight,7,VEV_4000,-0.006328241342074267,7697
tight,7,VEV_6500,0.020770548080548172,7697
tight,8,VELVETFRUIT_EXTRACT,0.013030719355865144,7694
tight,8,HYDROGEL_PACK,0.012342885753825437,7694
tight,8,VEV_5200,0.0050280421957705854,7694
tight,8,VEV_5300,-0.002752486818866202,7694
tight,8,VEV_4000,-0.010675048778534828,7694
tight,8,VEV_6500,0.00976493427379905,7694
loose,0,VELVETFRUIT_EXTRACT,0.051923488104180994,22267
loose,0,HYDROGEL_PACK,0.007942794893930218,22267
loose,0,VEV_5200,,22267
loose,0,VEV_5300,,22267
loose,0,VEV_4000,0.013425298372641238,22267
loose,0,VEV_6500,0.0014481736050146181,22267
loose,1,VELVETFRUIT_EXTRACT,0.006898655937743081,22264
loose,1,HYDROGEL_PACK,0.0074857677036159545,22264
loose,1,VEV_5200,,22264
loose,1,VEV_5300,,22264
loose,1,VEV_4000,0.0003498426246456674,22264
loose,1,VEV_6500,0.0029859900147846154,22264
loose,2,VELVETFRUIT_EXTRACT,0.010898116677497544,22261
loose,2,HYDROGEL_PACK,0.005693684697461355,22261
loose,2,VEV_5200,,22261
loose,2,VEV_5300,,22261
loose,2,VEV_4000,0.000905558910627527,22261
loose,2,VEV_6500,-8.805557348243359e-05,22261
loose,3,VELVETFRUIT_EXTRACT,0.012564789884155594,22258
loose,3,HYDROGEL_PACK,0.005563173998454826,22258
loose,3,VEV_5200,,22258
loose,3,VEV_5300,,22258
loose,3,VEV_4000,0.002095161209822837,22258
loose,3,VEV_6500,-0.003162646508062283,22258
loose,4,VELVETFRUIT_EXTRACT,0.00806592146645283,22255
loose,4,HYDROGEL_PACK,0.0032474988552918214,22255
loose,4,VEV_5200,,22255
loose,4,VEV_5300,,22255
loose,4,VEV_4000,0.005584245539759898,22255
loose,4,VEV_6500,0.0014505409294793975,22255
loose,5,VELVETFRUIT_EXTRACT,0.0045396807409054185,22252
loose,5,HYDROGEL_PACK,0.0017296602249153932,22252
loose,5,VEV_5200,,22252
loose,5,VEV_5300,,22252
loose,5,VEV_4000,0.0009077118815850048,22252
loose,5,VEV_6500,0.001451097051252871,22252
loose,6,VELVETFRUIT_EXTRACT,0.004265912853066883,22249
loose,6,HYDROGEL_PACK,0.002541203988610996,22249
loose,6,VEV_5200,,22249
loose,6,VEV_5300,,22249
loose,6,VEV_4000,0.009271863985077683,22249
loose,6,VEV_6500,-0.004700972145355222,22249
loose,7,VELVETFRUIT_EXTRACT,0.008491984591368755,22246
loose,7,HYDROGEL_PACK,-0.0031920787696731396,22246
loose,7,VEV_5200,,22246
loose,7,VEV_5300,,22246
loose,7,VEV_4000,0.009570882911139644,22246
loose,7,VEV_6500,0.002988040956562533,22246
loose,8,VELVETFRUIT_EXTRACT,0.0016188949169403755,22243
loose,8,HYDROGEL_PACK,-0.003441412641536512,22243
loose,8,VEV_5200,,22243
loose,8,VEV_5300,,22243
loose,8,VEV_4000,0.012315319459947198,22243
loose,8,VEV_6500,0.002987649505381551,22243
