day,timestamp,joint_tight,aggr,buyer,seller,k5,k20,k100
1,848900,True,sell_aggr,Mark 14,Mark 22,1.0,-1.0,-1.0
1,948500,True,sell_aggr,Mark 01,Mark 22,0.0,2.0,7.0
1,988100,True,sell_aggr,Mark 01,Mark 22,0.0,2.0,6.0
2,20900,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,-4.5
2,75200,True,sell_aggr,Mark 01,Mark 22,0.0,-1.5,5.0
2,79300,True,sell_aggr,Mark 14,Mark 22,-1.0,2.5,4.5
2,105500,True,sell_aggr,Mark 01,Mark 22,1.0,1.0,-2.0
2,129700,True,sell_aggr,Mark 01,Mark 22,-1.0,0.0,0.0
2,169000,True,sell_aggr,Mark 01,Mark 22,-0.5,-0.5,1.5
2,189100,True,sell_aggr,Mark 01,Mark 22,0.0,0.5,1.0
2,204400,True,sell_aggr,Mark 01,Mark 22,1.0,2.5,3.0
2,225500,True,sell_aggr,Mark 14,Mark 22,-2.0,-2.0,2.0
2,289300,True,sell_aggr,Mark 14,Mark 22,0.0,-1.0,0.0
2,320800,True,sell_aggr,Mark 01,Mark 22,-1.0,0.0,-5.0
2,321600,True,sell_aggr,Mark 01,Mark 22,0.5,0.0,-1.0
2,350700,True,sell_aggr,Mark 14,Mark 22,-3.0,-3.0,1.0
2,358500,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,-2.0
2,362600,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,-4.0
2,365600,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,-2.0
2,389000,True,sell_aggr,Mark 01,Mark 22,-0.5,0.0,-2.0
2,390300,True,sell_aggr,Mark 01,Mark 22,1.0,2.0,-2.0
2,414900,True,sell_aggr,Mark 01,Mark 22,0.0,3.0,2.0
2,423800,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,2.0
2,433100,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,-2.0
2,461200,True,sell_aggr,Mark 14,Mark 22,0.5,1.0,-0.5
2,483400,True,sell_aggr,Mark 14,Mark 22,-1.0,-2.0,-2.5
2,501900,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,-3.0
2,519600,True,sell_aggr,Mark 01,Mark 22,-1.0,-1.0,-1.0
2,548600,True,sell_aggr,Mark 01,Mark 22,-0.5,0.0,-1.0
2,554600,True,mid_or_ambiguous,Mark 14,Mark 22,1.0,0.0,-2.0
2,587100,True,sell_aggr,Mark 14,Mark 22,0.0,0.5,5.5
2,588500,True,sell_aggr,Mark 01,Mark 22,1.0,-0.5,7.0
2,604100,True,sell_aggr,Mark 01,Mark 22,-1.0,2.0,0.0
2,666500,True,sell_aggr,Mark 01,Mark 22,0.0,1.5,6.0
2,711900,True,sell_aggr,Mark 01,Mark 22,-2.0,-3.0,-8.5
2,748500,True,sell_aggr,Mark 01,Mark 22,0.5,0.5,0.5
2,764000,True,sell_aggr,Mark 14,Mark 22,-0.5,-0.5,2.0
2,779200,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,-1.0
2,808800,True,sell_aggr,Mark 14,Mark 22,-2.0,-3.0,-6.0
2,826400,True,sell_aggr,Mark 01,Mark 22,0.0,0.0,1.0
2,836300,True,sell_aggr,Mark 14,Mark 22,-1.0,0.0,1.0
2,872600,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,1.0
2,898600,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,-1.0
2,948500,True,sell_aggr,Mark 14,Mark 22,-1.0,-1.0,-2.0
2,972800,True,sell_aggr,Mark 14,Mark 22,-1.0,0.0,1.0
2,977300,True,sell_aggr,Mark 14,Mark 22,0.0,0.0,5.5
2,977500,True,sell_aggr,Mark 01,Mark 22,0.0,0.0,5.0
2,993800,True,sell_aggr,Mark 01,Mark 22,1.0,4.0,7.0
3,32900,True,sell_aggr,Mark 01,Mark 22,1.0,1.0,-9.0
3,33600,True,sell_aggr,Mark 01,Mark 22,1.0,0.0,-8.5
3,40200,True,sell_aggr,Mark 01,Mark 22,-2.0,-4.0,-4.0
3,74300,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,-1.0
3,92200,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,-1.0
3,98900,True,sell_aggr,Mark 01,Mark 22,-1.0,-1.0,0.0
3,128700,True,sell_aggr,Mark 14,Mark 22,0.0,3.5,2.5
3,137700,True,sell_aggr,Mark 01,Mark 22,-0.5,-1.5,-1.5
3,155400,True,sell_aggr,Mark 01,Mark 22,0.0,-2.0,0.0
3,218300,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,4.0
3,220800,True,sell_aggr,Mark 01,Mark 22,0.5,-2.0,3.0
3,222400,True,sell_aggr,Mark 01,Mark 22,-0.5,0.0,1.0
3,243700,True,sell_aggr,Mark 01,Mark 22,0.0,-0.5,2.0
3,269000,True,sell_aggr,Mark 14,Mark 22,0.5,-2.5,1.5
3,289400,True,sell_aggr,Mark 01,Mark 22,-1.0,-2.0,-4.0
3,290900,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,-2.0
3,315800,True,sell_aggr,Mark 01,Mark 22,0.0,0.5,1.0
3,317200,True,sell_aggr,Mark 01,Mark 22,0.5,-0.5,1.5
3,319700,True,sell_aggr,Mark 01,Mark 22,-0.5,-1.0,3.0
3,320200,True,sell_aggr,Mark 01,Mark 22,-0.5,0.5,4.5
3,328700,True,sell_aggr,Mark 01,Mark 22,0.5,2.5,-0.5
3,329200,True,sell_aggr,Mark 14,Mark 22,0.5,2.0,-2.0
3,332600,True,sell_aggr,Mark 01,Mark 22,-1.5,-2.0,-3.0
3,350300,True,sell_aggr,Mark 01,Mark 22,-0.5,-1.5,-2.5
3,363100,True,sell_aggr,Mark 01,Mark 22,-0.5,-0.5,3.0
3,364700,True,sell_aggr,Mark 01,Mark 22,-0.5,0.0,4.0
3,369800,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,5.0
3,370100,True,sell_aggr,Mark 22,Mark 38,0.5,1.5,5.5
3,385400,True,sell_aggr,Mark 01,Mark 22,0.5,1.5,2.5
3,389100,True,sell_aggr,Mark 01,Mark 22,1.0,2.0,3.0
3,391400,True,sell_aggr,Mark 01,Mark 22,0.0,0.0,3.5
3,428900,True,sell_aggr,Mark 01,Mark 22,-0.5,-1.0,-0.5
3,431900,True,sell_aggr,Mark 01,Mark 22,0.0,0.5,0.5
3,442200,True,sell_aggr,Mark 01,Mark 22,0.5,1.0,-1.5
3,451300,True,sell_aggr,Mark 14,Mark 22,-1.0,-0.5,0.0
3,456600,True,sell_aggr,Mark 01,Mark 22,-0.5,-0.5,0.5
3,459800,True,sell_aggr,Mark 01,Mark 22,-0.5,-0.5,-1.0
3,483900,True,sell_aggr,Mark 01,Mark 22,1.0,2.0,0.5
3,498100,True,sell_aggr,Mark 01,Mark 22,-0.5,-0.5,0.0
3,511800,True,sell_aggr,Mark 01,Mark 22,0.5,1.5,0.5
3,524000,True,sell_aggr,Mark 01,Mark 22,-0.5,0.0,-3.0
3,529600,True,sell_aggr,Mark 14,Mark 22,0.0,-0.5,0.0
3,531500,True,sell_aggr,Mark 01,Mark 22,-1.0,-1.0,1.0
3,535400,True,sell_aggr,Mark 01,Mark 22,0.5,1.5,2.5
3,535900,True,sell_aggr,Mark 01,Mark 22,0.5,1.5,2.0
3,551600,True,sell_aggr,Mark 01,Mark 22,0.0,1.0,1.0
3,555100,True,sell_aggr,Mark 01,Mark 22,-0.5,-0.5,0.5
3,580600,True,sell_aggr,Mark 01,Mark 22,0.5,-0.5,0.0
3,584300,True,sell_aggr,Mark 01,Mark 22,-1.0,-2.0,0.5
3,612700,True,sell_aggr,Mark 01,Mark 22,1.0,2.5,-2.5
3,622500,True,sell_aggr,Mark 01,Mark 22,0.5,0.5,2.5
3,627700,True,sell_aggr,Mark 01,Mark 22,-0.5,-3.0,-1.0
3,631300,True,sell_aggr,Mark 01,Mark 22,-0.5,-1.0,1.5
3,631500,True,sell_aggr,Mark 01,Mark 22,-2.0,-2.0,1.0
3,634500,True,sell_aggr,Mark 14,Mark 22,0.0,0.5,6.5
3,642500,True,sell_aggr,Mark 01,Mark 22,0.0,3.0,4.5
3,671800,True,sell_aggr,Mark 01,Mark 22,0.0,3.5,2.5
3,671900,True,sell_aggr,Mark 01,Mark 22,-1.0,3.0,1.5
3,689900,True,sell_aggr,Mark 01,Mark 22,1.0,1.0,2.0
3,699400,True,sell_aggr,Mark 01,Mark 22,0.0,-1.0,3.0
3,700300,True,sell_aggr,Mark 14,Mark 22,0.0,-0.5,4.5
3,705400,True,sell_aggr,Mark 01,Mark 22,-0.5,0.5,5.0
3,708800,True,sell_aggr,Mark 01,Mark 22,1.0,4.0,3.0
3,728500,True,sell_aggr,Mark 14,Mark 22,0.5,-1.5,-5.5
3,730000,True,sell_aggr,Mark 01,Mark 22,-2.0,-3.0,-5.0
3,741100,True,sell_aggr,Mark 01,Mark 22,0.5,1.0,-3.0
3,753700,True,sell_aggr,Mark 01,Mark 22,0.5,0.5,-3.0
3,785100,True,sell_aggr,Mark 01,Mark 22,1.5,1.5,1.5
3,793100,True,sell_aggr,Mark 01,Mark 22,0.0,0.0,0.5
3,820200,True,sell_aggr,Mark 01,Mark 22,0.0,-0.5,-4.0
3,834400,True,sell_aggr,Mark 01,Mark 22,-1.0,-1.5,0.0
3,864100,True,sell_aggr,Mark 01,Mark 22,0.0,1.5,2.5
3,868300,True,sell_aggr,Mark 01,Mark 22,0.5,-1.0,-0.5
3,877600,True,sell_aggr,Mark 01,Mark 22,-0.5,-1.0,-1.5
3,890900,True,sell_aggr,Mark 01,Mark 22,0.0,2.5,6.0
3,894300,True,sell_aggr,Mark 01,Mark 22,-1.0,-0.5,4.5
3,918500,True,sell_aggr,Mark 01,Mark 22,0.0,1.5,2.0
3,943900,False,mid_or_ambiguous,Mark 14,Mark 22,-0.5,0.5,1.5
3,977300,True,sell_aggr,Mark 01,Mark 22,-1.0,-2.0,-4.0
3,983300,True,sell_aggr,Mark 14,Mark 22,-0.5,-0.5,-3.0
